0	Index      	 *	Score 	Summary	Detail	
1	32632 31245	 * 	232.07	ACR|2BASARM|2VULN|2BEXP|1AART|1AAC	1AAC|2aBEXP|3DMSP|4RCR|5DUST|6aVULN|7RCVC|8aBASARM|9AART|aBPWR
18	32632 34222	   	210.22	ACR|2BASARM|2VULN|2BEXP|1AAC	1AAC|2aBEXP|3DMSP|4RCR|5DUST|6aVULN|7DUR|8MLV|9aBASARM|aBPWR
19	32632 36122	   	210.22	ACR|2BASARM|2VULN|2BEXP|1AAC	1AAC|2aBEXP|3DMSP|4RCR|5DUST|6aVULN|7CGEN|8LHND|9aBASARM|aBPWR
20	32632 36422	   	210.22	ACR|2BASARM|2VULN|2BEXP|1AAC	1AAC|2aBEXP|3DMSP|4RCR|5DUST|6aVULN|7CGEN|8LWND|9aBASARM|aBPWR
21	51341 32324	 * 	209.46	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AIRHEL|2RPLT|3RCR|46BEXP|5DUR|7DMG|8ASPD|9RCVC|aBASARM
22	51341 32334	   	207.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AIRHEL|2RPLT|3RCR|46BEXP|5DUR|7DMG|8ASPD|9DMSP|aBASARM
23	51341 32314	   	207.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AIRHEL|2RPLT|3RCR|46BEXP|5DUR|7DMG|8ASPD|9AEMAG|aBASARM
24	21657 32344	 * 	207.15	ACR|2ASPD|2DMG|1AART|1BEXP|1CDMG	1AART|29FEWX|3MDPS|4MBVNT|5RCR|6CDMG|79DMG|89ASPD|9BPWR|aBEXP
25	42331 35621	   	204.89	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	13CGEN|2BEXP|4RCR|5LHND|6FEWX|7ASPD|8VULN|9BASARM|aDMG
26	42335 35121	   	204.89	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	13CGEN|2BEXP|4RCR|5LWND|6VULN|7ASPD|8LHND|9BASARM|aDMG
27	42332 35121	   	204.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	13CGEN|2BEXP|4RCR|5DUST|6VULN|7ASPD|8LHND|9BASARM|aDMG
28	42332 35421	   	204.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	13CGEN|2BEXP|4RCR|5DUST|6VULN|7ASPD|8LWND|9BASARM|aDMG
29	43332 54121	   	204.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	13CGEN|2VULN|4RCR|5DUST|6ASPD|7BEXP|8LHND|9BASARM|aDMG
30	42332 25621	   	204.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	13CGEN|2BEXP|4RCR|5DUST|6LHND|7ASPD|8VULN|9BASARM|aDMG
31	51321 51311	 * 	203.78	ACR|3BEXP|2AART|1ASPD|2CDMG	17AIRHEL|2RPLT|3RCR|47CDMG|578BEXP|69AART|7BPWR|aASPD
32	31132 31245	   	203.58	ACR|2BASARM|2VULN|1AART|1AAC	1AAC|23aFEWX|4RCR|5DUST|6aVULN|7RCVC|8aBASARM|9AART|aBPWR
33	31632 31245	   	203.58	ACR|2BASARM|2VULN|1AART|1AAC	1AAC|2aFEWX|3DMSP|4RCR|5DUST|6aVULN|7RCVC|8aBASARM|9AART|aBPWR
34	42332 31246	   	203.58	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	13CGEN|2BEXP|4RCR|5DUST|6VULN|7RCVC|8BASARM|9AART|aASPD
35	62135 35122	   	203.54	ACR|2BASARM|2ASPD|1VULN	13FEWX|2aCGEN|4RCR|5LWND|6VULN|7aASPD|8LHND|9aBASARM|aBPWR
36	62235 35122	   	203.54	ACR|2BASARM|2ASPD|1VULN	1FEWX|23aCGEN|4RCR|5LWND|6VULN|7aASPD|8LHND|9aBASARM|aBPWR
37	45232 35122	   	203.44	ACR|2BASARM|2ASPD|1VULN	12CGEN|2aBPWR|3aFEWX|4RCR|5DUST|6VULN|7aASPD|8LHND|9aBASARM
38	46232 35122	   	203.44	ACR|2BASARM|2ASPD|1VULN	1CGEN|2DMSP|3aFEWX|4RCR|5DUST|6VULN|7aASPD|8LHND|9aBASARM|aBPWR
39	62132 25622	   	203.44	ACR|2BASARM|2ASPD|1VULN	13FEWX|2aCGEN|4RCR|5DUST|6LHND|7aASPD|8VULN|9aBASARM|aBPWR
40	62132 35122	   	203.44	ACR|2BASARM|2ASPD|1VULN	13FEWX|2aCGEN|4RCR|5DUST|6VULN|7aASPD|8LHND|9aBASARM|aBPWR
41	62132 35422	   	203.44	ACR|2BASARM|2ASPD|1VULN	13FEWX|2aCGEN|4RCR|5DUST|6VULN|7aASPD|8LWND|9aBASARM|aBPWR
42	62232 25622	   	203.44	ACR|2BASARM|2ASPD|1VULN	1FEWX|23aCGEN|4RCR|5DUST|6LHND|7aASPD|8VULN|9aBASARM|aBPWR
43	62232 35122	   	203.44	ACR|2BASARM|2ASPD|1VULN	1FEWX|23aCGEN|4RCR|5DUST|6VULN|7aASPD|8LHND|9aBASARM|aBPWR
44	62232 35422	   	203.44	ACR|2BASARM|2ASPD|1VULN	1FEWX|23aCGEN|4RCR|5DUST|6VULN|7aASPD|8LWND|9aBASARM|aBPWR
45	63131 45133	 * 	202.87	ACR|1BASARM|2VULN|1ASPD|1DMG	13FEWX|2DMG|4RCR|58LHND|6aVULN|7ASPD|9BASARM
46	63135 35333	   	202.77	ACR|1BASARM|2VULN|1ASPD|1DMG	13FEWX|2DMG|4RCR|5LWND|6aVULN|7ASPD|8AEFBLL|9BASARM
47	31131 45633	   	202.76	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AAC	1AAC|23FEWX|4RCR|5LHND|68VULN|7ASPD|9BASARM|aBEXP
48	63133 55321	   	202.31	ACR|1BASARM|2DMG|1VULN|1BEXP	13FEWX|2aDMG|4RCR|5MLV|6BEXP|7MBVNT|8VULN|9BASARM
49	63132 64321	   	202.21	ACR|1BASARM|2DMG|1VULN|1BEXP	13FEWX|2aDMG|4RCR|5DUST|6AME|7BEXP|8VULN|9BASARM
