0	Index      	 *	Score 	Summary	Detail	
1	13134 26114	 * 	250.78	ACR|4VULN|3BEXP|2DMG|1ASPD	1RCR|2579VULN|3AAC|479BEXP|6BELT|79BPWR|89DMG|aASPD
27	15314 21311	   	231.69	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	1RCR|2DUST|3LIT|4aASPD|5aBEXP|6CDMG|7aVULN|8CGEN|9DMG|aBPWR
28	13142 26222	   	231.58	ACR|3VULN|3DMG|2BEXP	1RCR|279VULN|3aAAC|4RMIN|579DMG|6BELT|79BPWR|89BEXP
29	13244 51323	 * 	231.13	ACR|2VULN|1BASARM|2ASPD|1AART|1SELL	1RCR|25VULN|3SELL|45ASPD|5BPWR|6AART|7LSRICY|8LWND|9BASARM|aERES
30	13134 24111	 * 	229.22	ACR|3VULN|2ASPD|2BEXP|1DMG	1RCR|259VULN|3AAC|49BEXP|6BELT|79ASPD|8RCVC|9BPWR|aDMG
31	13424 24111	   	229.22	ACR|3VULN|2ASPD|2BEXP|1DMG	1RCR|259VULN|39BEXP|4NUKE|6BELT|79ASPD|8RCVC|9BPWR|aDMG
32	16137 41462	 * 	229.02	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	1RCR|2MDPS|39VULN|4MBVNT|5MLV|6BEXP|7DMG|8ASPD|aBASARM
33	13244 31322	 * 	228.79	ACR|2VULN|1BASARM|2ASPD|1CDMG|1SELL	1RCR|25VULN|3SELL|45ASPD|5BPWR|6DLOT|7LSRICY|8LWND|9BASARM|aCDMG
34	13133 34346	   	228.05	ACR|3VULN|2DMG|2BEXP|1ASPD	1RCR|268VULN|3AAC|49BEXP|58LHND|78DMG|8BPWR|aASPD
35	12134 34342	   	228.05	ACR|3VULN|2DMG|2BEXP|1ASPD	1RCR|28FEWX|3AAC|49BEXP|568VULN|78DMG|8BPWR|aASPD
36	13134 24611	   	227.95	ACR|3VULN|2ASPD|2BEXP|1DMG	1RCR|259VULN|38AAC|49BEXP|6BELT|79ASPD|9BPWR|aDMG
37	13424 35314	   	227.85	ACR|3VULN|2DMG|2BEXP|1ASPD	1RCR|258VULN|38BEXP|4NUKE|6MBVNT|78DMG|8BPWR|9DUST|aASPD
38	13123 55111	   	227.34	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG	1RCR|28VULN|3AAC|4AME|5AART|6CDMG|7DMG|9BASARM|aLIT
39	13123 55112	   	227.34	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG	1RCR|28VULN|3AAC|4AME|5AART|6CDMG|7DMG|9BASARM|aFEWX
40	13123 55116	   	227.34	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG	1RCR|28VULN|3AAC|4AME|5AART|6CDMG|7DMG|9BASARM|aCGEN
41	13123 55113	   	227.24	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG	1RCR|28VULN|3AAC|4AME|5AART|6CDMG|7DMG|9BASARM|aAEFBLL
42	13123 55115	   	227.24	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG	1RCR|28VULN|3AAC|4AME|5AART|6CDMG|7DMG|9BASARM|aMDPS
43	13433 24313	   	227.06	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9DMSP|aMLV
44	13433 24314	   	227.06	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9DMSP|aLIT
45	13433 24316	   	227.06	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4aLHND|6ASPD|78DMG|8BPWR|9DMSP
46	13433 24323	   	227.06	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9aRPLT
47	13433 24324	   	227.06	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9RPLT|aLIT
48	13433 24331	   	227.06	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9FEWX|aMLV
49	13433 24332	   	227.06	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9FEWX|aCGEN
50	13433 24336	   	227.06	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9FEWX|aDMSP
51	13433 24342	   	227.06	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9ZMB|aFEWX
52	13433 24351	   	227.06	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9DUR|aMLV
53	13433 24352	   	227.06	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9DUR|aCGEN
54	13422 24324	   	226.96	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|38aBEXP|4NUKE|5ZMB|6ASPD|78DMG|8BPWR|9MLV
55	13422 24334	   	226.96	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|38aBEXP|4NUKE|5ZMB|6ASPD|78DMG|8BPWR|9RMIN
56	13422 24343	   	226.96	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|389BEXP|4NUKE|5ZMB|6ASPD|78DMG|8BPWR|aMLV
57	13433 24312	   	226.96	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9DMSP|aAIRARM
58	13433 24325	   	226.96	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9RPLT|aERES
59	13433 24333	   	226.96	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9FEWX|aERES
60	13433 24343	   	226.96	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9ZMB|aMDPS
61	13433 24353	   	226.96	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|358BEXP|4LHND|6ASPD|78DMG|8BPWR|9DUR|aERES
62	13422 24316	   	226.86	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|38aBEXP|4NUKE|5ZMB|6ASPD|78DMG|8BPWR|9DUST
63	13422 24342	   	226.86	ACR|2VULN|3BEXP|2DMG|1ASPD	1RCR|28VULN|389BEXP|4NUKE|5ZMB|6ASPD|78DMG|8BPWR|aAIRARM
64	13134 26111	   	226.65	ACR|4VULN|3BEXP|2DMG	1RCR|2579VULN|3AAC|479BEXP|6BELT|79BPWR|89DMG|aRPLT
65	13134 26113	   	226.65	ACR|4VULN|3BEXP|2DMG	1RCR|2579VULN|3AAC|479BEXP|6BELT|79BPWR|89DMG|aLHND
66	13424 26111	   	226.65	ACR|4VULN|3BEXP|2DMG	1RCR|2579VULN|379BEXP|4NUKE|6BELT|79BPWR|89DMG|aRPLT
67	13424 26113	   	226.65	ACR|4VULN|3BEXP|2DMG	1RCR|2579VULN|379BEXP|4NUKE|6BELT|79BPWR|89DMG|aLHND
68	13134 22114	   	226.55	ACR|4VULN|3BEXP|2DMG	1RCR|2579VULN|3AAC|49aBEXP|6BELT|89DMG|9BPWR
69	13424 22114	   	226.55	ACR|4VULN|3BEXP|2DMG	1RCR|2579VULN|39aBEXP|4NUKE|6BELT|89DMG|9BPWR
70	13134 26115	   	226.55	ACR|4VULN|3BEXP|2DMG	1RCR|2579VULN|3AAC|479BEXP|6BELT|79BPWR|89DMG|aAME
71	13134 26116	   	226.55	ACR|4VULN|3BEXP|2DMG	1RCR|2579VULN|3AAC|479BEXP|6BELT|79BPWR|89DMG|aAEFBLL
72	13142 24116	   	226.55	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|29VULN|3AAC|4RMIN|59DMG|6BELT|79ASPD|8RCVC|9BPWR|aAART
73	13142 24111	 * 	226.28	ACR|3DMG|2VULN|2ASPD	1RCR|29VULN|3AAC|4RMIN|59aDMG|6BELT|79ASPD|8RCVC|9BPWR
74	13142 24216	   	225.37	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|29VULN|3AAC|48RMIN|59DMG|6BELT|79ASPD|9BPWR|aAART
75	13153 25116	   	225.27	ACR|2VULN|2ASPD|2DMG|1AART	1RCR|29VULN|34AAC|5BELT|69ASPD|7RMIN|89DMG|9BPWR|aAART
76	13142 24211	   	225.10	ACR|3DMG|2VULN|2ASPD	1RCR|29VULN|3AAC|48RMIN|59aDMG|6BELT|79ASPD|9BPWR
77	13312 12225	   	225.10	ACR|2VULN|3DMG|2ASPD	1RCR|28VULN|38LIT|49ASPD|5CGEN|68aDMG|7MDPS|8BPWR
78	13142 24611	   	225.00	ACR|3DMG|2VULN|2ASPD	1RCR|29VULN|38AAC|4RMIN|59aDMG|6BELT|79ASPD|9BPWR
79	13153 25111	   	225.00	ACR|3DMG|2VULN|2ASPD	1RCR|29VULN|34AAC|5BELT|69ASPD|7RMIN|89aDMG|9BPWR
80	13153 24161	   	225.00	ACR|3ASPD|2VULN|2DMG	1RCR|29VULN|34AAC|5BELT|679ASPD|89DMG|9BPWR|aLHND
81	13445 23122	   	224.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AAC	1RCR|2VULN|3BEXP|4ZMB|5MDPS|6ASPD|7CGEN|8DMG|9AAC|aBASARM
82	13242 25341	   	224.95	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART|1SELL	1RCR|2aVULN|3SELL|4ASPD|5LWND|6CGEN|7BASARM|8AART|9BEXP
83	13246 25321	   	224.95	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART|1SELL	1RCR|2aVULN|3SELL|4ASPD|5MLV|6LHND|7BASARM|8AART|9BEXP
84	13246 35321	   	224.95	ACR|1BASARM|2VULN|1ASPD|1AART|1BEXP|1SELL	1RCR|2aVULN|3SELL|4ASPD|5MLV|6LWND|7BASARM|8AART|9BEXP
85	14241 25331	   	224.95	ACR|1BASARM|2VULN|1ASPD|1AART|1BEXP|1SELL	1RCR|2LHND|3SELL|4ASPD|5aVULN|6CGEN|7BASARM|8AART|9BEXP
86	13425 23122	   	224.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AAC	1RCR|2VULN|3BEXP|4NUKE|5MDPS|6ASPD|7CGEN|8DMG|9AAC|aBASARM
87	13425 26122	   	224.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AAC	1RCR|2VULN|3BEXP|4NUKE|5MDPS|6ASPD|7MLV|8DMG|9AAC|aBASARM
88	13242 45321	   	224.85	ACR|1BASARM|2VULN|1ASPD|1AART|1BEXP|1SELL	1RCR|2aVULN|3SELL|4ASPD|5LWND|6AME|7BASARM|8AART|9BEXP
89	13153 24162	   	224.75	ACR|3ASPD|2VULN|2DMG|1SELL	1RCR|29VULN|34AAC|5BELT|679ASPD|89DMG|9BPWR|aSELL
90	13215 55221	   	224.71	ACR|3VULN|2ASPD|2BEXP|1AART|1SELL	1RCR|27aVULN|3SELL|4RMIN|5LIT|6AART|8aASPD|9aBEXP|aBPWR
91	13215 51261	   	224.71	ACR|3VULN|2ASPD|2BEXP|1AART|1SELL	1RCR|29aVULN|3SELL|4RMIN|5LIT|6AART|7aBEXP|8aASPD|aBPWR
92	13313 14136	   	224.00	ACR|2VULN|2ASPD|2BEXP|1DMG|1AAC	1RCR|2aVULN|3LIT|4aASPD|5DUR|6DMG|7aBEXP|8DLOT|9AAC|aBPWR
93	13315 14136	   	224.00	ACR|2VULN|2ASPD|2BEXP|1DMG|1AAC	1RCR|2aVULN|3LIT|4aASPD|5FEWX|6DMG|7aBEXP|8DLOT|9AAC|aBPWR
94	13142 26221	   	223.74	ACR|3VULN|3DMG|2BEXP	1RCR|279VULN|3AAC|4RMIN|579DMG|6aBELT|79BPWR|89BEXP
95	13142 26224	   	223.74	ACR|3VULN|3DMG|2BEXP	1RCR|279VULN|3AAC|4RMIN|579DMG|6BELT|79BPWR|89BEXP|aLWND
96	13142 26226	   	223.74	ACR|3VULN|3DMG|2BEXP	1RCR|279VULN|3AAC|4RMIN|579DMG|6BELT|79BPWR|89BEXP|aLHND
97	13134 21111	   	223.64	ACR|3VULN|3DMG|2BEXP	1RCR|259VULN|3AAC|49BEXP|6BELT|7DMSP|89aDMG|9BPWR
98	13424 21111	   	223.64	ACR|3VULN|3DMG|2BEXP	1RCR|259VULN|39BEXP|4NUKE|6BELT|7DMSP|89aDMG|9BPWR
99	13142 36511	   	223.54	ACR|3VULN|3DMG|2BEXP	1RCR|28aVULN|3AAC|4RMIN|589DMG|6MBVNT|78BEXP|8BPWR
100	13153 24216	 * 	223.54	ACR|3VULN|3ASPD|2BEXP	1RCR|29aVULN|34AAC|5BELT|679ASPD|89BEXP|9BPWR
101	13244 31335	   	223.39	ACR|3VULN|3ASPD|2BEXP|1SELL	1RCR|25aVULN|3SELL|45aASPD|5aBPWR|6DLOT|7LSRICY|8LWND|9aBEXP
102	13311 55311	   	223.35	ACR|2VULN|2ASPD|2DMG|1BEXP	1RCR|2aVULN|3LIT|4aASPD|5RCVC|6RPLT|7MLV|8BEXP|9aDMG|aBPWR
103	13311 52311	   	223.25	ACR|2VULN|2ASPD|2DMG|1BEXP	1RCR|2aVULN|3LIT|4aASPD|5RCVC|6RPLT|7ERES|8BEXP|9aDMG|aBPWR
104	13462 31152	   	222.71	ACR|2VULN|1BASARM|1ASPD|1BEXP|1CDMG	1RCR|29VULN|3BEXP|4CGEN|5RPLT|6ASPD|7MDPS|8CDMG|aBASARM
105	13112 56612	 * 	222.55	ACR|3ASPD|2VULN|3BEXP	1RCR|2aVULN|3AAC|4LHND|5RPLT|69aASPD|78aBEXP|aBPWR
106	16131 42457	   	222.45	ACR|3ASPD|2VULN|3BEXP	1RCR|2MDPS|39VULN|4MBVNT|5LHND|679BEXP|89aASPD|9BPWR
107	13142 24114	   	221.97	ACR|2VULN|2ASPD|2DMG|1BEXP	1RCR|29VULN|3AAC|4RMIN|59DMG|6BELT|79ASPD|8RCVC|9BPWR|aBEXP
108	12241 25413	 * 	221.77	ACR|1BASARM|2ASPD|1VULN|1DMG|1SELL	1RCR|2FEWX|3SELL|48ASPD|5VULN|6CGEN|7BASARM|9RPLT|aDMG
109	13242 25413	 * 	221.77	ACR|1BASARM|2ASPD|1VULN|1DMG|1SELL	1RCR|2VULN|3SELL|48ASPD|5LWND|6CGEN|7BASARM|9RPLT|aDMG
110	12466 23321	 * 	221.52	ACR|3BASARM|2BEXP|1CDMG	1RCR|28FEWX|35BEXP|48CGEN|6RCVC|789BASARM|8BPWR|aCDMG
111	13142 24214	   	220.79	ACR|2VULN|2ASPD|2DMG|1BEXP	1RCR|29VULN|3AAC|48RMIN|59DMG|6BELT|79ASPD|9BPWR|aBEXP
112	13312 12222	   	220.79	ACR|2VULN|2ASPD|2DMG|1BEXP	1RCR|28VULN|38LIT|49ASPD|5CGEN|68DMG|7MDPS|8BPWR|aBEXP
