0	Index      	 *	Score 	Summary	Detail	
1	42424 22311	 * 	216.07	ACR|2ASPD|2DMG|2BEXP|1VULN|1CDMG	18BEXP|24DMG|38LIT|5RCR|68ASPD|7RPLT|8BPWR|9CDMG|aVULN
18	22552 23161	   	198.58	ACR|3DMG|2BEXP|2CDMG	17RCVC|29BEXP|3RCR|4LWND|589DMG|69CDMG|9BPWR|aLHND
19	42424 22313	   	198.54	ACR|2ASPD|2DMG|2BEXP|1CDMG	18BEXP|24DMG|38LIT|5RCR|68ASPD|7RPLT|8BPWR|9CDMG|aCGEN
20	42424 22322	   	198.54	ACR|2ASPD|2DMG|2BEXP|1CDMG	18BEXP|24DMG|38LIT|5RCR|68ASPD|7RPLT|8BPWR|9FEWX|aCDMG
21	42424 22312	   	198.44	ACR|2ASPD|2DMG|2BEXP|1CDMG	18BEXP|24DMG|38LIT|5RCR|68ASPD|7RPLT|8BPWR|9CDMG|aMBVNT
22	22542 11111	 * 	198.43	ACR|2VULN|3BEXP|2DMG|1SELL	1RCVC|28aBEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9SELL
23	42424 22211	   	197.00	ACR|2DMG|2BEXP|1ASPD|1VULN|1CDMG	18BEXP|24DMG|3LIT|5RCR|6ASPD|7RPLT|9CDMG|aVULN
24	22534 13513	   	196.12	ACR|2ASPD|2BEXP|1VULN|1DMG	1RCVC|24BEXP|3RCR|5CGEN|6VULN|7MSLTOX|8aASPD|9DMG
25	22543 22336	 * 	195.73	ACR|3DMG|1ASPD|1BEXP|1CDMG	1RCVC|2BEXP|3RCR|479DMG|5LWND|6CDMG|8MLV|aASPD
26	22552 22336	   	195.73	ACR|3DMG|1ASPD|1BEXP|1CDMG	1RCVC|2BEXP|3RCR|4LWND|579DMG|6CDMG|8MLV|aASPD
27	22542 11133	   	195.71	ACR|2VULN|2DMG|2BEXP|1AAC	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9MLV|aAAC
28	22542 11163	   	195.71	ACR|2VULN|2DMG|2BEXP|1AAC	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9ZMB|aAAC
29	22566 14323	 * 	195.34	ACR|2VULN|2BEXP|2AART|1CDMG	1RCVC|27BEXP|3RCR|4MBVNT|57FEWX|67VULN|7BPWR|8aAART|9CDMG
30	22543 22361	   	194.92	ACR|2DMG|2BEXP|1ASPD|1CDMG	1RCVC|29BEXP|3RCR|47DMG|5LWND|6CDMG|8MLV|aASPD
31	22552 22361	   	194.92	ACR|2DMG|2BEXP|1ASPD|1CDMG	1RCVC|29BEXP|3RCR|4LWND|57DMG|6CDMG|8MLV|aASPD
32	22561 14423	   	194.74	ACR|2VULN|3BEXP|1ASPD|1CDMG	1RCVC|27aBEXP|3RCR|4MBVNT|57DUR|67VULN|7BPWR|8ASPD|9CDMG
33	22563 14423	   	194.74	ACR|2VULN|3BEXP|1ASPD|1CDMG	1RCVC|27aBEXP|3RCR|4MBVNT|57LHND|67VULN|7BPWR|8ASPD|9CDMG
34	22567 34423	   	194.74	ACR|2VULN|3BEXP|1ASPD|1CDMG	1RCVC|27aBEXP|3RCR|4MBVNT|57VULN|67DUR|7BPWR|8ASPD|9CDMG
35	21534 22431	   	194.72	ACR|2DMG|2BEXP|1ASPD|1CDMG	1RCVC|2DUST|3RCR|49BEXP|5TLV|6CDMG|78DMG|aASPD
36	22524 22431	   	194.72	ACR|2DMG|2BEXP|1ASPD|1CDMG	1RCVC|29BEXP|3RCR|4DUST|5TLV|6CDMG|78DMG|aASPD
37	22541 21613	 * 	194.71	ACR|1BASARM|2DMG|1BEXP	1RCVC|2BEXP|3RCR|46DMG|5LHND|7ERES|8LIT|9RPLT|aBASARM
38	22562 25441	 * 	194.36	ACR|1BASARM|3BEXP|1VULN	1RCVC|258BEXP|3RCR|4MBVNT|58BPWR|68LIT|78DUR|9VULN|aBASARM
39	22562 27441	   	194.36	ACR|1BASARM|3BEXP|1VULN	1RCVC|258BEXP|3RCR|4MBVNT|58BPWR|68LIT|78LHND|9VULN|aBASARM
40	22562 24441	   	194.16	ACR|1BASARM|3BEXP|1VULN	1RCVC|258BEXP|3RCR|4MBVNT|58BPWR|68LIT|78DUST|9VULN|aBASARM
41	56513 31122	   	193.37	ACR|1BASARM|2BEXP|1VULN|1CDMG|1SELL	1ERES|2AME|3RCR|4BASARM|5SELL|6aBEXP|7VULN|8CGEN|9CDMG
42	42424 22332	   	193.20	ACR|2ASPD|2DMG|2BEXP|1AAC	18BEXP|24DMG|38LIT|5RCR|68ASPD|7RPLT|8BPWR|9AAC|aMLV
43	42424 22331	   	193.10	ACR|2ASPD|2DMG|2BEXP|1AAC	18BEXP|24DMG|38LIT|5RCR|68ASPD|7RPLT|8BPWR|9AAC|aAME
44	22546 21312	   	192.99	ACR|3DMG|2BEXP|1AART	15RCVC|28BEXP|3RCR|468DMG|78CGEN|8BPWR|9MDPS|aAART
45	25311 16341	 * 	192.19	ACR|2BEXP|1ASPD|1DMG|1BASICY|1CDMG	1RCVC|2CDMG|3AEMAG|4RCR|5ERES|6ASPD|78BEXP|9BASICY|aDMG
46	22563 14424	 * 	192.17	ACR|2VULN|2BEXP|2CDMG|1ASPD	1RCVC|27BEXP|3RCR|4MBVNT|57LHND|67VULN|7BPWR|8ASPD|9aCDMG
47	22534 22613	 * 	192.06	ACR|1BASARM|2BEXP|1DMG	1RCVC|24BEXP|3RCR|5CGEN|6DMG|7LHND|8LIT|9RPLT|aBASARM
48	22533 22613	   	191.96	ACR|1BASARM|2BEXP|1DMG	1RCVC|24BEXP|3RCR|5ERES|6DMG|7LHND|8LIT|9RPLT|aBASARM
49	22533 24613	   	191.96	ACR|1BASARM|2BEXP|1DMG	1RCVC|24BEXP|3RCR|5ERES|6DMG|7DUR|8LIT|9RPLT|aBASARM
50	22542 22323	   	191.96	ACR|1BASARM|2BEXP|1DMG	1RCVC|28BEXP|3RCR|4DMG|58ERES|68LIT|7RPLT|8BPWR|9DUST|aBASARM
51	22543 22114	 * 	191.92	ACR|3DMG|1VULN|1CDMG|1BEXP	1RCVC|2BEXP|3RCR|478DMG|59LWND|6CDMG|aVULN
52	22543 22121	   	191.92	ACR|3DMG|1VULN|1CDMG|1BEXP	1RCVC|2BEXP|3RCR|478DMG|5LWND|6CDMG|9FEWX|aVULN
53	22543 22151	   	191.92	ACR|3DMG|1VULN|1CDMG|1BEXP	1RCVC|2BEXP|3RCR|478DMG|5LWND|6CDMG|9DUR|aVULN
54	22552 22114	   	191.92	ACR|3DMG|1VULN|1CDMG|1BEXP	1RCVC|2BEXP|3RCR|49LWND|578DMG|6CDMG|aVULN
55	22552 22121	   	191.92	ACR|3DMG|1VULN|1CDMG|1BEXP	1RCVC|2BEXP|3RCR|4LWND|578DMG|6CDMG|9FEWX|aVULN
56	22552 22151	   	191.92	ACR|3DMG|1VULN|1CDMG|1BEXP	1RCVC|2BEXP|3RCR|4LWND|578DMG|6CDMG|9DUR|aVULN
57	22542 22223	   	191.86	ACR|1BASARM|2BEXP|1DMG	1RCVC|28BEXP|3RCR|4DMG|5ERES|6LIT|7RPLT|9DUST|aBASARM
58	21532 22463	   	191.86	ACR|1BASARM|2BEXP|1DMG	1RCVC|25DUST|3RCR|45BEXP|5BPWR|6LIT|7RPLT|8DMG|9TLV|aBASARM
59	22522 22463	   	191.86	ACR|1BASARM|2BEXP|1DMG	1RCVC|25BEXP|3RCR|45DUST|5BPWR|6LIT|7RPLT|8DMG|9TLV|aBASARM
60	22562 22543	   	191.86	ACR|1BASARM|2BEXP|1DMG	1RCVC|25BEXP|3RCR|4MBVNT|5BPWR|6LIT|7RPLT|8DMG|9ERES|aBASARM
61	21542 22253	   	191.86	ACR|1BASARM|2BEXP|1DMG	1RCVC|2DUST|3RCR|4DMG|5ERES|6LIT|7RPLT|89BEXP|aBASARM
62	22532 52283	 * 	191.86	ACR|1BASARM|2BEXP|1ASPD	1RCVC|24BEXP|3RCR|5DUR|6MBVNT|7AEFBLL|8CGEN|9BASARM|aASPD
63	22562 32283	   	191.86	ACR|1BASARM|2BEXP|1ASPD	1RCVC|25BEXP|3RCR|4MBVNT|5BPWR|6DUR|7AEFBLL|8CGEN|9BASARM|aASPD
64	21543 22161	   	191.82	ACR|3DMG|1VULN|1BEXP|1CDMG	1RCVC|2DUST|3RCR|478DMG|5LWND|6CDMG|9BEXP|aVULN
65	21552 22161	   	191.82	ACR|3DMG|1VULN|1BEXP|1CDMG	1RCVC|2DUST|3RCR|4LWND|578DMG|6CDMG|9BEXP|aVULN
66	22543 22131	   	191.82	ACR|3DMG|1VULN|1BEXP|1CDMG	1RCVC|2BEXP|3RCR|478DMG|5LWND|6CDMG|9DUST|aVULN
67	22543 22141	   	191.82	ACR|3DMG|1VULN|1CDMG|1BEXP	1RCVC|2BEXP|3RCR|478DMG|5LWND|6CDMG|9LEGI|aVULN
68	22552 22131	   	191.82	ACR|3DMG|1VULN|1BEXP|1CDMG	1RCVC|2BEXP|3RCR|4LWND|578DMG|6CDMG|9DUST|aVULN
69	22552 22141	   	191.82	ACR|3DMG|1VULN|1CDMG|1BEXP	1RCVC|2BEXP|3RCR|4LWND|578DMG|6CDMG|9LEGI|aVULN
70	22561 14422	   	191.78	ACR|2VULN|2BEXP|1ASPD|1CDMG|1AAC	1RCVC|27BEXP|3RCR|4MBVNT|57DUR|67VULN|7BPWR|8ASPD|9CDMG|aAAC
71	22567 34422	   	191.78	ACR|2VULN|2BEXP|1ASPD|1CDMG|1AAC	1RCVC|27BEXP|3RCR|4MBVNT|57VULN|67DUR|7BPWR|8ASPD|9CDMG|aAAC
72	25314 33131	   	191.23	ACR|2DMG|1VULN|1ASPD|1CDMG|1BEXP	1RCVC|2CDMG|3AEMAG|4RCR|5RMIN|6VULN|7BEXP|89DMG|aASPD
73	22511 44323	   	190.87	ACR|1BASARM|1DMG|1AART|1BEXP	1RCVC|2BEXP|3RCR|4MLV|5LHND|6LIT|7LWND|8AART|9DMG|aBASARM
74	22513 41323	   	190.87	ACR|1BASARM|1DMG|1AART|1BEXP	1RCVC|2BEXP|3RCR|4MLV|5LWND|6LIT|7LHND|8AART|9DMG|aBASARM
75	22546 21331	   	190.71	ACR|3DMG|3BEXP	15RCVC|289BEXP|3RCR|468DMG|78aCGEN|8BPWR
76	22546 21332	   	190.71	ACR|3DMG|3BEXP	15RCVC|289BEXP|3RCR|468DMG|78aCGEN|8aBPWR
77	22542 54243	   	190.67	ACR|1BASARM|1DMG|1CDMG|1BEXP	1RCVC|2BEXP|3RCR|4DMG|5ERES|6MBVNT|7CDMG|8DUR|9LIT|aBASARM
78	22565 22243	   	190.67	ACR|1BASARM|1DMG|1BEXP|1CDMG	1RCVC|2BEXP|3RCR|4MBVNT|5TLV|6CDMG|7DMG|8DUR|9LIT|aBASARM
79	21531 26143	   	190.67	ACR|1BASARM|1DMG|1CDMG|1BEXP	1RCVC|2DUST|3RCR|4BEXP|5DUR|6ERES|7LIT|8DMG|9CDMG|aBASARM
80	21531 42143	   	190.67	ACR|1BASARM|1DMG|1CDMG|1BEXP	1RCVC|2DUST|3RCR|4BEXP|5DUR|6LIT|7ERES|8DMG|9CDMG|aBASARM
81	21533 42143	   	190.67	ACR|1BASARM|1DMG|1CDMG|1BEXP	1RCVC|2DUST|3RCR|4BEXP|5LHND|6LIT|7ERES|8DMG|9CDMG|aBASARM
82	22521 26143	   	190.67	ACR|1BASARM|1DMG|1CDMG|1BEXP	1RCVC|2BEXP|3RCR|4DUST|5DUR|6ERES|7LIT|8DMG|9CDMG|aBASARM
83	22521 42143	   	190.67	ACR|1BASARM|1DMG|1CDMG|1BEXP	1RCVC|2BEXP|3RCR|4DUST|5DUR|6LIT|7ERES|8DMG|9CDMG|aBASARM
84	22523 42143	   	190.67	ACR|1BASARM|1DMG|1CDMG|1BEXP	1RCVC|2BEXP|3RCR|4DUST|5LHND|6LIT|7ERES|8DMG|9CDMG|aBASARM
85	22221 43541	   	190.61	ACR|2BEXP|1BASICY|1DMG|1ASPD|1CDMG|2RCVC	13RCVC|26BEXP|4CGEN|5RCR|7CDMG|8ASPD|9BASICY|aDMG
86	22543 22113	   	190.51	ACR|3DMG|2BEXP|1CDMG	1RCVC|2aBEXP|3RCR|478DMG|59LWND|6CDMG
87	22543 22161	   	190.51	ACR|3DMG|2BEXP|1CDMG	1RCVC|29BEXP|3RCR|478DMG|5LWND|6CDMG|aLHND
88	22552 22113	   	190.51	ACR|3DMG|2BEXP|1CDMG	1RCVC|2aBEXP|3RCR|49LWND|578DMG|6CDMG
89	22552 22161	   	190.51	ACR|3DMG|2BEXP|1CDMG	1RCVC|29BEXP|3RCR|4LWND|578DMG|6CDMG|aLHND
90	56513 31121	 * 	189.88	ACR|1BASARM|2VULN|1BEXP|1CDMG|1SELL	1ERES|2AME|3RCR|4BASARM|5SELL|6BEXP|7aVULN|8CGEN|9CDMG
91	25315 43131	   	189.72	ACR|2ASPD|2BEXP|1DMG|1CDMG	1RCVC|2CDMG|3AEMAG|4RCR|5DUST|6aASPD|79BEXP|8DMG
92	22543 22325	   	189.32	ACR|3DMG|1AART|1CDMG|1BEXP	1RCVC|2BEXP|3RCR|47aDMG|5LWND|6CDMG|8MLV|9AART
93	22552 22325	   	189.32	ACR|3DMG|1AART|1CDMG|1BEXP	1RCVC|2BEXP|3RCR|4LWND|57aDMG|6CDMG|8MLV|9AART
94	42424 22233	   	189.06	ACR|2DMG|2BEXP|1ASPD|1AART|1AAC	18BEXP|24DMG|3LIT|5RCR|6ASPD|7RPLT|9AAC|aAART
95	25313 23631	   	188.57	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1RCVC|2CDMG|3AEMAG|4RCR|5LIT|6VULN|7DMG|8AART|9ASPD|aBEXP
96	22543 22321	   	188.50	ACR|2DMG|2BEXP|1AART|1CDMG	1RCVC|2aBEXP|3RCR|47DMG|5LWND|6CDMG|8MLV|9AART
97	22552 22321	   	188.50	ACR|2DMG|2BEXP|1AART|1CDMG	1RCVC|2aBEXP|3RCR|4LWND|57DMG|6CDMG|8MLV|9AART
98	22543 21421	   	188.40	ACR|2DMG|2BEXP|1CDMG|1AART	1RCVC|2aBEXP|3RCR|48DMG|5LWND|6CDMG|7AAC|9AART
99	22552 21421	   	188.40	ACR|2DMG|2BEXP|1CDMG|1AART	1RCVC|2aBEXP|3RCR|4LWND|58DMG|6CDMG|7AAC|9AART
100	22534 53333	 * 	188.35	ACR|3BEXP|1ASPD|1DMG|1AART|1SELL	1RCVC|247BEXP|3RCR|5CGEN|6SELL|8AART|9DMG|aASPD
101	22533 53333	 * 	188.25	ACR|3BEXP|1ASPD|1DMG|1AART|1SELL	1RCVC|247BEXP|3RCR|5ERES|6SELL|8AART|9DMG|aASPD
102	22566 14322	   	188.10	ACR|2VULN|2BEXP|2CDMG|1AART	1RCVC|27BEXP|3RCR|4MBVNT|57FEWX|67VULN|7BPWR|8AART|9aCDMG
103	56522 22131	   	187.56	ACR|3DMG|1VULN|1BEXP|1CDMG	1ERES|2AME|3RCR|4FEWX|578DMG|6CDMG|9BEXP|aVULN
104	42131 25621	 * 	187.54	2BASARM|3BEXP|1VULN|3CDMG|1ASPD|1DMG	158BEXP|2DMG|38aCDMG|4DUST|6VULN|78BASARM|8BPWR|9ASPD
105	22552 11363	   	187.51	ACR|2DMG|2VULN|2BEXP	1RCVC|2aBEXP|3RCR|4LWND|5aDMG|6LHND|7CGEN|8RPLT|9aVULN|aBPWR
106	25312 33161	   	187.43	ACR|3BEXP|2DMG|2CDMG	1RCVC|29CDMG|39AEMAG|4RCR|5FEWX|68DMG|79aBEXP|9BPWR
107	25312 36261	   	187.43	ACR|3BEXP|2DMG|2CDMG	1RCVC|29CDMG|39AEMAG|4RCR|5FEWX|67DMG|89aBEXP|9BPWR
108	25316 33161	   	187.43	ACR|3BEXP|2DMG|2CDMG	1RCVC|29CDMG|39AEMAG|4RCR|5DUR|68DMG|79aBEXP|9BPWR
109	22542 11131	   	187.41	ACR|2VULN|2DMG|2BEXP	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9MLV|aFEWX
110	22542 11134	   	187.41	ACR|2VULN|2DMG|2BEXP	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9MLV|aLHND
111	22542 11153	   	187.41	ACR|2VULN|2DMG|2BEXP	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9DUR|aFEWX
112	22542 11161	   	187.41	ACR|2VULN|2DMG|2BEXP	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9ZMB|aFEWX
113	22552 12363	   	187.41	ACR|2DMG|2VULN|2BEXP	1RCVC|2aBEXP|3RCR|4LWND|5aDMG|6LHND|7AME|8RPLT|9aVULN|aBPWR
114	22543 31363	   	187.41	ACR|2DMG|2VULN|2BEXP	1RCVC|2aBEXP|3RCR|4aDMG|5LWND|6LEGI|7CGEN|8RPLT|9aVULN|aBPWR
115	23111 43541	   	187.39	ACR|2BEXP|1BASICY|1DMG|1ASPD|1CDMG	1RCVC|23CGEN|46BEXP|5RCR|7CDMG|8ASPD|9BASICY|aDMG
116	25315 33161	   	187.33	ACR|3BEXP|2DMG|2CDMG	1RCVC|29CDMG|39AEMAG|4RCR|5DUST|68DMG|79aBEXP|9BPWR
117	22542 11135	   	187.31	ACR|2VULN|2DMG|2BEXP	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9MLV|aMDPS
118	22542 11136	   	187.31	ACR|2VULN|2DMG|2BEXP	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9MLV|aLEGI
119	22542 11143	   	187.31	ACR|2VULN|2DMG|2BEXP	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9DUST|aFEWX
120	22542 11152	   	187.31	ACR|2VULN|2DMG|2BEXP	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9DUR|aNUKE
121	22543 32363	   	187.31	ACR|2DMG|2VULN|2BEXP	1RCVC|2aBEXP|3RCR|4aDMG|5LWND|6LEGI|7AME|8RPLT|9aVULN|aBPWR
122	22542 11142	   	187.21	ACR|2VULN|2DMG|2BEXP	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9DUST|aNUKE
123	25314 33161	   	187.19	ACR|2BEXP|1VULN|1DMG|1ASPD|1CDMG	1RCVC|2CDMG|3AEMAG|4RCR|5RMIN|6VULN|79BEXP|8DMG|aASPD
124	22542 11113	   	187.16	ACR|2VULN|2DMG|2BEXP|1SELL	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9SELL|aFEWX
125	22542 11114	   	187.16	ACR|2VULN|2DMG|2BEXP|1SELL	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9SELL|aMLV
126	22542 11115	   	187.16	ACR|2VULN|2DMG|2BEXP|1SELL	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9SELL|aZMB
127	22542 11116	   	187.16	ACR|2VULN|2DMG|2BEXP|1SELL	1RCVC|28BEXP|3RCR|48DMG|5ERES|6aCGEN|78VULN|8BPWR|9SELL
128	21536 63332	   	187.07	ACR|2BEXP|1VULN|1ASPD|1AART|1CDMG	1RCVC|2DUST|3RCR|49BEXP|5VULN|6ASPD|7CDMG|8LHND|aAART
129	22526 63332	   	187.07	ACR|2BEXP|1VULN|1ASPD|1AART|1CDMG	1RCVC|29BEXP|3RCR|4DUST|5VULN|6ASPD|7CDMG|8LHND|aAART
130	22542 11112	   	187.06	ACR|2VULN|2DMG|2BEXP|1SELL	1RCVC|28BEXP|3RCR|48DMG|5ERES|6CGEN|78VULN|8BPWR|9SELL|aMDPS
131	22563 18222	   	186.81	ACR|2VULN|1ASPD|1BEXP|1AART|1CDMG	1RCVC|2BEXP|3RCR|4MBVNT|5LHND|68VULN|7AART|9CDMG|aASPD
132	25314 33125	   	186.10	ACR|2DMG|1VULN|1BEXP|1AART|1CDMG	1RCVC|2CDMG|3AEMAG|4RCR|5RMIN|6VULN|7BEXP|8aDMG|9AART
