0	Index      	 *	Score 	Summary	Detail	
1	13163 11222	 * 	204.27	ACR|2BASARM|1ASPD|1DMG|1BEXP|1SELL	19CGEN|29LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|89BASARM|9BPWR|aBEXP
19	24522 21282	   	190.06	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1MSLTOX|2DUR|3DUST|4MBVNT|5RCR|6CDMG|7BEXP|8DMG|9BASARM|aVULN
20	26622 21282	   	189.96	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG	1MSLTOX|2DUST|3LEGI|4MBVNT|5RCR|6CDMG|7BEXP|8DMG|9BASARM|aVULN
21	13163 11233	   	189.48	ACR|1BASARM|1ASPD|1DMG|1VULN|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|8BASARM|9VULN|aLWND
22	13163 11234	   	189.48	ACR|1BASARM|1ASPD|1DMG|1VULN|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|8BASARM|9VULN|aFEWX
23	13163 11236	   	189.48	ACR|1BASARM|1ASPD|1DMG|1VULN|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|8BASARM|9VULN|aRMIN
24	13163 11212	   	189.38	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|8BASARM|9AEFBLL|aBEXP
25	13163 11231	   	189.38	ACR|1BASARM|1ASPD|1DMG|1VULN|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|8BASARM|9VULN|aDUST
26	13163 11252	 * 	189.38	ACR|1BASARM|1ASPD|1DMG|1AART|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|8BASARM|9AME|aAART
27	13563 11225	 * 	188.45	ACR|2BASARM|2ASPD|1SELL	19CGEN|2LIT|3RMIN|4RCR|59ASPD|6SELL|7aRCVC|89BASARM|9BPWR
28	13163 31254	 * 	188.20	ACR|2DMG|2VULN|1ASPD|1CDMG	1aCGEN|2LIT|3aDMG|4RCR|5ASPD|6AAC|7BELT|8CDMG|9aVULN|aBPWR
29	13563 11221	 * 	188.14	ACR|2BASARM|2ASPD|1SELL	19CGEN|2LIT|3RMIN|4RCR|59ASPD|6SELL|7RCVC|89BASARM|9BPWR|aLWND
30	13563 11226	 * 	188.14	ACR|2BASARM|2ASPD|1SELL	19CGEN|2aLIT|3RMIN|4RCR|59ASPD|6SELL|7RCVC|89BASARM|9BPWR
31	13563 11223	 * 	188.04	ACR|2BASARM|2ASPD|1SELL	19CGEN|2LIT|3RMIN|4RCR|59ASPD|6SELL|7RCVC|89BASARM|9BPWR|aDUST
32	16241 22123	   	186.23	ACR|1BASARM|1ASPD|1DMG|1CDMG	1CGEN|2MLV|3RCVC|4AIRARM|5RCR|6CDMG|7ASPD|8DMG|9AME|aBASARM
33	11214 53131	 * 	186.22	ACR|1BASARM|1VULN|1DMG|1AART	1CGEN|2NUKE|3RCVC|4RCR|5ZMB|6AART|7VULN|8LHND|9BASARM|aDMG
34	16214 32335	   	186.21	ACR|1BASARM|2BEXP|1ASPD	1CGEN|2MLV|3RCVC|4RCR|5ZMB|6ASPD|7BASARM|8DUR|9aBEXP
35	16214 32532	   	186.21	ACR|1BASARM|2BEXP|1ASPD	1CGEN|2MLV|3RCVC|4RCR|5ZMB|6ASPD|7BASARM|89BEXP|aLWND
36	11214 53431	   	186.12	ACR|1BASARM|1VULN|1DMG|1AART	1CGEN|2NUKE|3RCVC|4RCR|5ZMB|6AART|7VULN|8DUST|9BASARM|aDMG
37	16214 32531	   	186.11	ACR|1BASARM|2BEXP|1ASPD	1CGEN|2MLV|3RCVC|4RCR|5ZMB|6ASPD|7BASARM|89BEXP|aLSRICY
38	23111 22543	 * 	185.85	ACR|2BASARM|1ASPD|1CDMG|1AAC	1aMSLTOX|2AEMAG|3RMIN|4aCGEN|5RCR|6CDMG|7ASPD|8aBASARM|9AAC|aBPWR
39	23531 22543	   	185.85	ACR|2BASARM|1ASPD|1CDMG|1AAC	1aMSLTOX|2AEMAG|3aMLV|4RMIN|5RCR|6CDMG|7ASPD|8aBASARM|9AAC|aBPWR
40	13165 61311	   	185.54	ACR|1BASARM|2DMG|1BEXP	1CGEN|2LIT|3aDMG|4RCR|5aLHND|6BASARM|7aERES|8BEXP|9SNITOX|aBPWR
41	13165 61312	   	185.44	ACR|1BASARM|2DMG|1BEXP	1CGEN|2LIT|3aDMG|4RCR|5LHND|6BASARM|7ERES|8BEXP|9SNITOX
42	13163 11251	   	184.04	ACR|1BASARM|1ASPD|1DMG|1AAC|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|8BASARM|9AME|aAAC
43	16214 32513	   	183.70	ACR|1BASARM|1ASPD|1VULN|1BEXP	1CGEN|29MLV|3RCVC|4RCR|5ZMB|6ASPD|7BASARM|8BEXP|aVULN
44	23511 22123	   	182.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MSLTOX|2AEMAG|3MLV|4CGEN|5RCR|6CDMG|7ASPD|8DMG|9AME|aBASARM
45	16211 51322	 * 	182.17	ACR|1BASARM|1BASICY|1BEXP|1VULN	1CGEN|2MLV|3RCVC|4RCR|5AEMAG|6BEXP|7MDPS|8BASICY|9BASARM|aVULN
46	16211 52623	 * 	180.53	ACR|2BASARM|2BEXP	1CGEN|2MLV|3RCVC|4RCR|5AEMAG|68BEXP|7aBASARM|9ERES
47	55331 32142	   	180.44	ACR|1BASARM|2ASPD|1CDMG	1AEMAG|2CDMG|3DUST|48ASPD|5RCR|6aLHND|7DUR|9BASARM
48	55331 32141	   	180.34	ACR|1BASARM|2ASPD|1CDMG	1AEMAG|2CDMG|3aDUST|48ASPD|5RCR|6LHND|7DUR|9BASARM
49	55331 32143	   	180.34	ACR|1BASARM|2ASPD|1CDMG	1AEMAG|2CDMG|3DUST|48ASPD|5RCR|6LHND|7DUR|9BASARM|aLEGI
50	13161 35353	   	180.29	ACR|1BASARM|1VULN|1DMG|1BEXP	1CGEN|25LIT|3DMG|4RCR|6MSLFST|7VULN|8FEWX|9BEXP|aBASARM
51	13162 35353	   	180.29	ACR|1BASARM|1VULN|1DMG|1BEXP	15CGEN|2LIT|3DMG|4RCR|6MSLFST|7VULN|8FEWX|9BEXP|aBASARM
52	13161 35153	   	180.19	ACR|1BASARM|1VULN|1DMG|1BEXP	1CGEN|25LIT|3DMG|4RCR|6MSLFST|7VULN|8DUST|9BEXP|aBASARM
53	13162 35153	   	180.19	ACR|1BASARM|1VULN|1DMG|1BEXP	15CGEN|2LIT|3DMG|4RCR|6MSLFST|7VULN|8DUST|9BEXP|aBASARM
54	13165 61333	   	180.19	ACR|1BASARM|1DMG|1VULN|1BEXP	1CGEN|2LIT|3DMG|4RCR|5LHND|6BASARM|7ERES|8BEXP|9VULN|aMDPS
55	11214 53136	 * 	179.81	ACR|1BASARM|1VULN|1AART|1CDMG	1CGEN|2NUKE|3RCVC|4RCR|5ZMB|6AART|7VULN|8LHND|9BASARM|aCDMG
56	16213 22223	 * 	177.78	ACR|1BASARM|1ASPD|1BASICY	16CGEN|2MLV|3RCVC|4RCR|5DUR|7BASARM|8BELT|9ASPD|aBASICY
57	16211 22223	   	177.68	ACR|1BASARM|1ASPD|1BASICY	1CGEN|2MLV|3RCVC|4RCR|5AEMAG|6LWND|7BASARM|8BELT|9ASPD|aBASICY
58	13163 41223	 * 	177.55	ACR|2ASPD|2DMG|1VULN	19CGEN|2LIT|39DMG|4RCR|56ASPD|7AME|89FEWX|9BPWR|aVULN
59	13163 24631	   	177.45	ACR|2ASPD|2DMG|1VULN	1CGEN|2LIT|39DMG|4RCR|5aASPD|6LHND|7ZMB|8VULN
60	13163 31126	   	177.35	ACR|2ASPD|2DMG|1VULN	1CGEN|2LIT|39DMG|4RCR|58ASPD|6AAC|7BELT|aVULN
61	13163 42226	   	177.35	ACR|2ASPD|2DMG|1VULN	1CGEN|2LIT|39DMG|4RCR|56ASPD|7AAC|8BELT|aVULN
62	23531 24353	 * 	177.26	ACR|1BASARM|1VULN|1ASPD|1CDMG	1MSLTOX|2AEMAG|3MLV|4RMIN|5RCR|6CDMG|7VULN|8ASPD|9RCVC|aBASARM
63	13163 16631	   	177.21	ACR|2ASPD|2DMG|1VULN|1SELL	1CGEN|2LIT|39DMG|4RCR|5aASPD|6SELL|7RPLT|8VULN
64	16213 22633	   	177.15	ACR|1BASARM|2BEXP|1VULN	16CGEN|2MLV|3RCVC|4RCR|5DUR|7BASARM|89BEXP|aVULN
65	16211 52613	   	177.05	ACR|1BASARM|2BEXP|1VULN	1CGEN|2MLV|3RCVC|4RCR|5AEMAG|68BEXP|7BASARM|9DUR|aVULN
66	16211 22633	   	177.05	ACR|1BASARM|2BEXP|1VULN	1CGEN|2MLV|3RCVC|4RCR|5AEMAG|6LWND|7BASARM|89BEXP|aVULN
67	16216 22533	   	177.05	ACR|1BASARM|2BEXP|1VULN	16CGEN|2MLV|3RCVC|4RCR|5DUST|7BASARM|89BEXP|aVULN
68	13163 41125	 * 	176.96	ACR|3DMG|2ASPD	19CGEN|2LIT|39aDMG|4RCR|56ASPD|7AME|89LWND|9BPWR
69	13163 41225	   	176.96	ACR|3DMG|2ASPD	19CGEN|2LIT|39aDMG|4RCR|56ASPD|7AME|89FEWX|9BPWR
70	11214 22523	   	176.95	ACR|1BASARM|2BEXP|1VULN	1CGEN|2NUKE|3RCVC|4RCR|5ZMB|6TLV|7BASARM|89BEXP|aVULN
71	14214 22523	   	176.95	ACR|1BASARM|2BEXP|1VULN	1CGEN|2AAC|3RCVC|4RCR|5ZMB|6TLV|7BASARM|89BEXP|aVULN
72	11212 24453	   	176.93	ACR|2DMG|1VULN|1ASPD|1CDMG	19CGEN|2NUKE|3RCVC|4RCR|59LIT|6CDMG|7VULN|89DMG|9BPWR|aASPD
73	13163 11245	   	176.86	ACR|1BASARM|1ASPD|1DMG|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|79aRCVC|8BASARM
74	13163 42135	   	176.76	ACR|3DMG|2ASPD	1CGEN|2LIT|39aDMG|4RCR|56ASPD|7AAC|8LWND
75	13163 11241	   	176.56	ACR|1BASARM|1ASPD|1DMG|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|79RCVC|8BASARM|aLWND
76	13163 11246	   	176.56	ACR|1BASARM|1ASPD|1DMG|1SELL	1CGEN|2aLIT|3DMG|4RCR|5ASPD|6SELL|79RCVC|8BASARM
77	23111 22536	   	176.51	ACR|1BASARM|1ASPD|1VULN|1CDMG	1MSLTOX|2AEMAG|3RMIN|4CGEN|5RCR|6CDMG|7ASPD|8BASARM|9LHND|aVULN
78	23111 22556	   	176.51	ACR|1BASARM|1ASPD|1VULN|1CDMG	1MSLTOX|2AEMAG|3RMIN|4CGEN|5RCR|6CDMG|7ASPD|8BASARM|9LWND|aVULN
79	23111 24353	   	176.51	ACR|1BASARM|1VULN|1ASPD|1CDMG	1MSLTOX|2AEMAG|3RMIN|49CGEN|5RCR|6CDMG|7VULN|8ASPD|aBASARM
80	23531 22532	   	176.51	ACR|1BASARM|1ASPD|1VULN|1CDMG	1MSLTOX|2AEMAG|3MLV|4RMIN|5RCR|6CDMG|7ASPD|8BASARM|9LHND|aVULN
81	23531 22552	   	176.51	ACR|1BASARM|1ASPD|1VULN|1CDMG	1MSLTOX|2AEMAG|3MLV|4RMIN|5RCR|6CDMG|7ASPD|8BASARM|9LWND|aVULN
82	23531 24343	   	176.51	ACR|1BASARM|1VULN|1ASPD|1CDMG	1MSLTOX|2AEMAG|39MLV|4RMIN|5RCR|6CDMG|7VULN|8ASPD|aBASARM
83	13163 11243	   	176.46	ACR|1BASARM|1ASPD|1DMG|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|79RCVC|8BASARM|aDUST
84	22522 21284	   	176.41	ACR|1BASARM|1DMG|1BEXP|1CDMG	1MSLTOX|2LWND|3DUST|4MBVNT|5RCR|6CDMG|7BEXP|8DMG|9BASARM|aCGEN
85	23111 22513	 * 	176.41	ACR|1BASARM|1ASPD|1AART|1CDMG	1MSLTOX|2AEMAG|3RMIN|4CGEN|5RCR|6CDMG|7ASPD|8BASARM|9MDPS|aAART
86	23111 22514	   	176.41	ACR|1BASARM|1ASPD|1VULN|1CDMG	1MSLTOX|2AEMAG|3RMIN|4CGEN|5RCR|6CDMG|7ASPD|8BASARM|9MDPS|aVULN
87	23135 65133	   	176.41	ACR|1BASARM|1VULN|1DMG|1CDMG	1MSLTOX|2AEMAG|34RMIN|5RCR|6CDMG|7VULN|8DMG|9AME|aBASARM
88	23531 22513	   	176.41	ACR|1BASARM|1ASPD|1AART|1CDMG	1MSLTOX|2AEMAG|3MLV|4RMIN|5RCR|6CDMG|7ASPD|8BASARM|9MDPS|aAART
89	23531 22514	   	176.41	ACR|1BASARM|1ASPD|1VULN|1CDMG	1MSLTOX|2AEMAG|3MLV|4RMIN|5RCR|6CDMG|7ASPD|8BASARM|9MDPS|aVULN
90	24522 21284	   	176.41	ACR|1BASARM|1DMG|1BEXP|1CDMG	1MSLTOX|2DUR|3DUST|4MBVNT|5RCR|6CDMG|7BEXP|8DMG|9BASARM|aCGEN
91	26622 21284	   	176.31	ACR|1BASARM|1DMG|1BEXP|1CDMG	1MSLTOX|2DUST|3LEGI|4MBVNT|5RCR|6CDMG|7BEXP|8DMG|9BASARM|aCGEN
92	22522 21283	   	176.31	ACR|1BASARM|1DMG|1BEXP|1CDMG	1MSLTOX|2LWND|3DUST|4MBVNT|5RCR|6CDMG|7BEXP|8DMG|9BASARM|aAME
93	22522 21286	   	176.31	ACR|1BASARM|1DMG|1BEXP|1CDMG	1MSLTOX|2LWND|3DUST|4MBVNT|5RCR|6CDMG|7BEXP|8DMG|9BASARM|aMDPS
94	22522 21287	   	176.31	ACR|1BASARM|1DMG|1BEXP|1CDMG	1MSLTOX|2LWND|3aDUST|4MBVNT|5RCR|6CDMG|7BEXP|8DMG|9BASARM
95	24522 21283	   	176.31	ACR|1BASARM|1DMG|1BEXP|1CDMG	1MSLTOX|2DUR|3DUST|4MBVNT|5RCR|6CDMG|7BEXP|8DMG|9BASARM|aAME
96	13165 61321	   	176.26	ACR|1BASARM|1DMG|1BEXP|1AAC	1CGEN|2aLIT|3DMG|4RCR|5LHND|6BASARM|7ERES|8BEXP|9AAC
97	13165 61322	   	176.26	ACR|1BASARM|1DMG|1BEXP|1AAC	1CGEN|2LIT|3DMG|4RCR|5LHND|6BASARM|7ERES|8BEXP|9AAC|aBELT
98	13165 61323	   	176.26	ACR|1BASARM|1DMG|1BEXP|1AAC	1aCGEN|2LIT|3DMG|4RCR|5LHND|6BASARM|7ERES|8BEXP|9AAC
99	26622 21283	   	176.21	ACR|1BASARM|1DMG|1BEXP|1CDMG	1MSLTOX|2DUST|3LEGI|4MBVNT|5RCR|6CDMG|7BEXP|8DMG|9BASARM|aAME
100	13163 11215	   	176.05	ACR|1BASARM|1ASPD|1DMG|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|7aRCVC|8BASARM|9AEFBLL
101	13163 11211	   	175.73	ACR|1BASARM|1ASPD|1DMG|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|8BASARM|9AEFBLL|aLWND
102	13163 11216	   	175.73	ACR|1BASARM|1ASPD|1DMG|1SELL	1CGEN|2aLIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|8BASARM|9AEFBLL
103	13163 11255	   	175.73	ACR|1BASARM|1ASPD|1DMG|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|8BASARM|9AME|aDUR
104	13163 11213	   	175.63	ACR|1BASARM|1ASPD|1DMG|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|8BASARM|9AEFBLL|aDUST
105	13163 11254	   	175.63	ACR|1BASARM|1ASPD|1DMG|1SELL	1CGEN|2LIT|3DMG|4RCR|5ASPD|6SELL|7RCVC|8BASARM|9AME|aDLOT
106	55331 51211	 * 	175.32	ACR|2VULN|2ASPD|1BEXP|1CDMG	1AEMAG|2CDMG|3DUST|49ASPD|5RCR|67VULN|8RCVC|aBEXP
107	13163 43122	 * 	174.85	ACR|2ASPD|2DMG|1BEXP	1CGEN|2LIT|39DMG|4RCR|56ASPD|78LHND|aBEXP
108	13163 45222	   	174.85	ACR|2ASPD|2DMG|1BEXP	1CGEN|2LIT|39DMG|4RCR|56ASPD|7DUR|8DMSP|aBEXP
109	13163 31263	 * 	174.75	ACR|2ASPD|2DMG|1CDMG	1CGEN|2LIT|39DMG|4RCR|5aASPD|6AAC|7BELT|8CDMG
110	13163 43322	   	174.75	ACR|2ASPD|2DMG|1BEXP	1CGEN|2LIT|39DMG|4RCR|56ASPD|7LHND|8AEFBLL|aBEXP
111	13165 61231	   	174.27	ACR|1BASARM|1ASPD|1DMG	1CGEN|2LIT|3DMG|4RCR|5LHND|6BASARM|7ERES|8RPLT|9AME|aASPD
