0	Index      	 *	Score 	Summary	Detail	
1	42233 11345	 * 	309.99	DCR|DCR|2VULN|1TLV|1MLV|1DMG	1AME|2BBNT|3MLV|4TLV|5RMIN|67VULN|8DMG|9aRCR
13	34231 14217	   	300.51	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1FEWX|2VULN|3TLV|4MBVNT|5DUR|69RCR|7BEXP|8LIT|aDMG
14	24231 14217	   	300.41	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUST|2VULN|3TLV|4MBVNT|5DUR|69RCR|7BEXP|8LIT|aDMG
15	24231 18217	   	300.41	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUST|2VULN|3TLV|4MBVNT|5DUR|69RCR|7FEWX|8LIT|aDMG
16	24232 11417	   	300.41	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUST|2VULN|3TLV|4MBVNT|5FEWX|69RCR|7LIT|8DUR|aDMG
17	24232 16217	   	300.41	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUST|2VULN|3TLV|4MBVNT|5FEWX|69RCR|7DUR|8LIT|aDMG
18	24234 16217	   	300.41	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUST|2VULN|3TLV|4MBVNT|5LHND|69RCR|7DUR|8LIT|aDMG
19	34237 14213	   	296.99	DCR|DCR|2VULN|1TLV|1LIT	1FEWX|2aVULN|3TLV|4MBVNT|5LHND|69RCR|7BEXP|8LIT
20	24232 14213	   	296.89	DCR|DCR|2VULN|1TLV|1LIT	1DUST|2aVULN|3TLV|4MBVNT|5FEWX|69RCR|7BEXP|8LIT
21	24234 14213	   	296.89	DCR|DCR|2VULN|1TLV|1LIT	1DUST|2aVULN|3TLV|4MBVNT|5LHND|69RCR|7BEXP|8LIT
22	34112 11145	   	294.52	DCR|DCR|2VULN|1TLV|1DMG	1FEWX|27VULN|3DUR|4DMG|5TLV|6MDPS|8ERES|9aRCR
23	24112 11145	   	294.42	DCR|DCR|2VULN|1TLV|1DMG	1DUST|27VULN|3DUR|4DMG|5TLV|6MDPS|8ERES|9aRCR
24	34231 14214	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1FEWX|2VULN|3TLV|4MBVNT|5DUR|69RCR|7BEXP|8LIT|aASPD
25	34237 16214	   	294.10	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1FEWX|2VULN|3TLV|4MBVNT|5LHND|69RCR|7DUR|8LIT|aASPD
26	24231 14214	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1DUST|2VULN|3TLV|4MBVNT|5DUR|69RCR|7BEXP|8LIT|aASPD
27	24231 18214	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1DUST|2VULN|3TLV|4MBVNT|5DUR|69RCR|7FEWX|8LIT|aASPD
28	24232 11414	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1DUST|2VULN|3TLV|4MBVNT|5FEWX|69RCR|7LIT|8DUR|aASPD
29	24232 16214	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1DUST|2VULN|3TLV|4MBVNT|5FEWX|69RCR|7DUR|8LIT|aASPD
30	24234 16214	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1DUST|2VULN|3TLV|4MBVNT|5LHND|69RCR|7DUR|8LIT|aASPD
31	34237 14217	   	290.85	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1FEWX|2VULN|3TLV|4MBVNT|5LHND|69RCR|7BEXP|8LIT|aDMG
32	24232 14217	   	290.75	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUST|2VULN|3TLV|4MBVNT|5FEWX|69RCR|7BEXP|8LIT|aDMG
33	24234 14217	   	290.75	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUST|2VULN|3TLV|4MBVNT|5LHND|69RCR|7BEXP|8LIT|aDMG
34	42232 13145	 * 	289.83	DCR|DCR|1TLV|1VULN|2ASPD|1MLV	1AME|2BBNT|3MLV|4TLV|59ASPD|6VULN|7CGEN|8aRCR
35	42233 21145	   	289.83	DCR|DCR|1TLV|1VULN|2ASPD|1MLV	1AME|2BBNT|3MLV|4TLV|5RMIN|69ASPD|7VULN|8aRCR
36	12166 31382	 * 	287.10	DCR|DCR|2TLV|1LIT|1RPLT	1BLALIT|2DUR|3RPLT|4LIT|5FEWX|69RCR|7MBVNT|8aTLV
37	34221 11145	   	284.86	DCR|DCR|2VULN|1TLV|1DMG	1FEWX|27VULN|3TLV|4DMG|5LHND|6MDPS|8ERES|9aRCR
38	24221 11145	   	284.76	DCR|DCR|2VULN|1TLV|1DMG	1DUST|27VULN|3TLV|4DMG|5LHND|6MDPS|8ERES|9aRCR
39	24223 11145	   	284.76	DCR|DCR|2VULN|1TLV|1DMG	1DUST|27VULN|3TLV|4DMG|5FEWX|6MDPS|8ERES|9aRCR
40	34237 14214	   	284.43	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1FEWX|2VULN|3TLV|4MBVNT|5LHND|69RCR|7BEXP|8LIT|aASPD
41	24232 14214	   	284.33	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1DUST|2VULN|3TLV|4MBVNT|5FEWX|69RCR|7BEXP|8LIT|aASPD
42	24234 14214	   	284.33	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1DUST|2VULN|3TLV|4MBVNT|5LHND|69RCR|7BEXP|8LIT|aASPD
43	42232 34125	 * 	282.74	DCR|DCR|2TLV|1MLV|1ASPD	19AME|2BBNT|3MLV|49TLV|5ASPD|6LHND|79CGEN|8aRCR|9BPWR
44	34231 14211	   	280.44	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2VULN|3TLV|4MBVNT|5DUR|69RCR|7BEXP|8LIT|aLWND
45	34231 14212	   	280.44	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2VULN|3TLV|4MBVNT|5DUR|69RCR|7BEXP|8LIT|aZMB
46	34231 14218	   	280.44	DCR|DCR|1TLV|1LIT|1VULN	1aFEWX|2VULN|3TLV|4MBVNT|5DUR|69RCR|7BEXP|8LIT
47	34237 16211	   	280.44	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2VULN|3TLV|4MBVNT|5LHND|69RCR|7DUR|8LIT|aLWND
48	34237 16212	   	280.44	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2VULN|3TLV|4MBVNT|5LHND|69RCR|7DUR|8LIT|aZMB
49	24231 14211	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5DUR|69RCR|7BEXP|8LIT|aLWND
50	24231 14212	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5DUR|69RCR|7BEXP|8LIT|aZMB
51	24231 14218	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5DUR|69RCR|7BEXP|8LIT|aFEWX
52	24231 18211	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5DUR|69RCR|7FEWX|8LIT|aLWND
53	24231 18212	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5DUR|69RCR|7FEWX|8LIT|aZMB
54	24231 18218	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5DUR|69RCR|7aFEWX|8LIT
55	24232 11411	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5FEWX|69RCR|7LIT|8DUR|aLWND
56	24232 11412	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5FEWX|69RCR|7LIT|8DUR|aZMB
57	24232 11418	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5aFEWX|69RCR|7LIT|8DUR
58	24232 16211	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5FEWX|69RCR|7DUR|8LIT|aLWND
59	24232 16212	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5FEWX|69RCR|7DUR|8LIT|aZMB
60	24232 16218	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5aFEWX|69RCR|7DUR|8LIT
61	24234 16211	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5LHND|69RCR|7DUR|8LIT|aLWND
62	24234 16212	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5LHND|69RCR|7DUR|8LIT|aZMB
63	24234 16218	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5LHND|69RCR|7DUR|8LIT|aFEWX
64	34231 14216	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2VULN|3TLV|4MBVNT|5DUR|69RCR|7BEXP|8LIT|aERES
65	24231 14216	   	280.24	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5DUR|69RCR|7BEXP|8LIT|aERES
66	24231 18216	   	280.24	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5DUR|69RCR|7FEWX|8LIT|aERES
67	24232 11416	   	280.24	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5FEWX|69RCR|7LIT|8DUR|aERES
68	24232 16216	   	280.24	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5FEWX|69RCR|7DUR|8LIT|aERES
69	24234 16216	   	280.24	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2VULN|3TLV|4MBVNT|5LHND|69RCR|7DUR|8LIT|aERES
