0	Index      	 *	Score 	Summary	Detail	
1	43343 32213	 * 	259.11	紫3全技能1基础对甲1易伤2基地爆炸1伤害	1激光对冰2伤害3核4a基地爆炸5易伤678全技能9基础对甲
117	43363 32213	   	230.52	紫3全技能1基础对甲1易伤1伤害	1激光对冰2伤害3核4挖尘5易伤678全技能9基础对甲a最后敌人
118	43363 32214	   	230.52	紫3全技能1基础对甲1易伤1伤害	1激光对冰2伤害3核4挖尘5易伤678全技能9基础对甲a时间
119	43363 32211	   	230.42	紫3全技能1基础对甲1易伤1伤害	1激光对冰2伤害3核4a挖尘5易伤678全技能9基础对甲
120	43363 32212	   	230.42	紫3全技能1基础对甲1易伤1伤害	1激光对冰2伤害3核4挖尘5易伤678全技能9基础对甲a技能点
121	43363 32215	   	230.42	紫3全技能1基础对甲1易伤1伤害	1激光对冰2伤害3核4挖尘5易伤678全技能9基础对甲a等级
122	63335 53213	   	230.34	紫1基础对甲1易伤1基础对冰1伤害1全技能1基地爆炸	1基础对冰2伤害3核4导弹对绿5全技能6基地爆炸7易伤8低血量敌人9磁铁减费a基础对甲
123	61121 43224	   	230.00	紫2易伤2伤害2基础对冰1攻速1全技能1基地爆炸	18基础对冰2基地爆炸38伤害49易伤5核6攻速78最后敌人8序列升级a全技能
124	63346 32112	   	229.75	紫1基础对甲1攻速1伤害1基础对冰1易伤1基地爆炸	1基础对冰2伤害3核4基地爆炸5平台6技能点7攻速8加一9基础对甲a易伤
125	63343 32123	   	229.73	紫3全技能1易伤2基地爆炸1伤害1基础对冰	1基础对冰2伤害3核4a基地爆炸5易伤679全技能8防空对直升
126	63343 32623	   	229.73	紫3全技能1易伤2基地爆炸1伤害1基础对冰	1基础对冰2伤害3核4a基地爆炸5易伤679全技能8狙击对毒
127	63323 22524	 * 	229.42	紫3易伤1基础对甲1伤害1基础对冰1暴击	1基础对冰2伤害3核456易伤7挖尘8暴击9随机矿a基础对甲
128	63335 13233	   	229.42	紫1基础对甲2易伤1伤害1基础对冰1全技能	1基础对冰2伤害3核4导弹对绿5全技能6敌人爆炸79易伤8低血量敌人a基础对甲
129	63335 13613	   	229.32	紫1基础对甲2易伤1伤害1基础对冰1全技能	1基础对冰2伤害3核4导弹对绿5全技能6敌人爆炸78易伤9挖青a基础对甲
130	61121 32425	   	229.20	紫2伤害2全技能1易伤1攻速1基础对冰1基地爆炸	1基础对冰2基地爆炸38伤害4易伤5核67全技能9时间a攻速
