0	Index      	 *	Score 	Summary	Detail	
1	25162 34211	 * 	220.85	紫2基础对甲2基地爆炸1攻速1伤害	1平台2攻速3立即金币4核5策反67基地爆炸89基础对甲a伤害
19	25335 33422	 * 	196.16	紫3基地爆炸2攻速2伤害	1平台28攻速38a基地爆炸4策反5核6金币生成78伤害8序列升级9最后敌人
20	25335 33432	   	196.16	紫3基地爆炸2攻速2伤害	1平台28攻速38a基地爆炸4策反5核6金币生成78伤害8序列升级9敌人爆炸
21	21543 33422	   	196.06	紫3基地爆炸2攻速2伤害	1平台2随机矿38攻速4技能点5核68a基地爆炸78伤害8序列升级9最后敌人
22	21543 33432	   	196.06	紫3基地爆炸2攻速2伤害	1平台2随机矿38攻速4技能点5核68a基地爆炸78伤害8序列升级9敌人爆炸
23	34262 12311	   	195.78	紫2伤害1攻速1基础对冰1基地爆炸1全技能	1等级2导弹对毒3核4时间56伤害7攻速8全技能9基础对冰a基地爆炸
24	25443 11321	   	194.19	紫1基础对甲2攻速1易伤1基地爆炸	14平台26攻速3低血量敌人5核7多重对甲8基地爆炸9易伤a基础对甲
25	34216 12421	 * 	193.84	紫1基础对甲2全技能1易伤1基地爆炸	1等级2导弹对毒3核4a全技能5喷火对甲6基地爆炸7易伤8基础对甲9低血量敌人
26	34216 12431	   	193.84	紫1基础对甲1易伤2全技能1基地爆炸	1等级2导弹对毒3核4a全技能5喷火对甲6基地爆炸7易伤8基础对甲9最后敌人
27	25335 33423	   	193.20	紫2攻速2伤害2基地爆炸1技能	1平台28攻速38基地爆炸4策反5核6金币生成78伤害8序列升级9最后敌人a技能
28	25335 33433	   	193.20	紫2攻速2伤害2基地爆炸1技能	1平台28攻速38基地爆炸4策反5核6金币生成78伤害8序列升级9敌人爆炸a技能
29	25335 33413	   	193.10	紫2攻速2伤害2基地爆炸1技能	1平台28攻速38基地爆炸4策反5核6金币生成78伤害8序列升级9掉矿a技能
30	21543 33423	   	193.10	紫2攻速2伤害2基地爆炸1技能	1平台2随机矿38攻速4技能点5核68基地爆炸78伤害8序列升级9最后敌人a技能
31	21543 33433	   	193.10	紫2攻速2伤害2基地爆炸1技能	1平台2随机矿38攻速4技能点5核68基地爆炸78伤害8序列升级9敌人爆炸a技能
32	21543 33413	   	193.00	紫2攻速2伤害2基地爆炸1技能	1平台2随机矿38攻速4技能点5核68基地爆炸78伤害8序列升级9掉矿a技能
33	34226 11126	   	192.92	紫1基础对甲1攻速1伤害1基地爆炸	1等级2导弹对毒3核4低血量敌人5矿等6伤害7金币生成8基地爆炸9基础对甲a攻速
34	25335 13212	   	192.48	紫2基础对甲2基地爆炸1攻速	1平台2攻速36基地爆炸4策反5核7双倍矿89基础对甲a最后敌人
35	25335 13214	   	192.48	紫2基础对甲2基地爆炸1攻速	1平台2攻速36基地爆炸4策反5核7双倍矿89基础对甲a金币生成
36	25335 13215	   	192.48	紫2基础对甲2基地爆炸1攻速	1平台2攻速36基地爆炸4策反5核7双倍矿89基础对甲a敌人爆炸
37	25335 13213	   	192.38	紫2基础对甲2基地爆炸1攻速	1平台2攻速36基地爆炸4策反5核7双倍矿89基础对甲a挖青
38	25335 13216	   	192.38	紫2基础对甲2基地爆炸1攻速	1平台2攻速36基地爆炸4策反5核7双倍矿89基础对甲a双倍秒伤
39	34231 21321	   	191.28	紫2基础对甲2攻速	1a等级2导弹对毒3核47磁铁减费5a攻速6时间8低血量敌人9a基础对甲a序列升级
40	34231 51221	   	191.28	紫2基础对甲2攻速	1a等级2导弹对毒3核47磁铁减费5a攻速6敌人爆炸8时间9a基础对甲a序列升级
41	25164 13321	   	191.23	紫1基础对甲1攻速1伤害1易伤	1平台2攻速3立即金币4核5导弹对绿6最后敌人7技能8伤害9易伤a基础对甲
42	25164 23321	   	191.23	紫1基础对甲1攻速1伤害1易伤	1平台2攻速3立即金币4核5导弹对绿6时间7技能8伤害9易伤a基础对甲
43	34231 31121	   	191.18	紫2基础对甲2攻速	1a等级2导弹对毒3核47磁铁减费5a攻速6挖尘8敌人爆炸9a基础对甲a序列升级
44	34231 31221	   	191.18	紫2基础对甲2攻速	1a等级2导弹对毒3核47磁铁减费5a攻速6挖尘8时间9a基础对甲a序列升级
