0	Index      	 *	Score 	Summary	Detail	
1	13111 62525	 * 	238.53	DCR|2VULN|1MDPS|2DMG|2ASPD|1AART	19VULN|24DMG|39LIT|5AART|6RCR|7RPLT|89ASPD|9BPWR|aMDPS
26	13111 62523	   	219.71	DCR|2VULN|2DMG|2ASPD|1AART	19VULN|24DMG|39LIT|5AART|6RCR|7RPLT|89ASPD|9BPWR|aCGEN
27	13111 62526	   	219.71	DCR|2VULN|2DMG|2ASPD|1AART	19VULN|24DMG|39LIT|5AART|6RCR|7RPLT|89ASPD|9BPWR|aLWND
28	13111 61112	   	219.71	DCR|3DMG|2VULN|1MDPS|1AART	17VULN|248DMG|3LIT|5AART|6RCR|9RMIN|aMDPS
29	13111 62524	   	219.61	DCR|2VULN|2DMG|2ASPD|1AART|1MSE	19VULN|24DMG|39LIT|5AART|6RCR|7RPLT|89ASPD|9BPWR|aMSE
30	13121 15115	   	219.61	DCR|2VULN|2DMG|2ASPD|1AART	18VULN|28DMG|3LIT|4MLV|58ASPD|6RCR|7RMIN|8BPWR|9TLV|aAART
31	13121 15145	   	219.61	DCR|2VULN|2DMG|2ASPD|1AART	18VULN|28DMG|3LIT|4MLV|58ASPD|6RCR|7RMIN|8BPWR|9ERES|aAART
32	13141 15125	   	219.61	DCR|2VULN|2DMG|2ASPD|1AART	18VULN|28DMG|3LIT|4TLV|58ASPD|6RCR|7RMIN|8BPWR|9CGEN|aAART
33	13161 15115	   	219.61	DCR|2VULN|2DMG|2ASPD|1AART	18VULN|28DMG|3LIT|4AME|58ASPD|6RCR|7RMIN|8BPWR|9TLV|aAART
34	13111 61144	   	219.61	DCR|3DMG|2VULN|1MDPS|1AART	17VULN|248DMG|3LIT|5AART|6RCR|9ERES|aMDPS
35	13111 61134	   	219.52	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	17VULN|248DMG|3LIT|5AART|6RCR|9DUR|aZMB
36	13141 15135	   	219.51	DCR|2VULN|2DMG|2ASPD|1AART	18VULN|28DMG|3LIT|4TLV|58ASPD|6RCR|7RMIN|8BPWR|9ERES|aAART
37	13111 61116	   	218.81	DCR|3VULN|3DMG|1AART	17aVULN|248DMG|3aLIT|5AART|6RCR|9RMIN|aBPWR
38	13111 61161	   	218.61	DCR|3VULN|3DMG|1AART	17aVULN|248DMG|3LIT|5AART|6RCR|9DUST
39	13111 61122	   	218.43	DCR|3DMG|2VULN|1AART|1CDMG	17VULN|248DMG|3LIT|5AART|6RCR|9CDMG|aRCVC
40	11414 21211	 * 	218.24	DCR|3VULN|1SPLARM|2AART|1DUR	134VULN|2LWND|5DUR|69AART|7RCR|8SPLARM|aRCVC
41	12414 21211	   	218.14	DCR|3VULN|1SPLARM|2AART|1DUR	134VULN|2LEGI|5DUR|69AART|7RCR|8SPLARM|aRCVC
42	11414 21326	   	217.96	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1349VULN|2LWND|5DUR|6AART|7RCR|8DMG|aZMB
43	12414 21326	   	217.86	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1349VULN|2LEGI|5DUR|6AART|7RCR|8DMG|aZMB
44	13111 61123	   	217.13	DCR|3DMG|2VULN|1AART|1CDMG	17VULN|248DMG|3LIT|5AART|6RCR|9CDMG|aFEWX
45	11414 21232	   	217.11	DCR|3VULN|1SPLARM|1AART|1CDMG|1DUR	134VULN|2LWND|5DUR|6AART|7RCR|8SPLARM|9CDMG|aCGEN
46	11414 21233	   	217.11	DCR|3VULN|1SPLARM|1AART|1CDMG|1DUR	134VULN|2aLWND|5DUR|6AART|7RCR|8SPLARM|9CDMG
47	11414 21234	   	217.11	DCR|3VULN|1SPLARM|1AART|1CDMG|1DUR	134VULN|2LWND|5DUR|6AART|7RCR|8SPLARM|9CDMG|aFEWX
48	11414 21236	   	217.11	DCR|3VULN|1SPLARM|1AART|1CDMG|1DUR	134VULN|2LWND|5DUR|6AART|7RCR|8SPLARM|9CDMG|aLHND
49	13113 31125	   	217.03	DCR|3DMG|2VULN|1AART|1CDMG	17VULN|248DMG|3LIT|5DLOT|6RCR|9CDMG|aAART
50	12414 21232	   	217.01	DCR|3VULN|1SPLARM|1AART|1CDMG|1DUR	134VULN|2LEGI|5DUR|6AART|7RCR|8SPLARM|9CDMG|aCGEN
51	12414 21233	   	217.01	DCR|3VULN|1SPLARM|1AART|1CDMG|1DUR	134VULN|2LEGI|5DUR|6AART|7RCR|8SPLARM|9CDMG|aLWND
52	12414 21234	   	217.01	DCR|3VULN|1SPLARM|1AART|1CDMG|1DUR	134VULN|2LEGI|5DUR|6AART|7RCR|8SPLARM|9CDMG|aFEWX
53	11414 21231	   	217.01	DCR|3VULN|1SPLARM|1AART|1CDMG|1DUR	134VULN|2LWND|5DUR|6AART|7RCR|8SPLARM|9CDMG|aMBVNT
54	11414 21213	   	216.94	DCR|3VULN|1SPLARM|2AART|1DUR	134VULN|2LWND|5DUR|69AART|7RCR|8SPLARM|aCGEN
55	11414 21215	   	216.94	DCR|3VULN|1SPLARM|2AART|1DUR	134VULN|2LWND|5DUR|69AART|7RCR|8SPLARM|aBELT
56	11415 21215	   	216.94	DCR|3VULN|1SPLARM|2AART|1DUR	134VULN|2LWND|5FEWX|69AART|7RCR|8SPLARM|aDUR
57	13636 12333	 * 	216.92	DCR|1SPLARM|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2DMG|3RMIN|4ASPD|5AART|6ERES|7SPLARM|8RCR|9CDMG|aDUR
58	12414 21231	   	216.91	DCR|3VULN|1SPLARM|1AART|1CDMG|1DUR	134VULN|2LEGI|5DUR|6AART|7RCR|8SPLARM|9CDMG|aMBVNT
59	12414 21213	   	216.84	DCR|3VULN|1SPLARM|2AART|1DUR	134VULN|2LEGI|5DUR|69AART|7RCR|8SPLARM|aCGEN
60	12414 21215	   	216.84	DCR|3VULN|1SPLARM|2AART|1DUR	134VULN|2LEGI|5DUR|69AART|7RCR|8SPLARM|aBELT
61	11414 21212	   	216.84	DCR|3VULN|1SPLARM|2AART|1DUR	134VULN|2LWND|5DUR|69AART|7RCR|8SPLARM|aTLV
62	12415 21215	   	216.84	DCR|3VULN|1SPLARM|2AART|1DUR	134VULN|2LEGI|5FEWX|69AART|7RCR|8SPLARM|aDUR
63	13636 12315	 * 	216.75	DCR|1SPLARM|2AART|1VULN|1ASPD|1DMG|1DUR	1VULN|2DMG|3RMIN|4ASPD|59AART|6ERES|7SPLARM|8RCR|aDUR
64	12414 21212	   	216.74	DCR|3VULN|1SPLARM|2AART|1DUR	134VULN|2LEGI|5DUR|69AART|7RCR|8SPLARM|aTLV
65	13322 12525	   	215.88	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG|1DUR	1VULN|29DMG|3DUR|4LIT|59LHND|6AART|7CDMG|89ASPD|9BPWR|aRCR
66	13436 21335	   	215.62	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	1aVULN|28DMG|3AME|4ASPD|5AART|6RCR|7RMIN|9ZMB
67	13111 64124	   	215.57	DCR|3DMG|1MDPS|1VULN|1AART|1CDMG	1VULN|248DMG|3LIT|5AART|6RCR|7DMSP|9CDMG|aMDPS
68	13113 32525	   	214.66	DCR|2VULN|1MDPS|2DMG|2ASPD	19VULN|24DMG|39LIT|5DLOT|6RCR|7RPLT|89ASPD|9BPWR|aMDPS
69	13523 31136	   	214.29	DCR|4VULN|3DMG	179aVULN|28aDMG|3RCVC|4aLIT|5DLOT|6RCR|aBPWR
70	13614 11231	   	213.92	DCR|3VULN|1SPLARM|1AART|1DMG	149VULN|2DMG|3RMIN|5AART|6BEXP|7RCR|8SPLARM|aRCVC
71	13121 15116	 * 	213.66	DCR|3VULN|2DMG|2ASPD	18aVULN|28DMG|3LIT|4MLV|58ASPD|6RCR|7RMIN|8BPWR|9TLV
72	13121 15146	   	213.66	DCR|3VULN|2DMG|2ASPD	18aVULN|28DMG|3LIT|4MLV|58ASPD|6RCR|7RMIN|8BPWR|9ERES
73	13141 15126	   	213.66	DCR|3VULN|2DMG|2ASPD	18aVULN|28DMG|3LIT|4TLV|58ASPD|6RCR|7RMIN|8BPWR|9CGEN
74	13161 15116	   	213.66	DCR|3VULN|2DMG|2ASPD	18aVULN|28DMG|3LIT|4AME|58ASPD|6RCR|7RMIN|8BPWR|9TLV
75	13111 61322	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	17VULN|24DMG|3LIT|5AART|6RCR|8BEXP|9DUR|aASPD
76	13111 61412	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	17VULN|24DMG|3LIT|5AART|6RCR|8DUR|9BEXP|aASPD
77	13111 61452	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	17VULN|24DMG|3LIT|5AART|6RCR|8DUR|9LWND|aASPD
78	11415 21325	   	213.58	DCR|5VULN|1AART|1DMG	1349aVULN|2LWND|5FEWX|6AART|7RCR|8DMG
79	13141 15136	   	213.56	DCR|3VULN|2DMG|2ASPD	18aVULN|28DMG|3LIT|4TLV|58ASPD|6RCR|7RMIN|8BPWR|9ERES
80	13111 61462	   	213.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	17VULN|24DMG|3LIT|5AART|6RCR|8DUR|9DUST|aASPD
81	12415 21325	   	213.48	DCR|5VULN|1AART|1DMG	1349aVULN|2LEGI|5FEWX|6AART|7RCR|8DMG
82	21636 35211	 * 	212.95	DCR|3ASPD|2VULN|1AART|1DMG	1aAELBLL|2ERES|34aASPD|5AART|6CGEN|7RCR|8DMG|9aVULN|aBPWR
83	13111 64125	   	212.82	DCR|3DMG|2AART|1VULN|1CDMG	1VULN|248DMG|3LIT|5aAART|6RCR|7DMSP|9CDMG
84	12626 21325	   	212.77	DCR|4VULN|1AART|1DMG|2DUR	159aVULN|2LEGI|34DUR|6AART|7RCR|8DMG
85	13614 11233	   	212.62	DCR|3VULN|1SPLARM|1AART|1DMG	149VULN|2DMG|3RMIN|5AART|6BEXP|7RCR|8SPLARM|aCGEN
86	13614 11236	   	212.62	DCR|3VULN|1SPLARM|1AART|1DMG	149VULN|2DMG|3RMIN|5AART|6BEXP|7RCR|8SPLARM|aLWND
87	13614 11232	   	212.52	DCR|3VULN|1SPLARM|1AART|1DMG	149VULN|2DMG|3RMIN|5AART|6BEXP|7RCR|8SPLARM|aTLV
88	13111 61433	   	212.36	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	17VULN|24DMG|3LIT|5AART|6RCR|8DUR|9FEWX|aMDPS
89	15641 13112	 * 	212.28	DCR|3VULN|1MDPS|2ASPD|1AART|2DUR	157VULN|2MDPS|37ASPD|4AART|67DUR|7BPWR|8AME|9SPLREG|aRCR
90	43641 13112	   	212.28	DCR|3VULN|1MDPS|2ASPD|1AART|2DUR	1MDPS|257VULN|37ASPD|4AART|67DUR|7BPWR|8AME|9SPLREG|aRCR
91	13121 15131	   	212.18	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|28DMG|3LIT|4MLV|58ASPD|6RCR|7RMIN|8BPWR|9CDMG|aBEXP
92	13121 15133	   	212.18	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|28DMG|3LIT|4MLV|58ASPD|6RCR|7RMIN|8BPWR|9CDMG|aCGEN
93	13121 15163	   	212.18	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|28DMG|3LIT|4MLV|58ASPD|6RCR|7RMIN|8BPWR|9LWND|aCDMG
94	13161 15131	   	212.18	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|28DMG|3LIT|4AME|58ASPD|6RCR|7RMIN|8BPWR|9CDMG|aBEXP
95	13161 15133	   	212.18	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|28DMG|3LIT|4AME|58ASPD|6RCR|7RMIN|8BPWR|9CDMG|aCGEN
96	13161 15163	   	212.18	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|28DMG|3LIT|4AME|58ASPD|6RCR|7RMIN|8BPWR|9LWND|aCDMG
97	13461 15131	   	212.18	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|28DMG|3AME|4LIT|58ASPD|6RCR|7RMIN|8BPWR|9CDMG|aBEXP
98	13461 15133	   	212.18	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|28DMG|3AME|4LIT|58ASPD|6RCR|7RMIN|8BPWR|9CDMG|aCGEN
99	13121 15132	   	212.08	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|28DMG|3LIT|4MLV|58ASPD|6RCR|7RMIN|8BPWR|9CDMG|aDUST
100	13121 15135	   	212.08	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|28DMG|3LIT|4MLV|58ASPD|6RCR|7RMIN|8BPWR|9CDMG|aTLV
101	13121 15136	   	212.08	DCR|2VULN|2DMG|2ASPD|1CDMG|1MSE	18VULN|28DMG|3LIT|4MLV|58ASPD|6RCR|7RMIN|8BPWR|9CDMG|aMSE
102	13141 15163	   	212.08	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|28DMG|3LIT|4TLV|58ASPD|6RCR|7RMIN|8BPWR|9LWND|aCDMG
103	13161 15132	   	212.08	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|28DMG|3LIT|4AME|58ASPD|6RCR|7RMIN|8BPWR|9CDMG|aDUST
104	13161 15135	   	212.08	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|28DMG|3LIT|4AME|58ASPD|6RCR|7RMIN|8BPWR|9CDMG|aTLV
105	13161 15136	   	212.08	DCR|2VULN|2DMG|2ASPD|1CDMG|1MSE	18VULN|28DMG|3LIT|4AME|58ASPD|6RCR|7RMIN|8BPWR|9CDMG|aMSE
106	13461 15132	   	212.08	DCR|2VULN|2DMG|2ASPD|1CDMG	18VULN|28DMG|3AME|4LIT|58ASPD|6RCR|7RMIN|8BPWR|9CDMG|aDUST
107	13113 31124	   	212.08	DCR|3DMG|2VULN|1MDPS|1CDMG	17VULN|248DMG|3LIT|5DLOT|6RCR|9CDMG|aMDPS
108	11414 21122	 * 	211.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	134VULN|2LWND|5DUR|6AART|7RCR|8LIT|9DMG|aASPD
109	12414 21122	   	211.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	134VULN|2LEGI|5DUR|6AART|7RCR|8LIT|9DMG|aASPD
110	12414 21432	   	211.64	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	134VULN|2LEGI|5DUR|6AART|7RCR|8ERES|9ASPD|aDMG
111	13126 15134	   	211.51	DCR|2VULN|2DMG|1ASPD|1CDMG|2ZMB	18VULN|28DMG|3LIT|4MLV|58ZMB|6RCR|7RMIN|8BPWR|9CDMG|aASPD
112	13636 22234	 * 	211.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1aVULN|2DMG|3RMIN|4ASPD|5AART|6RCR|7VENFST|89CDMG
113	13111 61534	   	211.36	DCR|3VULN|2DMG|1AART|1DUR	17aVULN|24DMG|3LIT|5AART|6RCR|8BELT|9DUR
114	13436 21313	   	211.32	DCR|2AART|2DMG|1VULN|1ASPD|1ZMB	1VULN|28DMG|3AME|4ASPD|59AART|6RCR|7RMIN|aZMB
115	11414 21222	   	211.20	DCR|3VULN|1SPLARM|1AART|1ZMB|1DUR	134VULN|2LWND|5DUR|6AART|7RCR|8SPLARM|9BEXP|aZMB
116	13111 61164	   	211.11	DCR|3DMG|2VULN|1AART|1ZMB	17VULN|248DMG|3LIT|5AART|6RCR|9DUST|aZMB
117	12414 21222	   	211.10	DCR|3VULN|1SPLARM|1AART|1ZMB|1DUR	134VULN|2LEGI|5DUR|6AART|7RCR|8SPLARM|9BEXP|aZMB
118	13614 11242	 * 	211.04	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	14VULN|2DMG|3RMIN|5AART|6BEXP|7RCR|8SPLARM|9CDMG|aCGEN
119	13614 11243	   	211.04	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	14VULN|2DMG|3RMIN|5AART|6BEXP|7RCR|8SPLARM|9CDMG|aLWND
120	11461 12324	 * 	211.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	13VULN|2LWND|4LIT|5ASPD|6RCR|7AART|8CDMG|9DUR|aMDPS
121	13614 11241	   	210.94	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	14VULN|2DMG|3RMIN|5AART|6BEXP|7RCR|8SPLARM|9CDMG|aMBVNT
122	12461 12324	   	210.92	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	13VULN|2LEGI|4LIT|5ASPD|6RCR|7AART|8CDMG|9DUR|aMDPS
123	13111 61244	   	210.73	DCR|2VULN|2DMG|1MDPS|1AART|1AAC	17VULN|24DMG|3LIT|5AART|6RCR|8ERES|9MDPS|aAAC
124	13121 12324	 * 	210.70	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2DMG|3LIT|4MLV|5ASPD|6RCR|7AART|8CDMG|9DUR|aMDPS
125	13161 12324	   	210.70	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2DMG|3LIT|4AME|5ASPD|6RCR|7AART|8CDMG|9DUR|aMDPS
126	13461 12324	   	210.70	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2DMG|3AME|4LIT|5ASPD|6RCR|7AART|8CDMG|9DUR|aMDPS
127	13141 12324	   	210.60	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1VULN|2DMG|3LIT|4TLV|5ASPD|6RCR|7AART|8CDMG|9DUR|aMDPS
128	13111 61135	   	210.49	DCR|3DMG|2VULN|1AART|1DUR	17VULN|248DMG|3LIT|5AART|6RCR|9DUR|aRCVC
129	11415 21211	   	209.93	DCR|3VULN|1SPLARM|2AART	134VULN|2LWND|5FEWX|69AART|7RCR|8SPLARM|aRCVC
130	12415 21211	   	209.83	DCR|3VULN|1SPLARM|2AART	134VULN|2LEGI|5FEWX|69AART|7RCR|8SPLARM|aRCVC
131	13111 61535	   	209.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17VULN|24DMG|3LIT|5AART|6RCR|8BELT|9DUR|aCDMG
132	13636 12311	   	209.75	DCR|1SPLARM|2AART|1VULN|1ASPD|1DMG	1VULN|2DMG|3RMIN|4ASPD|59AART|6ERES|7SPLARM|8RCR|aRCVC
133	12456 21211	   	209.73	DCR|3VULN|1SPLARM|2AART	135VULN|2LEGI|4DUST|69AART|7RCR|8SPLARM|aRCVC
134	11415 21326	   	209.65	DCR|4VULN|1AART|1DMG|1ZMB	1349VULN|2LWND|5FEWX|6AART|7RCR|8DMG|aZMB
135	13414 11313	   	209.63	DCR|2VULN|2AART|2DMG|1ZMB	14VULN|28DMG|3AME|59AART|6BEXP|7RCR|aZMB
136	12415 21326	   	209.55	DCR|4VULN|1AART|1DMG|1ZMB	1349VULN|2LEGI|5FEWX|6AART|7RCR|8DMG|aZMB
137	12626 21235	 * 	209.48	DCR|1SPLARM|2VULN|1AART|3DUR|1CDMG	15VULN|2LEGI|34aDUR|6AART|7RCR|8SPLARM|9CDMG
138	11414 21312	   	209.26	DCR|3VULN|2DMG|1AART|1DUR	134VULN|2LWND|5DUR|6AART|7RCR|8aDMG|9ERES
139	11414 21335	   	209.23	DCR|4VULN|1AART|1DMG|1DUR	134aVULN|2LWND|5DUR|6AART|7RCR|8DMG|9RCVC
140	13636 24313	   	209.19	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1VULN|28DMG|3RMIN|4ASPD|59AART|6RCR|7ERES|aDUR
141	13111 61133	   	209.19	DCR|3DMG|2VULN|1AART|1DUR	17VULN|248DMG|3LIT|5AART|6RCR|9DUR|aSPLJET
142	13111 61136	   	209.19	DCR|3DMG|2VULN|1AART|1DUR	17VULN|248DMG|3LIT|5AART|6RCR|9DUR|aLHND
143	13111 64131	   	209.19	DCR|3DMG|2VULN|1AART|1DUR	1aVULN|248DMG|3LIT|5AART|6RCR|7DMSP|9DUR
144	12414 21312	   	209.16	DCR|3VULN|2DMG|1AART|1DUR	134VULN|2LEGI|5DUR|6AART|7RCR|8aDMG|9ERES
145	12414 21335	   	209.13	DCR|4VULN|1AART|1DMG|1DUR	134aVULN|2LEGI|5DUR|6AART|7RCR|8DMG|9RCVC
146	13333 22533	   	209.02	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	15VULN|2DMG|3DUR|4CDMG|6LWND|7RCR|8FEWX|9AART|aMDPS
147	13333 62563	   	209.02	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	15VULN|2DMG|3DUR|4CDMG|6BEXP|7RCR|8FEWX|9AART|aMDPS
148	13111 64132	   	208.87	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	1VULN|248DMG|3LIT|5AART|6RCR|7DMSP|9DUR|aASPD
149	13325 22515	   	208.83	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	17VULN|2DMG|3DUR|4LIT|5RPLT|6AART|8ASPD|9RCR|aMDPS
150	13321 11565	   	208.78	DCR|3VULN|3DMG|2DUR	19aVULN|29aDMG|35DUR|4LIT|6RCR|79aFEWX|8LEGI|9aBPWR
151	13321 13565	   	208.78	DCR|3VULN|3DMG|2DUR	19aVULN|29aDMG|35DUR|4LIT|6RCR|79aBEXP|8LEGI|9aBPWR
152	13121 15154	   	208.61	DCR|3ASPD|2VULN|2DMG|1SELL	18VULN|28DMG|3LIT|4MLV|58aASPD|6RCR|7RMIN|8BPWR|9SELL
