0	Index      	 *	Score 	Summary	Detail	
1	63235 31313	 * 	223.69	DCR|4VULN|2CDMG|1ASPD|1DMG|1DUR	1DUR|2456VULN|36CDMG|6BPWR|7LIT|8DMG|9RCR|aASPD
39	63235 21511	   	201.34	DCR|4VULN|1DMG|1CDMG|2DUR	18DUR|2456VULN|3CDMG|7LIT|9RCR|aDMG
40	66322 33362	   	201.29	ACR|2DMG|2ASPD|1VULN|1AART|1CDMG|1DUR	1DUR|2RCR|35ASPD|4AART|6CDMG|79DMG|8RCVC|aVULN
41	22132 54143	   	201.23	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	19CDMG|2TLV|3AME|4DMG|5AART|6RCR|7VULN|8ASPD|aZMB
42	31132 54143	   	201.23	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	1TLV|29CDMG|3AME|4DMG|5AART|6RCR|7VULN|8ASPD|aZMB
43	45212 21423	   	200.73	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	14LIT|2ZMB|3CDMG|5DMG|67VULN|8RCR|9aASPD
44	61535 21313	   	200.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|2AELBLL|3CDMG|456VULN|7LIT|8DMG|9RCR|aASPD
45	63231 21313	   	200.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|246VULN|3CDMG|5AELBLL|7LIT|8DMG|9RCR|aASPD
46	63231 61313	   	200.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|247VULN|3CDMG|5AELBLL|6LIT|8DMG|9RCR|aASPD
47	12334 42521	 * 	199.99	DCR|2VULN|2DMG|2ASPD|1DUR|1SELL	17FEWX|2SELL|34VULN|57DMG|67ASPD|7BPWR|8RCR|9CGEN|aDUR
48	66322 34112	 * 	199.97	ACR|3ASPD|1VULN|1AART|1DMG|1CDMG|2DUR	19DUR|2RCR|358ASPD|4AART|6CDMG|7VULN|aDMG
49	22132 53312	 * 	199.82	DCR|1MDPS|2DMG|1AART|1VULN|1CDMG	1CDMG|2TLV|3AME|47DMG|5AART|6RCR|8CGEN|9VULN|aMDPS
50	31132 53312	   	199.82	DCR|1MDPS|2DMG|1AART|1VULN|1CDMG	1TLV|2CDMG|3AME|47DMG|5AART|6RCR|8CGEN|9VULN|aMDPS
51	22132 54632	   	199.72	DCR|1MDPS|2DMG|1AART|1VULN|1CDMG	1CDMG|2TLV|3AME|48DMG|5AART|6RCR|7VULN|9ERES|aMDPS
52	31132 54632	   	199.72	DCR|1MDPS|2DMG|1AART|1VULN|1CDMG	1TLV|2CDMG|3AME|48DMG|5AART|6RCR|7VULN|9ERES|aMDPS
53	45212 21431	 * 	199.69	DCR|3DMG|2VULN|1CDMG|1ZMB	14LIT|2ZMB|3CDMG|59aDMG|67VULN|8RCR
54	22132 54161	   	199.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2TLV|3AME|4DMG|59AART|6RCR|7VULN|8ASPD|aBELT
55	22132 54162	   	199.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2TLV|3AME|4DMG|59AART|6RCR|7VULN|8ASPD|aLIT
56	31132 54161	   	199.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1TLV|2CDMG|3AME|4DMG|59AART|6RCR|7VULN|8ASPD|aBELT
57	31132 54162	   	199.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1TLV|2CDMG|3AME|4DMG|59AART|6RCR|7VULN|8ASPD|aLIT
58	66322 24213	   	199.39	ACR|2DMG|2ASPD|1VULN|1AART|1CDMG|1DUR	1DUR|2RCR|35ASPD|4AART|69DMG|7RPLT|8VULN|aCDMG
59	12368 44146	 * 	199.19	DCR|3VULN|1AART|1ASPD|1DMG|1SELL	1FEWX|2SELL|36aVULN|4MBVNT|5AART|7DMG|8ASPD|9RCR
60	13315 24135	 * 	199.14	DCR|2VULN|1AART|1ASPD|1NUKE|1ZMB	1FEWX|29VULN|3ASPD|4RCVC|5LWND|6AART|7RCR|8ZMB|aNUKE
61	22132 53236	   	198.76	DCR|2DMG|1VULN|1AART|2CDMG|1ZMB	18CDMG|2TLV|3AME|47DMG|5AART|6RCR|9VULN|aZMB
62	31132 53236	   	198.76	DCR|2DMG|1VULN|1AART|2CDMG|1ZMB	1TLV|28CDMG|3AME|47DMG|5AART|6RCR|9VULN|aZMB
63	63221 42136	   	198.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|28VULN|3CDMG|4ERES|5LHND|6RCR|7ZMB|9DMG|aASPD
64	63222 42136	   	198.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|28VULN|3CDMG|4ERES|5FEWX|6RCR|7ZMB|9DMG|aASPD
65	66322 33263	 * 	198.69	ACR|3DMG|2ASPD|1AART|2CDMG|1DUR	1DUR|2RCR|35ASPD|4AART|68CDMG|79aDMG
66	14323 34136	 * 	198.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1FEWX|2DUR|3aASPD|4AART|59VULN|6DMSP|7RCR|8ZMB
67	14322 65332	 * 	198.18	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB|1DUR	1FEWX|2DUR|35ASPD|4AART|6DMG|7RCR|8LHND|9VULN|aZMB
68	12332 46161	   	198.15	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR|1SELL	1FEWX|2SELL|349VULN|5ZMB|6ASPD|7RCR|8DMG|aDUR
69	13356 32511	   	198.02	DCR|2VULN|2ASPD|2CDMG|1DMG	17FEWX|27VULN|36ASPD|4DMG|57CDMG|7BPWR|8RCR|9LHND|aAELBLL
70	13356 32512	   	198.02	DCR|2VULN|2ASPD|2CDMG|1DMG	17FEWX|27VULN|36ASPD|4DMG|57CDMG|7BPWR|8RCR|9LHND|aSNIFST
71	13356 32513	   	198.02	DCR|2VULN|2ASPD|2CDMG|1DMG	17FEWX|27VULN|36ASPD|4DMG|57CDMG|7BPWR|8RCR|9LHND|aLIT
72	13356 32522	   	198.02	DCR|2VULN|2ASPD|2CDMG|1DMG	17FEWX|27VULN|36ASPD|4DMG|57CDMG|7BPWR|8RCR|9CGEN|aRMIN
73	13356 32523	   	198.02	DCR|2VULN|2ASPD|2CDMG|1DMG	17FEWX|27VULN|36ASPD|4DMG|57CDMG|7BPWR|8RCR|9CGEN|aBEXP
74	13356 32531	   	198.02	DCR|2VULN|2ASPD|2CDMG|1DMG	17FEWX|27VULN|36ASPD|4DMG|57CDMG|7BPWR|8RCR|9BEXP|aAELBLL
75	13356 32532	   	198.02	DCR|2VULN|2ASPD|2CDMG|1DMG	17FEWX|27VULN|36ASPD|4DMG|57CDMG|7BPWR|8RCR|9BEXP|aSNIFST
76	13356 32533	   	198.02	DCR|2VULN|2ASPD|2CDMG|1DMG	17FEWX|27VULN|36ASPD|4DMG|57CDMG|7BPWR|8RCR|9BEXP|aLIT
77	45212 31325	   	197.94	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB	14LIT|2ZMB|38CDMG|5DMG|6RCR|7aVULN|9ASPD
78	63235 33252	 * 	197.72	DCR|5VULN|2CDMG|1DUR	1DUR|24568VULN|36CDMG|6BPWR|7ERES|9RCR|aRPLT
79	63235 33253	   	197.72	DCR|5VULN|2CDMG|1DUR	1DUR|24568VULN|36CDMG|6BPWR|7ERES|9RCR|aCGEN
80	63235 33251	   	197.62	DCR|5VULN|2CDMG|1DUR	1DUR|24568VULN|36CDMG|6BPWR|7ERES|9RCR|aDLOT
81	12368 44143	   	197.61	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1FEWX|2SELL|36VULN|4MBVNT|5AART|7DMG|8ASPD|9RCR|aCDMG
82	13622 51612	 * 	197.59	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1FEWX|2VULN|3ERES|4AART|5aASPD|6RCR|7DUST|8CDMG|9DMG
83	13323 36485	 * 	197.43	DCR|3VULN|1AART|1ASPD|1DMG	1FEWX|259VULN|3ASPD|4AART|6MBVNT|7DMG|8AME|aRCR
84	13323 32785	   	197.33	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1FEWX|259VULN|3ASPD|4AART|6MBVNT|7AAC|8DMG|aRCR
85	13323 36725	 * 	197.09	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|25VULN|3ASPD|4AART|6MBVNT|78DMG|9ERES|aRCR
86	22132 53365	 * 	196.65	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|2TLV|3AME|479DMG|5AART|6RCR|8CGEN|aVULN
87	31132 53365	   	196.65	DCR|3DMG|1AART|1VULN|1CDMG	1TLV|2CDMG|3AME|479DMG|5AART|6RCR|8CGEN|aVULN
88	63235 21312	   	196.10	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|2456VULN|3CDMG|7LIT|8DMG|9RCR|aBEXP
89	63235 21316	   	196.10	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|2456VULN|3CDMG|7LIT|8DMG|9RCR|aLHND
90	63235 21611	   	196.10	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|2456VULN|3CDMG|7LIT|8DMSP|9RCR|aDMG
91	63235 61312	   	196.10	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|2457VULN|3CDMG|6LIT|8DMG|9RCR|aBEXP
92	63231 25211	   	196.10	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|2467VULN|3CDMG|5AELBLL|8LIT|9RCR|aDMG
93	13242 24135	   	196.04	DCR|2VULN|1AART|1ASPD|1NUKE|1ZMB	1FEWX|29VULN|34LWND|5ASPD|6AART|7RCR|8ZMB|aNUKE
94	63235 21311	   	196.00	DCR|4VULN|1DMG|1CDMG|1DUR|1MSE	1DUR|2456VULN|3CDMG|7LIT|8DMG|9RCR|aMSE
95	63235 21314	   	196.00	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|2456VULN|3CDMG|7LIT|8DMG|9RCR|aMBVNT
96	63235 21315	   	196.00	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|2456VULN|3CDMG|7LIT|8DMG|9RCR|aDUST
97	63235 21413	   	196.00	DCR|4VULN|1ASPD|1CDMG|1AAC|1DUR	1DUR|2456VULN|3CDMG|7LIT|8AAC|9RCR|aASPD
98	63235 61311	   	196.00	DCR|4VULN|1DMG|1CDMG|1DUR|1MSE	1DUR|2457VULN|3CDMG|6LIT|8DMG|9RCR|aMSE
99	13345 24312	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|25VULN|3ASPD|4LEGI|6AART|7RCR|8LHND|9DMG|aZMB
100	13365 24212	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|25VULN|3ASPD|4LHND|6AART|7RCR|8DUST|9DMG|aZMB
101	13345 24212	   	195.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|25VULN|3ASPD|4LEGI|6AART|7RCR|8DUST|9DMG|aZMB
102	36164 46243	 * 	195.52	DCR|3VULN|1AART|1ASPD|1CDMG	1TLV|2ASPD|3RPLT|4MBVNT|5AART|678VULN|9RCR|aCDMG
103	22132 53233	 * 	195.48	DCR|2DMG|3CDMG|1VULN|1AART	18aCDMG|2TLV|3AME|47DMG|5AART|6RCR|9VULN
104	31132 53233	   	195.48	DCR|2DMG|3CDMG|1VULN|1AART	1TLV|28aCDMG|3AME|47DMG|5AART|6RCR|9VULN
105	45212 31361	 * 	195.46	DCR|2VULN|2DMG|2CDMG|1ZMB	14LIT|2ZMB|38CDMG|5aDMG|6RCR|79VULN
106	36164 46244	 * 	195.35	DCR|3VULN|2AART|1ASPD	1TLV|2ASPD|3RPLT|4MBVNT|5aAART|678VULN|9RCR
107	14323 14513	   	195.31	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1FEWX|2DUR|3ASPD|4AART|58VULN|6LWND|7RCR|9DMG|aRCVC
108	14323 24513	   	195.31	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1FEWX|2DUR|3ASPD|4AART|58VULN|6LHND|7RCR|9DMG|aRCVC
109	13365 24133	   	195.11	DCR|3VULN|1AART|1ASPD|1ZMB	1FEWX|259VULN|3ASPD|4LHND|6AART|7RCR|8ZMB|aRCVC
110	42325 41212	 * 	195.07	DCR|2AART|2DMG|1VULN|1CDMG	1LIT|2DUST|3RMIN|49AART|5VULN|6CDMG|7RCR|8aDMG
111	13345 24133	   	195.01	DCR|3VULN|1AART|1ASPD|1ZMB	1FEWX|259VULN|3ASPD|4LEGI|6AART|7RCR|8ZMB|aRCVC
112	63268 44424	   	194.87	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1DUR|26VULN|3CDMG|4MBVNT|5AART|7DMG|8RCR|9LHND|aAAC
113	63268 44434	   	194.87	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1DUR|26VULN|3CDMG|4MBVNT|5AART|7DMG|8RCR|9LWND|aAAC
114	63268 44444	   	194.87	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1DUR|26VULN|3CDMG|4MBVNT|5AART|7DMG|8RCR|9FEWX|aAAC
115	63234 43131	   	194.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|24VULN|3CDMG|5DMG|6ASPD|79LIT|8RCR|aZMB
116	63232 43113	   	194.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|24VULN|3CDMG|5ZMB|6ASPD|7LIT|8RCR|9LHND|aDMG
117	25353 31263	 * 	194.79	ACR|3ASPD|2VULN|3ZMB|2CDMG	17CDMG|27aZMB|3RCR|4LWND|5MLV|67aASPD|7aBPWR|8LIT|9aVULN
118	63268 44414	   	194.77	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1DUR|26VULN|3CDMG|4MBVNT|5AART|7DMG|8RCR|9LEGI|aAAC
119	13352 22336	   	194.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2VULN|35ASPD|4DMG|6DUR|7BELT|8ZMB|9RCR|aAART
120	45212 31411	   	194.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	14LIT|2ZMB|3CDMG|5DMG|6RCR|7aVULN|8AART|9DLOT
121	22132 51236	   	194.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2TLV|3AME|4DMG|5AART|6RCR|7TSLFST|8ZMB|9aVULN
122	31132 51236	   	194.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2CDMG|3AME|4DMG|5AART|6RCR|7TSLFST|8ZMB|9aVULN
123	14323 14511	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1FEWX|2DUR|3ASPD|4AART|58VULN|6LWND|7RCR|9DMG|aRPLT
124	14323 24511	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1FEWX|2DUR|3ASPD|4AART|58VULN|6LHND|7RCR|9DMG|aRPLT
125	62521 32314	   	193.97	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR|1SELL	1DUR|2SELL|3ZMB|4AME|5VULN|6ASPD|7DMG|8CDMG|9AART|aRCR
126	62531 32314	   	193.97	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR|1SELL	1DUR|2SELL|3ZMB|4CGEN|5VULN|6ASPD|7DMG|8CDMG|9AART|aRCR
127	13365 24213	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1FEWX|25VULN|3ASPD|4LHND|6AART|7RCR|8DUST|9DMG|aDUR
128	13322 36485	 * 	193.82	DCR|2VULN|2ASPD|1AART|1DMG	1FEWX|29VULN|35ASPD|4AART|6MBVNT|7DMG|8AME|aRCR
129	13345 24213	   	193.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1FEWX|25VULN|3ASPD|4LEGI|6AART|7RCR|8DUST|9DMG|aDUR
130	13365 24131	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	1FEWX|259VULN|3ASPD|4LHND|6AART|7RCR|8ZMB|aLWND
131	22132 54113	   	193.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2TLV|39AME|4DMG|5AART|6RCR|7VULN|8ASPD|aZMB
132	31132 54113	   	193.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1TLV|2CDMG|39AME|4DMG|5AART|6RCR|7VULN|8ASPD|aZMB
133	36164 46443	 * 	193.76	DCR|2VULN|2AART|1ASPD|1CDMG	1TLV|2ASPD|3RPLT|4MBVNT|58AART|67VULN|9RCR|aCDMG
134	13322 32785	   	193.72	DCR|2VULN|2ASPD|1AART|1DMG|1AAC	1FEWX|29VULN|35ASPD|4AART|6MBVNT|7AAC|8DMG|aRCR
135	13345 24131	   	193.70	DCR|3VULN|1AART|1ASPD|1ZMB	1FEWX|259VULN|3ASPD|4LEGI|6AART|7RCR|8ZMB|aLWND
136	13365 24132	   	193.70	DCR|3VULN|1AART|1ASPD|1ZMB	1FEWX|259VULN|3ASPD|4LHND|6AART|7RCR|8ZMB|aTLV
