0	Index      	 *	Score 	Summary	Detail	
1	31314 25335	 * 	221.16	DCR|1SPLARM|2VULN|1AART|1DMG|1ASPD|1DUR	1DUR|27VULN|3DMG|4LWND|5MULARM|6AART|8RCR|9SPLARM|aASPD
12	33363 25335	   	211.43	DCR|1SPLARM|2VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2ZMB|3SNIFST|47VULN|5LHND|6AART|8RCR|9SPLARM|aASPD
13	11314 21335	   	210.06	DCR|1SPLARM|2DMG|1AART|1VULN|1ASPD	1BEXP|2VULN|37DMG|4LWND|5MULARM|6AART|8RCR|9SPLARM|aASPD
14	41314 21335	   	210.06	DCR|1SPLARM|2DMG|1AART|1VULN|1ASPD	1FEWX|2VULN|37DMG|4LWND|5MULARM|6AART|8RCR|9SPLARM|aASPD
15	11351 21335	   	209.96	DCR|1SPLARM|2DMG|1AART|1VULN|1ASPD	1BEXP|2VULN|37DMG|4BASARM|5LWND|6AART|8RCR|9SPLARM|aASPD
16	11353 21335	   	209.96	DCR|1SPLARM|2DMG|1AART|1VULN|1ASPD	1BEXP|2VULN|37DMG|4BASARM|5LHND|6AART|8RCR|9SPLARM|aASPD
17	41351 21335	   	209.96	DCR|1SPLARM|2DMG|1AART|1VULN|1ASPD	1FEWX|2VULN|37DMG|4BASARM|5LWND|6AART|8RCR|9SPLARM|aASPD
18	41353 21335	   	209.96	DCR|1SPLARM|2DMG|1AART|1VULN|1ASPD	1FEWX|2VULN|37DMG|4BASARM|5LHND|6AART|8RCR|9SPLARM|aASPD
19	31335 35251	 * 	209.30	DCR|3VULN|1SPLARM|1DMG|1CDMG|1DUR	1DUR|257VULN|3DMG|4CDMG|6ERES|8FEWX|9RCR|aSPLARM
20	31314 21366	 * 	208.36	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1DUR|29VULN|37DMG|4LWND|5MULARM|6AART|8RCR|aMDPS
21	31351 21366	   	208.26	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1DUR|29VULN|37DMG|4BASARM|5LWND|6AART|8RCR|aMDPS
22	31353 21366	   	208.26	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1DUR|29VULN|37DMG|4BASARM|5LHND|6AART|8RCR|aMDPS
23	24651 21332	 * 	203.30	DCR|2AART|2DMG|1VULN|1CDMG|1AAC|1ZMB	1AAC|2ERES|36DMG|47AART|5CDMG|8RCR|9ZMB|aVULN
24	31122 54224	 * 	201.53	DCR|3VULN|2ASPD|1DMG|2DUR	17DUR|278VULN|3DUST|4BELT|5DMG|67ASPD|7BPWR|9ERES|aRCR
25	33233 12514	   	200.58	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR|2ZMB	13DUR|23ZMB|3BPWR|4LWND|5ASPD|6CDMG|79DMG|8RCR|aVULN
26	33243 12513	   	200.58	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR|2ZMB	13DUR|23ZMB|3BPWR|4BEXP|5ASPD|6CDMG|79DMG|8RCR|aVULN
27	11314 21366	   	200.05	DCR|2VULN|2DMG|1MDPS|1AART	1BEXP|29VULN|37DMG|4LWND|5MULARM|6AART|8RCR|aMDPS
28	11351 21366	   	199.95	DCR|2VULN|2DMG|1MDPS|1AART	1BEXP|29VULN|37DMG|4BASARM|5LWND|6AART|8RCR|aMDPS
29	11353 21366	   	199.95	DCR|2VULN|2DMG|1MDPS|1AART	1BEXP|29VULN|37DMG|4BASARM|5LHND|6AART|8RCR|aMDPS
30	33634 22513	 * 	199.45	DCR|2DMG|1VULN|2CDMG|1ASPD|1ZMB|1DUR	1DUR|2ZMB|3FEWX|47CDMG|59DMG|6ASPD|8RCR|aVULN
31	33225 34131	 * 	197.47	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|3DUR|2ZMB	136DUR|23ZMB|3BPWR|4VULN|5NUKE|7RCR|8DMG|9AART|aASPD
32	32323 42525	 * 	196.80	DCR|3VULN|2ASPD|3DUR|1ZMB|1SELL	168DUR|2DMSP|38ASPD|478VULN|5SELL|8BPWR|9ZMB|aRCR
33	11145 62133	 * 	195.49	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1NUKE|1DUR	1BEXP|2VULN|3DUST|4DUR|5MDPS|6RCR|7ASPD|8AART|9DMG|aNUKE
34	11331 42463	 * 	195.48	DCR|2VULN|2DMG|1AART|1CDMG	1BEXP|27VULN|3aDMG|4CDMG|5LHND|6LIT|8AART|9RCR
35	13223 12513	   	195.34	DCR|2DMG|1VULN|1ASPD|1CDMG|2ZMB|1DUR	13BEXP|23ZMB|3BPWR|4DUR|5ASPD|6CDMG|79DMG|8RCR|aVULN
36	43223 12513	   	195.34	DCR|2DMG|1VULN|1ASPD|1CDMG|2ZMB|1DUR	13FEWX|23ZMB|3BPWR|4DUR|5ASPD|6CDMG|79DMG|8RCR|aVULN
37	31314 25362	 * 	195.02	DCR|3VULN|1AART|1DMG|2DUR	1aDUR|279VULN|3DMG|4LWND|5MULARM|6AART|8RCR
38	32526 23423	   	194.94	DCR|2VULN|1AART|1ASPD|2DUR|2ZMB	18DUR|2DMSP|37ZMB|48VULN|58BEXP|6RCR|8BPWR|9ASPD|aAART
39	31351 25362	   	194.92	DCR|3VULN|1AART|1DMG|2DUR	1aDUR|279VULN|3DMG|4BASARM|5LWND|6AART|8RCR
40	31353 25362	   	194.92	DCR|3VULN|1AART|1DMG|2DUR	1aDUR|279VULN|3DMG|4BASARM|5LHND|6AART|8RCR
41	41313 14621	 * 	194.91	DCR|3VULN|2DMG|2CDMG|1SELL	17FEWX|278VULN|39DMG|4LWND|5SELL|67CDMG|7BPWR|aRCR
42	31314 21362	   	194.78	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|29VULN|37DMG|4LWND|5MULARM|6AART|8RCR
43	31314 25342	   	194.78	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|27VULN|39DMG|4LWND|5MULARM|6AART|8RCR
44	31331 21655	 * 	194.78	DCR|2VULN|1ASPD|1DMG|3DUR|1CDMG	167DUR|29VULN|3DMG|4CDMG|5LHND|8RCR|aASPD
45	31351 21362	   	194.68	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|29VULN|37DMG|4BASARM|5LWND|6AART|8RCR
46	31351 25342	   	194.68	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|27VULN|39DMG|4BASARM|5LWND|6AART|8RCR
47	31353 21362	   	194.68	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|29VULN|37DMG|4BASARM|5LHND|6AART|8RCR
48	31353 25342	   	194.68	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|27VULN|39DMG|4BASARM|5LHND|6AART|8RCR
49	31146 32141	 * 	194.36	DCR|2VULN|2ASPD|1AART|3DUR	146DUR|25VULN|3DUST|7aASPD|8AART|9RCR
50	33223 34261	   	194.18	DCR|2VULN|1ASPD|1DMG|3DUR|2ZMB	136DUR|23ZMB|3BPWR|4aVULN|5ASPD|7RCR|8RCVC|9DMG
51	33223 34216	 * 	193.76	DCR|1VULN|1AART|1ASPD|3DUR|1CDMG|2ZMB	136DUR|23ZMB|3BPWR|4VULN|5ASPD|7RCR|8RCVC|9CDMG|aAART
52	31331 26266	 * 	193.70	DCR|2DMG|1AART|1VULN|3DUR|1CDMG	168DUR|2VULN|3aDMG|4CDMG|5LHND|7AART|9RCR
53	31541 14112	 * 	193.12	DCR|3VULN|2CDMG|1ASPD|2DUR	17DUR|27aVULN|3AELBLL|4RPLT|5ASPD|67CDMG|7BPWR|8LWND|9RCR
54	31541 14212	   	193.12	DCR|3VULN|2CDMG|1ASPD|2DUR	17DUR|27aVULN|3AELBLL|4RPLT|5ASPD|67CDMG|7BPWR|8BEXP|9RCR
55	31162 47122	   	193.11	DCR|3VULN|1ASPD|1DMG|2DUR	15DUR|29aVULN|3DUST|4MBVNT|6ASPD|7RCR|8DMG
56	31164 47122	   	193.11	DCR|3VULN|1ASPD|1DMG|2DUR	16DUR|29aVULN|3DUST|4MBVNT|5DMG|7RCR|8ASPD
57	31162 47112	 * 	192.86	DCR|2VULN|2DMG|1ASPD|2DUR	15DUR|2aVULN|3DUST|4MBVNT|6ASPD|7RCR|89DMG
58	31164 47112	   	192.86	DCR|2VULN|2DMG|1ASPD|2DUR	16DUR|2aVULN|3DUST|4MBVNT|59DMG|7RCR|8ASPD
59	31226 12615	   	192.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|25VULN|3AME|4ZMB|6CDMG|7DMG|8RPLT|9RCR|aASPD
60	12322 12513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1BEXP|2DMSP|3ASPD|4DUR|5ZMB|6CDMG|79DMG|8RCR|aVULN
61	12523 12513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1BEXP|2DMSP|3ZMB|4DUR|5ASPD|6CDMG|79DMG|8RCR|aVULN
62	12622 13513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1BEXP|2DMSP|39DMG|4DUR|5ZMB|6CDMG|7ASPD|8RCR|aVULN
63	13423 12513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1BEXP|2ZMB|3AELBLL|4DUR|5ASPD|6CDMG|79DMG|8RCR|aVULN
64	32332 12514	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2DMSP|3ASPD|4LWND|5ZMB|6CDMG|79DMG|8RCR|aVULN
65	32342 12513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2DMSP|3ASPD|4BEXP|5ZMB|6CDMG|79DMG|8RCR|aVULN
66	32533 12514	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2DMSP|3ZMB|4LWND|5ASPD|6CDMG|79DMG|8RCR|aVULN
67	32543 12513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2DMSP|3ZMB|4BEXP|5ASPD|6CDMG|79DMG|8RCR|aVULN
68	32632 13514	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2DMSP|39DMG|4LWND|5ZMB|6CDMG|7ASPD|8RCR|aVULN
69	32642 13513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2DMSP|39DMG|4BEXP|5ZMB|6CDMG|7ASPD|8RCR|aVULN
70	33433 12514	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3AELBLL|4LWND|5ASPD|6CDMG|79DMG|8RCR|aVULN
71	33443 12513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3AELBLL|4BEXP|5ASPD|6CDMG|79DMG|8RCR|aVULN
72	33663 12513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3FEWX|4RCVC|5ASPD|6CDMG|79DMG|8RCR|aVULN
73	36362 13513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2LHND|39DMG|4RCVC|5ZMB|6CDMG|7ASPD|8RCR|aVULN
74	42322 12513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1FEWX|2DMSP|3ASPD|4DUR|5ZMB|6CDMG|79DMG|8RCR|aVULN
75	42523 12513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1FEWX|2DMSP|3ZMB|4DUR|5ASPD|6CDMG|79DMG|8RCR|aVULN
76	42622 13513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1FEWX|2DMSP|39DMG|4DUR|5ZMB|6CDMG|7ASPD|8RCR|aVULN
77	43423 12513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1FEWX|2ZMB|3AELBLL|4DUR|5ASPD|6CDMG|79DMG|8RCR|aVULN
78	43623 12513	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	13FEWX|2ZMB|4DUR|5ASPD|6CDMG|79DMG|8RCR|aVULN
79	11156 25111	   	191.99	DCR|3VULN|1ASPD|1DMG|1ZMB	1BEXP|25aVULN|3DUST|4ZMB|6RCR|7LWND|8ASPD|9DMG
80	11156 21111	   	191.89	DCR|3VULN|1ASPD|1DMG|1ZMB	1BEXP|25aVULN|3DUST|4ZMB|6RCR|7MBVNT|8ASPD|9DMG
81	41156 21111	   	191.89	DCR|3VULN|1ASPD|1DMG|1ZMB	1FEWX|25aVULN|3DUST|4ZMB|6RCR|7MBVNT|8ASPD|9DMG
82	33223 15525	 * 	191.79	DCR|2VULN|2CDMG|1ASPD|3DUR|2ZMB	138DUR|23ZMB|3BPWR|47VULN|5ASPD|69CDMG|aRCR
83	31326 22652	 * 	191.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1DUR|2VULN|3DMG|4AAC|5AME|6RCR|7CDMG|8ASPD|9AART|aMLV
84	31326 22653	   	191.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1DUR|2VULN|3DMG|4AAC|5AME|6RCR|7CDMG|8ASPD|9AART|aFEWX
85	33223 34531	   	191.73	DCR|2ASPD|1VULN|1AART|3DUR|2ZMB	136DUR|23ZMB|3BPWR|4VULN|5aASPD|7RCR|8CGEN|9AART
86	33223 34631	   	191.73	DCR|2ASPD|1VULN|1AART|3DUR|2ZMB	136DUR|23ZMB|3BPWR|4VULN|5aASPD|7RCR|8MLV|9AART
87	31326 22651	   	191.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR|1MSE	1DUR|2VULN|3DMG|4AAC|5AME|6RCR|7CDMG|8ASPD|9AART|aMSE
88	33223 34131	 * 	191.63	DCR|2ASPD|1VULN|1AART|1NUKE|3DUR|2ZMB	136DUR|23ZMB|3BPWR|4VULN|5aASPD|7RCR|8NUKE|9AART
89	33223 34331	   	191.63	DCR|2ASPD|1VULN|1AART|3DUR|2ZMB	136DUR|23ZMB|3BPWR|4VULN|5aASPD|7RCR|8ERES|9AART
90	13361 25343	   	191.56	DCR|2VULN|2DMG|1AART|1ZMB	1BEXP|2ZMB|3SNIFST|47VULN|5LWND|6AART|8RCR|9aDMG
91	13363 25343	   	191.56	DCR|2VULN|2DMG|1AART|1ZMB	1BEXP|2ZMB|3SNIFST|47VULN|5LHND|6AART|8RCR|9aDMG
92	33223 34266	 * 	191.38	DCR|2DMG|1VULN|1ASPD|3DUR|2ZMB	136DUR|23ZMB|3BPWR|4VULN|5ASPD|7RCR|8RCVC|9aDMG
93	11334 23412	 * 	191.33	DCR|3VULN|1MDPS|2DMG|1CDMG	1BEXP|29aVULN|35DMG|4CDMG|6LEGI|7MDPS|8RCR
94	41334 23412	   	191.33	DCR|3VULN|1MDPS|2DMG|1CDMG	1FEWX|29aVULN|35DMG|4CDMG|6LEGI|7MDPS|8RCR
