0	Index      	 *	Score 	Summary	Detail	
1	52231 46132	 * 	217.08	DCR|2VULN|2AART|2DMG|2CDMG|1AAC	1AAC|26AART|38DMG|4LHND|58CDMG|78VULN|8BPWR|9CGEN|aRCR
23	11627 17232	 * 	199.15	DCR|2VULN|2DMG|1AART|1ASPD|1SELL	1RPLT|28VULN|3SELL|4MBVNT|5AART|68LWND|78DMG|8BPWR|9RCR|aASPD
24	11252 21651	 * 	197.88	ACR|3VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1RPLT|24aVULN|3RCR|5DUR|6ASPD|7DMG|8AART|9ZMB
25	52211 34125	   	197.52	DCR|2VULN|1AART|2CDMG|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|4aVULN|58CDMG|6DUR|7RCR|9LHND
26	32515 42332	   	197.44	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	17DUR|2DMG|3MULFIG|4CDMG|5LWND|6RCR|8aVULN|9AART
27	11244 23621	 * 	197.19	ACR|4VULN|3ASPD|3DUR|1AAC	1RPLT|259aVULN|3RCR|479ASPD|6AAC|89aDUR|9aBPWR
28	52212 62112	 * 	197.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	1AAC|2AART|3DMG|45VULN|69DUR|7LHND|8RCR|aASPD
29	52222 32112	   	197.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	1AAC|2AART|3DMG|49DUR|56VULN|7LHND|8RCR|aASPD
30	11252 21522	   	196.95	ACR|3VULN|2DMG|2ASPD|1DUR	1RPLT|249VULN|3RCR|5DUR|69ASPD|79DMG|8RCVC|9BPWR|aLIT
31	11252 21523	   	196.95	ACR|3VULN|2DMG|2ASPD|1DUR	1RPLT|249VULN|3RCR|5DUR|69ASPD|79DMG|8RCVC|9BPWR|aMLV
32	11252 21525	   	196.95	ACR|3VULN|2DMG|2ASPD|1DUR	1RPLT|249VULN|3RCR|5DUR|69ASPD|79DMG|8RCVC|9BPWR|aCGEN
33	11252 21526	   	196.85	ACR|3VULN|2DMG|2ASPD|1DUR|1MSE	1RPLT|249VULN|3RCR|5DUR|69ASPD|79DMG|8RCVC|9BPWR|aMSE
34	63111 63332	 * 	196.03	DCR|5VULN|1MDPS|1DMG|1ZMB	1CGEN|2ZMB|34578VULN|6MDPS|9RCR|aDMG
35	26283 33222	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2MBVNT|3DMG|4ZMB|5ASPD|6AART|7RCR|89VULN|aCGEN
36	26283 33223	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2MBVNT|3DMG|4ZMB|5ASPD|6AART|7RCR|89VULN|aLHND
37	26283 33226	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2MBVNT|3DMG|4ZMB|5ASPD|6AART|7RCR|89VULN|aAME
38	26283 33228	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1aFEWX|2MBVNT|3DMG|4ZMB|5ASPD|6AART|7RCR|89VULN
39	26283 33733	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2MBVNT|3DMG|4ZMB|5ASPD|6AART|7RCR|8CGEN|9aVULN
40	26243 33834	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2MBVNT|3DMG|4MLV|5ASPD|6AART|7RCR|8ZMB|9aVULN
41	26286 33223	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2MBVNT|3DMG|4ZMB|5CGEN|6AART|7RCR|89VULN|aASPD
42	26283 33221	   	195.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2MBVNT|3DMG|4ZMB|5ASPD|6AART|7RCR|89VULN|aLEGI
43	26283 33224	   	195.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1MSE	1FEWX|2MBVNT|3DMG|4ZMB|5ASPD|6AART|7RCR|89VULN|aMSE
44	26283 33227	   	195.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2MBVNT|3DMG|4ZMB|5ASPD|6AART|7RCR|89VULN|aERES
45	43345 33433	   	195.74	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ERES|2ZMB|3ASPD|4DUST|5MBVNT|6AART|7RCR|8DMG|9aVULN
46	11111 21646	   	195.45	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1ZMB|1DUR	1RPLT|2VULN|3DUR|4ZMB|5AAC|6ASPD|79DMG|8AART|aRCR
47	32533 61332	   	195.44	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	15DUR|2DMG|3MULFIG|4LWND|6CDMG|7RCR|8aVULN|9AART
48	32533 61334	 * 	195.12	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	15DUR|2DMG|3MULFIG|4LWND|6CDMG|7RCR|8VULN|9AART|aASPD
49	46212 21632	   	194.89	DCR|3DMG|2VULN|2DUR|1ZMB	124ERES|38DUR|5ZMB|68VULN|78aDMG|8BPWR|9RCR
50	52211 34362	   	194.83	DCR|2DMG|1VULN|2CDMG|1AART|1AAC|1DUR	1AAC|2AART|3aDMG|4VULN|5aCDMG|6DUR|7RCR|8ERES|9aLIT|aBPWR
51	11251 31264	   	194.49	ACR|3VULN|1AART|1ASPD|1DMG|1DUR	1RPLT|245VULN|3RCR|6DMG|7SPLREG|8DUR|9AART|aASPD
52	52222 61112	   	194.36	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|1AAC	1AAC|2AART|37DMG|49DUR|5VULN|6LWND|8RCR|aASPD
53	52232 11112	   	194.36	DCR|2DMG|1AART|1VULN|1ASPD|2DUR|1AAC	1AAC|2AART|37DMG|4LHND|5VULN|69DUR|8RCR|aASPD
54	52242 21112	   	194.36	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|1AAC	1AAC|2AART|37DMG|4BEXP|5VULN|69DUR|8RCR|aASPD
55	52262 21112	   	194.26	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|1AAC	1AAC|2AART|37DMG|4DUST|5VULN|69DUR|8RCR|aASPD
56	52212 31312	   	194.25	DCR|2VULN|2AART|1DMG|1AAC|1ZMB|1DUR	1AAC|29AART|3DMG|45VULN|6AME|7DUR|8ZMB|aRCR
57	52212 64312	   	194.15	DCR|2VULN|2AART|1DMG|1AAC|1ZMB|1DUR	1AAC|29AART|3DMG|45VULN|6DUR|7TLV|8ZMB|aRCR
58	52222 34312	   	194.15	DCR|2VULN|2AART|1DMG|1AAC|1ZMB|1DUR	1AAC|29AART|3DMG|4DUR|56VULN|7TLV|8ZMB|aRCR
59	52222 51312	   	194.15	DCR|2VULN|2AART|1DMG|1AAC|1ZMB|1DUR	1AAC|29AART|3DMG|4DUR|57VULN|6TLV|8ZMB|aRCR
60	32155 22251	 * 	194.12	DCR|1VULN|1ASPD|1DMG|1NUKE|1ZMB|1DUR	1DUR|2DMG|3LIT|4ASPD|5RMIN|6ZMB|7RCR|8SPLREG|9VULN|aNUKE
61	32155 43313	 * 	194.10	DCR|2VULN|2DMG|1ASPD|2DUR|1AAC	19DUR|29DMG|3LIT|4ASPD|5RMIN|6BELT|79VULN|8AAC|9BPWR|aRCR
62	43111 26313	   	194.03	DCR|5VULN|1DMG|1ZMB	1ERES|2ZMB|34589VULN|6BEXP|7DMG|aRCR
63	36113 13651	   	193.93	DCR|3VULN|1ASPD|1CDMG|2DUR|1ZMB	13DUR|23FEWX|3BPWR|468VULN|5ASPD|7ZMB|9CDMG|aRCR
64	32515 43332	   	193.80	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3MULFIG|4CDMG|5LWND|6RCR|7RCVC|8aVULN|9AART
65	32331 24624	   	193.76	DCR|2VULN|1AART|1ASPD|1DMG|1DUR|1SELL	1DUR|2DMG|3SELL|4ASPD|5FEWX|6LWND|7RCR|8AART|9aVULN
66	31113 13651	   	193.73	DCR|3VULN|1ASPD|1CDMG|2DUR|1ZMB	13DUR|23DUST|3BPWR|468VULN|5ASPD|7ZMB|9CDMG|aRCR
67	26281 33227	 * 	193.60	DCR|3VULN|1AART|1DMG|1ZMB	1FEWX|2MBVNT|3DMG|4ZMB|5AART|6ERES|7RCR|89aVULN
68	26284 33227	   	193.60	DCR|3VULN|1AART|1DMG|1ZMB	1FEWX|2MBVNT|3DMG|4ZMB|5ERES|6AART|7RCR|89aVULN
69	11244 51222	   	193.56	ACR|3VULN|2ASPD|2CDMG|1DMG	1aRPLT|259VULN|3RCR|49ASPD|6LHND|7DMG|89CDMG|9BPWR
70	11244 51223	   	193.56	ACR|3VULN|2ASPD|2CDMG|1DMG	1RPLT|259VULN|3RCR|49ASPD|6LHND|7DMG|89CDMG|9BPWR|aFEWX
71	11245 21222	   	193.56	ACR|3VULN|2ASPD|2CDMG|1DMG	1aRPLT|269VULN|3RCR|49ASPD|5LHND|7DMG|89CDMG|9BPWR
72	11245 21223	   	193.56	ACR|3VULN|2ASPD|2CDMG|1DMG	1RPLT|269VULN|3RCR|49ASPD|5LHND|7DMG|89CDMG|9BPWR|aFEWX
73	11245 21224	   	193.56	ACR|3VULN|2ASPD|2CDMG|1DMG	1RPLT|269VULN|3RCR|49ASPD|5LHND|7DMG|89CDMG|9BPWR|aBEXP
74	11245 41222	   	193.56	ACR|3VULN|2ASPD|2CDMG|1DMG	1aRPLT|279VULN|3RCR|49ASPD|5LHND|6DMG|89CDMG|9BPWR
75	11245 41223	   	193.56	ACR|3VULN|2ASPD|2CDMG|1DMG	1RPLT|279VULN|3RCR|49ASPD|5LHND|6DMG|89CDMG|9BPWR|aFEWX
76	52211 26132	   	193.48	DCR|2VULN|2DMG|1AART|1CDMG|1AAC	1AAC|2AART|38DMG|48VULN|5CDMG|6DUST|78AELBLL|8BPWR|9CGEN|aRCR
77	11244 51221	   	193.46	ACR|3VULN|2ASPD|2CDMG|1DMG	1RPLT|259VULN|3RCR|49ASPD|6LHND|7DMG|89CDMG|9BPWR|aDUST
78	11245 21221	   	193.46	ACR|3VULN|2ASPD|2CDMG|1DMG	1RPLT|269VULN|3RCR|49ASPD|5LHND|7DMG|89CDMG|9BPWR|aDUST
79	11245 21226	   	193.46	ACR|3VULN|2ASPD|2CDMG|1DMG	1RPLT|269VULN|3RCR|49ASPD|5LHND|7DMG|89CDMG|9BPWR|aERES
80	11245 41221	   	193.46	ACR|3VULN|2ASPD|2CDMG|1DMG	1RPLT|279VULN|3RCR|49ASPD|5LHND|6DMG|89CDMG|9BPWR|aDUST
81	52222 43151	 * 	193.39	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|2DUR|1AAC	1AAC|2AART|3DMG|4aDUR|5VULN|6CANARM|7RCR|8ASPD|9NUKE
82	52222 43152	   	193.39	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|5VULN|6CANARM|7RCR|8ASPD|9NUKE|aMLV
83	52222 43153	   	193.39	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|5VULN|6CANARM|7RCR|8ASPD|9NUKE|aLHND
84	52211 26142	   	193.38	DCR|2VULN|2DMG|1AART|1CDMG|1AAC	1AAC|2AART|38DMG|48VULN|5CDMG|6DUST|78AELBLL|8BPWR|9ERES|aRCR
85	31233 35123	   	193.28	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2DUST|39DMG|4MLV|5ASPD|6AART|7RMIN|8RCR|aVULN
86	31227 81122	   	193.18	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2DUST|37DMG|4MBVNT|5AART|6RMIN|8RCR|9ASPD|aVULN
87	31443 35123	   	193.18	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2DUST|3TLV|49DMG|5ASPD|6AART|7RMIN|8RCR|aVULN
88	63135 62233	   	193.16	DCR|2VULN|2DMG|1ASPD|1AAC|2ZMB	18CGEN|28ZMB|3aVULN|4AAC|5LIT|68DMG|7RCR|8BPWR|9ASPD
89	52222 12112	 * 	192.85	DCR|2AART|1VULN|1ASPD|1DMG|2DUR|1AAC	1AAC|26AART|3DMG|49DUR|5VULN|7LHND|8RCR|aASPD
90	11335 71641	 * 	192.73	DCR|3VULN|2DMG|2AAC|2DUR	1RPLT|29aVULN|34AAC|5MBVNT|6RCR|79DMG|89DUR|9BPWR
91	32532 61332	   	192.65	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3MULFIG|4LWND|5RCVC|6CDMG|7RCR|8aVULN|9AART
92	52211 34411	   	192.44	DCR|2DMG|1VULN|1AART|1CDMG|2DUR|1AAC	1AAC|2AART|38DMG|4VULN|5CDMG|6aDUR|7RCR|9TLV
93	32532 61334	   	192.33	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2DMG|3MULFIG|4LWND|5RCVC|6CDMG|7RCR|8VULN|9AART|aASPD
94	52212 62123	   	192.23	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|45VULN|6DUR|7LHND|8RCR|9ASPD|aRCVC
95	52222 32123	   	192.23	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|56VULN|7LHND|8RCR|9ASPD|aRCVC
96	43111 63361	   	192.22	DCR|5VULN|1CDMG|1ZMB	1ERES|2ZMB|34568VULN|7CDMG|9RCR|aLWND
97	43111 63363	   	192.22	DCR|5VULN|1CDMG|1ZMB	1ERES|2ZMB|34568VULN|7CDMG|9RCR|aMLV
98	63212 61352	   	192.20	DCR|3VULN|1AART|1CDMG|1AAC|1ZMB|1DUR	1CGEN|2ZMB|3AART|458VULN|6DUR|7AAC|9CDMG|aRCR
99	63215 21333	   	191.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1CGEN|2ZMB|3AART|4aVULN|5LWND|6MBVNT|7DMG|8ASPD|9RCR
100	63232 21333	   	191.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1CGEN|2ZMB|3AART|4LHND|5aVULN|6MBVNT|7DMG|8ASPD|9RCR
101	63242 21333	   	191.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1CGEN|2ZMB|3AART|4BEXP|5aVULN|6MBVNT|7DMG|8ASPD|9RCR
102	52212 62121	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|45VULN|6DUR|7LHND|8RCR|9ASPD|aDMSP
103	52212 62122	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|45VULN|6DUR|7LHND|8RCR|9ASPD|aCGEN
104	52212 62124	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|45VULN|6DUR|7aLHND|8RCR|9ASPD
105	52212 62125	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|45VULN|6DUR|7LHND|8RCR|9ASPD|aLWND
106	52212 62126	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|45VULN|6DUR|7LHND|8RCR|9ASPD|aMLV
107	52222 32121	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|56VULN|7LHND|8RCR|9ASPD|aDMSP
108	52222 32122	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|56VULN|7LHND|8RCR|9ASPD|aCGEN
109	52222 32124	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|56VULN|7aLHND|8RCR|9ASPD
110	52222 32125	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|56VULN|7LHND|8RCR|9ASPD|aLWND
111	52222 32126	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|56VULN|7LHND|8RCR|9ASPD|aMLV
112	43215 21333	   	191.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ERES|2ZMB|3AART|4aVULN|5LWND|6MBVNT|7DMG|8ASPD|9RCR
113	43232 21333	   	191.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ERES|2ZMB|3AART|4LHND|5aVULN|6MBVNT|7DMG|8ASPD|9RCR
114	43242 21333	   	191.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ERES|2ZMB|3AART|4BEXP|5aVULN|6MBVNT|7DMG|8ASPD|9RCR
115	63262 21333	   	191.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1CGEN|2ZMB|3AART|4DUST|5aVULN|6MBVNT|7DMG|8ASPD|9RCR
116	52211 34431	 * 	191.83	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG|1AAC|1DUR	1AAC|2AART|38DMG|4VULN|5CDMG|6DUR|7RCR|9MDPS|aBELT
117	52211 34432	 * 	191.83	DCR|3DMG|1MDPS|1VULN|1AART|1CDMG|1AAC|1DUR	1AAC|2AART|38aDMG|4VULN|5CDMG|6DUR|7RCR|9MDPS
118	52211 34433	   	191.83	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG|1AAC|1DUR	1AAC|2AART|38DMG|4VULN|5CDMG|6DUR|7RCR|9MDPS|aFEWX
119	52222 52126	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|4DUR|5aVULN|6TLV|7CGEN|8RCR|9ASPD
120	11151 24612	 * 	191.78	DCR|3VULN|1AART|1NUKE|1DUR	1RPLT|245VULN|3DUR|6LWND|7RCR|8AART|9DMSP|aNUKE
121	43262 21333	   	191.74	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ERES|2ZMB|3AART|4DUST|5aVULN|6MBVNT|7DMG|8ASPD|9RCR
122	26283 33381	   	191.70	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2MBVNT|3DMG|4ZMB|5ASPD|6AART|7RCR|8DUST|9CDMG|aVULN
123	52211 34162	 * 	191.41	DCR|1SPLARM|3CDMG|1VULN|1AART|1DMG|1AAC|1DUR	1AAC|2AART|3DMG|4VULN|58aCDMG|6DUR|7RCR|9SPLARM
124	52211 43533	 * 	191.40	3VULN|2AART|2DMG|3CDMG|1ASPD|1AAC	1AAC|26AART|39DMG|489VULN|579CDMG|9BPWR|aASPD
125	52313 43124	   	191.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|3MLV|4VULN|5DUR|6SPLJET|7RCR|8ASPD|9aDMG
126	13333 33224	 * 	191.03	DCR|2AART|1VULN|1ASPD|1NUKE|1CDMG|2DUR	1RPLT|2CDMG|3NUKE|48DUR|5ASPD|69AART|7RCR|aVULN
127	52222 43121	   	191.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|39DMG|4DUR|5VULN|6CANARM|7RCR|8ASPD|aLWND
128	52222 43123	   	191.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|39DMG|4DUR|5VULN|6CANARM|7RCR|8ASPD|aAME
129	52222 43125	   	191.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|39DMG|4DUR|5VULN|6CANARM|7RCR|8ASPD|aRPLT
130	52222 43126	   	191.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|39DMG|4DUR|5VULN|6CANARM|7RCR|8ASPD|aBEXP
131	52222 43134	   	191.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|3aDMG|4DUR|5VULN|6CANARM|7RCR|8ASPD|9AME
132	32331 54325	   	190.97	DCR|2DMG|1VULN|1AART|1ASPD|1DUR|1SELL	1DUR|29DMG|3SELL|4ASPD|5FEWX|6BEXP|7RCR|8AART|aVULN
133	52222 43122	   	190.91	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR|1MSE	1AAC|2AART|39DMG|4DUR|5VULN|6CANARM|7RCR|8ASPD|aMSE
134	52222 43124	   	190.91	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2AART|39DMG|4DUR|5VULN|6CANARM|7RCR|8ASPD|aTLV
135	53311 43124	 * 	190.91	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE|1AAC|1DUR	1AAC|2DUR|3NUKE|4VULN|5AART|6CANARM|7RCR|8ASPD|9aDMG
136	11251 26221	 * 	190.89	ACR|4VULN|2DMG|2ZMB|1DUR	1RPLT|2459VULN|3RCR|6LWND|79ZMB|89DMG|9BPWR|aDUR
137	63213 51362	   	190.83	DCR|3VULN|1AART|1CDMG|1ZMB	1CGEN|2ZMB|3AART|478VULN|5RMIN|6MBVNT|9CDMG|aRCR
138	11251 66221	   	190.79	ACR|4VULN|2DMG|2ZMB|1DUR	1RPLT|2459VULN|3RCR|6LEGI|79ZMB|89DMG|9BPWR|aDUR
139	22646 44314	 * 	190.67	DCR|1SPLARM|2VULN|1MDPS|2ASPD|1DMG	1aFEWX|2DMG|3MDPS|4aASPD|5MBVNT|6SPLARM|7RCR|8BEXP|9aVULN|aBPWR
140	25131 62431	   	190.29	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	13FEWX|23BEXP|3BPWR|4DUR|5AART|6CDMG|7RCR|8DMG|9aVULN
141	11251 31262	 * 	190.27	ACR|4VULN|1AART|1DMG|1DUR	1RPLT|245aVULN|3RCR|6DMG|7SPLREG|8DUR|9AART
142	23433 62431	   	190.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2DMSP|3AART|4LHND|5DUR|6CDMG|7RCR|8DMG|9aVULN
143	25331 62431	   	190.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|23BEXP|4DUR|5AART|6CDMG|7RCR|8DMG|9aVULN
144	11161 11326	   	190.18	DCR|3VULN|2DMG|3DUR	1RPLT|269VULN|389DUR|4BEXP|56MLV|69BPWR|79DMG|aRCR
145	52211 34215	   	190.09	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2AART|3DMG|4aVULN|5CDMG|6DUR|7RCR|8LHND|9DMSP
146	52211 34521	   	190.09	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2AART|3DMG|4aVULN|5CDMG|6DUR|7RCR|8AME|9FEWX
147	52211 34531	   	190.09	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2AART|3DMG|4aVULN|5CDMG|6DUR|7RCR|8AME|9LWND
148	13314 13452	 * 	190.09	DCR|2VULN|1AART|1ASPD|1NUKE|1CDMG|1DUR	1RPLT|2CDMG|3NUKE|48VULN|5DUR|6LWND|7RCR|9AART|aASPD
149	11161 41326	   	190.08	DCR|3VULN|2DMG|3DUR	1RPLT|279VULN|389DUR|4BEXP|5MLV|69DMG|9BPWR|aRCR
150	52211 34234	   	189.99	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2AART|3DMG|4aVULN|5CDMG|6DUR|7RCR|8LHND|9LEGI
151	52211 34315	   	189.99	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2AART|3DMG|4aVULN|5CDMG|6DUR|7RCR|8ERES|9MLV
152	52211 34321	   	189.99	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2AART|3DMG|4aVULN|5CDMG|6DUR|7RCR|8ERES|9FEWX
