0	Index      	 *	Score 	Summary	Detail	
1	23535 22353	 * 	296.52	橙橙1易伤1等级2攻速1伤害	17攻速2伤害3赏金邻近4立即金币5等级6易伤8加农对甲9a核
22	23461 23323	   	276.05	橙橙2易伤1伤害1攻速1挖怪	1攻速2伤害3敌人爆炸4技能点5赏金塔68易伤79核a挖怪
23	23461 23324	   	276.05	橙橙2易伤1伤害1攻速	1攻速2伤害3敌人爆炸4技能点5赏金塔68易伤79核a风暴减费
24	24114 11533	   	276.05	橙橙2易伤1伤害1攻速	1攻速2金币生成3伤害4低血量敌人5多重对甲6敌人爆炸78易伤9a核
25	22615 21211	   	276.05	橙橙2等级1易伤1攻速	1攻速2双倍秒伤3易伤45等级6敌人爆炸79核8金币生成a技能点
26	22615 21212	   	276.05	橙橙2等级1易伤1攻速	1攻速2双倍秒伤3易伤45等级6敌人爆炸79核8金币生成a立即金币
27	22615 21213	   	276.05	橙橙2等级1易伤1攻速	1攻速2双倍秒伤3易伤45等级6敌人爆炸79核8金币生成a低血量敌人
28	23545 23323	   	275.95	橙橙2易伤1伤害1攻速1挖怪	1攻速2伤害3赏金邻近4基地爆炸5技能点68易伤79核a挖怪
29	22615 21215	   	275.95	橙橙2等级1易伤1攻速1挖怪	1攻速2双倍秒伤3易伤45等级6敌人爆炸79核8金币生成a挖怪
30	22615 21216	   	275.95	橙橙2等级1易伤1攻速1卖塔	1攻速2双倍秒伤3易伤45等级6敌人爆炸79核8金币生成a卖塔
31	43113 52432	   	275.93	橙橙1易伤1矿等1伤害1暴击	1雷电2低血量敌人3矿等4伤害5最后敌人69核7双倍矿8暴击a易伤
32	23432 25143	   	275.85	橙橙2易伤1伤害1攻速	1攻速2伤害3敌人爆炸4挖尘5基础对愈68易伤7a核9掉矿
33	23632 25143	   	275.85	橙橙2易伤1伤害1攻速	1攻速2伤害3最后敌人4挖尘5基础对愈68易伤7a核9掉矿
34	41113 52432	   	275.83	橙橙1易伤1矿等1伤害1暴击	1雷电2挖尘3矿等4伤害5最后敌人69核7双倍矿8暴击a易伤
35	21242 35613	 * 	275.53	橙橙2等级2攻速1技能	19攻速2挖尘3技能49最后敌人5基础对愈6敌人爆炸7a核89等级9序列升级
36	15131 61211	   	274.21	橙橙1易伤1等级1矿等	1最后敌人2策反3雷电减费4敌人爆炸5易伤6等级79核8金币生成a矿等
37	23123 51124	 * 	273.32	橙2易伤2伤害1等级1矿等1攻速	1攻速23伤害4随机技能59易伤6金币生成7矿等8等级a核
38	43142 53122	   	272.95	橙橙1易伤2攻速1矿等	1雷电2低血量敌人3矿等49攻速5敌人爆炸67核8掉矿a易伤
39	43143 53122	   	272.95	橙橙1易伤2攻速1矿等	1雷电2低血量敌人3矿等49攻速5最后敌人67核8掉矿a易伤
40	12224 11533	   	272.87	橙橙2易伤1技能1攻速	1最后敌人2金币生成3技能4攻速5多重对甲6敌人爆炸78易伤9a核
41	41142 53122	   	272.85	橙橙1易伤2攻速1矿等	1雷电2挖尘3矿等49攻速5敌人爆炸67核8掉矿a易伤
42	41143 53122	   	272.85	橙橙1易伤2攻速1矿等	1雷电2挖尘3矿等49攻速5最后敌人67核8掉矿a易伤
43	21264 11633	   	272.77	橙橙2易伤1技能1攻速	1攻速2挖尘3技能4技能点5多重对甲6敌人爆炸78易伤9a核
44	21242 25143	   	272.67	橙橙2易伤1技能1攻速	1攻速2挖尘3技能4最后敌人5基础对愈68易伤7a核9掉矿
45	25232 25143	   	272.57	橙橙2易伤1技能1攻速	1攻速2基地爆炸3技能4挖尘5基础对愈68易伤7a核9掉矿
46	21113 22545	   	271.82	橙橙1易伤1矿等1攻速1暴击	1攻速2挖尘3雷电减费4矿等5额外掉落6掉矿7暴击8易伤9a核
47	23161 24131	 * 	271.40	橙3易伤3伤害3攻速	145攻速234伤害45序列升级6赏金塔789易伤a核
48	12531 61314	   	270.82	橙橙1易伤1等级1技能	14最后敌人2金币生成3双倍秒伤5易伤6等级79核8技能a时间
49	12151 61314	   	270.72	橙橙1易伤1等级1技能	1最后敌人2金币生成3毒气减费4双倍秒伤5易伤6等级79核8技能a时间
50	43112 54222	   	270.59	橙橙1易伤1矿等1伤害	1雷电2低血量敌人3矿等4伤害5敌人爆炸67核8时间9易伤a随机矿
51	43112 54223	   	270.59	橙橙1易伤1矿等1伤害	1雷电2低血量敌人3矿等4伤害5敌人爆炸67核8时间9易伤a金币生成
52	43132 53221	   	270.59	橙橙1易伤1矿等1伤害	1雷电2低血量敌人3矿等4策反5敌人爆炸67核8时间9易伤a伤害
53	12353 21614	   	270.49	橙橙1易伤1矿等1伤害	1最后敌人2金币生成3矿等4挖青5易伤6敌人爆炸79核8伤害a时间
54	13113 21614	   	270.49	橙橙1易伤1矿等1伤害	1最后敌人2基地爆炸3金币生成4矿等5易伤6敌人爆炸79核8伤害a时间
55	41132 53421	   	270.49	橙橙1易伤1矿等1伤害	1雷电2挖尘3矿等4策反5敌人爆炸67核8时间9易伤a伤害
56	12353 11616	   	270.39	橙橙1易伤1矿等1伤害	1最后敌人2金币生成3矿等4挖青5易伤6雷电减费79核8伤害a时间
57	13113 11614	   	270.39	橙橙1易伤1矿等1伤害	1最后敌人2基地爆炸3金币生成4矿等5易伤6雷电减费79核8伤害a时间
58	13113 61614	   	270.39	橙橙1易伤1矿等1伤害	1最后敌人2基地爆炸3金币生成4矿等5易伤6挖尘79核8伤害a时间
59	21141 61214	   	270.08	橙橙1易伤1等级1攻速	1攻速2挖尘3雷电减费4敌人爆炸5易伤6等级79核8金币生成a时间
60	22625 21214	   	270.08	橙橙1易伤1等级1攻速	1攻速24双倍秒伤3易伤5等级6敌人爆炸79核8金币生成a时间
61	21131 61511	   	270.08	橙橙1易伤1等级1攻速	1攻速2挖尘3雷电减费4时间5易伤6等级79核8随机矿a技能点
62	21131 61512	   	270.08	橙橙1易伤1等级1攻速	1攻速2挖尘3雷电减费4时间5易伤6等级79核8随机矿a额外掉落
63	21131 61513	   	270.08	橙橙1易伤1等级1攻速	1攻速2挖尘3雷电减费4时间5易伤6等级79核8随机矿a敌人爆炸
64	21131 61515	   	270.08	橙橙1易伤1等级1攻速	1攻速2挖尘3雷电减费4时间5易伤6等级79核8随机矿a赏金塔
65	22645 21313	 * 	269.45	橙4易伤3攻速1等级	19a攻速2双倍秒伤389a易伤4风暴减费5等级69a敌人爆炸7核9a序列升级
66	41112 54311	   	269.12	橙橙1易伤1矿等1伤害	1雷电2挖尘3矿等4伤害5敌人爆炸67核8立即金币9易伤a随机技能
67	43132 53151	 * 	268.32	橙橙2易伤1矿等	1雷电2低血量敌人3矿等4策反5敌人爆炸67核8掉矿9a易伤
68	43133 53151	   	268.32	橙橙2易伤1矿等	1雷电2低血量敌人3矿等4策反5最后敌人67核8掉矿9a易伤
69	41132 53151	   	268.22	橙橙2易伤1矿等	1雷电2挖尘3矿等4策反5敌人爆炸67核8掉矿9a易伤
70	41133 53151	   	268.22	橙橙2易伤1矿等	1雷电2挖尘3矿等4策反5最后敌人67核8掉矿9a易伤
71	43132 53225	   	267.42	橙橙1易伤1矿等1技能	1雷电2低血量敌人3矿等4策反5敌人爆炸67核8时间9易伤a技能
72	23432 25633	   	267.33	橙橙2伤害1易伤1攻速	1攻速29伤害3敌人爆炸4挖尘5基础对愈6易伤7a核8技能点
73	12353 21314	   	267.32	橙橙1易伤1矿等1技能	1最后敌人2金币生成3矿等4挖青5易伤6敌人爆炸79核8技能a时间
74	12353 11316	   	267.22	橙橙1易伤1矿等1技能	1最后敌人2金币生成3矿等4挖青5易伤6雷电减费79核8技能a时间
75	12353 61314	   	267.22	橙橙1易伤1矿等1技能	1最后敌人2金币生成3矿等4挖青5易伤6挖尘79核8技能a时间
76	13113 11314	   	267.22	橙橙1易伤1矿等1技能	1最后敌人2基地爆炸3金币生成4矿等5易伤6雷电减费79核8技能a时间
77	13113 61314	   	267.22	橙橙1易伤1矿等1技能	1最后敌人2基地爆炸3金币生成4矿等5易伤6挖尘79核8技能a时间
78	43142 53223	   	266.77	橙橙1易伤1矿等1攻速	1雷电2低血量敌人3矿等4攻速5a敌人爆炸67核8时间9易伤
79	23123 42124	 * 	266.77	橙3易伤2伤害1等级1攻速	1攻速23伤害4随机技能569易伤7挖尘8等级a核
80	43142 53222	   	266.67	橙橙1易伤1矿等1攻速1挖怪	1雷电2低血量敌人3矿等4攻速5敌人爆炸67核8时间9易伤a挖怪
81	22615 21315	 * 	266.60	橙2易伤3等级2攻速1矿等	19攻速2双倍秒伤38易伤459等级69敌人爆炸7核9序列升级a矿等
