0	Index      	 *	Score 	Summary	Detail	
1	24423 15561	 * 	307.35	橙橙2易伤1等级1矿等	1加一28易伤3矿等4随机技能5雷电6等级7赏金塔9a核
22	11433 32351	   	286.11	橙橙1等级1矿等1伤害1技能	1赏金邻近2随机技能3敌人爆炸4伤害5雷电6技能7等级8矿等9a核
23	24238 73382	   	284.57	橙橙2易伤1矿等1攻速	1加一25易伤3寒冰对甲4矿等69核7低血量敌人8金币生成a攻速
24	24238 38382	   	284.47	橙橙2易伤1矿等1攻速	1加一25易伤3寒冰对甲4矿等6挖青79核8金币生成a攻速
25	24233 73382	   	284.28	橙橙2矿等1易伤1攻速	1加一2易伤35寒冰对甲45矿等5序列升级69核7低血量敌人8金币生成a攻速
26	24233 78382	   	284.28	橙橙2矿等1易伤1攻速	1加一2易伤35寒冰对甲45矿等5序列升级69核7最后敌人8金币生成a攻速
27	24481 31671	 * 	284.24	橙2易伤2矿等2伤害1等级	1加一27易伤37矿等4时间5基地爆炸67伤害7序列升级8等级9最后敌人a核
28	24485 31121	   	284.24	橙2易伤2矿等2伤害1等级	1加一27易伤37矿等4时间5敌人爆炸67伤害7序列升级8挖青9等级a核
29	24233 38382	   	284.18	橙橙2矿等1易伤1攻速	1加一2易伤35寒冰对甲45矿等5序列升级6挖青79核8金币生成a攻速
30	24233 75382	   	284.18	橙橙2矿等1易伤1攻速	1加一2易伤35寒冰对甲45矿等5序列升级69核7挖尘8金币生成a攻速
31	24481 31121	   	284.14	橙2易伤2矿等2伤害1等级	1加一27易伤37矿等4时间5基地爆炸67伤害7序列升级8挖青9等级a核
32	24463 73382	   	284.08	橙橙2矿等1易伤1攻速	1加一2易伤35矿等45基础对冰5序列升级69核7低血量敌人8金币生成a攻速
33	24463 38382	   	283.98	橙橙2矿等1易伤1攻速	1加一2易伤35矿等45基础对冰5序列升级6挖青79核8金币生成a攻速
34	24234 68384	   	283.57	橙橙2易伤1矿等	1加一26易伤3寒冰对甲4矿等5时间79核8随机矿a随机技能
35	24431 81661	   	283.01	橙3易伤2矿等2等级	1加一279易伤37矿等49金币生成5时间67基地爆炸79序列升级89等级a核
36	24263 73831	   	281.64	橙3易伤2矿等2等级	1加一24a易伤3寒冰对甲5a等级6核7低血量敌人8随机技能9a矿等a序列升级
37	24423 15161	   	281.15	橙橙1等级1易伤1矿等	1加一2易伤3矿等4随机技能5雷电6等级7赏金塔8立即金币9a核
38	24451 22116	   	280.21	橙2易伤2矿等1等级1伤害2随机技能	1加一28易伤38矿等4伤害5全技能6毒气减费78随机技能8序列升级9核a等级
39	24421 15111	   	279.76	橙2易伤2矿等2等级2随机技能1暴击	1加一28易伤36矿等48随机技能58等级7额外掉落8序列升级9核a暴击
40	25541 15111	   	279.76	橙2易伤2矿等2等级2随机技能1暴击	1加一28随机技能36矿等48易伤58等级7额外掉落8序列升级9核a暴击
41	24142 14835	 * 	279.23	紫橙3易伤2矿等	1加一24a易伤36掉矿59核7a矿等8a策反a序列升级
42	24263 73384	   	278.76	橙橙2易伤1等级	1加一24易伤3寒冰对甲5等级69核7低血量敌人8金币生成a随机技能
43	24743 13661	   	278.76	橙橙2易伤1等级	1加一27易伤3随机技能4金币生成5雷电6等级8赏金邻近9a核
44	24121 43661	   	278.66	橙橙2易伤1等级	1加一27易伤3掉矿4随机技能5等级6雷电8赏金邻近9a核
45	24121 47561	   	278.66	橙橙2易伤1等级	1加一28易伤3掉矿4随机技能5等级6雷电7赏金邻近9a核
46	24123 13661	   	278.66	橙橙2易伤1等级	1加一27易伤3掉矿4随机技能5雷电6等级8赏金邻近9a核
47	24123 17561	   	278.66	橙橙2易伤1等级	1加一28易伤3掉矿4随机技能5雷电6等级7赏金邻近9a核
48	24263 38384	   	278.66	橙橙2易伤1等级	1加一24易伤3寒冰对甲5等级6挖青79核8金币生成a随机技能
49	24711 43661	   	278.66	橙橙2易伤1等级	1加一27易伤3随机技能4掉矿5等级6雷电8赏金邻近9a核
50	24713 13661	   	278.66	橙橙2易伤1等级	1加一27易伤3随机技能4掉矿5雷电6等级8赏金邻近9a核
