0	Index      	 *	Score 	Summary	Detail	
1	15374 28324	 * 	224.13	ACR|1BASARM|1VULN|1ASPD|1DMG|2CDMG|1BEXP	18CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DMG|9BEXP|aASPD
67	15374 26324	   	202.78	ACR|1BASARM|1VULN|1ASPD|2CDMG|1BEXP	18CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7CGEN|9BEXP|aASPD
68	15374 28123	   	202.78	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DMG|8RPLT|9SNIFST|aASPD
69	15374 28222	   	202.78	ACR|1BASARM|1VULN|1DMG|2CDMG|1BEXP	1aCDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DMG|8RMIN|9BEXP
70	15374 28312	   	202.78	ACR|1BASARM|1VULN|1DMG|2CDMG|1BEXP	18CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DMG|9DUR|aBEXP
71	15374 28323	   	202.78	ACR|1BASARM|1VULN|1DMG|2CDMG|1BEXP	18CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DMG|9BEXP|aDUR
72	15374 24325	   	202.68	ACR|1BASARM|1VULN|2CDMG|1DMG|1BEXP	17CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|8DUST|9BEXP|aDMG
73	15374 28321	   	202.68	ACR|1BASARM|1VULN|2CDMG|1DMG|1BEXP	18CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DMG|9BEXP|aDUST
74	15374 24613	   	202.66	ACR|2VULN|1BASARM|2CDMG|1ASPD	17CDMG|28VULN|3MBVNT|4RCR|5TLV|6BASARM|9ASPD|aLWND
75	15374 24611	   	202.56	ACR|2VULN|1BASARM|1ASPD|2CDMG	17CDMG|28VULN|3MBVNT|4RCR|5TLV|6BASARM|9ASPD|aDUST
76	15374 24612	   	202.56	ACR|2VULN|1BASARM|1ASPD|2CDMG	17CDMG|28VULN|3MBVNT|4RCR|5TLV|6BASARM|9ASPD|aAEMAG
77	41333 21552	 * 	202.43	3VULN|1BASARM|2ASPD|2DMG|1BEXP|1AART	1aDMG|2DUST|3AART|49aVULN|5BELT|6BEXP|7BASARM|8aASPD|aBPWR
78	41312 23542	   	202.31	ACR|2ASPD|2DMG|1VULN|2AART	18DMG|2DUST|39AART|4RMIN|5RCR|6VULN|7aASPD
79	33232 26166	 * 	202.12	ACR|2ASPD|1VULN|2BEXP|1DMG|1BASICY	1VULN|28BEXP|3DMG|4LIT|5RCR|6BASICY|7ZMB|9aASPD
80	33232 24366	   	201.98	ACR|2ASPD|1VULN|1DMG|1BASICY|1BEXP|1CDMG|1SELL	1VULN|2BEXP|3DMG|4LIT|5RCR|6BASICY|7CDMG|8SELL|9aASPD
81	45312 21142	   	201.16	ACR|2VULN|2ASPD|2AART|1DMG	1DMG|2FEWX|39AART|4RMIN|5RCR|67VULN|8aASPD
82	41312 21142	   	201.06	ACR|2VULN|2ASPD|2AART|1DMG	1DMG|2DUST|39AART|4RMIN|5RCR|67VULN|8aASPD
83	42312 21622	   	200.69	ACR|3VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	1DMG|2BEXP|3AART|4RMIN|5RCR|678VULN|9AAC|aASPD
84	33232 11423	   	200.69	ACR|2VULN|2ASPD|2DMG|1BEXP	18VULN|2BEXP|39DMG|4LIT|5RCR|6aASPD|7LWND
85	33232 12423	   	200.69	ACR|2VULN|2ASPD|2DMG|1BEXP	18VULN|2BEXP|39DMG|4LIT|5RCR|6aASPD|7LHND
86	15374 28111	   	200.40	ACR|1BASARM|2DMG|1VULN|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7aDMG|8RPLT|9LHND
87	42312 23526	   	200.37	ACR|3DMG|1VULN|1ASPD|1BEXP|1AART	18aDMG|2BEXP|3AART|4RMIN|5RCR|6VULN|7ASPD|9BELT
88	15374 21318	   	200.30	ACR|1BASARM|2ASPD|1VULN|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DUR|8DUST|9aASPD
89	15374 21246	 * 	200.16	ACR|1BASARM|2VULN|2BEXP|1CDMG	1CDMG|2aVULN|3MBVNT|4RCR|5TLV|6BASARM|7aDUR|8LHND|9aBEXP|aBPWR
90	15374 23821	   	199.96	ACR|2VULN|1BASARM|2BEXP|1CDMG	1CDMG|28VULN|3MBVNT|4RCR|5TLV|6BASARM|79BEXP|aLWND
91	15374 23822	   	199.96	ACR|2VULN|1BASARM|2BEXP|1CDMG	1CDMG|28VULN|3MBVNT|4RCR|5TLV|6BASARM|79BEXP|aDUR
92	15374 23824	   	199.96	ACR|2VULN|1BASARM|2BEXP|1CDMG	1CDMG|28VULN|3MBVNT|4RCR|5TLV|6BASARM|79BEXP|aZMB
93	41312 63216	   	199.87	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1AAC	1DMG|2DUST|3AART|4RMIN|5RCR|6BEXP|7LWND|8BASARM|9VULN|aAAC
94	15374 23823	   	199.86	ACR|2VULN|1BASARM|2BEXP|1CDMG	1CDMG|28VULN|3MBVNT|4RCR|5TLV|6BASARM|79BEXP|aMDPS
95	15374 24644	   	199.34	ACR|2VULN|1BASARM|2CDMG|1AART	17CDMG|28VULN|3MBVNT|4RCR|5TLV|6BASARM|9RCVC|aAART
96	42336 21162	   	199.26	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART	1aDMG|2BEXP|3AART|4aCGEN|5RCR|67VULN|8ASPD|9aMLV|aBPWR
97	44216 23223	   	199.19	ACR|2VULN|2ASPD|2DMG	19DMG|23RCVC|4RCR|59ASPD|6DUR|7aVULN|89LIT|9BPWR
98	33232 34514	   	199.16	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP	19VULN|2BEXP|39DMG|4LIT|5RCR|6MDPS|7ASPD|89LHND|9BPWR|aAART
99	15374 21183	   	199.12	ACR|2VULN|1BASARM|2CDMG|1AART	19CDMG|29VULN|3MBVNT|4RCR|5TLV|6BASARM|79DUR|8AART|9BPWR|aRCVC
100	42312 23216	   	199.06	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART	1aDMG|2BEXP|3AART|4RMIN|5RCR|69VULN|7ASPD|8BELT
101	42312 21126	   	199.06	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART	1aDMG|2BEXP|3AART|4RMIN|5RCR|67VULN|8ASPD|9BELT
102	42312 23522	   	199.06	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART	18DMG|2BEXP|3AART|4RMIN|5RCR|6aVULN|7ASPD|9BELT
103	42336 21126	   	199.06	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART	1aDMG|2BEXP|3AART|4CGEN|5RCR|67VULN|8ASPD|9BELT
104	42362 21126	   	198.96	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART	1aDMG|2BEXP|3AART|4AAC|5RCR|67VULN|8ASPD|9BELT
105	42362 23522	   	198.96	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART	18DMG|2BEXP|3AART|4AAC|5RCR|6aVULN|7ASPD|9BELT
106	42362 23216	   	198.96	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART	1aDMG|2BEXP|3AART|4AAC|5RCR|69VULN|7ASPD|8BELT
107	42312 23553	   	198.96	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP	18DMG|2BEXP|3AART|4RMIN|5RCR|6aVULN|7ASPD|9MDPS
108	15374 21181	   	198.79	ACR|2VULN|1BASARM|2CDMG|1AART	19CDMG|29VULN|3MBVNT|4RCR|5TLV|6BASARM|79DUR|8AART|9BPWR|aZMB
109	15374 21182	   	198.79	ACR|2VULN|1BASARM|2CDMG|1AART	19CDMG|29VULN|3MBVNT|4RCR|5TLV|6BASARM|79DUR|8AART|9BPWR|aMLV
110	15374 21184	   	198.79	ACR|2VULN|1BASARM|2CDMG|1AART	19CDMG|29VULN|3MBVNT|4RCR|5TLV|6BASARM|79DUR|8AART|9BPWR|aDMSP
111	15374 24214	   	198.61	ACR|1BASARM|1VULN|1ASPD|2CDMG|1AAC	17CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|8RCVC|9ASPD|aAAC
112	32232 11122	 * 	198.53	ACR|3VULN|3ASPD|1DMG	19aVULN|279LWND|3DMG|4LIT|5RCR|689ASPD|9BPWR
113	56232 11122	   	198.53	ACR|3VULN|3ASPD|1DMG	179LWND|29aVULN|3DMG|4LIT|5RCR|689ASPD|9BPWR
114	15374 21121	   	198.53	ACR|1BASARM|1VULN|2AART|1CDMG|1AAC	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DUR|8aAART|9AAC
115	15374 24624	   	198.49	ACR|2VULN|1BASARM|2CDMG|1AART	17CDMG|28VULN|3MBVNT|4RCR|59TLV|6BASARM|aAART
116	42312 23326	   	198.49	ACR|2DMG|2BEXP|1VULN|1ASPD|1AART	1aDMG|2aBEXP|3AART|4RMIN|5RCR|6VULN|7ASPD|89aFEWX|aBPWR
117	45312 23336	   	198.49	ACR|2DMG|2BEXP|1VULN|1ASPD|1AART	1aDMG|28aFEWX|3AART|4RMIN|5RCR|6VULN|7ASPD|9aBEXP|aBPWR
118	15374 27121	   	198.43	ACR|1BASARM|1VULN|2AART|1CDMG|1AAC	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DUST|8aAART|9AAC
119	42362 23326	   	198.39	ACR|2DMG|2BEXP|1VULN|1ASPD|1AART	1aDMG|2aBEXP|3AART|4AAC|5RCR|6VULN|7ASPD|89aFEWX|aBPWR
120	42312 23534	   	198.37	ACR|2DMG|1VULN|1ASPD|1CDMG|1BEXP|1AART	18DMG|2BEXP|3AART|4RMIN|5RCR|6VULN|7ASPD|9FEWX|aCDMG
121	15374 21123	   	198.36	ACR|1BASARM|1VULN|1BEXP|1AART|1CDMG|1AAC	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DUR|8AART|9AAC|aBEXP
122	15374 23122	   	198.36	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG|1AAC	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7BEXP|8AART|9AAC|aLIT
123	15374 23123	   	198.36	ACR|1BASARM|1VULN|1BEXP|1AART|1CDMG|1AAC	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7BEXP|8AART|9AAC|aFEWX
124	15374 23125	   	198.36	ACR|1BASARM|1VULN|1BEXP|1AART|1CDMG|1AAC	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7BEXP|8AART|9AAC|aDUR
125	15374 23142	   	198.36	ACR|1BASARM|1VULN|1BEXP|1AART|1CDMG|1AAC	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7BEXP|8AART|9DUR|aAAC
126	42312 23236	   	198.29	ACR|2DMG|2BEXP|1VULN|1ASPD|1AART	1aDMG|2aBEXP|3AART|4RMIN|5RCR|6VULN|7ASPD|8BELT|9aDUST|aBPWR
127	42312 23521	   	198.29	ACR|2DMG|1VULN|2BEXP|1ASPD|1AART	18DMG|2aBEXP|3AART|4RMIN|5RCR|6VULN|7ASPD|9BELT
128	15374 23127	   	198.26	ACR|1BASARM|1VULN|1BEXP|1AART|1CDMG|1AAC	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7BEXP|8AART|9AAC|aMDPS
129	33232 15161	   	198.19	ACR|2ASPD|1VULN|2BEXP|1DMG|1AART	1VULN|28BEXP|3DMG|4LIT|5RCR|69ASPD|7VENFST|aAART
130	42362 23236	   	198.19	ACR|2DMG|2BEXP|1VULN|1ASPD|1AART	1aDMG|2aBEXP|3AART|4AAC|5RCR|6VULN|7ASPD|8BELT|9aDUST|aBPWR
131	42362 23521	   	198.19	ACR|2DMG|1VULN|2BEXP|1ASPD|1AART	18DMG|2aBEXP|3AART|4AAC|5RCR|6VULN|7ASPD|9BELT
132	15374 28243	   	198.08	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DMG|8RMIN|9AART|aRCVC
133	15374 24144	 * 	197.81	ACR|1BASARM|1VULN|2AART|2CDMG	17CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|8LHND|9aAART
134	15374 23141	   	197.76	ACR|1BASARM|1VULN|2CDMG|1BEXP|1AART	1aCDMG|2VULN|3MBVNT|4RCR|5aTLV|6BASARM|7BEXP|8AART|9aDUR|aBPWR
135	15374 28241	   	197.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DMG|8RMIN|9AART|aZMB
136	15374 28242	   	197.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DMG|8RMIN|9AART|aMLV
137	15374 28244	   	197.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DMG|8RMIN|9AART|aDMSP
138	15374 21317	   	197.66	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DUR|8DUST|9ASPD|aAART
139	15374 23154	   	197.66	ACR|1BASARM|1VULN|2CDMG|1BEXP|1AART	1aCDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7BEXP|8AART|9ZMB
140	15374 28214	   	197.66	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2VULN|3MBVNT|4RCR|59TLV|6BASARM|7DMG|8RMIN|aAART
141	15374 63312	   	197.66	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6ASPD|7DUST|8BASARM|9ZMB|aAART
142	15374 63322	   	197.66	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	1CDMG|2VULN|3MBVNT|4RCR|5TLV|6ASPD|7DUST|8BASARM|9CGEN|aAART
143	15374 24322	   	197.56	ACR|1BASARM|1VULN|2CDMG|1BEXP|1AART	17CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|8DUST|9BEXP|aAART
144	15373 23841	   	197.54	ACR|2VULN|2ASPD|1CDMG|1BEXP|1AART	1CDMG|26VULN|3MBVNT|4RCR|5LIT|79ASPD|8AART|aBEXP
145	15374 24183	   	197.43	ACR|1BASARM|1VULN|1ASPD|2CDMG|1AAC	17CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|8LHND|9ASPD|aAAC
146	15374 28313	   	197.43	ACR|1BASARM|1VULN|1DMG|2CDMG|1AAC	18CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|7DMG|9DUR|aAAC
147	15374 24814	   	197.33	ACR|1BASARM|1VULN|1ASPD|2CDMG|1AAC	17CDMG|2VULN|3MBVNT|4RCR|5TLV|6BASARM|8AEMAG|9ASPD|aAAC
148	42336 22142	   	197.22	ACR|2ASPD|1VULN|2AART|1DMG|1BEXP	1DMG|2BEXP|39AART|47CGEN|5RCR|6VULN|8aASPD
149	42312 23543	   	197.22	ACR|2DMG|1VULN|2AART|1ASPD|1BEXP	18DMG|2BEXP|39AART|4RMIN|5RCR|6VULN|7ASPD|aLIT
