0	Index      	 *	Score 	Summary	Detail	
1	43343 32232	 * 	236.49	ACR|1BASARM|2VULN|2ASPD|2BEXP	1AME|2RCR|3aASPD|4LHND|59BEXP|68VULN|7BASARM
12	43313 35232	   	224.05	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1AME|2RCR|3aASPD|4TLV|5FEWX|6VULN|7BEXP|8CDMG|9BASARM
13	43333 33242	   	224.05	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1AME|2RCR|3aASPD|4AAC|5FEWX|6VULN|7BASARM|8BEXP|9CDMG
14	43343 32432	   	224.03	ACR|1BASARM|2ASPD|2BEXP|1VULN	1AME|2RCR|3aASPD|4LHND|59BEXP|6VULN|7BASARM|8FEWX
15	43316 15332	   	223.95	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1AME|2RCR|3aASPD|4TLV|5VULN|6DUST|7BEXP|8CDMG|9BASARM
16	43415 33223	 * 	223.93	ACR|1BASARM|2DMG|2BEXP|1VULN	1AME|2RCR|3CGEN|4TLV|56BEXP|7BASARM|89DMG|aVULN
17	43115 33223	   	223.83	ACR|1BASARM|2DMG|2BEXP|1VULN	1AME|2RCR|3ERES|4TLV|56BEXP|7BASARM|89DMG|aVULN
18	43343 32111	   	221.85	ACR|1BASARM|2VULN|2ASPD|1BEXP	1AME|2RCR|39ASPD|4LHND|5BEXP|69VULN|7BASARM|89CGEN|9BPWR|aZMB
19	43343 32112	   	221.85	ACR|1BASARM|2VULN|2ASPD|1BEXP	1AME|2RCR|39ASPD|4LHND|5BEXP|69VULN|7BASARM|89CGEN|9BPWR|aFEWX
20	43343 32114	   	221.85	ACR|1BASARM|2VULN|2ASPD|1BEXP	1AME|2RCR|39ASPD|4LHND|5BEXP|69VULN|7BASARM|89CGEN|9BPWR|aDUR
21	43343 32115	   	221.85	ACR|1BASARM|2VULN|2ASPD|1BEXP	1AME|2RCR|39ASPD|4LHND|5BEXP|69VULN|7BASARM|89CGEN|9BPWR|aLWND
22	43343 32116	   	221.85	ACR|1BASARM|2VULN|2ASPD|1BEXP	1AME|2RCR|39ASPD|4LHND|5BEXP|69VULN|7BASARM|89aCGEN|9BPWR
23	43343 32113	   	221.75	ACR|1BASARM|2VULN|2ASPD|1BEXP	1AME|2RCR|39ASPD|4LHND|5BEXP|69VULN|7BASARM|89CGEN|9BPWR|aERES
24	43343 32422	   	221.65	ACR|1BASARM|2VULN|2ASPD|1BEXP	1AME|2RCR|3aASPD|4LHND|5BEXP|69VULN|7BASARM|8FEWX
25	43415 33232	   	219.99	ACR|1BASARM|2BEXP|1DMG|1VULN|1CDMG	1AME|2RCR|3CGEN|4TLV|56BEXP|7BASARM|8DMG|9CDMG|aVULN
26	43115 33232	   	219.89	ACR|1BASARM|2BEXP|1DMG|1VULN|1CDMG	1AME|2RCR|3ERES|4TLV|56BEXP|7BASARM|8DMG|9CDMG|aVULN
27	43226 23334	 * 	217.94	ACR|3DMG|2ASPD|1VULN|1BEXP	1AME|2RCR|3LIT|4BEXP|59ASPD|6VULN|78aDMG
28	43336 23221	   	216.81	ACR|1BASARM|2DMG|1VULN|1ASPD	1AME|2RCR|3ASPD|4AAC|5VULN|6DMSP|7BASARM|89DMG|aFEWX
29	43336 23222	   	216.81	ACR|1BASARM|2DMG|1VULN|1ASPD	1AME|2RCR|3ASPD|4AAC|5VULN|6DMSP|7BASARM|89DMG|aLWND
30	43336 23225	   	216.81	ACR|1BASARM|2DMG|1VULN|1ASPD	1AME|2RCR|3ASPD|4AAC|5VULN|6DMSP|7BASARM|89DMG|aLIT
31	43336 23226	   	216.81	ACR|1BASARM|2DMG|1VULN|1ASPD	1AME|2RCR|3ASPD|4AAC|5VULN|6DMSP|7BASARM|89DMG|aZMB
32	43336 23252	 * 	216.81	ACR|1BASARM|2ASPD|1VULN|1DMG	1AME|2RCR|3aASPD|4AAC|5VULN|6DMSP|7BASARM|8DMG|9DUR
33	43336 23262	   	216.81	ACR|1BASARM|2ASPD|1VULN|1DMG	1AME|2RCR|3aASPD|4AAC|5VULN|6DMSP|7BASARM|8DMG|9LHND
34	43336 23224	   	216.71	ACR|1BASARM|2DMG|1VULN|1ASPD	1AME|2RCR|3ASPD|4AAC|5VULN|6DMSP|7BASARM|89DMG|aAEMAG
35	43336 23232	   	216.71	ACR|1BASARM|2ASPD|1VULN|1DMG	1AME|2RCR|3aASPD|4AAC|5VULN|6DMSP|7BASARM|8DMG|9MBVNT
36	43333 33635	   	216.71	ACR|1BASARM|2ASPD|1VULN|1DMG	1AME|2RCR|39ASPD|4AAC|5FEWX|6VULN|7BASARM|8ERES|aDMG
37	11544 22332	   	216.51	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1VULN|2AME|3FEWX|4RCR|5DMG|69BEXP|7BASARM|8DUR|aASPD
38	43343 32233	   	216.47	ACR|1BASARM|2VULN|2BEXP|1ASPD	1AME|2RCR|3ASPD|4LHND|59BEXP|68VULN|7BASARM|aFEWX
39	43343 32236	   	216.47	ACR|1BASARM|2VULN|2BEXP|1ASPD	1AME|2RCR|3ASPD|4LHND|59BEXP|68VULN|7BASARM|aCGEN
40	43343 32335	   	216.47	ACR|1BASARM|2VULN|2BEXP|1ASPD	1AME|2RCR|3ASPD|4LHND|59BEXP|6aVULN|7BASARM|8DUR
41	43343 32231	   	216.37	ACR|1BASARM|2VULN|2BEXP|1ASPD	1AME|2RCR|3ASPD|4LHND|59BEXP|68VULN|7BASARM|aDUST
42	43343 32234	   	216.37	ACR|1BASARM|2VULN|2BEXP|1ASPD	1AME|2RCR|3ASPD|4LHND|59BEXP|68VULN|7BASARM|aAEMAG
43	43333 33253	 * 	216.29	ACR|1BASARM|3BEXP|1VULN|1ASPD	1AME|2RCR|3ASPD|4AAC|5FEWX|6VULN|7BASARM|89aBEXP
44	43226 23234	 * 	215.84	ACR|2ASPD|2DMG|2BEXP|1VULN	1AME|2RCR|3LIT|48BEXP|59ASPD|6VULN|7aDMG
45	43226 23332	   	215.84	ACR|2ASPD|2DMG|2BEXP|1VULN	1AME|2RCR|3LIT|4aBEXP|59ASPD|6VULN|78DMG
46	43236 53332	   	215.84	ACR|2ASPD|2DMG|1VULN|2BEXP	1AME|2RCR|3LIT|4VULN|59ASPD|6aBEXP|78DMG
47	43226 23335	 * 	215.59	ACR|2VULN|2ASPD|2DMG|1BEXP	1AME|2RCR|3LIT|4BEXP|59ASPD|6aVULN|78DMG
48	15343 33613	   	215.22	ACR|1BASARM|2DMG|1VULN|1ASPD|1AAC	1VULN|2ERES|3LWND|4RCR|5LIT|6ASPD|78DMG|9AAC|aBASARM
49	14263 31623	 * 	214.42	ACR|2VULN|3BEXP|2DMG|1ASPD	19VULN|2DUST|39DMG|4RCR|5RCVC|6ASPD|7CGEN|89aBEXP|9BPWR
50	11544 12232	   	214.12	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	18VULN|2AME|3FEWX|4RCR|5DMG|6LHND|7BASARM|9BEXP|aASPD
51	11544 22212	   	214.12	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	18VULN|2AME|3FEWX|4RCR|5DMG|6BEXP|7BASARM|9DUR|aASPD
52	11544 22322	   	214.12	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	19VULN|2AME|3FEWX|4RCR|5DMG|6BEXP|7BASARM|8DUR|aASPD
53	15344 22231	   	214.12	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	18VULN|2ERES|3LWND|4RCR|5DMG|6BEXP|7BASARM|9ASPD|aZMB
54	15344 22232	   	214.12	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	18VULN|2ERES|3LWND|4RCR|5DMG|6BEXP|7BASARM|9ASPD|aFEWX
55	15344 22222	   	214.02	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	18VULN|29ERES|3LWND|4RCR|5DMG|6BEXP|7BASARM|aASPD
56	15344 22233	   	214.02	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	18VULN|2aERES|3LWND|4RCR|5DMG|6BEXP|7BASARM|9ASPD
57	43323 41342	   	213.29	ACR|1BASARM|2ASPD|1VULN|1CDMG	1AME|2RCR|36ASPD|4RCVC|5ERES|7LWND|8CDMG|9BASARM|aVULN
58	43323 43342	   	213.29	ACR|1BASARM|2ASPD|1VULN|1CDMG	1AME|2RCR|36ASPD|4RCVC|5ERES|7LHND|8CDMG|9BASARM|aVULN
59	43423 13326	 * 	213.11	ACR|2BASARM|2DMG|1VULN	1AME|2RCR|3aCGEN|4RCVC|5ERES|6LWND|7aBASARM|8VULN|9aDMG|aBPWR
60	43124 13326	   	213.01	ACR|2BASARM|2DMG|1VULN	1AME|2RCR|3aERES|4RCVC|5MLV|6LWND|7aBASARM|8VULN|9aDMG|aBPWR
61	43126 13326	   	213.01	ACR|2BASARM|2DMG|1VULN	1AME|2RCR|3aERES|4RCVC|5CGEN|6LWND|7aBASARM|8VULN|9aDMG|aBPWR
62	43323 41343	 * 	212.91	ACR|2BASARM|2ASPD|1CDMG	1aAME|2RCR|36ASPD|4RCVC|5aERES|7LWND|8CDMG|9aBASARM|aBPWR
63	43323 43343	   	212.91	ACR|2BASARM|2ASPD|1CDMG	1aAME|2RCR|36ASPD|4RCVC|5aERES|7LHND|8CDMG|9aBASARM|aBPWR
64	43413 33222	   	212.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|3CGEN|4TLV|5FEWX|68BEXP|7BASARM|9DMG|aASPD
65	43415 33122	   	212.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|3CGEN|4TLV|56BEXP|7BASARM|8LWND|9DMG|aASPD
66	43113 33222	   	212.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|3ERES|4TLV|5FEWX|68BEXP|7BASARM|9DMG|aASPD
67	43115 33122	   	212.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|3ERES|4TLV|56BEXP|7BASARM|8LWND|9DMG|aASPD
68	43115 33252	   	212.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|3ERES|4TLV|56BEXP|7BASARM|8DMG|9DUR|aASPD
69	43115 33262	   	212.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|3ERES|4TLV|56BEXP|7BASARM|8DMG|9LHND|aASPD
70	43115 33622	   	212.56	ACR|1BASARM|2BEXP|1ASPD|1DMG	1AME|2RCR|3ERES|4TLV|56BEXP|7BASARM|8LEGI|9DMG|aASPD
71	43333 33632	 * 	212.30	ACR|3ASPD|1BASARM|1VULN	1AME|2RCR|39aASPD|4AAC|5FEWX|6VULN|7BASARM|8ERES
72	43343 32215	 * 	212.14	ACR|3VULN|1BASARM|1ASPD|1BEXP	1AME|2RCR|3ASPD|4LHND|5BEXP|68aVULN|7BASARM|9DUR
73	43343 32325	   	212.14	ACR|3VULN|1BASARM|1ASPD|1BEXP	1AME|2RCR|3ASPD|4LHND|5BEXP|69aVULN|7BASARM|8DUR
74	41114 33632	   	211.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1AME|2CDMG|3FEWX|4BEXP|5RCR|6VULN|7ERES|8DMG|9BASARM|aASPD
75	43115 23242	   	211.47	ACR|1BASARM|1DMG|1ASPD|1VULN|1BEXP	1AME|2RCR|3ERES|4TLV|5BEXP|6DMSP|7BASARM|8DMG|9VULN|aASPD
76	14263 31622	   	211.46	ACR|2VULN|2DMG|2BEXP|1ASPD|1AAC	19VULN|2DUST|39DMG|4RCR|5RCVC|6ASPD|7CGEN|89BEXP|9BPWR|aAAC
77	43312 31623	 * 	210.86	ACR|3BEXP|2ASPD|2DMG	1AME|2RCR|39ASPD|4TLV|5DUST|69DMG|7CGEN|89aBEXP|9BPWR
78	43226 23235	 * 	210.49	ACR|2VULN|2ASPD|2BEXP|1DMG	1AME|2RCR|3LIT|48BEXP|59ASPD|6aVULN|7DMG
79	43313 34232	   	210.40	ACR|1BASARM|2ASPD|1VULN|1CDMG	1AME|2RCR|3aASPD|4TLV|5FEWX|6VULN|7LHND|8CDMG|9BASARM
80	43333 33342	   	210.40	ACR|1BASARM|2ASPD|1VULN|1CDMG	1AME|2RCR|3aASPD|4AAC|5FEWX|6VULN|7BASARM|8LHND|9CDMG
81	43343 32124	 * 	210.35	ACR|1BASARM|1VULN|1ASPD|1BASICY|1BEXP	1AME|2RCR|3ASPD|4LHND|5BEXP|6VULN|7BASARM|8CGEN|9RMIN|aBASICY
82	43343 32312	   	210.35	ACR|1BASARM|1VULN|1ASPD|1BASICY|1BEXP	1AME|2RCR|3ASPD|4LHND|5BEXP|6VULN|7BASARM|8DUR|9LWND|aBASICY
83	43343 32412	   	210.35	ACR|1BASARM|1VULN|1ASPD|1BASICY|1BEXP	1AME|2RCR|3ASPD|4LHND|5BEXP|6VULN|7BASARM|8FEWX|9LWND|aBASICY
84	43316 11332	   	210.30	ACR|1BASARM|2ASPD|1VULN|1CDMG	1AME|2RCR|3aASPD|4TLV|5VULN|6DUST|7FEWX|8CDMG|9BASARM
85	43316 14332	   	210.30	ACR|1BASARM|2ASPD|1VULN|1CDMG	1AME|2RCR|3aASPD|4TLV|5VULN|6DUST|7LHND|8CDMG|9BASARM
86	43413 33262	   	210.28	ACR|1BASARM|2ASPD|2BEXP	1AME|2RCR|3CGEN|4TLV|5FEWX|68BEXP|7BASARM|9aASPD
87	43415 33221	   	210.28	ACR|1BASARM|2DMG|2BEXP	1AME|2RCR|3CGEN|4TLV|56BEXP|7BASARM|89DMG|aFEWX
88	43415 33222	   	210.28	ACR|1BASARM|2DMG|2BEXP	1AME|2RCR|3CGEN|4TLV|56BEXP|7BASARM|89DMG|aLWND
89	43336 23215	   	210.27	ACR|1BASARM|2VULN|1ASPD|1DMG	1AME|2RCR|3ASPD|4AAC|5aVULN|6DMSP|7BASARM|8DMG|9MDPS
90	43336 23238	   	210.27	ACR|1BASARM|2VULN|1ASPD|1DMG	1AME|2RCR|3ASPD|4AAC|5aVULN|6DMSP|7BASARM|8DMG|9MBVNT
91	43343 32362	   	210.25	ACR|1BASARM|1VULN|1ASPD|1BASICY|1BEXP	1AME|2RCR|3ASPD|4LHND|5BEXP|6VULN|7BASARM|8DUR|9DUST|aBASICY
92	43115 33221	   	210.18	ACR|1BASARM|2DMG|2BEXP	1AME|2RCR|3ERES|4TLV|56BEXP|7BASARM|89DMG|aFEWX
93	43115 33222	   	210.18	ACR|1BASARM|2DMG|2BEXP	1AME|2RCR|3ERES|4TLV|56BEXP|7BASARM|89DMG|aLWND
94	43115 33225	   	210.18	ACR|1BASARM|2DMG|2BEXP	1AME|2RCR|3ERES|4TLV|56BEXP|7BASARM|89DMG|aLIT
95	43115 33226	   	210.18	ACR|1BASARM|2DMG|2BEXP	1AME|2RCR|3ERES|4TLV|56BEXP|7BASARM|89DMG|aRPLT
96	43115 33224	   	210.08	ACR|1BASARM|2DMG|2BEXP	1AME|2RCR|3ERES|4TLV|56BEXP|7BASARM|89DMG|aAEFBLL
97	14262 82244	   	209.89	ACR|2VULN|1BASARM|1DMG|1BEXP|1AART	18VULN|2DUST|3DMG|4RCR|5MBVNT|6ERES|7BASARM|9BEXP|aAART
98	43324 31611	 * 	209.71	ACR|2VULN|2ASPD|1DMG|2CDMG	1AME|2RCR|3aASPD|4RCVC|5MLV|6DMG|7aVULN|8CGEN|9aCDMG|aBPWR
99	14262 82113	 * 	209.45	ACR|3VULN|1BASARM|2DMG	19aVULN|2DUST|39DMG|4RCR|5MBVNT|6ERES|7BASARM|89CGEN|9BPWR
100	43336 23352	   	209.09	ACR|1BASARM|2ASPD|1VULN|1BEXP	1AME|2RCR|3aASPD|4AAC|5VULN|6DMSP|7BASARM|8CGEN|9BEXP
101	43415 23223	   	209.09	ACR|1BASARM|2DMG|1VULN|1BEXP	1AME|2RCR|3CGEN|4TLV|5BEXP|6DMSP|7BASARM|89DMG|aVULN
102	43115 23223	   	208.99	ACR|1BASARM|2DMG|1VULN|1BEXP	1AME|2RCR|3ERES|4TLV|5BEXP|6DMSP|7BASARM|89DMG|aVULN
103	43333 33636	   	208.99	ACR|1BASARM|2ASPD|1VULN|1BEXP	1AME|2RCR|39ASPD|4AAC|5FEWX|6VULN|7BASARM|8ERES|aBEXP
104	43115 63223	   	208.89	ACR|1BASARM|2DMG|1VULN|1BEXP	1AME|2RCR|36ERES|4TLV|5BEXP|7BASARM|89DMG|aVULN
105	14264 32123	 * 	208.23	ACR|3DMG|2VULN|1ASPD|1AART	1aVULN|2DUST|35aDMG|4RCR|6ASPD|7ZMB|8aAME|9AART|aBPWR
106	14264 32223	   	208.23	ACR|3DMG|2VULN|1ASPD|1AART	1aVULN|2DUST|35aDMG|4RCR|6ASPD|7ZMB|8aERES|9AART|aBPWR
107	43236 53232	 * 	208.22	ACR|3BEXP|2ASPD|1VULN|1DMG	1AME|2RCR|3LIT|4VULN|59ASPD|68aBEXP|7DMG
108	43226 23232	   	208.22	ACR|3BEXP|2ASPD|1VULN|1DMG	1AME|2RCR|3LIT|48aBEXP|59ASPD|6VULN|7DMG
109	43312 31622	   	207.90	ACR|2ASPD|2DMG|2BEXP|1AAC	1AME|2RCR|39ASPD|4TLV|5DUST|69DMG|7CGEN|89BEXP|9BPWR|aAAC
110	43321 53211	   	206.84	ACR|1BASARM|3BEXP|1ASPD	1AME|2RCR|3ASPD|4RCVC|567BEXP|8RPLT|9LSRREG|aBASARM
111	15344 22113	   	206.57	ACR|1BASARM|2VULN|2BEXP|1DMG	1aVULN|29ERES|3LWND|4RCR|5DMG|69BEXP|7BASARM|89CGEN|9BPWR
112	11544 22113	 * 	206.49	ACR|1BASARM|3BEXP|1VULN|1DMG	1VULN|29AME|3FEWX|4RCR|5DMG|69aBEXP|7BASARM|89CGEN|9BPWR
