0	Index      	 *	Score 	Summary	Detail	
1	11167 44216	 * 	268.44	ACR|3DMG|2VULN|1BASARM|2ASPD	18ASPD|2RCR|3MBVNT|4TLV|589DMG|68VULN|7RPLT|8BPWR|aBASARM
27	11361 63522	   	252.63	ACR|3DMG|1BASARM|2ASPD|1VULN	18ASPD|2RCR|3ERES|46aDMG|5BASARM|7LEGI|9VULN
28	11432 11653	   	251.68	ACR|2VULN|3ASPD|3DMG|1BEXP	145ASPD|2RCR|35VULN|5BPWR|6LIT|789DMG|aBEXP
29	11141 46731	 * 	251.45	ACR|4VULN|3ASPD|2BASICY|1AART	189ASPD|2RCR|3MBVNT|49BASICY|5AART|68AEFBLL|789aVULN|89BPWR
30	11442 11522	   	251.00	ACR|3VULN|3ASPD|2DMG|1CDMG	145ASPD|2RCR|345VULN|45BPWR|6LIT|7aDMG|8CDMG|9DUR
31	11361 35312	 * 	250.85	ACR|3ASPD|3DMG|1BASARM	179ASPD|2RCR|3ERES|49aDMG|5BASARM|6LIT|89AEMAG|9BPWR
32	11361 65312	   	250.85	ACR|3ASPD|3DMG|1BASARM	19aASPD|2RCR|3ERES|469DMG|5BASARM|7LIT|89AEMAG|9BPWR
33	11361 64121	   	250.73	ACR|1BASARM|2ASPD|2DMG|1VULN|1CDMG	1aASPD|2RCR|3ERES|46DMG|5BASARM|7FEWX|8VULN|9CDMG
34	11361 31413	   	250.58	ACR|1BASARM|2VULN|2ASPD|2DMG	18ASPD|2RCR|3ERES|48DMG|5BASARM|6LIT|78DUR|8BPWR|9aVULN
35	11361 33413	   	250.58	ACR|1BASARM|2VULN|2ASPD|2DMG	18ASPD|2RCR|3ERES|48DMG|5BASARM|6LIT|78LHND|8BPWR|9aVULN
36	11127 23731	   	250.48	ACR|2BASARM|2ASPD|2DMG|1VULN	1aASPD|2RCR|3MBVNT|4VULN|5MDPS|6aBASARM|7FEWX|8LIT|9aDMG|aBPWR
37	11127 27731	   	250.48	ACR|2BASARM|2ASPD|2DMG|1VULN	1aASPD|2RCR|3MBVNT|4VULN|5MDPS|6aBASARM|7DUR|8LIT|9aDMG|aBPWR
38	11331 62632	   	250.38	ACR|1BASARM|2VULN|2ASPD|2DMG	18ASPD|2RCR|38ERES|4AAC|5BASARM|6aDMG|78VULN|8BPWR|9CGEN
39	11331 62652	   	250.38	ACR|1BASARM|2VULN|2ASPD|2DMG	18ASPD|2RCR|38ERES|4AAC|5BASARM|6aDMG|78VULN|8BPWR|9ZMB
40	11127 26731	   	250.38	ACR|2BASARM|2ASPD|2DMG|1VULN	1aASPD|2RCR|3MBVNT|4VULN|5MDPS|6aBASARM|7LIT|8DUST|9aDMG|aBPWR
41	11361 22435	   	250.28	ACR|1BASARM|2VULN|2ASPD|2DMG	1aASPD|2RCR|39ERES|4aDMG|5BASARM|6TLV|7aVULN|8AAC|aBPWR
42	11331 55211	 * 	249.98	ACR|2BASARM|3BEXP|2ASPD|1CDMG	18ASPD|2RCR|3ERES|4AAC|58BASARM|689BEXP|7RPLT|8BPWR|aCDMG
43	11432 11512	   	249.67	ACR|2VULN|3ASPD|2DMG|1BEXP|1CDMG	145ASPD|2RCR|35VULN|5BPWR|6LIT|7aDMG|8CDMG|9BEXP
44	11171 36483	   	249.60	ACR|2VULN|2ASPD|2DMG|2AART|1BEXP	1aASPD|2RCR|3MBVNT|48AART|5aVULN|6BEXP|7SPLREG|9aDMG|aBPWR
45	11361 52132	   	249.35	ACR|1BASARM|2ASPD|2DMG|1VULN|1BEXP	17ASPD|2RCR|39ERES|4aDMG|5BASARM|6BEXP|8VULN
46	11361 52622	   	249.35	ACR|1BASARM|2DMG|2ASPD|1VULN|1BEXP	17ASPD|2RCR|3ERES|4aDMG|5BASARM|6BEXP|8AEFBLL|9VULN
47	11361 53522	   	249.35	ACR|1BASARM|2ASPD|2DMG|1VULN|1BEXP	18ASPD|2RCR|37ERES|4aDMG|5BASARM|6BEXP|9VULN
48	11141 56183	 * 	249.16	ACR|3ASPD|2DMG|2BASICY|1VULN|1AART	16aASPD|2RCR|3MBVNT|4aBASICY|5AART|7VULN|8DUR|9aDMG|aBPWR
49	11141 54383	   	249.16	ACR|3ASPD|2DMG|2BASICY|1VULN|1AART	16aASPD|2RCR|3MBVNT|4aBASICY|5AART|7LHND|8VULN|9aDMG|aBPWR
50	11141 72336	 * 	248.86	ACR|2VULN|2ASPD|2DMG|2BASICY|1AART	19ASPD|2RCR|3MBVNT|49BASICY|5AART|6aDMG|7MLV|89VULN|9BPWR
51	11361 52512	   	248.85	ACR|3ASPD|1BASARM|2DMG|1BEXP	178ASPD|2RCR|3ERES|4aDMG|5BASARM|6BEXP|9ZMB
52	11141 21336	   	248.76	ACR|2VULN|2ASPD|2DMG|2BASICY|1AART	19ASPD|2RCR|3MBVNT|49BASICY|5AART|6AME|7aDMG|89VULN|9BPWR
53	11361 15325	   	248.75	ACR|3ASPD|1BASARM|2DMG|1CDMG	178ASPD|2RCR|38ERES|4aDMG|5BASARM|68SNIHEL|8BPWR|9CDMG
54	11432 11212	   	248.55	ACR|2VULN|3ASPD|1BASARM|1DMG	145ASPD|2RCR|35VULN|5BPWR|6LIT|7DMG|8DUR|9DUST|aBASARM
55	11232 42312	 * 	247.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1BASICY|1BEXP|1AART	1ASPD|2RCR|3LHND|4AART|5MDPS|6VULN|7BASICY|8BASARM|9BEXP|aDMG
56	11562 42312	   	247.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1BASICY|1AART|1BEXP	1ASPD|2RCR|3FEWX|4AART|5MDPS|6VULN|7BASICY|8BASARM|9BEXP|aDMG
57	11622 42312	   	247.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1BASICY|1BEXP|1AART	1ASPD|2RCR|3AART|4LHND|5MDPS|6VULN|7BASICY|8BASARM|9BEXP|aDMG
58	11331 65231	   	247.96	ACR|1BASARM|2ASPD|1VULN|1DMG|1AART|1CDMG	18ASPD|2RCR|3ERES|4AAC|5BASARM|6DMG|7CDMG|9AART|aVULN
59	11361 15231	 * 	247.93	ACR|1BASARM|2ASPD|2DMG|2BEXP	17ASPD|2RCR|3ERES|4aDMG|5BASARM|6SNIHEL|89BEXP
60	11127 21312	   	247.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1BASICY|1BEXP|1AART	1ASPD|2RCR|3MBVNT|4VULN|5MDPS|6BASARM|7AART|8BASICY|9BEXP|aDMG
61	11172 52312	   	247.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1BASICY|1BEXP|1AART	1ASPD|2RCR|3MBVNT|4AART|5MDPS|6VULN|7BASICY|8BASARM|9BEXP|aDMG
62	11642 42312	   	247.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1BASICY|1BEXP|1AART	1ASPD|2RCR|3AART|4DUST|5MDPS|6VULN|7BASICY|8BASARM|9BEXP|aDMG
63	11443 13333	   	247.82	ACR|3VULN|3ASPD|2DMG|1BEXP	148ASPD|2RCR|347VULN|48BPWR|58DMG|68DUST|9LHND|aBEXP
64	11443 13342	   	247.82	ACR|3VULN|3ASPD|2DMG|1BEXP	148ASPD|2RCR|347VULN|48BPWR|58DMG|68DUST|9CGEN|aBEXP
65	11443 13362	   	247.72	ACR|3VULN|3ASPD|2DMG|1BEXP	148ASPD|2RCR|347VULN|48BPWR|58DMG|689DUST|aBEXP
66	11361 52513	   	247.51	ACR|3ASPD|1BASARM|1DMG|1VULN|1BEXP	178ASPD|2RCR|3ERES|4DMG|5BASARM|6BEXP|9ZMB|aVULN
67	11361 52521	   	247.51	ACR|3ASPD|1BASARM|1VULN|1DMG|1BEXP	178ASPD|2RCR|3ERES|4DMG|5BASARM|6BEXP|9VULN|aLIT
68	11361 52523	   	247.51	ACR|3ASPD|1BASARM|1VULN|1DMG|1BEXP	178ASPD|2RCR|3ERES|4DMG|5BASARM|6BEXP|9VULN|aMLV
69	11361 66132	   	247.41	ACR|3DMG|1BASARM|1VULN|1ASPD|1BEXP	1ASPD|2RCR|39ERES|46aDMG|5BASARM|7BEXP|8VULN
70	11442 11153	   	247.39	ACR|4VULN|3ASPD|2DMG	145ASPD|2RCR|3458VULN|45BPWR|6LIT|79DMG|aRCVC
71	11442 11132	   	247.06	ACR|4VULN|3ASPD|2DMG	145ASPD|2RCR|3458VULN|45BPWR|6LIT|7aDMG|9RPLT
72	11442 11151	   	247.06	ACR|4VULN|3ASPD|2DMG	145ASPD|2RCR|3458VULN|45BPWR|6LIT|79DMG|aCGEN
73	11442 11631	   	247.06	ACR|4VULN|3ASPD|2DMG	145ASPD|2RCR|345aVULN|45BPWR|6LIT|78DMG|9RPLT
74	11432 62612	   	247.06	ACR|4VULN|3ASPD|2DMG	145ASPD|2RCR|3578VULN|58BPWR|68DMG|9CGEN|aBELT
75	11432 62621	   	247.06	ACR|4VULN|3ASPD|2DMG	145ASPD|2RCR|3578VULN|58BPWR|68DMG|9LWND|aLIT
76	11432 62622	   	247.06	ACR|4VULN|3ASPD|2DMG	145ASPD|2RCR|3578VULN|58BPWR|68DMG|9LWND|aRMIN
77	11442 11114	   	246.96	ACR|4VULN|3ASPD|2DMG	145ASPD|2RCR|3458VULN|45BPWR|6LIT|7aDMG|9TLV
78	11442 11152	   	246.96	ACR|4VULN|3ASPD|2DMG	145ASPD|2RCR|3458VULN|45BPWR|6LIT|79DMG|aDUST
79	11432 62613	   	246.96	ACR|4VULN|3ASPD|2DMG	145ASPD|2RCR|3578VULN|58BPWR|68DMG|9CGEN|aMDPS
80	11432 62623	   	246.96	ACR|4VULN|3ASPD|2DMG	145ASPD|2RCR|3578VULN|58BPWR|68DMG|9LWND|aERES
81	11432 62632	   	246.96	ACR|4VULN|3ASPD|2DMG	145ASPD|2RCR|3578VULN|58BPWR|68DMG|9ERES|aBELT
82	11443 13351	   	246.96	ACR|4VULN|3ASPD|2DMG	148ASPD|2RCR|3479VULN|48BPWR|58DMG|68DUST|aLIT
83	11443 13352	   	246.96	ACR|4VULN|3ASPD|2DMG	148ASPD|2RCR|3479VULN|48BPWR|58DMG|68DUST|aRMIN
84	11432 62633	   	246.86	ACR|4VULN|3ASPD|2DMG	145ASPD|2RCR|3578VULN|58BPWR|68DMG|9ERES|aMDPS
85	11443 13353	   	246.86	ACR|4VULN|3ASPD|2DMG	148ASPD|2RCR|3479VULN|48BPWR|58DMG|68DUST|aERES
86	11612 42363	 * 	246.64	ACR|1BASARM|2VULN|2ASPD|1BASICY|1AART	1aASPD|2RCR|3AART|4DUR|5MDPS|6aVULN|7BASICY|8BASARM|9aCGEN|aBPWR
87	11622 42363	   	246.64	ACR|1BASARM|2VULN|2ASPD|1BASICY|1AART	1aASPD|2RCR|3AART|4LHND|5MDPS|6aVULN|7BASICY|8BASARM|9aCGEN|aBPWR
88	11232 42363	   	246.64	ACR|1BASARM|2VULN|2ASPD|1BASICY|1AART	1aASPD|2RCR|3LHND|4AART|5MDPS|6aVULN|7BASICY|8BASARM|9aCGEN|aBPWR
89	11172 52373	   	246.54	ACR|1BASARM|2VULN|2ASPD|1BASICY|1AART	1aASPD|2RCR|3MBVNT|4AART|5MDPS|6aVULN|7BASICY|8BASARM|9aCGEN|aBPWR
90	11127 21373	   	246.54	ACR|1BASARM|2VULN|2ASPD|1BASICY|1AART	1aASPD|2RCR|3MBVNT|4aVULN|5MDPS|6BASARM|7AART|8BASICY|9aCGEN|aBPWR
91	11612 42333	   	246.44	ACR|1BASARM|2VULN|2ASPD|1BASICY|1AART	1aASPD|2RCR|3AART|4DUR|5MDPS|6aVULN|7BASICY|8BASARM|9aAME|aBPWR
92	11622 42333	   	246.44	ACR|1BASARM|2VULN|2ASPD|1BASICY|1AART	1aASPD|2RCR|3AART|4LHND|5MDPS|6aVULN|7BASICY|8BASARM|9aAME|aBPWR
93	11232 42333	   	246.44	ACR|1BASARM|2VULN|2ASPD|1BASICY|1AART	1aASPD|2RCR|3LHND|4AART|5MDPS|6aVULN|7BASICY|8BASARM|9aAME|aBPWR
94	11562 42333	   	246.44	ACR|1BASARM|2VULN|2ASPD|1BASICY|1AART	1aASPD|2RCR|3FEWX|4AART|5MDPS|6aVULN|7BASICY|8BASARM|9aAME|aBPWR
95	11172 52333	   	246.34	ACR|1BASARM|2VULN|2ASPD|1BASICY|1AART	1aASPD|2RCR|3MBVNT|4AART|5MDPS|6aVULN|7BASICY|8BASARM|9aAME|aBPWR
96	11172 52345	   	246.34	ACR|2VULN|1BASARM|2ASPD|1BASICY|1AART	1aASPD|2RCR|3MBVNT|4AART|5MDPS|69VULN|7BASICY|8BASARM
97	11642 42333	   	246.34	ACR|1BASARM|2VULN|2ASPD|1BASICY|1AART	1aASPD|2RCR|3AART|4DUST|5MDPS|6aVULN|7BASICY|8BASARM|9aAME|aBPWR
98	11127 21333	   	246.34	ACR|1BASARM|2VULN|2ASPD|1BASICY|1AART	1aASPD|2RCR|3MBVNT|4aVULN|5MDPS|6BASARM|7AART|8BASICY|9aAME|aBPWR
99	11127 21345	   	246.34	ACR|2VULN|1BASARM|2ASPD|1BASICY|1AART	1aASPD|2RCR|3MBVNT|49VULN|5MDPS|6BASARM|7AART|8BASICY
100	11361 52511	 * 	246.10	ACR|3ASPD|1BASARM|2BEXP|1DMG	178ASPD|2RCR|3ERES|4DMG|5BASARM|6aBEXP|9ZMB
101	11331 61165	   	245.88	ACR|2BASARM|2VULN|2ASPD|1DMG	1aASPD|2RCR|3ERES|4AAC|5aBASARM|6DMG|7CGEN|8aVULN|9RCVC|aBPWR
102	11361 52114	   	245.40	ACR|1BASARM|2ASPD|2BEXP|1VULN|1DMG	17ASPD|2RCR|3ERES|4DMG|5BASARM|6aBEXP|8VULN|9FEWX
103	11147 25335	   	245.38	ACR|1BASARM|1ASPD|1DMG|1BASICY|1BEXP|1AART|1CDMG	1ASPD|2RCR|3MBVNT|4BASICY|5CGEN|6CDMG|7AART|8BASARM|9DMG|aBEXP
104	11361 52124	   	245.30	ACR|1BASARM|2ASPD|2BEXP|1VULN|1DMG	17ASPD|2RCR|3ERES|4DMG|5BASARM|6aBEXP|8VULN|9DUST
105	11331 61155	   	245.13	ACR|2BASARM|2VULN|2ASPD|1DMG	1aASPD|2RCR|3ERES|4AAC|5aBASARM|6DMG|79CGEN|8aVULN|aBPWR
106	11361 15233	   	244.93	ACR|2BASARM|2ASPD|2BEXP|1DMG	17ASPD|2RCR|3ERES|4DMG|5aBASARM|6SNIHEL|89BEXP
107	11361 51251	   	244.91	ACR|3ASPD|1BASARM|1DMG|1BEXP|1CDMG	19aASPD|2RCR|3ERES|4DMG|5BASARM|6BEXP|7CDMG|8FEWX
108	11127 26141	 * 	244.89	ACR|1BASARM|2VULN|2ASPD|2BEXP	1aASPD|2RCR|3MBVNT|4aVULN|5MDPS|6BASARM|7LIT|8aBEXP|9AAC|aBPWR
109	11127 25162	   	244.79	ACR|2VULN|1BASARM|2ASPD|2BEXP	19ASPD|2RCR|3MBVNT|49VULN|5MDPS|6BASARM|7SNITOX|89BEXP|9BPWR|aAAC
110	11443 23335	 * 	244.75	ACR|2VULN|2ASPD|2BEXP|2AART|1DMG	14ASPD|2RCR|34VULN|4BPWR|5DMG|6LWND|78BEXP|9aAART
111	11141 45523	 * 	244.65	ACR|3ASPD|3DMG|2BASICY|1AART	19aASPD|2RCR|3MBVNT|4aBASICY|5AART|69AEFBLL|7AAC|89aDMG|9aBPWR
112	11331 55215	   	244.18	ACR|2BASARM|3BEXP|2ASPD	18ASPD|2RCR|3ERES|4aAAC|58BASARM|689BEXP|7RPLT|8BPWR
113	11326 63311	   	244.10	ACR|1BASARM|2ASPD|2BEXP|1DMG|1CDMG	1aASPD|2RCR|3ERES|49BEXP|5DMG|6CDMG|7LHND|8BASARM
114	11331 62624	   	244.10	ACR|1BASARM|2VULN|2ASPD|1DMG|1BEXP	18ASPD|2RCR|38ERES|4AAC|5BASARM|6DMG|78VULN|8BPWR|9LIT|aBEXP
115	11331 62631	   	244.10	ACR|1BASARM|2VULN|2ASPD|1DMG|1BEXP	18ASPD|2RCR|38ERES|4AAC|5BASARM|6DMG|78VULN|8BPWR|9CGEN|aBEXP
116	11331 62651	   	244.10	ACR|1BASARM|2VULN|2ASPD|1DMG|1BEXP	18ASPD|2RCR|38ERES|4AAC|5BASARM|6DMG|78VULN|8BPWR|9ZMB|aBEXP
117	11361 51211	   	244.10	ACR|1BASARM|2ASPD|2BEXP|1DMG|1CDMG	1aASPD|2RCR|3ERES|4DMG|5BASARM|69BEXP|7CDMG|8FEWX
118	11361 52413	   	244.10	ACR|1BASARM|2ASPD|2VULN|1DMG|1BEXP	17ASPD|2RCR|3ERES|4DMG|5BASARM|6BEXP|8LIT|9aVULN
119	11442 15212	   	243.98	ACR|3VULN|3ASPD|1DMG|1BEXP|1CDMG	145ASPD|2RCR|345VULN|45BPWR|6LIT|7CDMG|8ZMB|9BEXP|aDMG
120	11442 22263	   	243.98	ACR|3VULN|3ASPD|1DMG|1BEXP|1CDMG	145ASPD|2RCR|345VULN|45BPWR|6LWND|7RMIN|8CDMG|9DMG|aBEXP
121	11442 32263	   	243.98	ACR|3VULN|3ASPD|1DMG|1BEXP|1CDMG	145ASPD|2RCR|345VULN|45BPWR|6LHND|7RMIN|8CDMG|9DMG|aBEXP
122	11331 65613	   	243.94	ACR|2BASARM|2ASPD|1DMG|1AART|1CDMG	1aASPD|2RCR|3ERES|4AAC|5aBASARM|6DMG|7CDMG|8aLWND|9AART|aBPWR
123	11442 11513	   	243.88	ACR|3VULN|3ASPD|1DMG|1BEXP|1CDMG	145ASPD|2RCR|345VULN|45BPWR|6LIT|7DMG|8CDMG|9BEXP|aTLV
124	11442 13512	   	243.88	ACR|3VULN|3ASPD|1DMG|1BEXP|1CDMG	145ASPD|2RCR|345VULN|45BPWR|6LIT|7TLV|8CDMG|9BEXP|aDMG
125	11442 21263	   	243.88	ACR|3VULN|3ASPD|1DMG|1BEXP|1CDMG	145ASPD|2RCR|345VULN|45BPWR|6LWND|7AAC|8CDMG|9DMG|aBEXP
126	11442 31263	   	243.88	ACR|3VULN|3ASPD|1DMG|1BEXP|1CDMG	145ASPD|2RCR|345VULN|45BPWR|6LHND|7AAC|8CDMG|9DMG|aBEXP
127	11432 11511	   	243.88	ACR|3VULN|3ASPD|1DMG|1BEXP|1CDMG	145ASPD|2RCR|35aVULN|5BPWR|6LIT|7DMG|8CDMG|9BEXP
128	11422 11121	 * 	243.79	ACR|4VULN|1BASARM|2ASPD|1BEXP	15ASPD|2RCR|345aVULN|5BPWR|6AME|7RPLT|8BASARM|9BEXP
129	11422 41121	   	243.79	ACR|4VULN|1BASARM|2ASPD|1BEXP	15ASPD|2RCR|345aVULN|5BPWR|6ERES|7RPLT|8BASARM|9BEXP
130	11442 61212	   	243.78	ACR|3VULN|3ASPD|1DMG|1BEXP|1CDMG	145ASPD|2RCR|345VULN|45BPWR|6DMG|7DUST|8CDMG|9MDPS|aBEXP
131	11361 35214	   	243.61	ACR|3ASPD|1BASARM|2DMG	179ASPD|2RCR|39ERES|48DMG|5BASARM|69LIT|9BPWR|aAAC
132	11442 11521	   	243.13	ACR|4VULN|3ASPD|1DMG|1CDMG	145ASPD|2RCR|345aVULN|45BPWR|6LIT|7DMG|8CDMG|9DUR
133	11141 72334	 * 	243.06	ACR|3VULN|2ASPD|2BASICY|1DMG|1AART	19ASPD|2RCR|3MBVNT|49BASICY|5AART|6DMG|7MLV|89aVULN|9BPWR
134	11141 74663	   	243.06	ACR|3VULN|2ASPD|2BASICY|1DMG|1AART	1aASPD|2RCR|3MBVNT|4aBASICY|5AART|6DMG|7FEWX|89aVULN|aBPWR
135	11141 21334	   	242.96	ACR|3VULN|2ASPD|2BASICY|1DMG|1AART	19ASPD|2RCR|3MBVNT|49BASICY|5AART|6AME|7DMG|89aVULN|9BPWR
136	11422 11135	   	242.90	ACR|3VULN|1BASARM|2ASPD|1DMG	15ASPD|2RCR|345VULN|5BPWR|6AME|7RPLT|8BASARM|9MLV|aDMG
137	11422 41135	   	242.90	ACR|3VULN|1BASARM|2ASPD|1DMG	15ASPD|2RCR|345VULN|5BPWR|6ERES|7RPLT|8BASARM|9MLV|aDMG
138	11127 22827	 * 	242.70	ACR|3VULN|1BASARM|2DMG|1ASPD	1ASPD|2RCR|3MBVNT|479VULN|5MDPS|6BASARM|8aDMG
139	11422 11152	   	242.66	ACR|3VULN|1BASARM|2ASPD|1DMG|1SELL	15ASPD|2RCR|345VULN|5BPWR|6AME|7RPLT|8BASARM|9SELL|aDMG
140	11422 41152	   	242.66	ACR|3VULN|1BASARM|2ASPD|1DMG|1SELL	15ASPD|2RCR|345VULN|5BPWR|6ERES|7RPLT|8BASARM|9SELL|aDMG
141	11141 55521	   	242.65	ACR|3ASPD|2DMG|2BASICY|1AART|1CDMG	169ASPD|2RCR|3MBVNT|49BASICY|5AART|7AAC|89DMG|9BPWR|aCDMG
142	11443 13334	   	242.47	ACR|3VULN|3ASPD|2DMG	148ASPD|2RCR|347VULN|48BPWR|58DMG|68DUST|9LHND|aAAC
143	11171 47183	   	242.04	ACR|2VULN|2ASPD|2DMG|1BASICY|1AART	1aASPD|2RCR|3MBVNT|4AART|5aVULN|6BASICY|7RCVC|8DUR|9aDMG|aBPWR
144	11442 11413	   	241.92	ACR|3VULN|3ASPD|2BEXP|1DMG	145ASPD|2RCR|345VULN|45BPWR|6LIT|7DMG|8aBEXP|9DUST
145	11442 11422	   	241.92	ACR|3VULN|3ASPD|2BEXP|1DMG	145ASPD|2RCR|345VULN|45BPWR|6LIT|7DMG|8aBEXP|9ERES
146	11432 62333	   	241.92	ACR|3VULN|3ASPD|2BEXP|1DMG	145ASPD|2RCR|357VULN|5BPWR|6DMG|8aBEXP|9LHND
147	11442 12513	 * 	241.91	ACR|4VULN|3ASPD|2AART	145ASPD|2RCR|3459VULN|459BPWR|69LIT|79FEWX|8aAART
148	11432 62363	   	241.82	ACR|3VULN|3ASPD|2BEXP|1DMG	145ASPD|2RCR|357VULN|5BPWR|6DMG|8aBEXP|9DUST
149	11171 41283	   	241.61	ACR|2VULN|2ASPD|2DMG|1BASICY|1AART	1aASPD|2RCR|3MBVNT|4AART|5aVULN|6BASICY|7LHND|8RCVC|9aDMG|aBPWR
150	11612 42263	   	241.57	ACR|1BASARM|1VULN|1ASPD|1BASICY|1AART|1CDMG|1BEXP	1ASPD|2RCR|3AART|4DUR|5MDPS|6VULN|7BASICY|8CDMG|9BASARM|aBEXP
151	11425 23153	 * 	241.57	ACR|4VULN|3ASPD|3BEXP	19aASPD|2RCR|348aVULN|579BEXP|69aCGEN|9aBPWR
152	11422 65333	   	241.47	ACR|4VULN|3ASPD|3BEXP	158ASPD|2RCR|3458VULN|58BPWR|6RMIN|78aBEXP|9LHND
153	11123 52481	   	240.96	ACR|2BASARM|2VULN|2ASPD|1AART	1aASPD|2RCR|3MBVNT|4aVULN|5NUKE|6LIT|7AART|8DUST|9aBASARM|aBPWR
