0	Index      	 *	Score 	Summary	Detail	
1	41335 32226	 * 	222.30	ACR|3DMG|1BASARM|3BEXP	129BEXP|367DMG|4RMIN|5RCR|8ERES|aBASARM
64	14422 24133	 * 	198.96	ACR|1BASARM|3BEXP|1ASPD	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|79aBEXP|8ERES
65	14422 24233	   	198.96	ACR|1BASARM|3BEXP|1ASPD	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|79aBEXP|8AME
66	52322 22155	   	198.86	ACR|3DMG|1VULN|1CDMG|1BEXP|1AART	1CDMG|2CGEN|3AAC|4RCR|569DMG|7AART|8VULN|aBEXP
67	63325 11413	 * 	198.29	ACR|2ASPD|2BEXP|1VULN|1DMG|1AART	13LHND|29ASPD|4DMG|5RCR|68BEXP|7VULN|aAART
68	33525 12331	   	197.76	ACR|3DMG|3BEXP|1ASPD	18ERES|2RCVC|368BEXP|478DMG|5RCR|8BPWR|9RPLT|aASPD
69	41335 31361	   	197.72	ACR|1BASARM|2DMG|2BEXP	12BEXP|36DMG|4RMIN|5RCR|79RCVC|8LSRICY|aBASARM
70	33525 42311	   	197.51	ACR|3DMG|2BEXP|1VULN|1AART	168ERES|2RCVC|38BEXP|478DMG|5RCR|8BPWR|9AART|aVULN
71	41333 13451	 * 	197.36	DCR|3ASPD|3DMG|3BEXP	127BEXP|379DMG|4RMIN|5AAC|678ASPD|7BPWR|aRCR
72	45623 12311	   	197.36	DCR|3ASPD|3DMG|3BEXP	138BEXP|278ASPD|468DMG|5AAC|8BPWR|9RMIN|aRCR
73	41335 33351	   	197.32	ACR|3DMG|3BEXP|1VULN|1AAC	127BEXP|367DMG|4RMIN|5RCR|7BPWR|8VULN|9AAC|aRPLT
74	41335 33352	   	197.32	ACR|3DMG|3BEXP|1VULN|1AAC	127BEXP|367DMG|4RMIN|5RCR|7BPWR|8VULN|9AAC|aFEWX
75	14422 32432	   	197.25	ACR|1BASARM|2VULN|2BEXP|1AAC	1DUR|2DLOT|3RCR|4LHND|5BASARM|68VULN|79BEXP|aAAC
76	41335 33353	   	197.22	ACR|3DMG|3BEXP|1VULN|1AAC	127BEXP|367DMG|4RMIN|5RCR|7BPWR|8VULN|9AAC|aMBVNT
77	14422 22321	   	197.06	ACR|1BASARM|2DMG|1ASPD	19DUR|2DLOT|3RCR|49LHND|5BASARM|6ASPD|79DMG|8BELT|9BPWR|aDUST
78	14422 22323	   	197.06	ACR|1BASARM|2DMG|1ASPD	19DUR|2DLOT|3RCR|49LHND|5BASARM|6ASPD|79DMG|8BELT|9BPWR|aMDPS
79	14422 22324	   	197.06	ACR|1BASARM|2DMG|1ASPD	19DUR|2DLOT|3RCR|49LHND|5BASARM|6ASPD|79DMG|8BELT|9BPWR|aERES
80	14422 22325	   	197.06	ACR|1BASARM|2DMG|1ASPD	19DUR|2DLOT|3RCR|49LHND|5BASARM|6ASPD|79DMG|8BELT|9BPWR|aMULARM
81	41335 31343	   	196.99	ACR|1BASARM|2DMG|2BEXP	12BEXP|36DMG|4RMIN|5RCR|7RCVC|8LSRICY|9LHND|aBASARM
82	14422 23211	   	196.96	ACR|1BASARM|2ASPD|1DMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|69ASPD|7BELT|8LWND|aDMG
83	14422 22231	   	196.86	ACR|1BASARM|2DMG|1ASPD	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7aDMG|8MDPS|9FEWX
84	14422 22242	   	196.86	ACR|1BASARM|2ASPD|1DMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|69ASPD|7DMG|8MDPS|aLWND
85	14422 22351	   	196.86	ACR|1BASARM|2DMG|1ASPD	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|79DMG|8BELT|aDUST
86	14422 22353	   	196.86	ACR|1BASARM|2DMG|1ASPD	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|79DMG|8BELT|aMDPS
87	14422 23351	   	196.86	ACR|1BASARM|2DMG|1ASPD	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7BELT|8TLV|9aDMG
88	64422 23211	   	196.86	ACR|1BASARM|2ASPD|1DMG	1LHND|2DLOT|3RCR|4LEGI|5BASARM|69ASPD|7BELT|8LWND|aDMG
89	14422 22241	   	196.76	ACR|1BASARM|2ASPD|1DMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|69ASPD|7DMG|8MDPS|aTLV
90	14422 22243	   	196.76	ACR|1BASARM|2ASPD|1DMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|69ASPD|7DMG|8MDPS|aMSLREG
91	64422 22221	   	196.76	ACR|1BASARM|2DMG|1ASPD	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6ASPD|7aDMG|8MDPS|9DUR
92	41335 13342	 * 	195.96	ACR|3BEXP|2ASPD|2DMG	126BEXP|3aDMG|4RMIN|5RCR|7LIT|8aLSRREG|9aASPD|aBPWR
93	41315 31331	   	195.63	ACR|3DMG|3BEXP|1ASPD	128BEXP|368DMG|48AME|5RCR|7RCVC|8BPWR|9RPLT|aASPD
94	42625 31331	   	195.63	ACR|3DMG|3BEXP|1ASPD	138BEXP|28ERES|468DMG|5RCR|7RCVC|8BPWR|9RPLT|aASPD
95	53263 16132	 * 	195.34	ACR|2DMG|2BEXP|3CDMG|1ASPD	137CDMG|27DUR|47DMG|5RCR|6RCVC|7BPWR|89BEXP|aASPD
96	14422 32311	   	195.15	ACR|1BASARM|1VULN|1BEXP|1AART|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7BEXP|8AART|9CDMG|aZMB
97	14422 32313	   	195.15	ACR|1BASARM|1VULN|1BEXP|1AART|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7BEXP|8AART|9CDMG|aRMIN
98	14422 32314	   	195.15	ACR|1BASARM|1VULN|1BEXP|1AART|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7BEXP|8AART|9CDMG|aRPLT
99	14422 32315	   	195.15	ACR|1BASARM|1VULN|1BEXP|1AART|1CDMG	1aDUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7BEXP|8AART|9CDMG
100	14422 32312	   	195.05	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7BEXP|8AART|9CDMG|aERES
101	14422 32316	   	195.05	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AART	1DUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7BEXP|8AART|9CDMG|aNUKE
102	64422 32311	   	195.05	ACR|1BASARM|1VULN|1BEXP|1AART|1CDMG	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6VULN|7BEXP|8AART|9CDMG|aZMB
103	64422 32313	   	195.05	ACR|1BASARM|1VULN|1AART|1CDMG|1BEXP	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6VULN|7BEXP|8AART|9CDMG|aRMIN
104	14422 13341	   	195.03	ACR|1BASARM|2VULN|1AART|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6LWND|79VULN|8AART|aCDMG
105	64422 32312	   	194.95	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6VULN|7BEXP|8AART|9CDMG|aERES
106	14422 32351	   	194.93	ACR|1BASARM|2BEXP|1VULN|1AART	1DUR|2DLOT|3RCR|4LHND|5BASARM|6VULN|7aBEXP|8AART|9AME
107	14422 36133	   	194.70	ACR|2BASARM|2BEXP|1VULN	1aDUR|2DLOT|3RCR|4LHND|5aBASARM|6VULN|7FEWX|8RCVC|9aBEXP|aBPWR
108	14422 53133	   	194.70	ACR|2BASARM|2BEXP|1VULN	1aDUR|2DLOT|3RCR|4LHND|5aBASARM|6FEWX|7VULN|8RCVC|9aBEXP|aBPWR
109	53343 12113	 * 	194.68	ACR|2VULN|2ASPD|1AART|1CDMG|1BEXP	1CDMG|2DUR|34ASPD|5RCR|6RCVC|7AART|89VULN|aBEXP
110	41335 21326	 * 	194.62	ACR|3BEXP|2DMG|1VULN|2CDMG	12aBEXP|3aDMG|4RMIN|5RCR|6LHND|7VULN|8aCDMG|9MDPS|aBPWR
111	14422 32131	   	194.50	ACR|2BASARM|2BEXP|1VULN	1DUR|2DLOT|3RCR|4LHND|5aBASARM|6VULN|79BEXP|8RCVC
112	64422 32131	   	194.40	ACR|2BASARM|2BEXP|1VULN	1LHND|2DLOT|3RCR|4LEGI|5aBASARM|6VULN|79BEXP|8RCVC
113	41335 33252	   	194.12	ACR|3DMG|3BEXP|1ASPD	127BEXP|367DMG|4RMIN|5RCR|7BPWR|8CGEN|9ASPD|aMLV
114	41335 33253	   	194.12	ACR|3DMG|3BEXP|1ASPD	127BEXP|367DMG|4RMIN|5RCR|7BPWR|8CGEN|9ASPD|aZMB
115	41335 32163	   	194.02	ACR|3DMG|3BEXP|1ASPD	128BEXP|367DMG|4RMIN|5RCR|9LIT|aASPD
116	41335 33251	   	194.02	ACR|3DMG|3BEXP|1ASPD	127BEXP|367DMG|4RMIN|5RCR|7BPWR|8CGEN|9ASPD|aDUST
117	41315 32431	   	193.92	ACR|3DMG|3BEXP|1ASPD	128BEXP|367DMG|4AME|5RCR|9RPLT|aASPD
118	41533 22334	 * 	193.63	DCR|2BASARM|2VULN|3BEXP|1AART	127BEXP|3BELT|47BASARM|57CGEN|6AART|7BPWR|89VULN|aRCR
119	14422 34333	   	193.52	ACR|2BASARM|2BEXP|1VULN	1aDUR|2DLOT|3RCR|47LHND|5aBASARM|6VULN|8FEWX|9aBEXP|aBPWR
120	14422 36233	   	193.52	ACR|2BASARM|2BEXP|1VULN	1aDUR|2DLOT|3RCR|4LHND|5aBASARM|6VULN|78FEWX|9aBEXP|aBPWR
121	14422 36323	   	193.52	ACR|2BASARM|2BEXP|1VULN	19aDUR|2DLOT|3RCR|4LHND|5aBASARM|6VULN|7FEWX|8aBEXP|aBPWR
122	14422 53233	   	193.52	ACR|2BASARM|2BEXP|1VULN	1aDUR|2DLOT|3RCR|4LHND|5aBASARM|68FEWX|7VULN|9aBEXP|aBPWR
123	14422 53323	   	193.52	ACR|2BASARM|2BEXP|1VULN	19aDUR|2DLOT|3RCR|4LHND|5aBASARM|6FEWX|7VULN|8aBEXP|aBPWR
124	41335 31126	   	193.48	ACR|2DMG|2BEXP|1VULN|1AART|1CDMG	12BEXP|36DMG|4RMIN|5RCR|7RCVC|8VULN|9AART|aCDMG
125	33525 12314	   	193.38	ACR|3DMG|3BEXP|1VULN	18ERES|29RCVC|368BEXP|478DMG|5RCR|8BPWR|aVULN
126	63325 11412	 * 	193.32	ACR|3BEXP|2ASPD|1VULN|1DMG	13LHND|29ASPD|4DMG|5RCR|68aBEXP|7VULN
127	53343 21121	 * 	193.24	ACR|3ASPD|1VULN|1DMG|2CDMG	17CDMG|2DUR|347ASPD|5RCR|67CGEN|7BPWR|8DMG|9MLV|aVULN
128	53343 21132	   	193.24	ACR|3ASPD|1VULN|1DMG|2CDMG	17CDMG|2DUR|347ASPD|5RCR|67CGEN|7BPWR|8DMG|9VULN|aRPLT
129	53343 21135	   	193.24	ACR|3ASPD|1VULN|1DMG|2CDMG	17CDMG|2DUR|347ASPD|5RCR|67CGEN|7BPWR|8DMG|9VULN|aMLV
130	53343 21136	   	193.24	ACR|3ASPD|1VULN|1DMG|2CDMG	17CDMG|2DUR|347ASPD|5RCR|67CGEN|7BPWR|8DMG|9VULN|aZMB
131	53343 21131	   	193.14	ACR|3ASPD|1VULN|1DMG|2CDMG	17CDMG|2DUR|347ASPD|5RCR|67CGEN|7BPWR|8DMG|9VULN|aMDPS
132	53343 21133	   	193.14	ACR|3ASPD|1VULN|1DMG|2CDMG	17CDMG|2DUR|347ASPD|5RCR|67CGEN|7BPWR|8DMG|9VULN|aERES
133	41361 32214	 * 	193.09	1BASARM|3BEXP|1VULN|2AART|1ASPD|1DMG|1BASICY	125BEXP|3DMG|4BASICY|6VULN|78AART|9BASARM|aASPD
134	53343 61311	   	193.04	ACR|3ASPD|1VULN|1DMG|2CDMG	18CDMG|2DUR|349ASPD|5RCR|6RPLT|7VULN|aDMG
135	14422 13623	   	193.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6LWND|7VULN|8ASPD|9LIT|aDMG
136	14422 22312	   	193.02	ACR|1BASARM|1ASPD|1DMG|1VULN	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8BELT|9VULN|aRPLT
137	14422 22335	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8BELT|9CDMG|aLWND
138	14422 22342	   	193.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8BELT|9BEXP|aRPLT
139	14422 22433	   	193.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8CDMG|9FEWX|aDMSP
140	14422 22222	   	192.92	ACR|1BASARM|1ASPD|1DMG|1AART	1aDUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8MDPS|9AART
141	14422 22314	   	192.92	ACR|1BASARM|1ASPD|1DMG|1VULN	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8BELT|9VULN|aERES
142	14422 22316	   	192.92	ACR|1BASARM|1ASPD|1DMG|1VULN	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8BELT|9VULN|aSNITOX
143	14422 22332	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8BELT|9CDMG|aMBVNT
144	14422 22333	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8BELT|9CDMG|aDUST
145	14422 22334	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8BELT|9CDMG|aTLV
146	14422 22343	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8BELT|9BEXP|aMSLFST
147	14422 22411	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8CDMG|9AEFBLL|aRPLT
148	14422 22432	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8CDMG|9FEWX|aLSRICY
149	14422 22512	   	192.92	ACR|1BASARM|1ASPD|1DMG|1VULN	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8ERES|9LWND|aVULN
150	14422 23131	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7BELT|8BEXP|9AEMAG|aDMG
151	14422 23352	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7BELT|8TLV|9DMG|aBEXP
152	64422 22312	   	192.92	ACR|1BASARM|1ASPD|1DMG|1VULN	1LHND|2DLOT|3RCR|4LEGI|5BASARM|6ASPD|7DMG|8BELT|9VULN|aRPLT
153	14422 22224	   	192.82	ACR|1BASARM|1ASPD|1DMG|1AART	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8MDPS|9AART|aAEFBLL
154	14422 22225	   	192.82	ACR|1BASARM|1ASPD|1DMG|1AART	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8MDPS|9AART|aDUST
155	14422 22226	   	192.82	ACR|1BASARM|1ASPD|1DMG|1AART	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8MDPS|9AART|aAME
156	14422 22412	   	192.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1DUR|2DLOT|3RCR|4LHND|5BASARM|6ASPD|7DMG|8CDMG|9AEFBLL|aDUST
