0	Index      	 *	Score 	Summary	Detail	
1	13163 62136	 * 	233.42	ACR|3VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	17aVULN|2CDMG|37CGEN|4RCR|5AART|67BEXP|7BPWR|8DMG|9ASPD
12	13163 25413	   	218.29	ACR|1BASARM|2VULN|2AART|1CDMG	19VULN|2CDMG|3CGEN|4RCR|57AART|6ERES|8BASARM|aDUST
13	13163 61136	 * 	215.69	ACR|2VULN|1ASPD|1DMG|2CDMG|1AART|1BEXP	1aVULN|28CDMG|3CGEN|4RCR|5AART|6BEXP|7DMG|9ASPD
14	13163 61161	 * 	212.42	ACR|2DMG|1VULN|2BEXP|2CDMG|1AART	1VULN|28CDMG|3CGEN|4RCR|5AART|6aBEXP|79DMG
15	13163 62141	   	211.51	ACR|2VULN|3BEXP|1DMG|1AART|1CDMG	17VULN|2CDMG|37CGEN|4RCR|5AART|67aBEXP|7BPWR|8DMG|9AEMAG
16	13163 62116	   	210.35	ACR|3VULN|2BEXP|1DMG|1AART|1CDMG	17aVULN|2CDMG|37CGEN|4RCR|5AART|67BEXP|7BPWR|8DMG|9RMIN
17	13163 62531	   	210.35	ACR|3VULN|2BEXP|1ASPD|1AART|1CDMG	17aVULN|2CDMG|37CGEN|4RCR|5AART|67BEXP|7BPWR|8LWND|9ASPD
18	13163 62126	   	210.25	ACR|3VULN|2BEXP|1DMG|1AART|1CDMG	17aVULN|2CDMG|37CGEN|4RCR|5AART|67BEXP|7BPWR|8DMG|9TLV
19	13163 61331	   	207.27	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1aVULN|2CDMG|3CGEN|4RCR|5AART|6BEXP|7DMG|8ERES|9ASPD
20	14311 24352	 * 	205.68	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1AAC	1VULN|2FEWX|3DUST|4AAC|5RCR|6LWND|7DMG|8AART|9BEXP|aBASARM
21	25321 33421	   	205.06	ACR|1BASARM|2ASPD|1DMG|1AAC	1SPLARM|2AAC|3RCR|4NUKE|5ERES|67ASPD|8DMG|9BASARM|aLHND
22	25321 33423	   	205.06	ACR|1BASARM|2ASPD|1DMG|1AAC	1SPLARM|2AAC|3RCR|4NUKE|5ERES|67ASPD|8DMG|9BASARM|aLWND
23	25321 33426	   	205.06	ACR|1BASARM|2ASPD|1DMG|1AAC	1SPLARM|2AAC|3RCR|4NUKE|5ERES|67ASPD|8DMG|9BASARM|aRMIN
24	25321 54321	 * 	205.06	ACR|1BASARM|2DMG|1ASPD|1AAC	1SPLARM|2AAC|3RCR|4NUKE|5ERES|67DMG|8ASPD|9BASARM|aLHND
25	25321 54323	   	205.06	ACR|1BASARM|2DMG|1ASPD|1AAC	1SPLARM|2AAC|3RCR|4NUKE|5ERES|67DMG|8ASPD|9BASARM|aLWND
26	25323 54321	   	205.06	ACR|1BASARM|2DMG|1ASPD|1AAC	1SPLARM|2AAC|3RCR|4NUKE|5AME|67DMG|8ASPD|9BASARM|aLHND
27	25323 54323	   	205.06	ACR|1BASARM|2DMG|1ASPD|1AAC	1SPLARM|2AAC|3RCR|4NUKE|5AME|67DMG|8ASPD|9BASARM|aLWND
28	25321 33422	   	204.96	ACR|1BASARM|2ASPD|1DMG|1AAC	1SPLARM|2AAC|3RCR|4NUKE|5ERES|67ASPD|8DMG|9BASARM|aTLV
29	25321 33425	   	204.96	ACR|1BASARM|2ASPD|1DMG|1AAC	1SPLARM|2AAC|3RCR|4NUKE|5ERES|67ASPD|8DMG|9BASARM|aMSLREG
30	25321 54322	   	204.96	ACR|1BASARM|2DMG|1ASPD|1AAC	1SPLARM|2AAC|3RCR|4NUKE|5ERES|67DMG|8ASPD|9BASARM|aTLV
31	25323 54322	   	204.96	ACR|1BASARM|2DMG|1ASPD|1AAC	1SPLARM|2AAC|3RCR|4NUKE|5AME|67DMG|8ASPD|9BASARM|aTLV
32	13163 52136	   	204.93	ACR|3VULN|1ASPD|1DMG|1AART|1CDMG	17aVULN|2CDMG|37CGEN|4RCR|5AART|67LHND|7BPWR|8DMG|9ASPD
33	13163 12161	   	204.90	ACR|2VULN|2DMG|1AART|1BEXP|1CDMG	17VULN|2CDMG|37CGEN|4RCR|5AART|67DUST|7BPWR|89DMG|aBEXP
34	13163 12136	   	204.73	ACR|3VULN|1ASPD|1DMG|1AART|1CDMG	17aVULN|2CDMG|37CGEN|4RCR|5AART|67DUST|7BPWR|8DMG|9ASPD
35	25321 31424	   	204.14	ACR|1BASARM|1ASPD|1DMG|1VULN|1AAC	1SPLARM|2AAC|3RCR|4NUKE|57ERES|6ASPD|8DMG|9BASARM|aVULN
36	25321 51324	   	204.14	ACR|1BASARM|1ASPD|1DMG|1VULN|1AAC	1SPLARM|2AAC|3RCR|4NUKE|57ERES|6DMG|8ASPD|9BASARM|aVULN
37	25323 23424	   	204.14	ACR|1BASARM|1ASPD|1DMG|1VULN|1AAC	1SPLARM|2AAC|3RCR|4NUKE|56AME|7ASPD|8DMG|9BASARM|aVULN
38	13163 25431	   	203.76	ACR|1BASARM|2AART|1VULN|1CDMG	1VULN|2CDMG|3CGEN|4RCR|57AART|6ERES|8BASARM|9ZMB|aLWND
39	13163 25432	   	203.76	ACR|1BASARM|2AART|1VULN|1CDMG	1VULN|2CDMG|3CGEN|4RCR|57AART|6ERES|8BASARM|9ZMB|aRPLT
40	13163 25421	   	203.66	ACR|1BASARM|2AART|1VULN|1CDMG	1VULN|2CDMG|3CGEN|4RCR|57AART|6ERES|8BASARM|9AME|aLWND
41	13163 25422	   	203.66	ACR|1BASARM|2AART|1VULN|1CDMG	1VULN|2CDMG|3CGEN|4RCR|57AART|6ERES|8BASARM|9AME|aRPLT
42	13163 25433	   	203.66	ACR|1BASARM|2AART|1VULN|1CDMG	1VULN|2CDMG|3CGEN|4RCR|57AART|6ERES|8BASARM|9ZMB|aLEGI
43	13163 25423	   	203.56	ACR|1BASARM|2AART|1VULN|1CDMG	1VULN|2CDMG|3CGEN|4RCR|57AART|6ERES|8BASARM|9AME|aLEGI
