0	Index      	 *	Score 	Summary	Detail	
1	54151 21332	 * 	254.41	ACR|2VULN|1BASARM|2DMG|1ASPD|1BEXP|1AAC	1AAC|2RCR|3BEXP|47VULN|58DMG|6BELT|9BASARM|aASPD
19	33141 63224	   	230.83	ACR|1BASARM|2AART|1VULN|1DMG|1CDMG	1DUST|2LHND|3RCR|4CDMG|56AART|7BASARM|8VULN|9DMG|aLWND
20	33141 63221	   	230.73	ACR|1BASARM|2AART|1VULN|1DMG|1CDMG	1DUST|2LHND|3RCR|4CDMG|56AART|7BASARM|8VULN|9DMG|aERES
21	33141 63222	   	230.73	ACR|1BASARM|2AART|1VULN|1DMG|1CDMG	1DUST|2LHND|3RCR|4CDMG|56AART|7BASARM|8VULN|9DMG|aAME
22	35141 63221	   	230.73	ACR|1BASARM|2AART|1VULN|1DMG|1CDMG	1DUST|2LWND|3RCR|4CDMG|56AART|7BASARM|8VULN|9DMG|aERES
23	35141 63222	   	230.73	ACR|1BASARM|2AART|1VULN|1DMG|1CDMG	1DUST|2LWND|3RCR|4CDMG|56AART|7BASARM|8VULN|9DMG|aAME
24	23141 13225	   	229.96	ACR|1BASARM|2DMG|1VULN|1AART|1CDMG	1FEWX|2LHND|3RCR|4CDMG|5AART|6AEMAG|7BASARM|8VULN|9aDMG
25	33141 13225	   	229.86	ACR|1BASARM|2DMG|1VULN|1AART|1CDMG	1DUST|2LHND|3RCR|4CDMG|5AART|6AEMAG|7BASARM|8VULN|9aDMG
26	54314 21114	 * 	228.91	ACR|1BASARM|2BEXP|1ASPD|1BASICY|2AAC	19AAC|2RCR|3ASPD|4AEFBLL|5MBVNT|6BASARM|78BEXP|aBASICY
27	54314 21414	 * 	228.65	ACR|2BASARM|1ASPD|1BASICY|2AAC|1BEXP	19AAC|2RCR|3ASPD|4AEFBLL|5MBVNT|68BASARM|7BEXP|aBASICY
28	13153 61511	 * 	228.37	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	1VULN|26LHND|3RCR|4AEFBLL|57ASPD|8DMG|9BEXP|aBASARM
29	13422 11253	 * 	226.90	ACR|1BASARM|2ASPD|1VULN|2BEXP|1CDMG	1VULN|2LHND|3LIT|48ASPD|5RCR|6CDMG|7BASARM|9aBEXP
30	15422 11253	   	226.90	ACR|1BASARM|2ASPD|1VULN|2BEXP|1CDMG	1VULN|2LWND|3LIT|48ASPD|5RCR|6CDMG|7BASARM|9aBEXP
31	23141 63251	 * 	225.31	ACR|3AART|1BASARM|1VULN|1CDMG	1FEWX|2LHND|3RCR|4CDMG|569AART|7BASARM|8VULN|aRMIN
32	23141 63252	   	225.31	ACR|3AART|1BASARM|1VULN|1CDMG	1FEWX|2aLHND|3RCR|4CDMG|569AART|7BASARM|8VULN
33	23141 63253	   	225.31	ACR|3AART|1BASARM|1VULN|1CDMG	1FEWX|2LHND|3RCR|4CDMG|569AART|7BASARM|8VULN|aLWND
34	33141 63251	   	225.21	ACR|3AART|1BASARM|1VULN|1CDMG	1DUST|2LHND|3RCR|4CDMG|569AART|7BASARM|8VULN|aRMIN
35	33141 63252	   	225.21	ACR|3AART|1BASARM|1VULN|1CDMG	1DUST|2aLHND|3RCR|4CDMG|569AART|7BASARM|8VULN
36	33141 63253	   	225.21	ACR|3AART|1BASARM|1VULN|1CDMG	1DUST|2LHND|3RCR|4CDMG|569AART|7BASARM|8VULN|aLWND
37	23141 13226	   	225.02	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1FEWX|2LHND|3RCR|4CDMG|5AART|6AEMAG|7BASARM|8VULN|9DMG|aBEXP
38	33141 13226	   	224.92	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1DUST|2LHND|3RCR|4CDMG|5AART|6AEMAG|7BASARM|8VULN|9DMG|aBEXP
