0	Index      	 *	Score 	Summary	Detail	
1	12322 43332	 * 	243.74	ACR|2BASARM|2DMG|1VULN|1AART|1CDMG	1AART|2DUR|3aMLV|4RCR|5VULN|6ERES|7aBASARM|8CDMG|9aDMG|aBPWR
30	11122 35443	 * 	219.07	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG|1AAC	1AART|2aLHND|3DMG|4RCR|5aVULN|6LIT|7ASPD|8aBEXP|9AAC|aBPWR
31	12122 35443	   	219.07	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG|1AAC	1AART|2aDUR|3DMG|4RCR|5aVULN|6LIT|7ASPD|8aBEXP|9AAC|aBPWR
32	32224 21134	 * 	218.42	DCR|3VULN|1BASARM|2ASPD|1DMG|1BEXP|1AAC	1AAC|25ASPD|345VULN|5BPWR|6AME|7BASARM|8BEXP|9DMG|aRCR
33	11122 56142	   	218.18	ACR|2VULN|2AART|2DMG|1BEXP	17AART|29LHND|39DMG|4RCR|59VULN|68RCVC|9BPWR|aBEXP
34	15122 61116	   	217.58	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1AAC	1AART|2VULN|3DMG|4RCR|5AEFBLL|6VENTOX|7AME|8AAC|9BEXP|aBASARM
35	15122 63116	   	217.58	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1AAC	1AART|2VULN|3DMG|4RCR|5AEFBLL|6VENTOX|7ERES|8AAC|9BEXP|aBASARM
36	12223 43155	   	216.79	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG	1AART|2DUR|3CGEN|4RCR|5VULN|6ERES|7BASARM|8LWND|9ASPD|aDMG
37	12322 43155	   	216.79	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG	1AART|2DUR|3MLV|4RCR|5VULN|6ERES|7BASARM|8LWND|9ASPD|aDMG
38	22622 36112	 * 	216.71	ACR|3DMG|3BEXP|2ASPD	19aBEXP|2FEWX|39aDMG|4RCR|58ASPD|6LWND|79aAIRHEL|9aBPWR
39	15123 61136	   	216.66	ACR|2VULN|1BASARM|1AART|1DMG|1AAC	1AART|25VULN|3DMG|4RCR|6VENTOX|7AME|8AAC|9DUR|aBASARM
40	15123 63136	   	216.66	ACR|2VULN|1BASARM|1AART|1DMG|1AAC	1AART|25VULN|3DMG|4RCR|6VENTOX|7ERES|8AAC|9DUR|aBASARM
41	22622 63316	 * 	216.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	19BEXP|2FEWX|3DMG|4RCR|5ASPD|6ERES|7DUST|8CDMG|aBASARM
42	12124 61342	 * 	215.92	ACR|2DMG|2BEXP|1AART|1ASPD|1BASICY	1AART|28DUR|38DMG|4RCR|5RMIN|6MBVNT|78BEXP|8BPWR|9BASICY|aASPD
43	15126 13234	   	214.90	ACR|2VULN|2AART|2DMG|1BEXP	16AART|29VULN|39DMG|4RCR|5RPLT|789CGEN|9BPWR|aBEXP
44	11122 24215	   	214.31	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2LHND|37DMG|4RCR|5VULN|6RMIN|8LWND|9MULARM|aBASARM
45	11123 65348	   	214.31	ACR|1BASARM|2DMG|1AART|1VULN	1AART|2LHND|37DMG|4RCR|5CGEN|6MBVNT|8MLV|9VULN|aBASARM
46	11124 34215	   	214.31	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2LHND|37DMG|4RCR|5RMIN|6VULN|8LWND|9MULARM|aBASARM
47	12122 24215	   	214.31	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2DUR|37DMG|4RCR|5VULN|6RMIN|8LWND|9MULARM|aBASARM
48	12123 65348	   	214.31	ACR|1BASARM|2DMG|1AART|1VULN	1AART|2DUR|37DMG|4RCR|5CGEN|6MBVNT|8MLV|9VULN|aBASARM
49	11121 65148	   	214.21	ACR|1BASARM|2DMG|1AART|1VULN	1AART|2LHND|37DMG|4RCR|5ERES|6MBVNT|8CGEN|9VULN|aBASARM
50	12121 65148	   	214.21	ACR|1BASARM|2DMG|1AART|1VULN	1AART|2DUR|37DMG|4RCR|5ERES|6MBVNT|8CGEN|9VULN|aBASARM
51	12123 62348	   	214.18	ACR|1BASARM|2AART|1VULN|1DMG	17AART|2DUR|3DMG|4RCR|5CGEN|6MBVNT|8MLV|9VULN|aBASARM
52	15123 16141	   	214.16	ACR|3VULN|2AART|2DMG	17AART|259VULN|39DMG|4RCR|69LWND|8RCVC|9BPWR|aFEWX
53	15123 16143	   	214.16	ACR|3VULN|2AART|2DMG	17AART|259VULN|39DMG|4RCR|69LWND|8RCVC|9BPWR|aLIT
54	15123 36141	   	214.16	ACR|3VULN|2AART|2DMG	17AART|259VULN|39DMG|4RCR|69LHND|8RCVC|9BPWR|aFEWX
55	15123 36143	   	214.16	ACR|3VULN|2AART|2DMG	17AART|259VULN|39DMG|4RCR|69LHND|8RCVC|9BPWR|aLIT
56	12121 62148	   	214.08	ACR|1BASARM|2AART|1VULN|1DMG	17AART|2DUR|3DMG|4RCR|5ERES|6MBVNT|8CGEN|9VULN|aBASARM
57	12123 62848	   	214.08	ACR|1BASARM|2AART|1VULN|1DMG	17AART|2DUR|3DMG|4RCR|5CGEN|6MBVNT|8ERES|9VULN|aBASARM
58	15121 44333	   	214.00	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP|1CDMG	18AART|2VULN|3DMG|4RCR|5ERES|6TLV|7BEXP|9CDMG|aASPD
