0	Index      	 *	Score 	Summary	Detail	
1	31318 27384	 * 	375.11	DCR|2VULN|1MDPS|3DUR|1DMG	1DLOT|259DUR|35VULN|4MBVNT|5BPWR|6FRZICY|7DMG|8RCR|aMDPS
20	31324 12165	   	351.63	2MDPS|2VULN|1CDMG|2DUR	1DLOT|26DUR|36VULN|4RCVC|5TBNT|6BPWR|7CDMG|8aMDPS|9DUST
21	33232 12125	   	351.53	2MDPS|2VULN|1CDMG|2DUR	1DLOT|2TBNT|3AEFBLL|46VULN|56DUR|6BPWR|7CDMG|8aMDPS|9BEXP
22	33232 12155	   	351.53	2MDPS|2VULN|1CDMG|2DUR	1DLOT|2TBNT|3AEFBLL|46VULN|56DUR|6BPWR|7CDMG|8aMDPS|9LEGI
23	33232 12165	   	351.53	2MDPS|2VULN|1CDMG|2DUR	1DLOT|2TBNT|3AEFBLL|46VULN|56DUR|6BPWR|7CDMG|8aMDPS|9DUST
24	12123 63166	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1FEWX|2ASPD|3LIT|4RMIN|5DMG|6RCR|78VULN|9DUR|aMDPS
25	16313 63116	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1FEWX|2LIT|3AEFRZ|4DUR|5DMG|6RCR|78VULN|9LHND|aMDPS
26	14132 33215	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	15FEWX|2DUR|38VULN|4LWND|6AEFRZ|7DMG|9RCR|aMDPS
27	14136 33215	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1FEWX|2DUR|38VULN|4LWND|5RCVC|6AEFRZ|7DMG|9RCR|aMDPS
28	24133 33215	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1LHND|2DUR|38VULN|4LWND|5RCVC|6AEFRZ|7DMG|9RCR|aMDPS
29	31317 34352	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1DLOT|2DUR|37VULN|4MBVNT|5LHND|6RCR|8RPLT|9DMG|aMDPS
30	31416 34352	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1DLOT|2DUR|3LHND|4MBVNT|57VULN|6RCR|8RPLT|9DMG|aMDPS
31	53133 33215	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1DUST|2DUR|38VULN|4LWND|5RCVC|6AEFRZ|7DMG|9RCR|aMDPS
32	63126 31215	 * 	351.00	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR|1SELL	1TLV|2CDMG|3CGEN|4DUR|5DMG|6RMIN|7VULN|8SELL|9RCR|aMDPS
