0	Index      	 *	Score 	Summary	Detail	
1	34222 21442	 * 	395.09	DCR|3VULN|1MDPS|1DMG|1DUR	156VULN|2LHND|3DUR|4AAC|7RCVC|8RCR|9DMG|aMDPS
37	32533 34233	   	366.19	DCR|3VULN|3TLV|2DMG|1DUR	167VULN|2DUR|37DMG|457TLV|7BPWR|8FEWX|9ERES|aRCR
38	32533 34352	 * 	366.19	3VULN|1MDPS|3TLV|2DMG|1DUR	167VULN|2DUR|37DMG|457TLV|7BPWR|8ASPD|9BELT|aMDPS
39	32533 34631	   	366.19	3VULN|1MDPS|3TLV|2DMG|1DUR	167VULN|2DUR|37DMG|457TLV|7BPWR|8CGEN|9MDPS|aTBNT
40	32533 34632	   	366.19	3VULN|1MDPS|3TLV|2DMG|1DUR	167VULN|2DUR|37DMG|457TLV|7BPWR|8CGEN|9MDPS|aBEXP
41	32533 34633	   	366.19	3VULN|1MDPS|3TLV|2DMG|1DUR	167VULN|2DUR|37DMG|457TLV|7BPWR|8CGEN|9MDPS|aDMSP
42	32533 34115	   	366.09	3VULN|1MDPS|3TLV|2DMG|1DUR	167VULN|2DUR|37DMG|457TLV|7BPWR|8BBNT|9MSLFST|aMDPS
43	32533 34331	   	366.09	3VULN|1MDPS|3TLV|2DMG|1DUR	167VULN|2DUR|37DMG|457TLV|7BPWR|8ASPD|9MDPS|aTBNT
44	32533 34332	   	366.09	3VULN|1MDPS|3TLV|2DMG|1DUR	167VULN|2DUR|37DMG|457TLV|7BPWR|8ASPD|9MDPS|aBEXP
45	32533 34333	   	366.09	3VULN|1MDPS|3TLV|2DMG|1DUR	167VULN|2DUR|37DMG|457TLV|7BPWR|8ASPD|9MDPS|aDMSP
46	32533 34334	   	366.09	3VULN|1MDPS|3TLV|2DMG|1DUR	167VULN|2DUR|37DMG|457TLV|7BPWR|8ASPD|9MDPS|aBBNT
47	32533 34335	   	366.09	3VULN|1MDPS|3TLV|2DMG|1DUR	167VULN|2DUR|37DMG|457TLV|7BPWR|8ASPD|9MDPS|aLHND
48	32533 34336	   	366.09	3VULN|1MDPS|3TLV|2DMG|1DUR	167VULN|2DUR|37DMG|457TLV|7BPWR|8ASPD|9MDPS|aFEWX
