0	Index      	 *	Score 	Summary	Detail	
1	43251 23311	 * 	356.00	橙2双倍秒伤1易伤1暴击1伤害1时间1全技能	1时间2敌人爆炸3全技能4赏金塔5暴击6核7伤害89双倍秒伤a易伤
40	21321 41224	   	330.94	橙2易伤1双倍秒伤1时间	1技能点2赏金塔3时间46易伤5随机矿7掉矿8核9最后敌人a双倍秒伤
41	21321 41244	   	330.94	橙2易伤1双倍秒伤1时间	1技能点2赏金塔3时间46易伤5随机矿7掉矿8核9低血量敌人a双倍秒伤
42	21326 41224	   	330.94	橙2易伤1双倍秒伤1时间	1技能点2赏金塔3时间46易伤5矿等7掉矿8核9最后敌人a双倍秒伤
43	26321 41224	   	330.94	橙2易伤1双倍秒伤1时间	1技能点2赏金邻近3时间46易伤5随机矿7掉矿8核9最后敌人a双倍秒伤
44	34231 44744	   	330.94	橙2易伤1双倍秒伤1时间	1低血量敌人2赏金邻近37易伤4最后敌人5加一6导弹对绿8时间9核a双倍秒伤
45	41121 42224	   	330.94	橙2易伤1双倍秒伤1时间	1时间2掉矿3赏金邻近46易伤5随机矿7技能点8核9最后敌人a双倍秒伤
46	44231 44544	   	330.94	橙2易伤1双倍秒伤1时间	1时间2赏金邻近37易伤4最后敌人5加一6导弹对绿8低血量敌人9核a双倍秒伤
47	61321 42224	   	330.94	橙2易伤1双倍秒伤1时间	1掉矿2赏金塔3时间46易伤5随机矿7技能点8核9最后敌人a双倍秒伤
48	61321 62224	   	330.94	橙2易伤1双倍秒伤1时间	17掉矿2赏金塔3时间47易伤5随机矿67技能点7序列升级8核9最后敌人a双倍秒伤
49	21514 32631	 * 	328.54	橙3易伤1暴击1等级1时间	1技能点2赏金塔369易伤4金币生成5暴击7核8等级a时间
50	43254 23311	   	328.36	橙2双倍秒伤1易伤1伤害1时间1全技能1卖塔	1时间2敌人爆炸3全技能4赏金塔5卖塔6核7伤害89双倍秒伤a易伤
51	43254 23312	   	328.36	橙2双倍秒伤1伤害1时间1全技能1卖塔	1时间2敌人爆炸3全技能4赏金塔5卖塔6核7伤害89双倍秒伤a雷电减费
52	43254 23313	   	328.36	橙2双倍秒伤1伤害1时间1全技能1卖塔	1时间2敌人爆炸3全技能4赏金塔5卖塔6核7伤害89双倍秒伤a攻速
53	21511 52251	 * 	328.34	橙3易伤3伤害1时间	17技能点2赏金塔379易伤4金币生成5时间67a伤害7序列升级8核
