0	Index      	 *	Score 	Summary	Detail	
1	61136 24234	 * 	211.14	3VULN|3ASPD|1BASARM|2BEXP|1AART|1CDMG	139ASPD|239VULN|39BPWR|4LIT|5CDMG|69BEXP|7AART|8MBVNT|aBASARM
47	46423 33311	   	190.51	ACR|1BASARM|1AART|1DMG|1BEXP	1LHND|2AART|3BEXP|4RCR|5LEGI|6LWND|7DMG|8BASARM|9ZMB|aMDPS
48	46423 33312	   	190.51	ACR|1BASARM|1AART|1DMG|1BEXP	1LHND|2AART|3BEXP|4RCR|5LEGI|6LWND|7DMG|8BASARM|9ZMB|aAME
49	46423 33333	   	190.51	ACR|1BASARM|1AART|1DMG|1BEXP	1LHND|2AART|3BEXP|4RCR|5LEGI|69LWND|7DMG|8BASARM|aAME
50	46422 22333	   	190.51	ACR|1BASARM|1AART|1DMG|1BEXP	1LHND|2AART|3BEXP|4RCR|5MDPS|6RMIN|7AEMAG|8BASARM|9DMG|aZMB
51	46122 13352	   	190.41	ACR|1BASARM|1AART|1ASPD|1BEXP	1LHND|2AART|3DUR|4RCR|5MDPS|6ERES|7BEXP|8ASPD|9AME|aBASARM
52	46422 22332	   	190.41	ACR|1BASARM|1AART|1DMG|1BEXP	1LHND|2AART|3BEXP|4RCR|5MDPS|6RMIN|7AEMAG|8BASARM|9DMG|aAME
53	32631 41225	 * 	190.01	DCR|2VULN|2AART|2ASPD|2CDMG	18CDMG|28DUST|34AART|59VULN|6LHND|78ASPD|8BPWR|aRCR
54	46362 33222	   	189.72	ACR|1BASARM|1VULN|1AART|1ASPD	1LHND|2AART|3ASPD|48FEWX|5RCR|6VULN|7MDPS|9DUR|aBASARM
55	46362 33232	   	189.62	ACR|1BASARM|1VULN|1AART|1ASPD	1LHND|2AART|3ASPD|48FEWX|5RCR|6VULN|7MDPS|9LEGI|aBASARM
56	31133 41628	 * 	189.52	ACR|3BEXP|2ASPD|1VULN|1CDMG	1CDMG|2MBVNT|37aBEXP|4SPLREG|5RCR|68ASPD|9VULN
57	31142 53834	 * 	189.15	ACR|3BEXP|1ASPD|1DMG|2CDMG|1AAC	17CDMG|2MBVNT|367BEXP|47LIT|5RCR|7BPWR|8ASPD|9AAC|aDMG
58	32364 43313	 * 	188.95	ACR|1BASARM|3CDMG|1AART|2AAC	146CDMG|2DUST|3LEGI|5RCR|7AART|8BASARM|9aAAC
59	46421 13333	 * 	188.80	ACR|2VULN|2BEXP|1AART|1DMG	1LHND|2AART|36BEXP|4RCR|58VULN|7FEWX|9DMG|aRCVC
60	46421 12333	   	188.70	ACR|2VULN|2BEXP|1AART|1DMG	1LHND|2AART|36BEXP|4RCR|58VULN|7DUST|9DMG|aRCVC
61	62333 63152	 * 	188.13	DCR|1BASARM|2ASPD|1VULN|1DMG|1BEXP|1SELL	18ASPD|2SNIFST|3VULN|4DMSP|5BASARM|6DMG|7SELL|9BEXP|aRCR
62	46421 13331	   	187.50	ACR|2VULN|2BEXP|1AART|1DMG	1LHND|2AART|36BEXP|4RCR|58VULN|7FEWX|9DMG|aRPLT
63	46421 13332	   	187.50	ACR|2VULN|2BEXP|1AART|1DMG	1LHND|2AART|36BEXP|4RCR|58VULN|7FEWX|9DMG|aLIT
64	46121 51212	   	187.41	ACR|1BASARM|1VULN|1AART|1BEXP	1LHND|2AART|3DUR|4RCR|5VULN|6FEWX|7LWND|8BEXP|9ZMB|aBASARM
65	46421 12331	   	187.40	ACR|2VULN|2BEXP|1AART|1DMG	1LHND|2AART|36BEXP|4RCR|58VULN|7DUST|9DMG|aRPLT
66	46421 12332	   	187.40	ACR|2VULN|2BEXP|1AART|1DMG	1LHND|2AART|36BEXP|4RCR|58VULN|7DUST|9DMG|aLIT
67	62333 61213	   	187.35	DCR|2VULN|1BASARM|2DMG|1ASPD	1ASPD|2SNIFST|37VULN|4DMSP|5BASARM|69DMG|8RMIN|aRCR
68	46121 11612	   	187.31	ACR|1BASARM|1VULN|1AART|1BEXP	1LHND|2AART|3DUR|4RCR|5VULN|6BEXP|7LWND|8LEGI|9ZMB|aBASARM
69	46121 33612	   	187.31	ACR|1BASARM|1VULN|1AART|1BEXP	1LHND|2AART|3DUR|4RCR|5VULN|6LWND|7BEXP|8LEGI|9ZMB|aBASARM
70	46121 36212	   	187.31	ACR|1BASARM|1VULN|1AART|1BEXP	1LHND|2AART|3DUR|4RCR|5VULN|6LWND|7DUST|8BEXP|9ZMB|aBASARM
71	46123 11412	   	187.31	ACR|1BASARM|1VULN|1AART|1BEXP	1LHND|2AART|3DUR|4RCR|5LEGI|6BEXP|7LWND|8VULN|9ZMB|aBASARM
72	46123 32212	   	187.31	ACR|1BASARM|1VULN|1AART|1BEXP	1LHND|2AART|3DUR|4RCR|5LEGI|6LWND|7VULN|8BEXP|9ZMB|aBASARM
73	62333 61113	   	187.25	DCR|2VULN|1BASARM|2DMG|1ASPD	1ASPD|2SNIFST|37VULN|4DMSP|5BASARM|69DMG|8AME|aRCR
74	62333 61413	   	187.25	DCR|2VULN|1BASARM|2DMG|1ASPD	1ASPD|2SNIFST|37VULN|4DMSP|5BASARM|69DMG|8TLV|aRCR
75	62333 65113	   	187.25	DCR|2VULN|1BASARM|2DMG|1ASPD	1ASPD|2SNIFST|38VULN|4DMSP|5BASARM|69DMG|7ERES|aRCR
76	46121 13212	   	187.21	ACR|1BASARM|1VULN|1AART|1BEXP	1LHND|2AART|3DUR|4RCR|5VULN|6BEXP|7AEMAG|8MDPS|9ZMB|aBASARM
77	46423 23212	   	187.11	ACR|1BASARM|1VULN|1AART|1BEXP	1LHND|2AART|3BEXP|4RCR|5LEGI|6VULN|7AEMAG|8MDPS|9ZMB|aBASARM
78	33634 31512	 * 	186.87	ACR|2ASPD|2BEXP|1DMG|2CDMG	19CDMG|2AME|39BEXP|48ASPD|5RCR|6SNIFST|79ERES|9BPWR|aDMG
79	31142 53837	 * 	186.85	ACR|3BEXP|1ASPD|2CDMG|1VULN|1AAC	17CDMG|2MBVNT|367BEXP|47LIT|5RCR|7BPWR|8ASPD|9AAC|aVULN
80	33364 41312	 * 	186.84	ACR|2VULN|1ASPD|1DMG|2CDMG|1BEXP	16CDMG|2AME|3DUST|4DMG|5RCR|79VULN|8ASPD|aBEXP
81	33334 35114	 * 	186.84	ACR|1BASARM|1VULN|1ASPD|2CDMG	17CDMG|2AME|3DUST|4ASPD|5RCR|6SNIFST|8VULN|9ZMB|aBASARM
82	32364 43321	   	186.45	ACR|1BASARM|3CDMG|1AART|1BEXP	146CDMG|2DUST|3LEGI|5RCR|7AART|8BASARM|9BEXP|aLHND
83	32364 43322	   	186.45	ACR|1BASARM|3CDMG|1AART|1BEXP	146CDMG|2DUST|3LEGI|5RCR|7AART|8BASARM|9BEXP|aZMB
84	32164 33242	   	186.14	ACR|1BASARM|2BEXP|3CDMG	148CDMG|2DUST|38BEXP|5RCR|68MLV|7RCVC|8BPWR|9CGEN|aBASARM
85	33634 25311	 * 	185.87	ACR|2ASPD|2BEXP|2CDMG|1VULN	19CDMG|2AME|39BEXP|47ASPD|5RCR|6LWND|89DUR|9BPWR|aVULN
86	46362 22231	   	185.71	ACR|1BASARM|1AART|1ASPD|1BEXP	1LHND|2AART|3ASPD|4FEWX|5RCR|6aLIT|7DUR|8BEXP|9BASARM
87	46362 22232	   	185.71	ACR|1BASARM|1AART|1ASPD|1BEXP	1LHND|2AART|3ASPD|4FEWX|5RCR|6LIT|7DUR|8BEXP|9BASARM|aLWND
88	31142 53573	 * 	185.69	ACR|3BEXP|3CDMG|1DMG|1VULN	178CDMG|2MBVNT|367BEXP|478LIT|5RCR|78BPWR|9DMG|aVULN
89	33334 25611	   	185.67	ACR|2ASPD|2BEXP|2CDMG|1VULN	19CDMG|2AME|39DUST|47ASPD|5RCR|6LWND|89BEXP|9BPWR|aVULN
90	33634 25111	   	185.67	ACR|2ASPD|2BEXP|2CDMG|1VULN	19CDMG|2AME|39BEXP|47ASPD|5RCR|6LWND|89DUST|9BPWR|aVULN
91	46123 14111	   	185.38	ACR|1BASARM|2BEXP|1AART	1LHND|2AART|3aDUR|4RCR|5LEGI|67BEXP|8CGEN|9BASARM
92	46423 13111	   	185.38	ACR|1BASARM|2BEXP|1AART	1LHND|2AART|36BEXP|4RCR|5LEGI|7FEWX|8CGEN|9BASARM|aDUR
93	46423 13112	   	185.38	ACR|1BASARM|2BEXP|1AART	1aLHND|2AART|36BEXP|4RCR|5LEGI|7FEWX|8CGEN|9BASARM
94	46422 21313	   	185.38	ACR|1BASARM|2BEXP|1AART	1LHND|2AART|3aBEXP|4RCR|5MDPS|6RMIN|7FEWX|8BASARM|9ZMB
95	46422 33323	   	185.38	ACR|1BASARM|2BEXP|1AART	1LHND|2AART|3aBEXP|4RCR|5MDPS|6FEWX|7ZMB|8BASARM|9RMIN
96	46121 32212	   	185.29	ACR|2VULN|1BASARM|1AART	1LHND|2AART|3DUR|4RCR|57VULN|6LWND|8MDPS|9ZMB|aBASARM
97	46123 14112	   	185.28	ACR|1BASARM|2BEXP|1AART	1LHND|2AART|3DUR|4RCR|5LEGI|67BEXP|8CGEN|9BASARM|aDUST
98	46123 14113	   	185.28	ACR|1BASARM|2BEXP|1AART	1LHND|2AART|3DUR|4RCR|5LEGI|67BEXP|8CGEN|9BASARM|aAME
99	46423 12111	   	185.28	ACR|1BASARM|2BEXP|1AART	1LHND|2AART|36BEXP|4RCR|5LEGI|7DUST|8CGEN|9BASARM|aDUR
100	46423 12112	   	185.28	ACR|1BASARM|2BEXP|1AART	1aLHND|2AART|36BEXP|4RCR|5LEGI|7DUST|8CGEN|9BASARM
101	46423 13113	   	185.28	ACR|1BASARM|2BEXP|1AART	1LHND|2AART|36BEXP|4RCR|5LEGI|7FEWX|8CGEN|9BASARM|aAME
102	46422 22321	   	185.28	ACR|1BASARM|2BEXP|1AART	1LHND|2AART|39BEXP|4RCR|5MDPS|6RMIN|7AEMAG|8BASARM|aDUR
103	46422 22322	   	185.28	ACR|1BASARM|2BEXP|1AART	1LHND|2AART|39BEXP|4RCR|5MDPS|6RMIN|7AEMAG|8BASARM|aLWND
104	46422 22323	   	185.28	ACR|1BASARM|2BEXP|1AART	1LHND|2AART|39BEXP|4RCR|5MDPS|6RMIN|7AEMAG|8BASARM|aRPLT
105	33334 41315	 * 	185.18	ACR|2ASPD|1VULN|3CDMG|1DMG	16aCDMG|2AME|3DUST|48ASPD|5RCR|7VULN|9DMG
106	46423 12113	   	185.18	ACR|1BASARM|2BEXP|1AART	1LHND|2AART|36BEXP|4RCR|5LEGI|7DUST|8CGEN|9BASARM|aAME
107	46422 21331	 * 	185.00	ACR|1BASARM|2AART|1BEXP	1aLHND|29AART|3BEXP|4RCR|5MDPS|6RMIN|7FEWX|8BASARM
108	46422 21332	   	185.00	ACR|1BASARM|2AART|1BEXP	1LHND|29AART|3BEXP|4RCR|5MDPS|6RMIN|7FEWX|8BASARM|aLWND
109	46422 21333	   	185.00	ACR|1BASARM|2AART|1BEXP	1LHND|29AART|3BEXP|4RCR|5MDPS|6RMIN|7FEWX|8BASARM|aRPLT
110	31142 17544	   	184.81	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1CDMG|2MBVNT|3BEXP|4LIT|5RCR|6FEWX|7AAC|8ASPD|9DLOT|aBASARM
111	31142 27544	   	184.81	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1CDMG|2MBVNT|3BEXP|4LIT|5RCR|6LWND|7AAC|8ASPD|9DLOT|aBASARM
112	31142 47544	   	184.81	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1CDMG|2MBVNT|3BEXP|4LIT|5RCR|6LHND|7AAC|8ASPD|9DLOT|aBASARM
113	31242 57544	   	184.81	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1CDMG|2MBVNT|3FEWX|4LIT|5RCR|6BEXP|7AAC|8ASPD|9DLOT|aBASARM
114	46121 13314	 * 	184.60	ACR|2VULN|2AART|1CDMG|1BEXP	1LHND|29AART|3DUR|4RCR|58VULN|6BEXP|7AEMAG|aCDMG
115	31642 53141	 * 	184.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1CDMG|2MBVNT|3DUST|4LIT|5RCR|6BEXP|7VULN|8AART|9ASPD|aDMG
116	31133 15356	   	184.48	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1CDMG|2MBVNT|3BEXP|4SPLREG|5RCR|6FEWX|7VULN|8DMG|9aASPD
117	31133 42556	   	184.48	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1CDMG|2MBVNT|3BEXP|4SPLREG|5RCR|69ASPD|7LHND|8VULN|aDMG
118	31133 44456	   	184.48	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1CDMG|2MBVNT|3BEXP|4SPLREG|5RCR|69ASPD|7VULN|8LHND|aDMG
119	31133 84456	   	184.48	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1CDMG|2MBVNT|3BEXP|4SPLREG|5RCR|6DMG|7VULN|8LHND|9aASPD
120	33334 61312	   	184.38	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1CDMG|2AME|36DUST|48ASPD|5RCR|7VULN|9DMG|aBEXP
121	62333 63512	 * 	184.38	DCR|1BASARM|1VULN|2BEXP|1ASPD|1DMG|1SELL	1ASPD|2SNIFST|3VULN|4DMSP|5BASARM|6DMG|7SELL|89BEXP|aRCR
122	32633 52216	   	184.08	DCR|2VULN|2AART|1ASPD|2CDMG|1BEXP	18CDMG|28DUST|34AART|5BEXP|6ASPD|78VULN|8BPWR|9LHND|aRCR
123	46121 14311	 * 	183.79	ACR|2VULN|2AART|2BEXP	1LHND|29AART|3DUR|4RCR|58VULN|67BEXP|aMSLFST
124	46121 14312	   	183.79	ACR|2VULN|2AART|2BEXP	1LHND|29AART|3DUR|4RCR|58VULN|67BEXP|aAEMAG
125	46121 14313	   	183.79	ACR|2VULN|2AART|2BEXP	1LHND|29AART|3DUR|4RCR|58VULN|67BEXP|aLEGI
126	46421 13311	   	183.79	ACR|2VULN|2AART|2BEXP	1LHND|29AART|36BEXP|4RCR|58VULN|7FEWX|aMSLFST
127	46421 13312	   	183.79	ACR|2VULN|2AART|2BEXP	1LHND|29AART|36BEXP|4RCR|58VULN|7FEWX|aAEMAG
128	46421 13313	   	183.79	ACR|2VULN|2AART|2BEXP	1LHND|29AART|36BEXP|4RCR|58VULN|7FEWX|aLEGI
129	46421 12311	   	183.69	ACR|2VULN|2AART|2BEXP	1LHND|29AART|36BEXP|4RCR|58VULN|7DUST|aMSLFST
130	46421 12312	   	183.69	ACR|2VULN|2AART|2BEXP	1LHND|29AART|36BEXP|4RCR|58VULN|7DUST|aAEMAG
131	46421 12313	   	183.69	ACR|2VULN|2AART|2BEXP	1LHND|29AART|36BEXP|4RCR|58VULN|7DUST|aLEGI
132	31133 15311	   	183.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1CDMG|2MBVNT|3BEXP|4SPLREG|5RCR|6FEWX|7VULN|8DMG|9AART|aASPD
133	31133 75311	   	183.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1CDMG|2MBVNT|3BEXP|4SPLREG|5RCR|6DUR|7VULN|8DMG|9AART|aASPD
134	31233 81511	   	183.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1CDMG|2MBVNT|3FEWX|4SPLREG|5RCR|6DMG|7BEXP|8VULN|9AART|aASPD
135	31133 43511	   	183.44	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1CDMG|2MBVNT|3BEXP|4SPLREG|5RCR|6ASPD|7DUST|8VULN|9AART|aDMG
136	31133 55311	   	183.44	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1CDMG|2MBVNT|3BEXP|4SPLREG|5RCR|6DUST|7VULN|8DMG|9AART|aASPD
137	31133 83511	   	183.44	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1CDMG|2MBVNT|3BEXP|4SPLREG|5RCR|6DMG|7DUST|8VULN|9AART|aASPD
138	31633 41511	   	183.44	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1CDMG|2MBVNT|3DUST|4SPLREG|5RCR|6ASPD|7BEXP|8VULN|9AART|aDMG
139	46421 23333	 * 	182.97	ACR|3VULN|1AART|1DMG|1BEXP	1LHND|2AART|3BEXP|4RCR|568VULN|7FEWX|9DMG|aRCVC
140	46421 22333	   	182.87	ACR|3VULN|1AART|1DMG|1BEXP	1LHND|2AART|3BEXP|4RCR|568VULN|7DUST|9DMG|aRCVC
141	33624 13215	   	182.50	ACR|1BASARM|1AART|1BEXP|1CDMG|1AAC	1CDMG|2AME|3BEXP|4RMIN|5RCR|6LHND|7AART|8AAC|9DUR|aBASARM
142	33624 23215	   	182.50	ACR|1BASARM|1AART|1BEXP|1CDMG|1AAC	1CDMG|2AME|3BEXP|4RMIN|5RCR|6LWND|7AART|8AAC|9DUR|aBASARM
143	33624 23235	   	182.50	ACR|1BASARM|1AART|1BEXP|1CDMG|1AAC	1CDMG|2AME|3BEXP|4RMIN|5RCR|6LWND|7AART|8AAC|9LHND|aBASARM
144	31142 13171	 * 	182.17	ACR|2DMG|1VULN|1AART|1CDMG|1BEXP	1CDMG|2MBVNT|3BEXP|4LIT|5RCR|6FEWX|7VULN|8AART|9aDMG
145	31242 53171	   	182.17	ACR|2DMG|1VULN|1AART|1CDMG|1BEXP	1CDMG|2MBVNT|3FEWX|4LIT|5RCR|6BEXP|7VULN|8AART|9aDMG
146	61243 33136	 * 	182.09	DCR|2BASARM|2ASPD|1VULN|1BEXP	15ASPD|2VULN|3FEWX|45BASARM|5BPWR|6MLV|7RPLT|8BEXP|9VENTOX|aRCR
147	31642 53146	   	182.07	ACR|2ASPD|1VULN|1AART|1BEXP|1CDMG	1CDMG|2MBVNT|3DUST|4LIT|5RCR|6BEXP|7VULN|8AART|9aASPD
148	31642 53171	   	182.07	ACR|2DMG|1VULN|1AART|1BEXP|1CDMG	1CDMG|2MBVNT|3DUST|4LIT|5RCR|6BEXP|7VULN|8AART|9aDMG
149	46121 32314	 * 	182.06	ACR|3VULN|2AART|1CDMG	1LHND|29AART|3DUR|4RCR|578VULN|6LWND|aCDMG
150	33522 11242	 * 	181.76	3ASPD|1BASARM|2VULN|1AART|2CDMG	1aCDMG|2AME|3RMIN|4AART|57aASPD|6AEFBLL|8BASARM|9aVULN|aBPWR
151	46422 31232	 * 	181.72	ACR|3BEXP|2AART|1ASPD	1LHND|2aAART|378BEXP|4RCR|5MDPS|6FEWX|9ASPD
152	46421 23331	   	181.67	ACR|3VULN|1AART|1DMG|1BEXP	1LHND|2AART|3BEXP|4RCR|568VULN|7FEWX|9DMG|aRPLT
153	46421 23332	   	181.67	ACR|3VULN|1AART|1DMG|1BEXP	1LHND|2AART|3BEXP|4RCR|568VULN|7FEWX|9DMG|aLIT
154	46421 22331	   	181.57	ACR|3VULN|1AART|1DMG|1BEXP	1LHND|2AART|3BEXP|4RCR|568VULN|7DUST|9DMG|aRPLT
155	46421 22332	   	181.57	ACR|3VULN|1AART|1DMG|1BEXP	1LHND|2AART|3BEXP|4RCR|568VULN|7DUST|9DMG|aLIT
