0	Index      	 *	Score 	Summary	Detail	
1	44212 21231	 * 	221.02	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1VULN|2MDPS|3RCR|4BELT|5DMG|6LWND|7CDMG|8BASARM|9AART|aBEXP
48	21434 33233	   	199.95	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP|1AAC	1DUR|2TLV|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aAAC
49	31434 33233	   	199.95	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP|1AAC	1TLV|2DUR|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aAAC
50	51434 33233	   	199.95	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP|1AAC	1AME|2DUR|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aAAC
51	56233 32234	   	199.83	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	16AME|2RCR|3VULN|4MLV|56BEXP|6BPWR|7FEWX|8AART|9DMG|aASPD
52	36133 23432	 * 	199.67	ACR|2DMG|2BEXP|1VULN|1ASPD	1TLV|2RCR|3AME|4ASPD|5aBEXP|6RMIN|7VULN|89DMG
53	36133 48132	 * 	199.49	ACR|2ASPD|2DMG|2BEXP	1aTLV|2RCR|3AME|4aASPD|57BEXP|6MBVNT|8DUR|9aDMG|aBPWR
54	44231 42223	   	199.15	ACR|1BASARM|2VULN|1DMG|1BEXP	1aVULN|2MDPS|3RCR|4BEXP|5LIT|6ERES|7BASARM|8TLV|9DMG
55	44212 61223	   	199.14	ACR|1VULN|2BEXP|1ASPD|1DMG|1CDMG|1AAC	1VULN|2MDPS|3RCR|4BELT|5DMG|69BEXP|7CDMG|8AAC|aASPD
56	44212 61311	 * 	198.92	ACR|3VULN|2BEXP|1DMG|2CDMG	189VULN|2MDPS|3RCR|4BELT|5DMG|69BEXP|79CDMG|9BPWR|aLHND
57	44212 61312	   	198.92	ACR|3VULN|2BEXP|1DMG|2CDMG	189VULN|2MDPS|3RCR|4BELT|5DMG|69BEXP|79CDMG|9BPWR|aMLV
58	44212 61313	   	198.92	ACR|3VULN|2BEXP|1DMG|2CDMG	189VULN|2MDPS|3RCR|4aBELT|5DMG|69BEXP|79CDMG|9BPWR
59	33634 63332	   	198.38	ACR|3ASPD|1VULN|1AART|1CDMG|1AAC	1TLV|2CDMG|3VULN|4RCR|567ASPD|8AART|9NUKE|aAAC
60	33631 23263	   	198.17	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1TLV|2CDMG|3VULN|4RCR|5DLOT|6MDPS|7BASARM|8LIT|9DMG|aBEXP
61	41431 23263	   	198.17	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2TLV|3CDMG|4RCR|5DLOT|6MDPS|7BASARM|8LIT|9DMG|aBEXP
62	53631 23263	   	198.17	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1AME|2CDMG|3VULN|4RCR|5DLOT|6MDPS|7BASARM|8LIT|9DMG|aBEXP
63	44212 21214	   	198.03	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1VULN|2MDPS|3RCR|4BELT|5DMG|69LWND|7CDMG|8BASARM|aAAC
64	36133 23413	   	197.73	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART	1TLV|2RCR|3AME|4ASPD|59BEXP|6RMIN|7VULN|8DMG|aAART
65	24212 21413	 * 	197.71	ACR|3ASPD|3DMG	169DUR|2MDPS|3RCR|4BELT|569DMG|69BPWR|79aASPD|8DMSP
66	41435 13222	 * 	197.15	ACR|3VULN|2ASPD|1AART|1CDMG	158VULN|28TLV|3CDMG|4RCR|6ZMB|78ASPD|8BPWR|9DUST|aAART
67	56233 62221	 * 	197.15	ACR|2VULN|2ASPD|1AART|1BEXP	1AME|2RCR|3aVULN|4MLV|5BEXP|69ASPD|7AART|8FEWX
68	56233 62321	   	197.15	ACR|2VULN|2ASPD|1AART|1BEXP	1AME|2RCR|3aVULN|4MLV|5BEXP|69ASPD|7AART|8LHND
69	44231 42122	   	196.93	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1VULN|2MDPS|3RCR|4BEXP|5LIT|6ERES|7BASARM|8AAC|9DMG|aRMIN
70	44231 42131	   	196.83	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AAC	1VULN|2MDPS|3RCR|4BEXP|5LIT|6ERES|7BASARM|8AAC|9AEFBLL|aASPD
71	13434 32315	   	196.55	ACR|2VULN|1BASARM|1ASPD|1CDMG	17LHND|27CGEN|3CDMG|4RCR|5ASPD|67VULN|7BPWR|8AME|9MLV|aBASARM
72	13434 32343	   	196.55	ACR|2VULN|1BASARM|1ASPD|1CDMG	17LHND|27CGEN|3CDMG|4RCR|5ASPD|67VULN|7BPWR|8AME|9BASARM|aDUR
73	36133 23533	   	196.52	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP	1TLV|2RCR|3AME|4ASPD|5BEXP|6RMIN|78VULN|9DMG|aAART
74	44251 21131	   	196.47	ACR|2VULN|3DMG|1ASPD	14VULN|2MDPS|3RCR|4BPWR|5ASPD|69aDMG|7DUR|8DUST
75	44251 34331	   	196.47	ACR|2VULN|3DMG|1ASPD	14VULN|2MDPS|3RCR|4BPWR|5ASPD|6MBVNT|79aDMG|8DUR
76	13434 32342	   	196.45	ACR|2VULN|1BASARM|1ASPD|1CDMG	17LHND|27CGEN|3CDMG|4RCR|5ASPD|67VULN|7BPWR|8aAME|9BASARM
77	23435 11621	   	196.45	ACR|1BASARM|2VULN|1DMG|1CDMG	1DUR|2CGEN|3CDMG|4RCR|5aVULN|6FEWX|7DMG|8BASARM|9LHND
78	11434 32315	   	196.35	ACR|2VULN|1BASARM|1ASPD|1CDMG	17LHND|27TLV|3CDMG|4RCR|5ASPD|67VULN|7BPWR|8AME|9MLV|aBASARM
79	11434 32343	   	196.35	ACR|2VULN|1BASARM|1ASPD|1CDMG	17LHND|27TLV|3CDMG|4RCR|5ASPD|67VULN|7BPWR|8AME|9BASARM|aDUR
80	11434 32342	   	196.25	ACR|2VULN|1BASARM|1ASPD|1CDMG	17LHND|27TLV|3CDMG|4RCR|5ASPD|67VULN|7BPWR|8aAME|9BASARM
81	33635 23215	   	196.25	ACR|2VULN|1BASARM|1ASPD|1CDMG	1TLV|2CDMG|35VULN|4RCR|6AME|7ASPD|8LWND|9MLV|aBASARM
82	33635 23243	   	196.25	ACR|2VULN|1BASARM|1ASPD|1CDMG	1TLV|2CDMG|35VULN|4RCR|6AME|7ASPD|8LWND|9BASARM|aDUR
83	53633 62312	 * 	196.25	ACR|2VULN|1BASARM|2CDMG|1BEXP	1AME|25CDMG|38VULN|4RCR|6BASARM|7LWND|9LIT|aBEXP
84	53633 63312	   	196.25	ACR|2VULN|1BASARM|2CDMG|1BEXP	1AME|25CDMG|38VULN|4RCR|6BASARM|7LHND|9LIT|aBEXP
85	33631 23264	   	196.15	ACR|1BASARM|2VULN|1DMG|1CDMG	1TLV|2CDMG|3aVULN|4RCR|5DLOT|6MDPS|7BASARM|8LIT|9DMG
86	33635 23242	   	196.15	ACR|2VULN|1BASARM|1ASPD|1CDMG	1TLV|2CDMG|35VULN|4RCR|6aAME|7ASPD|8LWND|9BASARM
87	33635 23343	   	196.15	ACR|2VULN|1BASARM|1ASPD|1CDMG	1TLV|2CDMG|35VULN|4RCR|6AME|7ASPD|8LEGI|9BASARM|aDUR
88	36441 33212	   	196.07	ACR|2ASPD|1VULN|1AART|1BEXP|1CDMG	1TLV|2RCR|3CDMG|4DUR|5DLOT|6aASPD|7BEXP|8VULN|9AART
89	36461 33212	   	196.07	ACR|2ASPD|1VULN|1AART|1BEXP|1CDMG	1TLV|2RCR|3CDMG|4BEXP|5DLOT|6aASPD|7FEWX|8VULN|9AART
90	44212 33315	   	196.06	ACR|1VULN|1ASPD|1DMG|1BASICY|1CDMG|1BEXP	1VULN|2MDPS|3RCR|4BELT|5DMG|6BASICY|7DUR|8BEXP|9ASPD|aCDMG
91	33632 61142	   	196.05	ACR|2VULN|1BASARM|1ASPD|1CDMG	1TLV|2CDMG|38VULN|4RCR|5ERES|6ASPD|7DUST|9BASARM|aAME
92	33632 61143	   	196.05	ACR|2VULN|1BASARM|1ASPD|1CDMG	1TLV|2CDMG|38VULN|4RCR|5ERES|6ASPD|7DUST|9BASARM|aAEFBLL
93	33635 23342	   	196.05	ACR|2VULN|1BASARM|1ASPD|1CDMG	1TLV|2CDMG|35VULN|4RCR|6aAME|7ASPD|8LEGI|9BASARM
94	36461 32212	   	195.97	ACR|2ASPD|1VULN|1AART|1BEXP|1CDMG	1TLV|2RCR|3CDMG|4BEXP|5DLOT|6aASPD|7DUST|8VULN|9AART
95	44212 14233	   	195.95	ACR|2VULN|2DMG|2AART	17VULN|2MDPS|3RCR|4BELT|57DMG|67TLV|7BPWR|89AART|aRPLT
96	44212 14231	   	195.85	ACR|2VULN|2DMG|2AART	17VULN|2MDPS|3RCR|4BELT|57DMG|67TLV|7BPWR|89AART|aDLOT
97	36133 42411	   	195.52	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG	1TLV|2RCR|3AME|4ASPD|58BEXP|6MBVNT|7AART|9CDMG|aDMG
98	36133 42431	   	195.52	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG	1TLV|2RCR|3AME|4ASPD|58BEXP|6MBVNT|7AART|9DMG|aCDMG
99	56233 31433	   	195.36	ACR|2DMG|1VULN|2BEXP|1AART	16AME|2RCR|3VULN|4MLV|56BEXP|6BPWR|7DUR|89DMG|aAART
100	56233 32433	   	195.36	ACR|2DMG|1VULN|2BEXP|1AART	16AME|2RCR|3VULN|4MLV|56BEXP|6BPWR|7FEWX|89DMG|aAART
101	56333 13433	   	195.36	ACR|2DMG|2BEXP|1VULN|1AART	1AME|2RCR|3LEGI|46MLV|56BEXP|6BPWR|7VULN|89DMG|aAART
102	44211 32446	   	195.04	ACR|1BASARM|1VULN|1DMG|1BASICY	1VULN|2MDPS|3RCR|4BELT|5RMIN|6BASICY|7MBVNT|8DUR|9BASARM|aDMG
103	44212 32225	   	195.04	ACR|1BASARM|1VULN|1DMG|1BASICY	1VULN|2MDPS|3RCR|4BELT|5DMG|6BASICY|7RPLT|8LWND|9AIRARM|aBASARM
104	44212 33441	   	195.04	ACR|1BASARM|1VULN|1DMG|1BASICY	1VULN|2MDPS|3RCR|4aBELT|5DMG|6BASICY|7DUR|8MBVNT|9BASARM
105	44212 33443	   	195.04	ACR|1BASARM|1VULN|1DMG|1BASICY	1VULN|2MDPS|3RCR|4BELT|5DMG|6BASICY|7DUR|8MBVNT|9BASARM|aRMIN
106	44212 33444	   	195.04	ACR|1BASARM|1VULN|1DMG|1BASICY	1VULN|2MDPS|3RCR|4BELT|5DMG|6BASICY|7DUR|8MBVNT|9BASARM|aLWND
107	36153 23143	 * 	194.91	ACR|2VULN|2AART|1ASPD|1CDMG	16TLV|2RCR|3AME|4CDMG|56VULN|6BPWR|7ASPD|8RMIN|9aAART
108	36432 41122	   	194.61	ACR|2VULN|2BEXP|1DMG|2CDMG	1TLV|2RCR|36CDMG|4MDPS|58BEXP|7DMG|9aVULN
109	24222 21512	   	194.58	ACR|2ASPD|1VULN|1DMG|1CDMG|1BEXP	1DUR|2MDPS|3RCR|4LHND|5BEXP|6VULN|7CDMG|8DMG|9aASPD
110	24222 25312	   	194.58	ACR|2ASPD|1VULN|1DMG|1CDMG|1BEXP	1DUR|2MDPS|3RCR|4LHND|5BEXP|6VULN|7DMG|8CDMG|9aASPD
111	14222 21512	   	194.48	ACR|2ASPD|1VULN|1DMG|1CDMG|1BEXP	1LHND|2MDPS|3RCR|4LEGI|5BEXP|6VULN|7CDMG|8DMG|9aASPD
112	14222 25512	   	194.48	ACR|2ASPD|1VULN|1DMG|1CDMG|1BEXP	1LHND|2MDPS|3RCR|4LEGI|5BEXP|6VULN|7DMG|8CDMG|9aASPD
113	33635 13222	   	194.46	ACR|2VULN|2ASPD|2CDMG|1AART	18TLV|28CDMG|35VULN|4RCR|6ZMB|78ASPD|8BPWR|9DUST|aAART
114	41433 13222	   	194.46	ACR|2VULN|2ASPD|2CDMG|1AART	18VULN|28TLV|35CDMG|4RCR|6ZMB|78ASPD|8BPWR|9DUST|aAART
115	44251 22221	 * 	194.46	ACR|2VULN|2ASPD|1DMG|1CDMG	14VULN|2MDPS|3RCR|4BPWR|58ASPD|6DMG|7LIT|9DUST|aCDMG
116	53635 13222	   	194.46	ACR|2VULN|2ASPD|2CDMG|1AART	18AME|28CDMG|35VULN|4RCR|6ZMB|78ASPD|8BPWR|9DUST|aAART
117	44212 14212	   	194.45	ACR|2VULN|2DMG|1AART|1CDMG	17VULN|2MDPS|3RCR|4BELT|57DMG|67TLV|7BPWR|8AART|9CDMG|aRCVC
118	44222 11612	   	194.38	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1VULN|2MDPS|3RCR|4LEGI|5BEXP|6MBVNT|7CDMG|8DMG|9aASPD
119	23434 31621	 * 	194.24	ACR|1VULN|1ASPD|1DMG|1AART|2AAC|1CDMG	1DUR|2CGEN|3CDMG|4RCR|5ASPD|6AART|79AAC|8VULN|aDMG
120	36432 33131	   	194.24	ACR|3BEXP|1ASPD|1VULN|1CDMG|1AAC	1TLV|2RCR|3CDMG|4MDPS|578BEXP|6AAC|9VULN|aASPD
121	56432 33131	   	194.24	ACR|3BEXP|1ASPD|1VULN|1CDMG|1AAC	1AME|2RCR|3CDMG|4MDPS|578BEXP|6AAC|9VULN|aASPD
122	21434 31621	   	194.14	ACR|1VULN|1ASPD|1DMG|1AART|2AAC|1CDMG	1DUR|2TLV|3CDMG|4RCR|5ASPD|6AART|79AAC|8VULN|aDMG
123	31434 31621	   	194.14	ACR|1VULN|1ASPD|1DMG|1AART|2AAC|1CDMG	1TLV|2DUR|3CDMG|4RCR|5ASPD|6AART|79AAC|8VULN|aDMG
124	24235 42123	   	193.91	ACR|1BASARM|2VULN|1DMG|1AAC	1DUR|2MDPS|3RCR|4LIT|5aVULN|6ERES|7BASARM|8AAC|9DMG
125	44221 42123	   	193.81	ACR|1BASARM|2VULN|1DMG|1AAC	1aVULN|2MDPS|3RCR|4LEGI|5LIT|6ERES|7BASARM|8AAC|9DMG
126	44212 36312	   	193.77	ACR|2DMG|1VULN|2BEXP|1BASICY	1VULN|2MDPS|3RCR|4BELT|5aDMG|6BASICY|78BEXP|9MLV
127	14212 22314	   	193.76	ACR|1BASARM|2DMG|1VULN	16LHND|2MDPS|3RCR|4BELT|56DMG|6BPWR|7VULN|8DUR|9LIT|aBASARM
128	24212 22614	   	193.76	ACR|1BASARM|2DMG|1VULN	16DUR|2MDPS|3RCR|4BELT|56DMG|6BPWR|7VULN|8LHND|9LIT|aBASARM
129	44216 23121	   	193.66	ACR|1BASARM|2DMG|1VULN	1VULN|2MDPS|3RCR|4BELT|5LIT|6LWND|7CGEN|89DMG|aBASARM
130	33635 13253	   	193.57	ACR|2VULN|3ASPD|2CDMG	18TLV|28CDMG|35VULN|4RCR|6ZMB|789ASPD|8BPWR|aLIT
131	41433 13253	   	193.57	ACR|3ASPD|2VULN|2CDMG	18VULN|28TLV|35CDMG|4RCR|6ZMB|789ASPD|8BPWR|aLIT
132	44216 22121	   	193.56	ACR|1BASARM|2DMG|1VULN	1VULN|2MDPS|3RCR|4BELT|5LIT|6LWND|7ERES|89DMG|aBASARM
133	36642 23211	   	193.52	ACR|1BASARM|1VULN|1ASPD|1BEXP	13TLV|2RCR|4DMSP|5ASPD|6VULN|7SNIFST|8BEXP|9LIT|aBASARM
134	56142 23211	   	193.52	ACR|1BASARM|1VULN|1ASPD|1BEXP	13AME|2RCR|4DMSP|5ASPD|6VULN|7SNIFST|8BEXP|9LIT|aBASARM
135	33635 13251	   	193.47	ACR|2VULN|3ASPD|2CDMG	18TLV|28CDMG|35VULN|4RCR|6ZMB|789ASPD|8BPWR|aMDPS
136	41433 13251	   	193.47	ACR|3ASPD|2VULN|2CDMG	18VULN|28TLV|35CDMG|4RCR|6ZMB|789ASPD|8BPWR|aMDPS
137	14231 61225	   	193.36	ACR|2ASPD|2BEXP|1VULN|1AART	1LHND|2MDPS|3RCR|46BEXP|5LIT|7AART|8aASPD|9VULN
138	36563 22132	   	193.16	ACR|2ASPD|2DMG|1BEXP|1AAC	1aTLV|2RCR|3BEXP|4aASPD|5AAC|6RMIN|7CGEN|8DUR|9aDMG|aBPWR
139	44212 14213	   	193.15	ACR|2VULN|2DMG|1AART|1CDMG	17VULN|2MDPS|3RCR|4BELT|57DMG|67TLV|7BPWR|8AART|9CDMG|aFEWX
140	36133 26132	   	193.06	ACR|2ASPD|2DMG|1BEXP|1AAC	1aTLV|2RCR|3AME|4aASPD|5BEXP|6RMIN|7AAC|8DUR|9aDMG|aBPWR
141	36133 26532	   	193.06	ACR|2ASPD|2DMG|1BEXP|1AAC	1aTLV|2RCR|3AME|4aASPD|5BEXP|6RMIN|7AAC|8LWND|9aDMG|aBPWR
142	23434 33231	   	193.05	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP	1DUR|2CGEN|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aRCVC
143	21434 33231	   	192.95	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1DUR|2TLV|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aRCVC
144	31434 33231	   	192.95	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1TLV|2DUR|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aRCVC
145	51434 33231	   	192.95	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1AME|2DUR|3CDMG|4RCR|5ASPD|6AART|7BEXP|8VULN|9DMG|aRCVC
146	36441 33211	   	192.93	ACR|2AART|1VULN|1ASPD|1BEXP|1CDMG	1TLV|2RCR|3CDMG|4DUR|5DLOT|6ASPD|7BEXP|8VULN|9aAART
147	36461 33211	   	192.93	ACR|2AART|1VULN|1ASPD|1BEXP|1CDMG	1TLV|2RCR|3CDMG|4BEXP|5DLOT|6ASPD|7FEWX|8VULN|9aAART
148	36461 32211	   	192.83	ACR|2AART|1VULN|1ASPD|1BEXP|1CDMG	1TLV|2RCR|3CDMG|4BEXP|5DLOT|6ASPD|7DUST|8VULN|9aAART
149	36133 23532	 * 	192.71	ACR|2VULN|2BEXP|1ASPD|1DMG	1TLV|2RCR|3AME|4ASPD|5aBEXP|6RMIN|78VULN|9DMG
150	44251 34422	   	192.46	ACR|2VULN|2ASPD|1DMG|1BEXP	14VULN|2MDPS|3RCR|4BPWR|5aASPD|6MBVNT|7DMG|8BEXP|9RPLT
151	44251 34432	   	192.46	ACR|2VULN|2DMG|1ASPD|1BEXP	14VULN|2MDPS|3RCR|4BPWR|5ASPD|6MBVNT|79DMG|8BEXP|aLHND
