0	Index      	 *	Score 	Summary	Detail	
1	42412 26121	 * 	234.02	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	1MDPS|2RCR|3AART|48DMG|58VULN|6RMIN|78ASPD|8BPWR|9DUR|aBEXP
15	42421 13161	   	220.28	ACR|1BASARM|1VULN|2AART|1DMG|1BEXP	1MDPS|2RCR|38AART|4LWND|5BEXP|6VULN|7BASARM|9FLTFST|aDMG
16	42412 26111	   	220.27	ACR|2VULN|2ASPD|2DMG|1AART	1MDPS|2RCR|3AART|48DMG|58VULN|6RMIN|78ASPD|8BPWR|9AEFBLL|aLWND
17	42412 26112	   	220.27	ACR|2VULN|2ASPD|2DMG|1AART	1MDPS|2RCR|3AART|48DMG|58VULN|6RMIN|78ASPD|8BPWR|9AEFBLL|aDUR
18	42412 26122	   	220.27	ACR|2VULN|2ASPD|2DMG|1AART	1MDPS|2RCR|3AART|48DMG|58VULN|6RMIN|78ASPD|8BPWR|9DUR|aAEMAG
19	42412 26132	   	220.27	ACR|2VULN|2ASPD|2DMG|1AART	1MDPS|2RCR|3AART|48DMG|58VULN|6RMIN|78ASPD|8BPWR|9AME|aRPLT
20	42412 26133	   	220.27	ACR|2VULN|2ASPD|2DMG|1AART	1MDPS|2RCR|3AART|48DMG|58VULN|6aRMIN|78ASPD|8BPWR|9AME
21	42412 26131	   	220.17	ACR|2VULN|2ASPD|2DMG|1AART	1MDPS|2RCR|3AART|48DMG|58VULN|6RMIN|78ASPD|8BPWR|9AME|aERES
22	23513 21415	   	219.76	ACR|3VULN|3ASPD|3CDMG	1RCVC|2AAC|39aASPD|4RCR|5ERES|69aCDMG|79aVULN|8MDPS|9aBPWR
23	23163 21552	 * 	217.43	ACR|2VULN|2ASPD|2AART|2CDMG	1RCVC|2AAC|3RCR|4aASPD|5ERES|6aCDMG|7aVULN|89AART|aBPWR
24	42423 13421	 * 	215.51	ACR|1BASARM|2DMG|1BASICY|1AART	1MDPS|2RCR|3AART|4LWND|5BASICY|6AME|7aDMG|8BASARM|9LHND
25	42433 13431	   	215.51	ACR|1BASARM|2DMG|1BASICY|1AART	1MDPS|2RCR|3AART|4LHND|5BASICY|6AME|7aDMG|8BASARM|9FEWX
26	42423 13431	   	215.41	ACR|1BASARM|2DMG|1BASICY|1AART	1MDPS|2RCR|3AART|4LWND|5BASICY|6AME|7aDMG|8BASARM|9MBVNT
27	23164 21331	 * 	215.20	ACR|2ASPD|2DMG|2BEXP|1VULN	1RCVC|2AAC|3RCR|49ASPD|59BEXP|6DUR|7LWND|89DMG|9BPWR|aVULN
28	53214 26312	 * 	215.18	ACR|1BASARM|1ASPD|1BASICY|1VULN|1BEXP|1CDMG|1SELL	1ASPD|2SELL|3CDMG|4RCR|5BEXP|6DUR|7BASICY|8MLV|9BASARM|aVULN
29	53216 36312	 * 	215.18	ACR|1BASARM|1ASPD|1BASICY|1VULN|1BEXP|1CDMG|1SELL	1ASPD|2SELL|3CDMG|4RCR|5LWND|6BEXP|7BASICY|8MLV|9BASARM|aVULN
30	23164 51331	   	215.10	ACR|2ASPD|2DMG|2BEXP|1VULN	1RCVC|2AAC|3RCR|49ASPD|59BEXP|6DUST|7LWND|89DMG|9BPWR|aVULN
31	23162 33226	 * 	214.61	ACR|3ASPD|2DMG|2BEXP	1RCVC|2AAC|3RCR|47aASPD|5FEWX|6aBEXP|8aDMG|9RPLT|aBPWR
32	42421 13114	 * 	213.88	ACR|1BASARM|2BEXP|1VULN|2AART	1MDPS|2RCR|38AART|4LWND|5aBEXP|6VULN|7BASARM|9DUR
33	42421 13125	   	213.78	ACR|1BASARM|2BEXP|1VULN|2AART	1MDPS|2RCR|38AART|4LWND|5aBEXP|6VULN|7BASARM|9ERES
34	42151 32532	   	212.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1MDPS|2RCR|3DUST|4VULN|5FEWX|6BASARM|7CDMG|8DMG|9LIT|aASPD
35	42423 13422	 * 	212.88	ACR|1BASARM|1DMG|1BASICY|1VULN|1AART	1MDPS|2RCR|3AART|4LWND|5BASICY|6AME|7DMG|8BASARM|9LHND|aVULN
36	42433 13432	   	212.88	ACR|1BASARM|1DMG|1BASICY|1VULN|1AART	1MDPS|2RCR|3AART|4LHND|5BASICY|6AME|7DMG|8BASARM|9FEWX|aVULN
37	42423 13432	   	212.78	ACR|1BASARM|1BASICY|1DMG|1VULN|1AART	1MDPS|2RCR|3AART|4LWND|5BASICY|6AME|7DMG|8BASARM|9MBVNT|aVULN
38	23164 21333	   	212.61	ACR|2ASPD|2DMG|2BEXP|1CDMG	1RCVC|2AAC|3RCR|49ASPD|59BEXP|6DUR|7LWND|89DMG|9BPWR|aCDMG
39	23164 51333	   	212.51	ACR|2ASPD|2DMG|2BEXP|1CDMG	1RCVC|2AAC|3RCR|49ASPD|59BEXP|6DUST|7LWND|89DMG|9BPWR|aCDMG
40	23513 21552	   	212.43	ACR|2VULN|2ASPD|2AART|2CDMG	1RCVC|2AAC|3aASPD|4RCR|5ERES|6aCDMG|7aVULN|89AART|aBPWR
41	42416 22121	   	212.12	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	1MDPS|2RCR|37AART|4DMG|5CDMG|69VULN|8LIT|aASPD
42	42423 13162	   	211.57	ACR|1BASARM|1DMG|1BASICY|1AART|1BEXP	1MDPS|2RCR|3AART|4LWND|5BASICY|6AME|7DMG|8FEWX|9BEXP|aBASARM
43	42423 13362	   	211.57	ACR|1BASARM|1DMG|1BASICY|1AART|1BEXP	1MDPS|2RCR|3AART|4LWND|5BASICY|6AME|7DMG|8DUR|9BEXP|aBASARM
44	42423 43132	   	211.57	ACR|1BASARM|1DMG|1BASICY|1AART|1BEXP	1MDPS|2RCR|3AART|4LWND|5BASICY|6ERES|7DMG|8FEWX|9BEXP|aBASARM
45	42433 13162	   	211.57	ACR|1BASARM|1DMG|1BASICY|1BEXP|1AART	1MDPS|2RCR|3AART|4LHND|5BASICY|6AME|7DMG|8FEWX|9BEXP|aBASARM
46	42433 13362	   	211.57	ACR|1BASARM|1DMG|1BASICY|1BEXP|1AART	1MDPS|2RCR|3AART|4LHND|5BASICY|6AME|7DMG|8DUR|9BEXP|aBASARM
47	42433 13421	   	211.57	ACR|1BASARM|1DMG|1BASICY|1BEXP|1AART	1MDPS|2RCR|3AART|49LHND|5BASICY|6AME|7DMG|8BASARM|aBEXP
48	42433 43132	   	211.57	ACR|1BASARM|1DMG|1BASICY|1AART|1BEXP	1MDPS|2RCR|3AART|4LHND|5BASICY|6ERES|7DMG|8FEWX|9BEXP|aBASARM
49	42423 13433	   	211.47	ACR|1BASARM|1DMG|1BASICY|1AART|1BEXP	1MDPS|2RCR|3AART|4LWND|5BASICY|6AME|7DMG|8BASARM|9MBVNT|aBEXP
50	23142 23463	 * 	211.42	ACR|1BASARM|2ASPD|2BEXP	16RCVC|2AAC|3RCR|4MDPS|57ASPD|89BEXP|aBASARM
51	53212 33216	 * 	210.43	ACR|3ASPD|2DMG|2CDMG|1BEXP|1SELL	17aASPD|2SELL|3aCDMG|4RCR|5FEWX|6BEXP|8aDMG|9RPLT|aBPWR
52	53214 23216	 * 	210.43	ACR|3ASPD|2DMG|2CDMG|1BEXP|1SELL	17aASPD|2SELL|3aCDMG|4RCR|5BEXP|6DUR|8aDMG|9RPLT|aBPWR
53	42151 32632	   	210.40	ACR|1BASARM|2ASPD|1VULN|1CDMG	1MDPS|2RCR|3DUST|4VULN|5FEWX|6BASARM|7CDMG|8aASPD|9LIT
54	23514 21331	   	210.20	ACR|2ASPD|2DMG|2BEXP|1VULN	1RCVC|2AAC|39ASPD|4RCR|59BEXP|6DUR|7LWND|89DMG|9BPWR|aVULN
55	42411 36121	 * 	210.16	ACR|3VULN|3DMG|1AART	1MDPS|2RCR|3AART|48aDMG|5FEWX|68AEMAG|78aVULN|8aBPWR|9aCGEN
56	23514 51331	   	210.10	ACR|2ASPD|2DMG|2BEXP|1VULN	1RCVC|2AAC|39ASPD|4RCR|59BEXP|6DUST|7LWND|89DMG|9BPWR|aVULN
57	42416 22112	   	209.85	ACR|2VULN|2DMG|2AART|1CDMG	1MDPS|2RCR|37AART|49DMG|5CDMG|69VULN|89LIT|9BPWR|aDUR
58	42416 22113	   	209.85	ACR|2VULN|2DMG|2AART|1CDMG	1MDPS|2RCR|37AART|49DMG|5CDMG|69VULN|89aLIT|9BPWR
59	23512 33226	   	209.61	ACR|3ASPD|2DMG|2BEXP	1RCVC|2AAC|37aASPD|4RCR|5FEWX|6aBEXP|8aDMG|9RPLT|aBPWR
60	23164 26312	 * 	209.52	ACR|1BASARM|1ASPD|1BASICY|1VULN|1BEXP	1RCVC|2AAC|3RCR|4ASPD|5BEXP|6DUR|7BASICY|8MLV|9BASARM|aVULN
61	23166 36312	   	209.52	ACR|1BASARM|1ASPD|1BASICY|1VULN|1BEXP	1RCVC|2AAC|3RCR|4ASPD|5LWND|6BEXP|7BASICY|8MLV|9BASARM|aVULN
62	23143 23463	   	209.35	ACR|1BASARM|2ASPD|2BEXP	1RCVC|2AAC|3RCR|4MDPS|5AEFBLL|67ASPD|89BEXP|aBASARM
63	42423 13434	 * 	209.07	ACR|1BASARM|2AART|1DMG|1BASICY	1MDPS|2RCR|3aAART|4LWND|5BASICY|6AME|7DMG|8BASARM|9MBVNT
64	42251 32151	   	208.63	ACR|1BASARM|1VULN|2AART|1CDMG|1AAC	1MDPS|2RCR|3LHND|4VULN|5FEWX|6BASARM|7CDMG|89AART|aAAC
65	42153 32151	   	208.53	ACR|1BASARM|1VULN|2AART|1CDMG|1AAC	1MDPS|2RCR|3DUST|4VULN|5LWND|6BASARM|7CDMG|89AART|aAAC
66	42421 13521	   	208.24	ACR|1BASARM|2BEXP|1VULN|1AART|1AAC	1MDPS|2RCR|3AART|4LWND|58BEXP|6VULN|7BASARM|9ERES|aAAC
67	42251 32513	   	207.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1MDPS|2RCR|3LHND|4VULN|5FEWX|6BASARM|7CDMG|8DMG|9BELT|aAART
68	42251 32613	   	207.86	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1MDPS|2RCR|3LHND|4VULN|5FEWX|6BASARM|7CDMG|8ASPD|9BELT|aAART
69	42253 32152	   	207.86	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1MDPS|2RCR|3LHND|4VULN|5LWND|6BASARM|7CDMG|8AART|9DUR|aASPD
70	42253 32511	   	207.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1MDPS|2RCR|3LHND|4VULN|5LWND|6BASARM|7CDMG|8DMG|9FEWX|aAART
71	42253 32611	   	207.86	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1MDPS|2RCR|3LHND|4VULN|5LWND|6BASARM|7CDMG|8ASPD|9FEWX|aAART
72	42153 32122	   	207.76	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1MDPS|2RCR|3DUST|4VULN|5LWND|6BASARM|7CDMG|8AART|9FEWX|aASPD
73	42153 32513	   	207.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1MDPS|2RCR|3DUST|4VULN|5LWND|6BASARM|7CDMG|8DMG|9BELT|aAART
74	42153 32531	   	207.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1MDPS|2RCR|3DUST|4VULN|5LWND|6BASARM|7CDMG|8DMG|9LHND|aAART
75	42153 32613	   	207.76	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1MDPS|2RCR|3DUST|4VULN|5LWND|6BASARM|7CDMG|8ASPD|9BELT|aAART
76	42153 32631	   	207.76	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1MDPS|2RCR|3DUST|4VULN|5LWND|6BASARM|7CDMG|8ASPD|9LHND|aAART
77	42251 32134	   	207.76	ACR|1BASARM|1VULN|1DMG|1CDMG|1AART	1MDPS|2RCR|3LHND|4VULN|5FEWX|6BASARM|7CDMG|8AART|9AME|aDMG
78	42253 32134	   	207.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1MDPS|2RCR|3LHND|4VULN|5LWND|6BASARM|7CDMG|8AART|9AME|aDMG
79	42253 32531	   	207.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1MDPS|2RCR|3LHND|4VULN|5LWND|6BASARM|7CDMG|8DMG|9MBVNT|aAART
80	42253 32631	   	207.76	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1MDPS|2RCR|3LHND|4VULN|5LWND|6BASARM|7CDMG|8ASPD|9MBVNT|aAART
81	42153 32134	   	207.66	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1MDPS|2RCR|3DUST|4VULN|5LWND|6BASARM|7CDMG|8AART|9AME|aDMG
82	23514 21333	   	207.61	ACR|2ASPD|2DMG|2BEXP|1CDMG	1RCVC|2AAC|39ASPD|4RCR|59BEXP|6DUR|7LWND|89DMG|9BPWR|aCDMG
83	23514 51333	   	207.51	ACR|2ASPD|2DMG|2BEXP|1CDMG	1RCVC|2AAC|39ASPD|4RCR|59BEXP|6DUST|7LWND|89DMG|9BPWR|aCDMG
84	42421 13121	   	207.25	ACR|1BASARM|1VULN|2AART|1BEXP|1AAC	1MDPS|2RCR|38AART|4LWND|5BEXP|6VULN|7BASARM|9ERES|aAAC
85	42421 13211	   	206.46	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1MDPS|2RCR|3AART|4LWND|5BEXP|6VULN|7BASARM|8DUST|9ASPD|aBELT
86	42421 13212	   	206.46	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1MDPS|2RCR|3AART|4LWND|5BEXP|6VULN|7BASARM|8DUST|9ASPD|aMLV
87	42421 13213	   	206.46	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1MDPS|2RCR|3AART|4LWND|5BEXP|6VULN|7BASARM|8DUST|9ASPD|aDUR
88	42421 13214	   	206.46	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1MDPS|2RCR|3AART|4aLWND|5BEXP|6VULN|7BASARM|8DUST|9ASPD
89	42421 13215	   	206.46	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1MDPS|2RCR|3AART|4LWND|5BEXP|6VULN|7BASARM|8DUST|9ASPD|aFEWX
90	42421 13335	   	206.46	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1MDPS|2RCR|3AART|4LWND|5BEXP|6VULN|7BASARM|8FLTARM|9MLV|aDMG
91	42421 13216	   	206.36	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1MDPS|2RCR|3AART|4LWND|5BEXP|6VULN|7BASARM|8aDUST|9ASPD
92	42251 31122	   	206.32	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART|1SELL	1MDPS|2RCR|3LHND|4VULN|5FEWX|6BASARM|7SELL|8AART|9BEXP|aASPD
93	42253 31122	   	206.32	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP|1SELL	1MDPS|2RCR|3LHND|4VULN|5LWND|6BASARM|7SELL|8AART|9BEXP|aASPD
94	42254 31122	   	206.32	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART|1SELL	1MDPS|2RCR|3LHND|4VULN|5DUR|6BASARM|7SELL|8AART|9BEXP|aASPD
95	23163 33232	 * 	206.30	ACR|3DMG|2ASPD|2CDMG	1aRCVC|2AAC|3RCR|49ASPD|5ERES|689DMG|79CDMG|9BPWR
96	23164 33251	 * 	206.08	ACR|3BEXP|2ASPD|1DMG|1CDMG	1RCVC|2AAC|3RCR|4aASPD|569BEXP|7CDMG|8DMG
97	23163 33231	   	205.98	ACR|3DMG|2ASPD|2CDMG	1RCVC|2AAC|3RCR|49ASPD|5ERES|689DMG|79CDMG|9BPWR|aDUR
98	23163 33234	   	205.98	ACR|3DMG|2ASPD|2CDMG	1RCVC|2AAC|3RCR|49ASPD|5ERES|689DMG|79CDMG|9BPWR|aFEWX
99	23163 33233	   	205.88	ACR|3DMG|2ASPD|2CDMG	1RCVC|2AAC|3RCR|49ASPD|5aERES|689DMG|79CDMG|9BPWR
100	23163 33236	   	205.88	ACR|3DMG|2ASPD|2CDMG	1RCVC|2AAC|3RCR|49ASPD|5ERES|689DMG|79CDMG|9BPWR|aAEMAG
101	42421 13621	 * 	205.85	ACR|2VULN|1BASARM|1AART|1BEXP|1AAC	1MDPS|2RCR|3AART|4LWND|5BEXP|68VULN|7BASARM|9ERES|aAAC
102	64174 14414	   	205.41	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BEXP|2MBVNT|37ASPD|4RCR|5ERES|6LSRICY|8DMG|9BASARM|aLIT
103	23153 33224	   	205.36	ACR|1BASARM|2BEXP|1DMG|1CDMG|1SELL	1RCVC|2AAC|3RCR|4CGEN|56BEXP|7CDMG|8DMG|9SELL|aBASARM
104	64174 14411	   	205.31	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BEXP|2MBVNT|37ASPD|4RCR|5ERES|6LSRICY|8DMG|9BASARM|aAME
105	64174 14413	   	205.31	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BEXP|2MBVNT|37ASPD|4RCR|5ERES|6LSRICY|8DMG|9BASARM|aDUST
106	64224 54411	   	205.31	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BEXP|2MBVNT|3VENICY|4RCR|5aAME|67ASPD|8DMG|9BASARM
107	64224 54413	   	205.31	ACR|1BASARM|2ASPD|1DMG|1BEXP	1BEXP|2MBVNT|3VENICY|4RCR|5AME|67ASPD|8DMG|9BASARM|aERES
108	23164 33324	   	205.26	ACR|1BASARM|2BEXP|1ASPD|1CDMG|1SELL	1RCVC|2AAC|3RCR|4ASPD|56BEXP|7CDMG|8ERES|9SELL|aBASARM
109	42651 13213	 * 	205.20	ACR|5VULN|2ASPD|1BEXP	1MDPS|2RCR|34568VULN|68BPWR|78ASPD|9LHND|aBEXP
110	42151 22116	   	205.16	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1MDPS|2RCR|3DUST|4VULN|5FEWX|6DMG|7BEXP|8CDMG|9ZMB|aBASARM
111	42151 32316	   	205.16	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1MDPS|2RCR|3DUST|4VULN|5FEWX|6BASARM|7CDMG|8BEXP|9LHND|aDMG
112	42151 32337	   	205.06	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1MDPS|2RCR|3DUST|4VULN|5FEWX|6BASARM|7CDMG|8BEXP|9MBVNT|aDMG
113	42151 32524	   	205.06	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1MDPS|2RCR|3DUST|4VULN|5FEWX|6BASARM|7CDMG|8DMG|9MBVNT|aBEXP
114	42151 32624	   	205.06	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1MDPS|2RCR|3DUST|4VULN|5FEWX|6BASARM|7CDMG|8ASPD|9MBVNT|aBEXP
115	42411 36133	   	204.81	ACR|3VULN|2DMG|1AART|1BEXP	1MDPS|2RCR|3AART|48DMG|5FEWX|68AEMAG|789VULN|8BPWR|aBEXP
116	23514 26312	   	204.52	ACR|1BASARM|1ASPD|1BASICY|1VULN|1BEXP	1RCVC|2AAC|3ASPD|4RCR|5BEXP|6DUR|7BASICY|8MLV|9BASARM|aVULN
117	23516 36312	   	204.52	ACR|1BASARM|1ASPD|1BASICY|1VULN|1BEXP	1RCVC|2AAC|3ASPD|4RCR|5LWND|6BEXP|7BASICY|8MLV|9BASARM|aVULN
