0	Index      	 *	Score 	Summary	Detail	
1	62321 25236	 * 	248.08	ACR|2VULN|3DMG|2AART|2CDMG|1AAC	19AART|27VULN|37CDMG|4RCR|57aDMG|6MDPS|7BPWR|8AAC
42	62325 25222	   	234.03	ACR|2VULN|2ASPD|1AART|1DMG|2CDMG|1AAC	1AART|27VULN|37CDMG|4RCR|57ASPD|6MDPS|7BPWR|8AAC|9DMG|aLIT
43	62321 33134	   	233.93	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1CDMG|1AAC	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9RCVC|aAAC
44	62325 33134	   	233.93	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1CDMG|1AAC	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9RCVC|aAAC
45	62325 25223	   	233.93	ACR|2VULN|2ASPD|1AART|1DMG|2CDMG|1AAC	1AART|27VULN|37CDMG|4RCR|57ASPD|6MDPS|7BPWR|8AAC|9DMG|aAEFBLL
46	32224 46176	 * 	233.11	ACR|2VULN|1BASARM|2AART|1DMG|1AAC	1AAC|2MBVNT|34AART|5RCR|68VULN|7LHND|9DMG|aBASARM
47	32224 42176	   	233.01	ACR|2VULN|1BASARM|2AART|1DMG|1AAC	1AAC|2MBVNT|34AART|5RCR|68VULN|7DUST|9DMG|aBASARM
48	62322 32115	   	232.33	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1CDMG|1AAC	1AART|2VULN|3CDMG|4RCR|5AAC|6BEXP|7AME|8BASARM|9RPLT|aDMG
49	62322 32126	   	232.33	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1CDMG|1AAC	1AART|2VULN|3CDMG|4RCR|5AAC|6BEXP|7AME|8BASARM|9LIT|aASPD
50	62321 23316	 * 	232.15	ACR|2VULN|2DMG|2BEXP|1AART|2CDMG	1AART|28VULN|38CDMG|4RCR|58DMG|6MDPS|7RPLT|8BPWR|9aBEXP
51	62325 23316	 * 	232.15	ACR|2VULN|2ASPD|2BEXP|1AART|2CDMG	1AART|28VULN|38CDMG|4RCR|58ASPD|6MDPS|7RPLT|8BPWR|9aBEXP
52	62321 33156	 * 	231.34	ACR|1BASARM|1VULN|1AART|2CDMG|1DMG|1BEXP	1AART|2VULN|3aCDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9FEWX
53	62321 11112	   	231.16	ACR|2VULN|2DMG|1AART|1ASPD|1CDMG|1BEXP	1AART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8LWND|9ASPD|aBEXP
54	62321 11314	   	231.16	ACR|2VULN|2DMG|1AART|1ASPD|1BEXP|1CDMG	1AART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8ASPD|9RMIN|aBEXP
55	62321 11332	   	231.16	ACR|2VULN|2DMG|1AART|1ASPD|1BEXP|1CDMG	1AART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8ASPD|9FEWX|aBEXP
56	62321 11516	   	231.16	ACR|2VULN|2DMG|1AART|1ASPD|1BEXP|1CDMG	1AART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8BEXP|9ASPD|aDMSP
57	62321 11612	   	231.16	ACR|2VULN|2DMG|1AART|1ASPD|1BEXP|1CDMG	1AART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8DUR|9ASPD|aBEXP
58	62321 11511	   	231.06	ACR|2VULN|2DMG|1AART|1ASPD|1CDMG|1BEXP	1AART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8BEXP|9ASPD|aLSRREG
59	62321 11513	   	231.06	ACR|2VULN|2DMG|1AART|1ASPD|1BEXP|1CDMG	1AART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8BEXP|9ASPD|aDUST
60	62321 11514	   	231.06	ACR|2VULN|2DMG|1AART|1ASPD|1BEXP|1CDMG	1AART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8BEXP|9ASPD|aAME
61	62321 11515	   	231.06	ACR|2VULN|2DMG|1AART|1ASPD|1BEXP|1CDMG	1AART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8BEXP|9ASPD|aLEGI
62	62321 25225	   	230.93	ACR|2VULN|3DMG|1AART|2CDMG|1AAC	1AART|27VULN|37CDMG|4RCR|579DMG|6MDPS|7BPWR|8AAC|aRCVC
63	15241 21632	 * 	230.77	ACR|4VULN|3DMG|2ASPD	168aVULN|2LIT|38ASPD|4RCR|578DMG|8BPWR|9ZMB
64	62321 25232	   	230.42	ACR|2VULN|2AART|2DMG|2CDMG|1AAC	19AART|27VULN|37CDMG|4RCR|57DMG|6MDPS|7BPWR|8AAC|aLIT
65	62321 25233	   	230.32	ACR|2VULN|2AART|2DMG|2CDMG|1AAC	19AART|27VULN|37CDMG|4RCR|57DMG|6MDPS|7BPWR|8AAC|aERES
66	66113 24233	 * 	230.19	ACR|2BASARM|2ASPD|1AART|1DMG	1AART|25ASPD|3SPLREG|4RCR|6MLV|79BASARM|8FEWX|aDMG
67	32273 25328	   	230.19	ACR|2BASARM|2DMG|1AART|1BEXP|1AAC	1AAC|2MBVNT|3AART|4RCR|5aLWND|6BEXP|7MDPS|8aDMG|9aBASARM|aBPWR
68	32273 35328	   	230.19	ACR|2BASARM|2DMG|1AART|1BEXP|1AAC	1AAC|2MBVNT|3AART|4RCR|5aLWND|6MDPS|7BEXP|8aDMG|9aBASARM|aBPWR
69	66113 24133	   	230.09	ACR|2BASARM|2ASPD|1AART|1DMG	1AART|25ASPD|3SPLREG|4RCR|6MLV|79BASARM|8DUST|aDMG
70	62321 25224	   	229.62	ACR|2VULN|3DMG|1AART|2CDMG|1AAC	1AART|27VULN|37CDMG|4RCR|579DMG|6MDPS|7BPWR|8AAC|aLHND
71	62321 25222	   	229.52	ACR|2VULN|3DMG|1AART|2CDMG|1AAC	1AART|27VULN|37CDMG|4RCR|579DMG|6MDPS|7BPWR|8AAC|aAME
72	62321 25223	   	229.52	ACR|2VULN|3DMG|1AART|2CDMG|1AAC	1AART|27VULN|37CDMG|4RCR|579DMG|6MDPS|7BPWR|8AAC|aSPLREG
73	62321 25226	   	229.52	ACR|2VULN|3DMG|1AART|2CDMG|1AAC	1AART|27VULN|37CDMG|4RCR|579DMG|6MDPS|7BPWR|8AAC|aAEMAG
74	62321 11315	 * 	229.52	ACR|3VULN|2DMG|1AART|1ASPD|1CDMG	1AART|27aVULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8ASPD|9RMIN
75	62321 25431	   	229.36	ACR|2VULN|3DMG|3CDMG|1AART	1AART|27VULN|37aCDMG|4RCR|579DMG|6MDPS|7BPWR|8LIT
76	62321 14115	   	229.06	ACR|1BASARM|2DMG|1VULN|1AART|1CDMG	1AART|2VULN|3CDMG|4RCR|5aDMG|6MLV|7LWND|8BASARM|9RPLT
77	15241 42244	   	229.01	ACR|3ASPD|3DMG|2VULN	1aVULN|26LIT|39aASPD|4RCR|58aDMG|7MBVNT|aBPWR
78	32274 42376	   	228.36	ACR|1BASARM|2DMG|1VULN|1AART|2AAC	15AAC|2MBVNT|3AART|4RCR|6VULN|7DUST|89DMG|aBASARM
79	62321 11521	   	228.16	ACR|2VULN|2DMG|2AART|1BEXP|1CDMG	1aAART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8BEXP|9RCVC
80	62322 25324	   	227.99	ACR|2VULN|1AART|1ASPD|1DMG|2CDMG|1BEXP|1AAC	1AART|27VULN|37CDMG|4RCR|5AAC|6MDPS|7BPWR|8ASPD|9DMG|aBEXP
81	62322 32135	   	227.71	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG|1AAC	1AART|2VULN|3CDMG|4RCR|5AAC|6aBEXP|7AME|8BASARM|9RCVC
82	62321 11536	   	226.75	ACR|2VULN|3DMG|1AART|1BEXP|1CDMG	1AART|27VULN|3CDMG|4RCR|57aDMG|67MLV|7BPWR|8BEXP|9LWND
83	62325 11511	   	226.75	ACR|2VULN|3ASPD|1AART|1BEXP|1CDMG	1AART|27VULN|3CDMG|4RCR|579ASPD|67MLV|7BPWR|8BEXP|aDUR
84	62325 11314	   	226.65	ACR|2VULN|3ASPD|1AART|1BEXP|1CDMG	1AART|27VULN|3CDMG|4RCR|578ASPD|67MLV|7BPWR|9ERES|aBEXP
85	62325 11324	   	226.65	ACR|2VULN|3ASPD|1AART|1BEXP|1CDMG	1AART|27VULN|3CDMG|4RCR|578ASPD|67MLV|7BPWR|9NUKE|aBEXP
86	62325 11513	   	226.65	ACR|2VULN|3ASPD|1AART|1BEXP|1CDMG	1AART|27VULN|3CDMG|4RCR|579ASPD|67MLV|7BPWR|8BEXP|aERES
87	62325 11521	 * 	226.55	ACR|2VULN|2ASPD|2AART|1BEXP|1CDMG	1aAART|27VULN|3CDMG|4RCR|57ASPD|67MLV|7BPWR|8BEXP|9DMSP
88	62322 32164	   	226.00	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG|1AAC	1AART|2VULN|3CDMG|4RCR|5AAC|6aBEXP|7AME|8BASARM|9MSLREG
89	62321 33132	   	225.63	ACR|1BASARM|1VULN|1AART|1DMG|1CDMG|1BEXP	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9RCVC|aLIT
90	62321 33135	   	225.63	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9RCVC|aBELT
91	62321 33136	   	225.63	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9RCVC|aLHND
92	62325 33132	   	225.63	ACR|1BASARM|1VULN|1AART|1ASPD|1CDMG|1BEXP	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9RCVC|aLIT
93	62325 33135	   	225.63	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9RCVC|aBELT
94	62325 33136	   	225.63	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9RCVC|aLHND
95	62321 25331	   	225.63	ACR|2VULN|2DMG|1AART|1ASPD|2CDMG	1AART|27VULN|37CDMG|4RCR|57DMG|6MDPS|7BPWR|8DLOT|9LWND|aASPD
96	62321 15315	   	225.62	ACR|2VULN|2ASPD|1AART|1DMG|1CDMG|1AAC	1AART|2aVULN|3CDMG|4RCR|5DMG|6MLV|79ASPD|8AAC
97	62321 11524	   	225.54	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	1AART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8aBEXP|9RCVC
98	62321 33131	   	225.53	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9RCVC|aSPLREG
99	62325 33131	   	225.53	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9RCVC|aSPLREG
100	62321 25361	   	225.53	ACR|2VULN|2DMG|1AART|1ASPD|2CDMG	1AART|27VULN|37CDMG|4RCR|57DMG|6MDPS|7BPWR|8DLOT|9DUST|aASPD
101	62321 25214	   	225.52	ACR|2VULN|2DMG|1AART|2CDMG|1BEXP|1AAC	1AART|27VULN|37CDMG|4RCR|57DMG|6MDPS|7BPWR|8AAC|9ERES|aBEXP
102	62321 25315	   	225.52	ACR|2VULN|2DMG|1AART|2CDMG|1BEXP|1AAC	1AART|27VULN|37CDMG|4RCR|57DMG|6MDPS|7BPWR|8DLOT|9BEXP|aAAC
103	62325 25231	   	225.52	ACR|2VULN|2ASPD|1AART|2CDMG|1BEXP|1AAC	1AART|27VULN|37CDMG|4RCR|57ASPD|6MDPS|7BPWR|8AAC|9AEFBLL|aBEXP
104	62325 25312	   	225.52	ACR|2VULN|2ASPD|1AART|2CDMG|1BEXP|1AAC	1AART|27VULN|37CDMG|4RCR|57ASPD|6MDPS|7BPWR|8DLOT|9BEXP|aAAC
105	62325 31215	   	225.52	ACR|2VULN|2ASPD|1AART|2CDMG|1BEXP|1AAC	1AART|2aVULN|38CDMG|4RCR|59ASPD|6BEXP|7AAC
106	62322 32133	   	225.50	ACR|1BASARM|2VULN|1AART|1CDMG|1BEXP|1AAC	1AART|2aVULN|3CDMG|4RCR|5AAC|6BEXP|7AME|8BASARM|9RCVC
107	62321 15311	 * 	225.44	ACR|2ASPD|2AART|1VULN|1DMG|1CDMG|1AAC	1aAART|2VULN|3CDMG|4RCR|5DMG|6MLV|79ASPD|8AAC
108	62321 55111	   	225.44	ACR|2ASPD|2AART|1VULN|1DMG|1CDMG|1AAC	1aAART|2VULN|3CDMG|4RCR|5DMG|6AAC|79ASPD|8ZMB
109	62325 15311	   	225.44	ACR|2ASPD|2AART|1VULN|1DMG|1CDMG|1AAC	1aAART|2VULN|3CDMG|4RCR|59ASPD|6MLV|7DMG|8AAC
110	62325 31211	 * 	225.34	ACR|2ASPD|2AART|1VULN|2CDMG|1BEXP|1AAC	1aAART|2VULN|38CDMG|4RCR|59ASPD|6BEXP|7AAC
111	62325 52211	   	225.34	ACR|2ASPD|2AART|1VULN|2CDMG|1BEXP|1AAC	1aAART|2VULN|38CDMG|4RCR|59ASPD|6AAC|7BEXP
112	62321 33122	   	225.33	ACR|1BASARM|1VULN|1AART|1DMG|1CDMG|1BEXP	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9LIT|aRCVC
113	62321 33154	   	225.33	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9FEWX|aRCVC
114	62325 33122	   	225.33	ACR|1BASARM|1VULN|1AART|1ASPD|1CDMG|1BEXP	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9LIT|aRCVC
115	62321 11431	   	225.31	ACR|3VULN|3DMG|1AART|1CDMG	1AART|27aVULN|3CDMG|4RCR|57aDMG|67MLV|7aBPWR|8CGEN|9aFEWX
116	62325 11431	   	225.31	ACR|3VULN|3ASPD|1AART|1CDMG	1AART|27aVULN|3CDMG|4RCR|57aASPD|67MLV|7aBPWR|8CGEN|9aFEWX
117	62321 11161	   	225.11	ACR|3VULN|3DMG|1AART|1CDMG	1AART|27aVULN|3CDMG|4RCR|57aDMG|67MLV|7aBPWR|8LWND|9aAME
118	62325 11161	   	225.11	ACR|3VULN|3ASPD|1AART|1CDMG	1AART|27aVULN|3CDMG|4RCR|57aASPD|67MLV|7aBPWR|8LWND|9aAME
119	62325 11114	   	225.11	ACR|3VULN|3ASPD|1AART|1CDMG	1AART|27aVULN|3CDMG|4RCR|579ASPD|67MLV|7BPWR|8LWND
120	62325 11334	   	225.01	ACR|3VULN|3ASPD|1AART|1CDMG	1AART|27aVULN|3CDMG|4RCR|578ASPD|67MLV|7BPWR|9DUST
121	62325 31214	   	224.73	ACR|2ASPD|1VULN|2BEXP|1AART|2CDMG|1AAC	1AART|2VULN|38CDMG|4RCR|59ASPD|6aBEXP|7AAC
122	62321 53136	 * 	224.20	ACR|3AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	189AART|2VULN|3CDMG|4RCR|5DMG|6AAC|7MDPS|aASPD
123	62321 14121	   	224.12	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5DMG|6MLV|7LWND|8BASARM|9LIT|aBEXP
124	62321 14134	   	224.12	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5DMG|6MLV|7LWND|8BASARM|9BELT|aBEXP
125	62325 14121	   	224.12	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5ASPD|6MLV|7LWND|8BASARM|9LIT|aBEXP
126	62321 33111	   	224.02	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9RPLT|aCGEN
127	62321 33121	   	224.02	ACR|1BASARM|1VULN|1AART|1DMG|1CDMG|1BEXP	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9LIT|aFEWX
128	62321 33123	   	224.02	ACR|1BASARM|1VULN|1AART|1DMG|1CDMG|1BEXP	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9aLIT
129	62321 33124	   	224.02	ACR|1BASARM|1VULN|1AART|1DMG|1CDMG|1BEXP	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9LIT|aLHND
130	62321 33151	   	224.02	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9FEWX|aLWND
131	62321 33152	   	224.02	ACR|1BASARM|1VULN|1AART|1DMG|1CDMG|1BEXP	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9FEWX|aLIT
132	62321 33153	   	224.02	ACR|1BASARM|1VULN|1AART|1DMG|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5DMG|6BEXP|7ERES|8BASARM|9FEWX|aZMB
133	62325 33111	   	224.02	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9RPLT|aCGEN
134	62325 33121	   	224.02	ACR|1BASARM|1VULN|1AART|1ASPD|1CDMG|1BEXP	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9LIT|aFEWX
135	62325 33123	   	224.02	ACR|1BASARM|1VULN|1AART|1ASPD|1CDMG|1BEXP	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9aLIT
136	62325 33124	   	224.02	ACR|1BASARM|1VULN|1AART|1ASPD|1CDMG|1BEXP	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9LIT|aLHND
137	62325 33151	   	224.02	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9FEWX|aLWND
138	62325 33152	   	224.02	ACR|1BASARM|1VULN|1AART|1ASPD|1CDMG|1BEXP	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9FEWX|aLIT
139	62325 33153	   	224.02	ACR|1BASARM|1VULN|1AART|1ASPD|1BEXP|1CDMG	1AART|2VULN|3CDMG|4RCR|5ASPD|6BEXP|7ERES|8BASARM|9FEWX|aZMB
140	15241 22284	   	223.96	ACR|3VULN|3DMG|2ASPD	16aVULN|2LIT|3aASPD|4RCR|58aDMG|7MBVNT|9RCVC|aBPWR
141	62321 11531	   	223.94	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	1AART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8aBEXP|9LWND
142	62321 11551	   	223.94	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	1AART|27VULN|3CDMG|4RCR|57DMG|67MLV|7BPWR|8aBEXP|9LHND
143	62325 11531	   	223.94	ACR|2VULN|2ASPD|2BEXP|1AART|1CDMG	1AART|27VULN|3CDMG|4RCR|57ASPD|67MLV|7BPWR|8aBEXP|9FEWX
