0	Index      	 *	Score 	Summary	Detail	
1	23435 11325	 * 	303.46	DCR|3LIT|2MLV|2VULN|1CDMG	1aLWND|23MLV|48aLIT|5TLV|6RCR|7CDMG|9aVULN|aBPWR
30	53153 11335	   	277.21	DCR|2LIT|2MLV|2VULN|1CDMG	1aDUST|25MLV|3aCGEN|48LIT|6RCR|7CDMG|9aVULN|aBPWR
31	13331 14135	   	277.20	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG	1CGEN|2aLIT|3MLV|4RCR|5CDMG|6DMSP|7aDMG|8ZMB|9aVULN|aBPWR
32	33331 14135	   	277.20	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG	1TLV|2aLIT|3MLV|4RCR|5CDMG|6DMSP|7aDMG|8ZMB|9aVULN|aBPWR
33	33331 24135	   	277.20	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG	16TLV|2aLIT|3MLV|4RCR|5CDMG|7aDMG|8ZMB|9aVULN|aBPWR
34	51453 11333	   	277.06	DCR|2LIT|2MLV|2VULN|1CDMG	1DUST|2CGEN|35MLV|48LIT|6RCR|7CDMG|9aVULN
35	52453 11333	   	277.06	DCR|2LIT|2MLV|2VULN|1CDMG	1DUST|2RMIN|35MLV|48LIT|6RCR|7CDMG|9aVULN
36	53153 11333	   	277.06	DCR|2LIT|2MLV|2VULN|1CDMG	1DUST|25MLV|3CGEN|48LIT|6RCR|7CDMG|9aVULN
37	53435 11333	   	277.06	DCR|2LIT|2MLV|2VULN|1CDMG	1DUST|23MLV|48LIT|5TLV|6RCR|7CDMG|9aVULN
38	53463 11333	   	277.06	DCR|2LIT|2MLV|2VULN|1CDMG	1DUST|23MLV|4RMIN|58LIT|6RCR|7CDMG|9aVULN
39	25335 11325	   	276.31	DCR|3LIT|2VULN|1MLV|1CDMG	1aLWND|2RCVC|3MLV|48aLIT|5TLV|6RCR|7CDMG|9aVULN|aBPWR
40	13315 33443	 * 	276.28	DCR|4VULN|2MLV|1LIT	17CGEN|2LIT|37MLV|4BASHEA|5DUR|678aVULN|7BPWR|9RCR
41	23431 26622	   	276.11	DCR|2MLV|3VULN|1LIT|1CDMG	1LWND|23MLV|4LIT|5BEXP|6RCR|79aVULN|8CDMG
42	13342 11343	   	276.11	DCR|3LIT|2VULN|1MLV|1CDMG	1CGEN|248LIT|3MLV|5LWND|6RCR|7CDMG|9aVULN
43	33342 11346	   	276.11	DCR|3LIT|2VULN|1MLV|1CDMG	1TLV|248LIT|3MLV|5LWND|6RCR|7CDMG|9aVULN
44	53331 25123	   	276.06	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1DUST|2MLV|39VULN|4FEWX|5FLTARM|6RCR|7DMG|8LHND|aLIT
45	53331 25163	   	276.06	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1DUST|2MLV|3aVULN|4FEWX|5FLTARM|6RCR|7DMG|8LHND|9LIT
46	53331 25223	   	276.06	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1DUST|2MLV|39VULN|4FEWX|5FLTARM|6RCR|7DMG|8LWND|aLIT
47	53331 25263	   	276.06	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1DUST|2MLV|3aVULN|4FEWX|5FLTARM|6RCR|7DMG|8LWND|9LIT
48	15413 13281	 * 	274.54	DCR|3VULN|1LIT|1FLTARM|1MLV	1CGEN|269VULN|3MLV|4LHND|5LIT|7MBVNT|8RCR|aFLTARM
49	15413 31281	   	274.54	DCR|3VULN|1LIT|1FLTARM|1MLV	1CGEN|279VULN|3MLV|4LHND|5LIT|6MBVNT|8RCR|aFLTARM
50	25332 53326	 * 	274.04	ACR|3LIT|2MLV|3VULN	19LWND|2RCVC|36MLV|469LIT|5RCR|69BPWR|7DMSP|89aVULN
51	23432 43326	   	273.89	ACR|3LIT|2MLV|3VULN	19LWND|23MLV|469LIT|5RCR|7DMSP|89aVULN|9BPWR
