0	Index      	 *	Score 	Summary	Detail	
1	12223 26661	 * 	293.35	DCR|5VULN|1LIT|1MLV|1DMG	1LHND|23456VULN|7MLV|8DMG|9LIT|aRCR
22	66223 35112	   	270.76	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1MLV|2FEWX|3TLV|45VULN|6FLTARM|7LIT|8LWND|9RCR|aDMG
23	66223 35212	   	270.76	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1MLV|2FEWX|3TLV|45VULN|6FLTARM|7LIT|8BEXP|9RCR|aDMG
24	32231 41136	 * 	269.47	DCR|2LIT|2VULN|1MLV|2ASPD	1BEXP|23VULN|4TLV|59ASPD|6aLIT|7RCR|8MLV
25	32261 41136	   	269.47	DCR|2LIT|2VULN|1MLV|2ASPD	1BEXP|23VULN|4CGEN|59ASPD|6aLIT|7RCR|8MLV
26	42231 41136	   	269.37	DCR|2LIT|2VULN|1MLV|2ASPD	1DUST|23VULN|4TLV|59ASPD|6aLIT|7RCR|8MLV
27	12231 41136	 * 	268.74	DCR|3VULN|1LIT|1MLV|2ASPD	1LHND|23aVULN|4TLV|59ASPD|6LIT|7RCR|8MLV
28	12112 36355	 * 	267.34	DCR|2LIT|4VULN|1DMG|1DUR	19LHND|2579VULN|3DMG|4DUR|69LIT|8RPLT|9BPWR|aRCR
29	63363 22363	   	266.33	DCR|3VULN|1LIT|1MLV|1ASPD|1CDMG	1MLV|2CDMG|3TLV|4ASPD|578VULN|6LIT|9RCR|aRCVC
30	61343 35322	 * 	266.27	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1MLV|2DUR|346LIT|5FEWX|7DMG|8RCR|9ASPD|aVULN
31	63363 22362	   	266.23	DCR|3VULN|1LIT|1MLV|1ASPD|1CDMG	1MLV|2CDMG|3TLV|4ASPD|578VULN|6LIT|9RCR|aMBVNT
32	12225 41141	   	265.50	DCR|2LIT|3VULN|1MLV	1LHND|234VULN|5BEXP|6aLIT|7RCR|8MLV|9RMIN
33	32221 41141	   	265.50	DCR|2LIT|3VULN|1MLV	1BEXP|234VULN|5LHND|6aLIT|7RCR|8MLV|9RMIN
34	32221 41156	   	265.50	DCR|2LIT|3VULN|1MLV	1BEXP|234VULN|5LHND|6aLIT|7RCR|8MLV|9AART
35	32221 41165	   	265.50	DCR|2LIT|3VULN|1MLV	1BEXP|234VULN|5LHND|6aLIT|7RCR|8MLV|9RPLT
36	12224 41132	   	265.40	DCR|2LIT|3VULN|1MLV|1DUR	1LHND|234VULN|5DUR|6aLIT|7RCR|8MLV|9BEXP
37	12224 41141	   	265.40	DCR|2LIT|3VULN|1MLV|1DUR	1LHND|234VULN|5DUR|6aLIT|7RCR|8MLV|9RMIN
38	12225 41115	   	265.40	DCR|2LIT|3VULN|1MLV	1LHND|234VULN|5BEXP|6aLIT|7RCR|8MLV|9SPLREG
39	12225 41122	   	265.40	DCR|2LIT|3VULN|1MLV|1DUR	1LHND|234VULN|5BEXP|6aLIT|7RCR|8MLV|9DUR
40	32221 41115	   	265.40	DCR|2LIT|3VULN|1MLV	1BEXP|234VULN|5LHND|6aLIT|7RCR|8MLV|9SPLREG
41	32221 41122	   	265.40	DCR|2LIT|3VULN|1MLV|1DUR	1BEXP|234VULN|5LHND|6aLIT|7RCR|8MLV|9DUR
42	32221 41345	   	265.40	DCR|2LIT|3VULN|1MLV	1BEXP|234VULN|5LHND|6aLIT|7RCR|8BASARM|9MLV
43	32224 41132	   	265.40	DCR|2LIT|3VULN|1MLV|1DUR	1BEXP|234VULN|5DUR|6aLIT|7RCR|8MLV|9LHND
44	32224 41141	   	265.40	DCR|2LIT|3VULN|1MLV|1DUR	1BEXP|234VULN|5DUR|6aLIT|7RCR|8MLV|9RMIN
45	42221 41141	   	265.40	DCR|2LIT|3VULN|1MLV	1DUST|234VULN|5LHND|6aLIT|7RCR|8MLV|9RMIN
46	42223 41141	   	265.40	DCR|2LIT|3VULN|1MLV	1DUST|234VULN|5BEXP|6aLIT|7RCR|8MLV|9RMIN
47	12224 41115	   	265.30	DCR|2LIT|3VULN|1MLV|1DUR	1LHND|234VULN|5DUR|6aLIT|7RCR|8MLV|9SPLREG
48	32224 41115	   	265.30	DCR|2LIT|3VULN|1MLV|1DUR	1BEXP|234VULN|5DUR|6aLIT|7RCR|8MLV|9SPLREG
49	32224 41126	   	265.30	DCR|2LIT|3VULN|1MLV|2DUR	1BEXP|234VULN|59DUR|6aLIT|7RCR|8MLV
50	32224 41162	   	265.30	DCR|2LIT|3VULN|1MLV|1DUR	1BEXP|234VULN|5DUR|6aLIT|7RCR|8MLV|9LEGI
51	42221 41115	   	265.30	DCR|2LIT|3VULN|1MLV	1DUST|234VULN|5LHND|6aLIT|7RCR|8MLV|9SPLREG
52	42221 41122	   	265.30	DCR|2LIT|3VULN|1MLV|1DUR	1DUST|234VULN|5LHND|6aLIT|7RCR|8MLV|9DUR
53	42223 41115	   	265.30	DCR|2LIT|3VULN|1MLV	1DUST|234VULN|5BEXP|6aLIT|7RCR|8MLV|9SPLREG
54	42223 41122	   	265.30	DCR|2LIT|3VULN|1MLV|1DUR	1DUST|234VULN|5BEXP|6aLIT|7RCR|8MLV|9DUR
55	42223 41162	   	265.30	DCR|2LIT|3VULN|1MLV	1DUST|234VULN|5BEXP|6aLIT|7RCR|8MLV|9LEGI
56	42224 41132	   	265.30	DCR|2LIT|3VULN|1MLV|1DUR	1DUST|234VULN|5DUR|6aLIT|7RCR|8MLV|9LHND
57	12231 41123	   	263.86	DCR|1LIT|2VULN|1FLTARM|1MLV|1ASPD|1DUR	1LHND|23VULN|4TLV|5ASPD|6LIT|7RCR|8MLV|9DUR|aFLTARM
58	12261 41123	   	263.86	DCR|1LIT|2VULN|1FLTARM|1MLV|1ASPD|1DUR	1LHND|23VULN|4CGEN|5ASPD|6LIT|7RCR|8MLV|9DUR|aFLTARM
