0	Index      	 *	Score 	Summary	Detail	
1	13316 15131	 * 	293.02	ACR|DCR|4VULN|2TLV|2CDMG	137aVULN|23TLV|3BPWR|49RCR|5FLTHEA|68CDMG
19	16314 23115	   	270.64	ACR|DCR|2VULN|1TLV|1DMG|1MLV|1CDMG	12VULN|3MLV|49RCR|5DMG|6MDPS|7CDMG|8TLV|aCGEN
20	16314 23111	   	270.54	ACR|DCR|2VULN|1TLV|1DMG|1MLV|1CDMG	12VULN|3MLV|49RCR|5DMG|6MDPS|7CDMG|8TLV|aBBNT
21	16314 23112	   	270.54	ACR|DCR|2VULN|1TLV|1DMG|1MLV|1CDMG	12VULN|3MLV|49RCR|5DMG|6MDPS|7CDMG|8TLV|aMBVNT
22	16314 23113	   	270.54	ACR|DCR|2VULN|1TLV|1DMG|1MLV|1CDMG	12VULN|3MLV|49RCR|5DMG|6MDPS|7CDMG|8TLV|aDUST
23	13334 41133	 * 	269.63	DCR|3VULN|2TLV|1FLTARM|1DMG|1AART|1AAC	137VULN|23TLV|3BPWR|4ASPD|5DMG|6AART|8AAC|9FLTARM|aRCR
24	22312 13415	 * 	268.24	DCR|DCR|2DMG|1VULN|2MLV|1SELL	14DMG|23MLV|5VULN|6SELL|7RPLT|8RAT|9aRCR
25	22312 16525	 * 	268.24	DCR|DCR|2DMG|1VULN|2MLV|1SELL	14DMG|23MLV|5VULN|6SELL|7BELT|8DMSP|9aRCR
26	22334 13415	 * 	268.24	DCR|DCR|2DMG|1VULN|2MLV|1SELL	15DMG|23MLV|4VULN|6SELL|7RPLT|8RAT|9aRCR
27	13314 23115	   	265.37	ACR|DCR|2VULN|2TLV|1DMG|1CDMG	13VULN|23TLV|3BPWR|49RCR|5DMG|6MDPS|7CDMG|8AME|aCGEN
28	13314 23111	   	265.27	ACR|DCR|2VULN|2TLV|1DMG|1CDMG	13VULN|23TLV|3BPWR|49RCR|5DMG|6MDPS|7CDMG|8AME|aBBNT
29	13314 23112	   	265.27	ACR|DCR|2VULN|2TLV|1DMG|1CDMG	13VULN|23TLV|3BPWR|49RCR|5DMG|6MDPS|7CDMG|8AME|aMBVNT
30	13314 23113	   	265.27	ACR|DCR|2VULN|2TLV|1DMG|1CDMG	13VULN|23TLV|3BPWR|49RCR|5DMG|6MDPS|7CDMG|8AME|aDUST
31	13334 43333	 * 	265.08	DCR|2VULN|2DMG|2TLV|1FLTARM|1AART|1AAC	13VULN|23TLV|3BPWR|4ASPD|58DMG|6AART|7AAC|9FLTARM|aRCR
32	21351 52342	 * 	264.92	DCR|3VULN|2DMG|2MLV|1TLV	17DMG|2ASPD|37MLV|4AEPOI|5TLV|679VULN|7BPWR|8CGEN|aRCR
33	15122 24326	   	264.61	DCR|DCR|2VULN|1DMG|1MLV	17VULN|2RMIN|3LWND|4ERES|5MLV|68RCR|9DUST|aDMG
34	13216 15131	   	263.33	ACR|DCR|3VULN|1TLV|2CDMG	17aVULN|2TLV|3AEBURN|49RCR|5FLTHEA|68CDMG
