0	Index      	 *	Score 	Summary	Detail	
1	24123 16613	 * 	262.85	DCR|DCR|2VULN|1DMG|1DUR	1LWND|2DMG|3RAT|4ZMB|59VULN|6RPLT|7DUR|8aRCR
48	12633 16311	   	236.35	DCR|DCR|1VULN|1DMG|1DUR|1MSE	1BOSS|2VULN|3LWND|4BBNT|5AME|69RCR|7DMG|8DUR|aMSE
49	12633 16313	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1BOSS|2VULN|3LWND|4BBNT|5AME|69RCR|7DMG|8DUR|aMDPS
50	12633 16315	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1BOSS|2VULN|3LWND|4BBNT|5AME|69RCR|7DMG|8DUR|aFRZFST
51	22462 61133	 * 	235.75	DCR|2VULN|2DMG|2MLV|2DUR	1aLWND|2AETHUN|3aVULN|45MLV|6RCR|79DUR|8aDMG|aBPWR
52	13115 21642	   	232.97	ACR|DCR|2VULN|2DMG	1BOSS|29CGEN|36RCR|4RMIN|59DMG|79VULN|8MBVNT|9BPWR|aLHND
53	13115 21643	   	232.97	ACR|DCR|2VULN|2DMG	1BOSS|29CGEN|36RCR|4aRMIN|59DMG|79VULN|8MBVNT|9BPWR
54	13115 21645	   	232.97	ACR|DCR|2VULN|2DMG	1BOSS|29CGEN|36RCR|4RMIN|59DMG|79VULN|8MBVNT|9BPWR|aFEWX
55	13115 21641	   	232.87	ACR|DCR|2VULN|2DMG	1BOSS|29CGEN|36RCR|4RMIN|59DMG|79VULN|8MBVNT|9BPWR|aERES
56	13115 21644	   	232.87	ACR|DCR|2VULN|2DMG	1BOSS|29CGEN|36RCR|4RMIN|59DMG|79VULN|8MBVNT|9BPWR|aTBNT
57	13115 21646	   	232.87	ACR|DCR|2VULN|2DMG	1BOSS|29CGEN|36RCR|4RMIN|59DMG|79VULN|8MBVNT|9BPWR|aSNIFST
58	13115 21214	   	232.87	ACR|DCR|2VULN|2DMG	1BOSS|2CGEN|36RCR|4RMIN|5aDMG|78VULN|9DMSP
59	13115 21224	   	232.87	ACR|DCR|2VULN|2DMG	1BOSS|2CGEN|36RCR|4RMIN|5aDMG|78VULN|9LIT
