0	Index      	 *	Score 	Summary	Detail	
1	14374 24347	 * 	266.05	DCR|4VULN|3TLV|3DUR	14aDUR|245aVULN|3MBVNT|4aBPWR|69aTLV|7RCR|8DMSP
25	55313 51312	 * 	248.80	DCR|DCR|1VULN|1TLV|1DMG	1DLOT|2ERES|3VULN|4TLV|5MDPS|6DMG|7aRCR|8DUST|9RPLT
26	14226 23325	 * 	248.17	DCR|4VULN|1DMG|1MLV|1DUR|1CDMG	1DUR|2378VULN|4MLV|5CDMG|6LSRHEA|9RCR|aDMG
27	14374 24732	   	247.94	DCR|4VULN|2TLV|2DUR	14DUR|2459VULN|3MBVNT|4BPWR|6aTLV|7RCR|8LWND
28	14374 24137	   	247.84	DCR|4VULN|2TLV|2DUR	14DUR|245aVULN|3MBVNT|4BPWR|69TLV|7RCR|8TBNT
29	14374 24613	 * 	246.34	DCR|3VULN|2MLV|2DUR|1TLV	14DUR|245VULN|3MBVNT|4BPWR|6TLV|7RCR|8ZMB|9aMLV
30	14374 24813	   	246.24	DCR|3VULN|2MLV|2DUR|1TLV|1NUKE	14DUR|245VULN|3MBVNT|4BPWR|6TLV|7RCR|8NUKE|9aMLV
31	11351 26232	 * 	245.60	DCR|2VULN|3DUR|2DMG|1TLV	18aDUR|2RPLT|38DMG|4TLV|5RCVC|6LWND|78VULN|8BPWR|9RCR
32	11351 56232	   	245.60	DCR|2VULN|3DUR|2DMG|1TLV	18aDUR|2RPLT|38DMG|4TLV|5RCVC|6FEWX|78VULN|8BPWR|9RCR
33	14374 24614	   	245.49	DCR|3VULN|3DUR|1TLV|1MLV	14aDUR|245VULN|3MBVNT|4BPWR|6TLV|7RCR|8ZMB|9MLV
34	14374 24814	   	245.39	DCR|3VULN|3DUR|1TLV|1MLV|1NUKE	14aDUR|245VULN|3MBVNT|4BPWR|6TLV|7RCR|8NUKE|9MLV
35	16113 27232	   	245.26	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	18aDUR|2SELL|38DMG|4TLV|5MBVNT|6LWND|78VULN|8BPWR|9RCR
36	16113 67232	   	245.26	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	18aDUR|2SELL|38DMG|4TLV|5MBVNT|6FEWX|78VULN|8BPWR|9RCR
37	14263 23325	 * 	244.87	DCR|4VULN|1TLV|1DMG|1DUR|1SELL	1DUR|2378VULN|4TLV|5SELL|6LSRHEA|9RCR|aDMG
38	21235 61622	   	244.54	DCR|DCR|1VULN|1FLTARM|1MLV	12RMIN|3RPLT|4VULN|5BBNT|6MLV|7DUST|89RCR|aFLTARM
39	14374 24243	   	244.38	DCR|3VULN|2TLV|2DUR|1MLV	14DUR|245VULN|3MBVNT|4BPWR|69TLV|7RCR|8BEXP|aMLV
40	14374 24612	   	244.38	DCR|3VULN|2TLV|2DUR|1MLV	14DUR|245VULN|3MBVNT|4BPWR|6aTLV|7RCR|8ZMB|9MLV
41	14374 24812	   	244.28	DCR|3VULN|2TLV|2DUR|1MLV|1NUKE	14DUR|245VULN|3MBVNT|4BPWR|6aTLV|7RCR|8NUKE|9MLV
42	14231 42161	 * 	244.19	DCR|2VULN|2DMG|2TLV|2DUR	19DUR|23VULN|4BBNT|5TBNT|6MDPS|79TLV|89DMG|9BPWR|aRCR
43	14344 34213	   	242.59	DCR|DCR|2VULN|1DUR	1DUR|25VULN|3MBVNT|4CGEN|6TBNT|7LHND|8aRCR|9BELT
44	14344 36213	   	242.59	DCR|DCR|2VULN|1DUR	1DUR|25VULN|3MBVNT|4CGEN|6TBNT|7LWND|8aRCR|9BELT
45	51322 51362	   	242.49	DCR|DCR|2VULN|1DUR	1DLOT|2FRZFST|34VULN|5BBNT|6DUR|7RAT|8FEWX|9aRCR
46	14563 31322	   	242.49	DCR|DCR|2VULN|1DUR	1DUR|2aVULN|3LSRICY|4AETHUN|5ZMB|6SPLARM|7RAT|89RCR
47	14374 24131	   	242.33	DCR|3VULN|2TLV|2DUR|1CDMG	14DUR|245VULN|3MBVNT|4BPWR|69TLV|7RCR|8TBNT|aCDMG
48	53312 33563	 * 	241.46	DCR|2VULN|2DMG|1TLV|2CDMG|1AAC	1DLOT|28DMG|38VULN|4TLV|5ERES|6RMIN|78CDMG|8BPWR|9RCR|aAAC
49	53325 32331	 * 	240.49	DCR|DCR|2DMG|1VULN|1AAC	1DLOT|24DMG|3VULN|59CGEN|6aRCR|7BOSS|8AAC
50	53325 32351	   	240.49	DCR|DCR|2DMG|1VULN|1AAC	1DLOT|24DMG|3VULN|5CGEN|6aRCR|7BOSS|8AAC|9RCVC
51	14374 24326	   	240.42	DCR|3VULN|3DUR|2TLV	14aDUR|245VULN|3MBVNT|4aBPWR|6aTLV|7RCR|8DMSP|9aLIT
52	14374 24416	   	240.42	DCR|3VULN|3DUR|2TLV	14aDUR|245VULN|3MBVNT|4aBPWR|6aTLV|7RCR|8aLIT|9RCVC
53	53325 32321	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	1DLOT|24DMG|3VULN|5CGEN|6aRCR|7BOSS|8AAC|9AEFBLL
54	55322 32341	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	1DLOT|25ERES|3VULN|49DMG|6aRCR|7BOSS|8AAC
55	14374 24247	   	240.22	DCR|3VULN|3DUR|2TLV	14aDUR|245VULN|3MBVNT|4BPWR|69TLV|7RCR|8BEXP
56	14124 25113	   	238.93	DCR|DCR|1VULN|1MLV|1DUR	1DUR|2VULN|3ZMB|4MLV|5BBNT|6AETHUN|7aRCR|8BELT|9ASPD
57	14125 25113	   	238.93	DCR|DCR|1VULN|1MLV|1DUR	1DUR|2VULN|3ZMB|4MLV|5TBNT|6AETHUN|7aRCR|8BELT|9ASPD
58	14266 23322	   	238.70	DCR|4VULN|1TLV|1DUR|1CDMG	1DUR|2378VULN|4TLV|5CDMG|6LSRHEA|9RCR|aLIT
59	14266 23323	   	238.70	DCR|4VULN|1TLV|1DUR|1CDMG	1DUR|2378VULN|4TLV|5CDMG|6LSRHEA|9RCR|aBOSS
60	14266 23321	   	238.60	DCR|4VULN|1TLV|1DUR|1CDMG	1DUR|2378VULN|4TLV|5CDMG|6LSRHEA|9RCR|aERES
61	15513 27234	 * 	238.51	DCR|3VULN|2DUR|1TLV|2CDMG	18DUR|2ZMB|38CDMG|4TLV|5MBVNT|6LWND|78aVULN|8BPWR|9RCR
62	14374 24336	 * 	238.41	DCR|3VULN|2DUR|1TLV|1DMG	14DUR|245VULN|3MBVNT|4BPWR|6TLV|7RCR|8DMSP|9BASARM|aDMG
63	14374 24448	   	238.41	DCR|3VULN|2DUR|1TLV|1DMG	14DUR|245VULN|3MBVNT|4BPWR|6TLV|7RCR|8LIT|9ERES|aDMG
64	14374 14111	   	238.31	DCR|3VULN|2DUR|1TLV|1DMG	14DUR|245VULN|3MBVNT|4BPWR|6ERES|7RCR|8TLV|9BASARM|aDMG
65	11354 26232	 * 	238.25	DCR|2VULN|3DUR|2TLV|1DMG	18aDUR|2RPLT|3DMG|48TLV|5AEBURN|6LWND|78VULN|8BPWR|9RCR
66	14226 33422	   	237.74	DCR|3VULN|2DUR|1MSLTOX|1MLV|1CDMG	17DUR|236VULN|4MLV|5CDMG|8MSLTOX|9RCR|aLIT
67	14226 33423	   	237.74	DCR|3VULN|2DUR|1MSLTOX|1MLV|1CDMG	17DUR|236VULN|4MLV|5CDMG|8MSLTOX|9RCR|aBOSS
68	14226 33421	   	237.64	DCR|3VULN|2DUR|1MSLTOX|1MLV|1CDMG	17DUR|236VULN|4MLV|5CDMG|8MSLTOX|9RCR|aERES
69	14374 24214	   	237.61	DCR|4VULN|2DUR|1TLV	14DUR|245aVULN|3MBVNT|4BPWR|6TLV|7RCR|8BEXP|9ZMB
70	14374 24328	   	237.61	DCR|4VULN|2DUR|1TLV	14DUR|245aVULN|3MBVNT|4BPWR|6TLV|7RCR|8DMSP|9LIT
71	14374 24362	   	237.61	DCR|4VULN|2DUR|1TLV	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8DMSP|aBELT
72	14374 24418	   	237.61	DCR|4VULN|2DUR|1TLV	14DUR|245aVULN|3MBVNT|4BPWR|6TLV|7RCR|8LIT|9RCVC
73	14374 24431	   	237.61	DCR|4VULN|2DUR|1TLV	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8LIT|aCGEN
74	14374 24433	   	237.61	DCR|4VULN|2DUR|1TLV	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8LIT|aRAT
75	14374 24624	   	237.61	DCR|4VULN|2DUR|1TLV	14DUR|245aVULN|3MBVNT|4BPWR|6TLV|7RCR|8ZMB|9BEXP
76	14374 24634	   	237.61	DCR|4VULN|2DUR|1TLV	14DUR|245aVULN|3MBVNT|4BPWR|6TLV|7RCR|8ZMB|9LHND
77	14374 24714	   	237.61	DCR|4VULN|2DUR|1TLV	14DUR|245aVULN|3MBVNT|4BPWR|6TLV|7RCR|8LWND|9ZMB
78	14334 24436	   	237.61	DCR|4VULN|2DUR|1TLV	1aDUR|259aVULN|3MBVNT|4AEFBLL|6TLV|7RCR|8aLIT|aBPWR
79	14374 14134	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|245aVULN|3MBVNT|4BPWR|6ERES|7RCR|8TLV|9RPLT
80	14374 14432	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|2459VULN|3MBVNT|4BPWR|6ERES|7RCR|8LHND|aTLV
81	14374 14732	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|2459VULN|3MBVNT|4BPWR|6ERES|7RCR|8LWND|aTLV
82	14374 24152	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8TBNT|aRMIN
83	14374 24154	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8TBNT|aLHND
84	14374 24361	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8DMSP|aMDPS
85	14374 24363	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8DMSP|aERES
86	14374 24364	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8DMSP|aAEFRZ
87	14374 24437	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8LIT|aTBNT
88	14374 24731	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8LWND|aAETHUN
89	14374 24734	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8LWND|aMGNBOS
90	14374 24822	   	237.51	DCR|4VULN|2DUR|1TLV|1NUKE	14DUR|245aVULN|3MBVNT|4BPWR|6TLV|7RCR|8NUKE|9BEXP
91	14374 24832	   	237.51	DCR|4VULN|2DUR|1TLV|1NUKE	14DUR|245aVULN|3MBVNT|4BPWR|6TLV|7RCR|8NUKE|9LHND
92	14374 84244	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|245aVULN|3MBVNT|4BPWR|6AME|7RCR|8BEXP|9TLV
93	14374 26211	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|2458VULN|3MBVNT|4BPWR|6TLV|7MDPS|9RCR|aRPLT
94	14374 26212	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|2458VULN|3MBVNT|4BPWR|6TLV|7MDPS|9RCR|aRCVC
95	14374 26213	   	237.51	DCR|4VULN|2DUR|1TLV	14DUR|2458VULN|3MBVNT|4BPWR|6TLV|7MDPS|9RCR|aRAT
96	14374 24153	   	237.41	DCR|4VULN|2DUR|1TLV	14DUR|2459VULN|3MBVNT|4BPWR|6TLV|7RCR|8TBNT|aBBNT
97	24311 62221	 * 	237.32	ACR|DCR|3VULN|1DMG|1AAC	1RMIN|2AAC|3aRCR|489VULN|5LIT|6DLOT|7DMG
98	14261 23511	   	237.09	DCR|2VULN|2TLV|1MLV|1DUR|1AART|1CDMG	1DUR|23VULN|46TLV|5MLV|7AART|8BELT|9CDMG|aRCR
99	11565 32222	 * 	236.93	DCR|3VULN|2DMG|2DUR	18DUR|2RPLT|3ZMB|478VULN|58DMG|6LEGI|8BPWR|9ASPD|aRCR
100	15365 32222	   	236.93	DCR|3VULN|2DMG|2DUR	18DUR|2ZMB|3RPLT|478VULN|58DMG|6LEGI|8BPWR|9ASPD|aRCR
101	11465 32222	   	236.83	DCR|3VULN|2DMG|2DUR|1NUKE	18DUR|2RPLT|3NUKE|478VULN|58DMG|6LEGI|8BPWR|9ASPD|aRCR
102	14162 31326	   	236.65	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2VULN|3ZMB|4VENTOX|5BEXP|6FRZICY|7RAT|89RCR|aDMG
103	14111 65211	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2VULN|3ZMB|4MBVNT|5CGEN|6DMG|7aRCR|8BELT|9LHND
104	14113 65211	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2VULN|3ZMB|4MBVNT|5RMIN|6DMG|7aRCR|8BELT|9LHND
105	14152 31326	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2VULN|3ZMB|4BASHEA|5BEXP|6FRZICY|7RAT|89RCR|aDMG
106	14532 31326	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2VULN|3LSRICY|4ZMB|5BEXP|6FRZICY|7RAT|89RCR|aDMG
107	14322 24554	   	236.21	DCR|DCR|1VULN|1DMG|1DUR|1SELL	1DUR|2VULN|3MBVNT|4LIT|5AIRHEA|6RMIN|7SELL|8DMG|9aRCR
