0	Index      	 *	Score 	Summary	Detail	
1	43331 14221	 * 	278.51	DCR|3VULN|2DMG|3DUR|1ASPD|1CDMG|1RPLT	15aVULN|2RPLT|35aDUR|4BELT|5aBPWR|6CDMG|7ASPD|8RCR|9aDMG
38	12265 14313	   	252.74	DCR|DCR|1VULN|1MLV|2DUR	1TBNT|23DUR|3BPWR|4DLOT|5MLV|68RCR|7VULN|9TLV|aMSLTOX
39	12265 14332	   	252.74	DCR|DCR|1VULN|1MLV|2DUR	1TBNT|23DUR|3BPWR|4DLOT|5MLV|68RCR|7VULN|9ERES|aCGEN
40	32341 36421	 * 	252.65	ACR|DCR|3VULN|1RPLT	1CGEN|2MSLTOX|3MDPS|49RCR|5RPLT|6TLV|78aVULN
41	12265 14333	   	252.64	DCR|DCR|1VULN|1MLV|2DUR	1TBNT|23DUR|3BPWR|4DLOT|5MLV|68RCR|7VULN|9ERES|aMSLTOX
42	43323 43135	   	251.82	DCR|DCR|1VULN|1CDMG|1RPLT|1ZMB	1VULN|2RPLT|3DUR|4CDMG|5TLV|6aRCR|7ZMB|8CGEN|9LEGI
43	13265 14311	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1TBNT|23BEXP|3BPWR|4DLOT|5MLV|68RCR|7VULN|9TLV|aCDMG
44	13265 14331	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1TBNT|23BEXP|3BPWR|4DLOT|5MLV|68RCR|7VULN|9ERES|aCDMG
45	16122 25224	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1TBNT|2LIT|3AME|4BBNT|5VULN|68RCR|7AART|9DMG|aLWND
46	16122 25225	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1TBNT|2LIT|3AME|4BBNT|5VULN|68RCR|7AART|9DMG|aCGEN
47	16122 25226	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1TBNT|2LIT|3AME|4BBNT|5VULN|68RCR|7AART|9DMG|aFEWX
48	16122 25221	   	250.07	DCR|DCR|1VULN|1DMG|1AART	1TBNT|2LIT|3AME|4BBNT|5VULN|68RCR|7AART|9DMG|aDUST
49	16122 25222	   	250.07	DCR|DCR|1VULN|1DMG|1AART|1MSE	1TBNT|2LIT|3AME|4BBNT|5VULN|68RCR|7AART|9DMG|aMSE
50	16122 25223	   	250.07	DCR|DCR|1VULN|1DMG|1AART	1TBNT|2LIT|3AME|4BBNT|5VULN|68RCR|7AART|9DMG|aERES
51	43331 14226	   	249.84	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG|1RPLT	15VULN|2RPLT|35DUR|4BELT|5BPWR|6CDMG|7ASPD|8RCR|9aDMG
52	43162 43245	 * 	249.34	DCR|2VULN|2MLV|2ASPD|1DMG|1RPLT	1aVULN|2RPLT|3aMLV|4DMG|5MBVNT|6FEWX|7BBNT|8aASPD|9RCR|aBPWR
53	13262 14325	   	248.53	DCR|DCR|2VULN	1TBNT|23BEXP|3BPWR|4DLOT|5CGEN|68RCR|7aVULN|9FRZICY
54	13262 14331	   	248.53	DCR|DCR|2VULN	1TBNT|23BEXP|3BPWR|4DLOT|5CGEN|68RCR|79VULN|aDMSP
55	13262 14335	   	248.53	DCR|DCR|2VULN	1TBNT|23BEXP|3BPWR|4DLOT|5CGEN|68RCR|79VULN|aLWND
56	13262 14336	   	248.53	DCR|DCR|2VULN	1TBNT|23BEXP|3BPWR|4DLOT|5CGEN|68RCR|79VULN|aRMIN
57	13262 14353	   	248.53	DCR|DCR|2VULN	1TBNT|239BEXP|3BPWR|4DLOT|5CGEN|68RCR|7aVULN
58	13263 14361	   	248.53	DCR|DCR|2VULN	1TBNT|23BEXP|3BPWR|4DLOT|5TLV|68RCR|79VULN|aDMSP
