0	Index      	 *	Score 	Summary	Detail	
1	42513 13242	 * 	286.74	ACR|DCR|5VULN|1CDMG	17RCR|2LWND|3458aVULN|6DUST|9CDMG
51	15132 63242	   	258.84	ACR|DCR|3VULN|1ASPD|1ZMB	1DUR|2ZMB|369VULN|4LWND|57RCR|8ASPD|aAAC
52	15132 63243	   	258.84	ACR|DCR|3VULN|1ASPD|1ZMB	1DUR|2ZMB|369VULN|4LWND|57RCR|8ASPD|aTLV
53	42521 13241	   	258.37	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT	17RCR|2LWND|39VULN|4BEXP|5DMG|6RCVC|8ASPD|aRPLT
54	42521 63221	   	258.37	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT	17RCR|29LWND|36VULN|4BEXP|5DMG|8ASPD|aRPLT
55	43523 33242	 * 	257.60	ACR|DCR|2VULN|2MLV|1RPLT	17RCR|2MDPS|34MLV|4BPWR|5AELOIC|6RMIN|89VULN|aRPLT
56	13116 33155	   	257.18	DCR|DCR|1VULN|1MLV|1CDMG	1DUR|2DMSP|3CDMG|48FEWX|5VULN|6BBNT|7aRCR|9MLV
57	42513 23232	 * 	257.09	ACR|DCR|3VULN|1DMG	1aRCR|2LWND|345VULN|6DMG|7BBNT|8BELT|9MSLTOX
58	42522 33243	   	257.09	ACR|DCR|3VULN|2CDMG	17RCR|2LWND|358VULN|46BEXP|9aCDMG
59	42513 53123	   	256.95	ACR|DCR|3VULN|1DMG|1SELL	17RCR|2LWND|345VULN|6FEWX|8CGEN|9SELL|aDMG
60	15122 65323	   	256.90	ACR|DCR|2VULN|2DUR|1ASPD|1CDMG|1ZMB	17DUR|2ZMB|36VULN|4LHND|5aRCR|8CDMG|9ASPD
61	15132 65323	   	256.90	ACR|DCR|2VULN|2DUR|1ASPD|1CDMG|1ZMB	17DUR|2ZMB|36VULN|4LWND|5aRCR|8CDMG|9ASPD
62	42513 13123	   	256.85	ACR|DCR|3VULN|1DMG|1SELL	17RCR|2LWND|345VULN|6DUST|8CGEN|9SELL|aDMG
63	42513 13523	   	256.85	ACR|DCR|3VULN|1DMG|1SELL	17RCR|2LWND|345VULN|6DUST|8AAC|9SELL|aDMG
64	42513 53323	   	256.85	ACR|DCR|3VULN|1DMG|1SELL	17RCR|2LWND|345VULN|6FEWX|8ERES|9SELL|aDMG
65	15122 63222	   	256.77	ACR|DCR|2VULN|1DMG|1ASPD|1ZMB	1DUR|2ZMB|36VULN|4LHND|57RCR|8ASPD|9LWND|aDMG
66	15122 63262	   	256.77	ACR|DCR|2VULN|1DMG|1ASPD|1ZMB	1DUR|2ZMB|36VULN|4LHND|57RCR|8ASPD|9BEXP|aDMG
67	15132 63262	   	256.77	ACR|DCR|2VULN|1DMG|1ASPD|1ZMB	1DUR|2ZMB|36VULN|4LWND|57RCR|8ASPD|9BEXP|aDMG
68	42513 13323	   	256.75	ACR|DCR|3VULN|1DMG|1SELL	17RCR|2LWND|345VULN|6DUST|8ERES|9SELL|aDMG
