0	Index      	 *	Score 	Summary	Detail	
1	24531 84443	 * 	280.66	DCR|DCR|2VULN|1ASPD|1CDMG|1RPLT	1ASPD|2RPLT|3MBVNT|4NUKE|5RCVC|68RCR|7CDMG|9aVULN
25	22412 23234	   	258.36	DCR|2VULN|2MLV|2ASPD|1DMG|1CDMG|1RPLT	17ASPD|27VULN|3FEWX|4RPLT|5LHND|67MLV|7BPWR|8DMG|9RCR|aCDMG
26	22112 23234	   	258.26	DCR|2VULN|2MLV|2ASPD|1DMG|1CDMG|1RPLT	17ASPD|27VULN|3DUST|4RPLT|5LHND|67MLV|7BPWR|8DMG|9RCR|aCDMG
27	22613 23234	   	258.26	DCR|2VULN|2MLV|2ASPD|1DMG|1CDMG|1RPLT	17ASPD|27VULN|3LWND|4RPLT|5DUST|67MLV|7BPWR|8DMG|9RCR|aCDMG
28	22341 24412	 * 	257.11	DCR|5VULN|1DMG|1ASPD|1AART	1ASPD|24567VULN|3AART|8DMG|9LWND|aRCR
29	26232 21536	 * 	256.49	DCR|DCR|3ASPD|2MLV	147ASPD|27MLV|3AAC|5RCVC|679LWND|7BPWR|8aRCR
30	22412 23231	   	256.16	DCR|2VULN|3ASPD|2MLV|1DMG|1RPLT	17aASPD|27VULN|3FEWX|4RPLT|5LHND|67MLV|7BPWR|8DMG|9RCR
31	22112 23231	   	256.06	DCR|2VULN|3ASPD|2MLV|1DMG|1RPLT	17aASPD|27VULN|3DUST|4RPLT|5LHND|67MLV|7BPWR|8DMG|9RCR
32	22613 23231	   	256.06	DCR|2VULN|3ASPD|2MLV|1DMG|1RPLT	17aASPD|27VULN|3LWND|4RPLT|5DUST|67MLV|7BPWR|8DMG|9RCR
33	25241 33313	   	254.56	DCR|4VULN|3ASPD|3DUR	179ASPD|2DMSP|3789VULN|4MDPS|579DUR|6RCR|79BPWR|aLIT
34	25241 33316	   	254.56	DCR|4VULN|3ASPD|3DUR	179ASPD|2DMSP|3789VULN|4MDPS|579DUR|6RCR|79BPWR|aLWND
35	24541 84441	   	254.55	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1ASPD|2RPLT|3MBVNT|4AAC|5RCVC|68RCR|7CDMG|9VULN|aLWND
36	25241 33312	   	254.46	DCR|4VULN|3ASPD|3DUR	179ASPD|2DMSP|3789VULN|4MDPS|579DUR|6RCR|79BPWR|aERES
37	24531 84441	   	254.45	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1ASPD|2RPLT|3MBVNT|4NUKE|5RCVC|68RCR|7CDMG|9VULN|aLWND
38	24541 84442	   	254.45	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT|1SELL	1ASPD|2RPLT|3MBVNT|4AAC|5RCVC|68RCR|7CDMG|9VULN|aSELL
39	25212 43361	   	254.30	DCR|3VULN|2MLV|1DMG|1ASPD|1AART	1ASPD|2DMSP|356VULN|46MLV|6BPWR|7DMG|8FEWX|9RCR|aAART
40	22221 34122	 * 	253.64	DCR|2VULN|2DMG|2MLV|1ASPD|1CDMG	1ASPD|2aVULN|3CDMG|4LHND|5aDMG|6ERES|7MDPS|8aMLV|9RCR|aBPWR
41	22241 34122	   	253.64	DCR|2VULN|2DMG|2MLV|1ASPD|1CDMG	1ASPD|2aVULN|3CDMG|4LWND|5aDMG|6ERES|7MDPS|8aMLV|9RCR|aBPWR
42	32125 15261	   	253.46	DCR|DCR|2VULN|1AART	1LHND|2TBNT|3CGEN|4AART|5VENTOX|6BEXP|7aRCR|89VULN
43	32125 21261	   	253.46	DCR|DCR|2VULN|1AART	1LHND|2TBNT|3CGEN|4AART|5VENTOX|6aRCR|7FEWX|89VULN
44	33316 45221	   	253.46	DCR|DCR|2VULN|1AART	1LHND|2CANTOX|3TBNT|4TLV|58VULN|6AART|7aRCR|9LWND
45	33316 45231	   	253.46	DCR|DCR|2VULN|1AART	1LHND|2CANTOX|3TBNT|4TLV|58VULN|6AART|7aRCR|9BEXP
46	32425 24221	   	253.36	DCR|DCR|2VULN|1AART	1LHND|2TBNT|3AME|4AART|5VENTOX|6aRCR|78VULN|9LWND
47	32425 24231	   	253.36	DCR|DCR|2VULN|1AART	1LHND|2TBNT|3AME|4AART|5VENTOX|6aRCR|78VULN|9BEXP
48	32613 45231	   	253.36	DCR|DCR|2VULN|1AART	1LHND|2TBNT|3LWND|4AME|5CANARM|6AART|7aRCR|89VULN
49	21212 26526	   	253.30	DCR|DCR|1VULN|1ASPD|1CDMG	1ASPD|2DUR|3CDMG|4BEXP|5TBNT|6BBNT|7RMIN|8aRCR|9VULN
50	21216 12264	   	253.20	DCR|DCR|1VULN|1ASPD|1CDMG	1ASPD|2DUR|3CDMG|4BEXP|5VENTOX|6VULN|7aRCR|8CGEN|9LHND
51	22232 32414	   	253.20	DCR|DCR|1VULN|1ASPD|1CDMG	1ASPD|2VULN|3CDMG|4BLAICY|5LHND|6FEWX|7aRCR|8DUR|9CGEN
52	22232 52414	   	253.20	DCR|DCR|1VULN|1ASPD|1CDMG	1ASPD|2VULN|3CDMG|4BLAICY|5LHND|6BEXP|7aRCR|8DUR|9CGEN
53	21232 12264	   	253.10	DCR|DCR|1VULN|1ASPD|1CDMG	1ASPD|2DUR|3CDMG|4VENFST|5LHND|6VULN|7aRCR|8CGEN|9LEGI
54	22232 32434	   	253.10	DCR|DCR|1VULN|1ASPD|1CDMG	1ASPD|2VULN|3CDMG|4BLAICY|5LHND|6FEWX|7aRCR|8DUR|9ERES
55	52325 23311	   	253.09	DCR|DCR|1VULN|1MLV|1AART	1CGEN|2VULN|3BBNT|4AART|5MULHEA|6aRCR|7DUR|8MLV|9RMIN
56	22664 23232	   	253.02	DCR|2VULN|2MLV|2ASPD|1DMG|1RPLT	17ASPD|27VULN|3LWND|4DUR|5RPLT|67MLV|7BPWR|8DMG|9RCR|aBEXP
57	52325 23361	   	252.99	DCR|DCR|1VULN|1MLV|1AART	1CGEN|2VULN|3BBNT|4AART|5MULHEA|6aRCR|7DUR|8MLV|9ERES
58	22664 23233	   	252.92	DCR|2VULN|2MLV|2ASPD|1DMG|1RPLT	17ASPD|27VULN|3LWND|4DUR|5RPLT|67MLV|7BPWR|8DMG|9RCR|aDUST
59	26343 13234	   	252.14	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG|1RPLT	1ASPD|2MLV|346VULN|5RPLT|7MDPS|8DMG|9RCR|aCDMG
60	25246 33311	   	251.59	DCR|5VULN|3ASPD	179ASPD|2DMSP|3789aVULN|4MDPS|579FEWX|6RCR|79BPWR
61	26343 13231	   	250.94	DCR|3VULN|2ASPD|1DMG|1MLV|1RPLT	1aASPD|2MLV|346VULN|5RPLT|7MDPS|8DMG|9RCR
