0	Index      	 *	Score 	Summary	Detail	
1	56122 43534	 * 	284.40	DCR|DCR|2VULN|1MLV|1ASPD|1AART|1SELL	1MLV|2SELL|3MBVNT|45VULN|6ASPD|7AART|8aRCR|9LHND
13	15421 21433	   	261.07	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1LHND|2aBEXP|3BBNT|4AART|5VULN|68RCR|7CDMG|9DMG
14	23621 21431	   	261.07	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BBNT|2LHND|3FEWX|4AART|5VULN|68RCR|7CDMG|9DMG|aCGEN
15	23621 21433	   	261.07	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BBNT|2LHND|3FEWX|4AART|5VULN|68RCR|7CDMG|9DMG|aBEXP
16	23621 21435	   	261.07	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BBNT|2LHND|3FEWX|4AART|5VULN|68RCR|7CDMG|9DMG|aRCVC
17	23621 21436	   	261.07	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BBNT|2LHND|3FEWX|4AART|5VULN|68RCR|7CDMG|9DMG|aLWND
18	61421 21431	   	261.07	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BEXP|2LHND|3BBNT|4AART|5VULN|68RCR|7CDMG|9DMG|aCGEN
19	61421 21433	   	261.07	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1aBEXP|2LHND|3BBNT|4AART|5VULN|68RCR|7CDMG|9DMG
20	23221 21431	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BBNT|2LHND|3DUST|4AART|5VULN|68RCR|7CDMG|9DMG|aCGEN
21	23221 21433	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BBNT|2LHND|3DUST|4AART|5VULN|68RCR|7CDMG|9DMG|aBEXP
22	23221 21435	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BBNT|2LHND|3DUST|4AART|5VULN|68RCR|7CDMG|9DMG|aRCVC
23	23221 21436	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BBNT|2LHND|3DUST|4AART|5VULN|68RCR|7CDMG|9DMG|aLWND
24	15421 21432	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1LHND|2BEXP|3BBNT|4AART|5VULN|68RCR|7CDMG|9DMG|aERES
25	23621 21432	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BBNT|2LHND|3FEWX|4AART|5VULN|68RCR|7CDMG|9DMG|aERES
26	25226 21431	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BBNT|2VULN|3DUST|4AART|5LHND|68RCR|7CDMG|9DMG|aCGEN
27	25226 21433	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BBNT|2VULN|3DUST|4AART|5LHND|68RCR|7CDMG|9DMG|aBEXP
28	61421 21432	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BEXP|2LHND|3BBNT|4AART|5VULN|68RCR|7CDMG|9DMG|aERES
29	23221 21432	   	260.87	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BBNT|2LHND|3DUST|4AART|5VULN|68RCR|7CDMG|9DMG|aERES
30	25226 21432	   	260.87	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1BBNT|2VULN|3DUST|4AART|5LHND|68RCR|7CDMG|9DMG|aERES
31	23221 21464	   	258.87	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1BBNT|2LHND|3DUST|4AART|5VULN|68RCR|7CDMG|9RPLT|aDUR
32	56121 43534	   	258.19	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1SELL	1MLV|2SELL|3MBVNT|4VULN|5RCVC|6ASPD|7AART|8aRCR|9LHND
33	56123 42243	 * 	256.11	DCR|2VULN|3DMG|3MLV|1SELL	189MLV|2SELL|3MBVNT|49VULN|578DMG|689LIT|89BPWR|aRCR
34	13452 11335	 * 	254.92	DCR|3VULN|2DMG|1MLV|1CDMG	1aLHND|2CDMG|35aVULN|4MLV|6MDPS|7DUR|8RCR|9aDMG|aBPWR
