0	Index      	 *	Score 	Summary	Detail	
1	32234 14467	 * 	281.19	DCR|DCR|2VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5aVULN|6BEXP|79RCR|8DUST
25	63124 23331	   	265.90	DCR|DCR|3DMG|1MLV|1RPLT	1DLOT|2RPLT|346DMG|5LHND|7MLV|8ERES|9aRCR
26	33234 14864	   	264.75	DCR|DCR|1VULN|1DMG|1MLV|1AART	1AART|2RCVC|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8MDPS|aMLV
27	24613 12227	 * 	264.07	DCR|DCR|2DMG|2ASPD|2DUR|1SELL	1aDUR|2BEXP|3aDMG|4aASPD|5MBVNT|6AAC|79RCR|8SELL|aBPWR
28	32234 14463	   	263.29	DCR|DCR|1VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8DUST|aDUR
29	32238 54463	   	263.29	DCR|DCR|1VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5BEXP|6VULN|79RCR|8DUST|aDUR
30	32234 14862	   	261.93	DCR|DCR|1VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8MDPS|aNUKE
31	22311 43212	   	259.61	DCR|DCR|1VULN|1DMG|1CDMG	1DUR|2DMG|3RMIN|4CDMG|5VULN|6BBNT|7aRCR|8FRZFST|9LHND
32	22311 43232	   	259.61	DCR|DCR|1VULN|1DMG|1CDMG	1DUR|2DMG|3RMIN|4CDMG|5VULN|6BBNT|7aRCR|8FRZFST|9LWND
33	22311 43242	   	259.61	DCR|DCR|1VULN|1DMG|1CDMG	1DUR|2DMG|3RMIN|4CDMG|5VULN|6BBNT|7aRCR|8FRZFST|9FEWX
34	22311 43312	   	259.61	DCR|DCR|1VULN|1DMG|1CDMG	1DUR|2DMG|3RMIN|4CDMG|5VULN|6BBNT|7aRCR|8MSLTOX|9LHND
35	22311 43332	   	259.61	DCR|DCR|1VULN|1DMG|1CDMG	1DUR|2DMG|3RMIN|4CDMG|5VULN|6BBNT|7aRCR|8MSLTOX|9LWND
36	22311 43342	   	259.61	DCR|DCR|1VULN|1DMG|1CDMG	1DUR|2DMG|3RMIN|4CDMG|5VULN|6BBNT|7aRCR|8MSLTOX|9FEWX
37	24613 12221	   	259.37	DCR|DCR|1VULN|1DMG|1ASPD|1SELL	1DUR|2BEXP|3DMG|4ASPD|5MBVNT|6AAC|79RCR|8SELL|aVULN
38	24623 12421	   	259.37	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1DUR|2BEXP|3DMG|4ZMB|5MBVNT|6AAC|79RCR|8CDMG|aVULN
39	21465 33311	   	258.85	DCR|DCR|2VULN|2DUR	17DUR|25CGEN|367FEWX|47VULN|7BPWR|89RCR|aDUST
40	21465 33312	   	258.85	DCR|DCR|2VULN|2DUR|1MSE	17DUR|25CGEN|367FEWX|47VULN|7BPWR|89RCR|aMSE
41	21465 33313	   	258.85	DCR|DCR|2VULN|2DUR	17DUR|25CGEN|367FEWX|47VULN|7BPWR|89RCR|aSNIFST
42	24613 12424	   	258.76	DCR|DCR|2DMG|1ASPD|1CDMG	1DUR|2BEXP|3aDMG|4ASPD|5MBVNT|6AAC|79RCR|8CDMG
43	21165 43312	   	258.65	DCR|DCR|2VULN|2DUR	17DUR|25CGEN|367DUST|47VULN|7BPWR|89RCR|aBEXP
44	21165 43311	   	258.55	DCR|DCR|2VULN|2DUR|1MSE	17DUR|25CGEN|367DUST|47VULN|7BPWR|89RCR|aMSE
45	21165 43313	   	258.55	DCR|DCR|2VULN|2DUR	17DUR|25CGEN|367DUST|47VULN|7BPWR|89RCR|aSNIFST
46	33234 14463	   	255.52	DCR|DCR|1VULN|1DMG|1AART	1AART|2RCVC|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8DUST|aDUR
47	33238 54463	   	255.52	DCR|DCR|1VULN|1DMG|1AART	1AART|2RCVC|3MBVNT|4DMG|5BEXP|6VULN|79RCR|8DUST|aDUR
48	23423 62613	 * 	254.99	DCR|DCR|1VULN|3DUR|1MLV	123DUR|4AME|5VULN|6CGEN|79RCR|8MLV|aFRZICY
49	32234 14464	   	254.99	DCR|DCR|1VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8DUST|aRCVC
50	32234 14466	   	254.99	DCR|DCR|1VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8DUST|aLWND
51	32234 14861	   	254.99	DCR|DCR|1VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8MDPS|aFEWX
52	32234 14867	   	254.99	DCR|DCR|1VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5VULN|6aBEXP|79RCR|8MDPS
53	32234 14868	   	254.99	DCR|DCR|1VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8MDPS|aBBNT
54	32238 54464	   	254.99	DCR|DCR|1VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5BEXP|6VULN|79RCR|8DUST|aRCVC
55	42234 37245	 * 	254.99	DCR|DCR|1VULN|2CDMG|1MLV	1MLV|29CDMG|3MBVNT|4TBNT|5TLV|6VULN|7aRCR|8AELOIC
56	23423 62611	   	254.89	DCR|DCR|1VULN|3DUR|1MLV	123DUR|4AME|5VULN|6CGEN|79RCR|8MLV|aDUST
57	23423 62612	   	254.89	DCR|DCR|1VULN|3DUR|1MLV|1MSE	123DUR|4AME|5VULN|6CGEN|79RCR|8MLV|aMSE
58	32234 14461	   	254.89	DCR|DCR|1VULN|1DMG|2AART|1MSE	12AART|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8DUST|aMSE
59	32234 14462	   	254.89	DCR|DCR|1VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8DUST|aERES
60	32234 14863	   	254.89	DCR|DCR|1VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8MDPS|aERES
61	32234 14865	   	254.89	DCR|DCR|1VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8MDPS|aSPLARM
62	32234 14866	   	254.89	DCR|DCR|1VULN|1DMG|2AART|1MSE	12AART|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8MDPS|aMSE
63	32238 54461	   	254.89	DCR|DCR|1VULN|1DMG|2AART|1MSE	12AART|3MBVNT|4DMG|5BEXP|6VULN|79RCR|8DUST|aMSE
64	32238 54462	   	254.89	DCR|DCR|1VULN|1DMG|2AART	12AART|3MBVNT|4DMG|5BEXP|6VULN|79RCR|8DUST|aERES
65	42233 27245	   	254.89	DCR|DCR|1VULN|2CDMG|1MLV	1MLV|29CDMG|3MBVNT|4TBNT|5VULN|6ERES|7aRCR|8AELOIC
66	24613 12427	 * 	254.23	DCR|DCR|1DMG|2CDMG|2DUR|1ASPD	1aDUR|2aBEXP|3DMG|4ASPD|5MBVNT|6AAC|79RCR|8aCDMG|aBPWR
67	33234 14862	   	254.16	DCR|DCR|1VULN|1DMG|1AART	1AART|2RCVC|3MBVNT|4DMG|5VULN|6BEXP|79RCR|8MDPS|aNUKE
68	42221 21521	 * 	254.05	DCR|2VULN|3MLV|2DMG|1CDMG	168MLV|2CDMG|3MBVNT|48DMG|58VULN|7MDPS|8BPWR|9CGEN|aRCR
69	42221 21541	   	253.95	DCR|2VULN|3MLV|2DMG|1CDMG	168MLV|2CDMG|3MBVNT|48DMG|58VULN|7MDPS|8BPWR|9ERES|aRCR
70	21463 34311	   	252.10	DCR|DCR|2VULN	1DUR|2CGEN|367FEWX|45VULN|89RCR|aDUST
71	21463 34312	   	252.10	DCR|DCR|2VULN|1MSE	1DUR|2CGEN|367FEWX|45VULN|89RCR|aMSE
72	21463 34313	   	252.10	DCR|DCR|2VULN	1DUR|2CGEN|367FEWX|45VULN|89RCR|aSNIFST
73	21163 45312	   	251.90	DCR|DCR|2VULN	1DUR|2CGEN|367DUST|45VULN|89RCR|aBEXP
74	21163 45311	   	251.80	DCR|DCR|2VULN|1MSE	1DUR|2CGEN|367DUST|45VULN|89RCR|aMSE
75	21163 45313	   	251.80	DCR|DCR|2VULN	1DUR|2CGEN|367DUST|45VULN|89RCR|aSNIFST
