0	Index      	 *	Score 	Summary	Detail	
1	23663 11311	 * 	283.83	ACR|DCR|2VULN|2DMG|1MLV|1ASPD	14VULN|2aRCR|34DMG|4BPWR|5LIT|6ASPD|7BASARM|8BBNT|9MLV
25	25312 41466	 * 	258.51	DCR|DCR|2VULN|2DUR|1SELL	16VULN|2FEWX|3CGEN|4MBVNT|56DUR|6BPWR|7aRCR|8FLTARM|9SELL
26	23636 13622	   	257.80	ACR|3VULN|3DMG|3ASPD|1RPLT	178VULN|2RCR|357DMG|47aASPD|6RPLT|7BPWR|9DUR
27	23636 21311	   	257.52	ACR|DCR|2DMG|1VULN|1MLV|1ASPD	1VULN|2aRCR|35DMG|4ASPD|6LIT|7BASARM|8BBNT|9MLV
28	23615 24313	 * 	257.09	ACR|DCR|3VULN|1DMG	18aVULN|27RCR|3DMG|48ERES|5BELT|68BEXP|8BPWR|9AELOIC
29	23225 31663	   	256.27	ACR|DCR|2VULN|1CDMG|1AART|1RPLT	1aVULN|29RCR|3BEXP|4LHND|5DUR|6CDMG|7AART|8RPLT
30	23314 31663	   	256.27	ACR|DCR|2VULN|1CDMG|1AART|1RPLT	1aVULN|29RCR|3LHND|4DUR|5BEXP|6CDMG|7AART|8RPLT
31	23615 24211	 * 	255.54	ACR|DCR|2MLV|1VULN|1DMG|1ASPD	1VULN|27RCR|3DMG|4ERES|5BELT|6BEXP|8aMLV|9ASPD
32	23663 12632	 * 	255.16	ACR|4VULN|3DMG|2CDMG|1ASPD	149aVULN|2RCR|349DMG|49BPWR|57LIT|6ASPD|89CDMG
33	23514 83482	 * 	254.39	ACR|3VULN|3DMG|2ASPD|3CDMG	189VULN|2RCR|389CDMG|4MBVNT|5VENICY|6aASPD|789DMG|89BPWR
34	23518 13482	   	254.39	ACR|3VULN|3DMG|2ASPD|3CDMG	189VULN|2RCR|389CDMG|4MBVNT|5aASPD|6CANTOX|789DMG|89BPWR
35	23522 51246	   	254.28	ACR|DCR|2VULN|1MLV|1CDMG	17VULN|2aRCR|3CDMG|4BEXP|5MBVNT|6MLV|8DUR|9BASARM
36	23626 11532	   	254.28	ACR|DCR|2VULN|1DMG|1AART|1RPLT	1aVULN|29RCR|3DMG|4LWND|5RPLT|6AART|7DUST|8CGEN
37	23626 12332	   	254.28	ACR|DCR|2VULN|1DMG|1AART|1RPLT	1aVULN|29RCR|3DMG|4LWND|5RPLT|6AART|7ERES|8LHND
38	23626 12432	   	254.28	ACR|DCR|2VULN|1DMG|1AART|1RPLT	1aVULN|29RCR|3DMG|4LWND|5RPLT|6AART|7ERES|8BEXP
39	23656 12332	   	254.28	ACR|DCR|2VULN|1DMG|1AART|1RPLT	1aVULN|29RCR|3DMG|4RPLT|5LWND|6AART|7ERES|8LHND
40	23126 11132	   	254.18	ACR|DCR|2VULN|1DMG|1AART|1RPLT	1aVULN|29RCR|3LWND|4ERES|5RPLT|6AART|7DUST|8DMG
41	23326 11132	   	254.18	ACR|DCR|2VULN|1DMG|1AART|1RPLT	1aVULN|29RCR|3LHND|4ERES|5RPLT|6AART|7DUST|8DMG
42	23626 12232	   	254.18	ACR|DCR|2VULN|1DMG|1AART|1RPLT	1aVULN|29RCR|3DMG|4LWND|5RPLT|6AART|7ERES|8DUST
43	23656 12232	   	254.18	ACR|DCR|2VULN|1DMG|1AART|1RPLT	1aVULN|29RCR|3DMG|4RPLT|5LWND|6AART|7ERES|8DUST
