0	Index      	 *	Score 	Summary	Detail	
1	54111 13163	 * 	308.69	橙橙2易伤2伤害1攻速2时间	1a时间2a易伤3攻速4雷电5平台69核7双倍秒伤8a伤害a序列升级
23	11413 13161	   	283.27	橙橙2矿等1易伤	13低血量敌人2策反4易伤5随机技能69矿等78核a时间
24	11212 63123	   	283.20	橙橙1易伤1等级1技能1暴击	1低血量敌人2策反3立即金币4易伤5等级6随机技能78核9技能a暴击
25	11412 63123	   	283.20	橙橙1易伤1等级1技能1暴击	13低血量敌人2策反4易伤5等级6随机技能78核9技能a暴击
26	62515 13121	   	282.20	橙橙1易伤1矿等1技能1攻速	1暴雪减费2易伤3随机技能4攻速5低血量敌人6矿等78核9技能a立即金币
27	64315 13121	   	282.20	橙橙1易伤1矿等1技能1攻速	1暴雪减费2随机技能3攻速4易伤5低血量敌人6矿等78核9技能a立即金币
28	62515 13122	   	282.10	橙橙1易伤1矿等1技能1攻速	1暴雪减费2易伤3随机技能4攻速5低血量敌人6矿等78核9技能a双倍秒伤
29	64315 13122	   	282.10	橙橙1易伤1矿等1技能1攻速	1暴雪减费2随机技能3攻速4易伤5低血量敌人6矿等78核9技能a双倍秒伤
30	11213 13163	   	281.58	橙橙2矿等1易伤2随机技能	1低血量敌人2策反3立即金币4易伤5a随机技能69矿等78核
31	11413 13163	   	281.58	橙橙2矿等1易伤2随机技能	13低血量敌人2策反4易伤5a随机技能69矿等78核
32	11212 63161	   	281.25	橙橙1等级1易伤1矿等	1低血量敌人2策反3立即金币4易伤5等级6随机技能78核9矿等a额外掉落
33	11212 63162	   	281.25	橙橙1等级1易伤1矿等	1低血量敌人2策反3立即金币4易伤5等级6随机技能78核9矿等a最后敌人
34	11212 63163	   	281.25	橙橙1等级1易伤1矿等	1低血量敌人2策反3立即金币4易伤5等级6随机技能78核9矿等a雷电
35	11212 63165	   	281.25	橙橙1等级1易伤1矿等	1低血量敌人2策反3立即金币4易伤5等级6随机技能78核9矿等a敌人爆炸
36	11412 63161	   	281.25	橙橙1等级1易伤1矿等	13低血量敌人2策反4易伤5等级6随机技能78核9矿等a额外掉落
37	11412 63162	   	281.25	橙橙1等级1易伤1矿等	13低血量敌人2策反4易伤5等级6随机技能78核9矿等a最后敌人
38	11412 63163	   	281.25	橙橙1等级1易伤1矿等	13低血量敌人2策反4易伤5等级6随机技能78核9矿等a雷电
39	11212 63166	   	281.15	橙橙1等级1易伤1矿等	1低血量敌人2策反3立即金币4易伤5等级6随机技能78核9矿等a挖青
40	11213 13123	   	279.70	橙橙1易伤1矿等1技能1暴击	1低血量敌人2策反3立即金币4易伤5随机技能6矿等78核9技能a暴击
41	11413 13123	   	279.70	橙橙1易伤1矿等1技能1暴击	13低血量敌人2策反4易伤5随机技能6矿等78核9技能a暴击
42	36213 13123	   	279.60	橙橙1易伤1矿等1技能1暴击	1策反2雷电减费3立即金币4易伤5随机技能6矿等78核9技能a暴击
43	64215 13123	   	279.60	橙橙1易伤1矿等1技能1暴击	1暴雪减费2随机技能3策反4易伤5低血量敌人6矿等78核9技能a暴击
44	62515 13133	   	278.96	橙橙1易伤1矿等1攻速1暴击	1暴雪减费2易伤3随机技能4攻速5低血量敌人6矿等78核9随机矿a暴击
45	64315 13133	   	278.96	橙橙1易伤1矿等1攻速1暴击	1暴雪减费2随机技能3攻速4易伤5低血量敌人6矿等78核9随机矿a暴击
46	14532 14331	 * 	278.76	橙橙3易伤1技能	19低血量敌人269易伤3双倍秒伤469寒冰对黄5技能69序列升级7a核8立即金币
