0	Index      	 *	Score 	Summary	Detail	
1	26116 33141	 * 	231.23	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1MDPS|2RCR|3RCVC|4BEXP|5ASPD|6DMG|7AART|8VULN|9BASARM|aDUR
45	52263 33142	   	202.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5MDPS|6DMG|7AART|8VULN|9BASARM|aLWND
46	52263 33143	   	202.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1AEMAG|2RPLT|3RCR|4CDMG|5MDPS|6DMG|7AART|8VULN|9BASARM|aMLV
47	52234 13121	   	202.76	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1AEMAG|2RPLT|3RCR|4AART|5VULN|6BASARM|7VENFST|8FEWX|9CDMG|aASPD
48	52234 15131	   	202.66	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1AEMAG|2RPLT|3RCR|4AART|5VULN|6BASARM|7CDMG|8AIRHEL|9LEGI|aASPD
49	26116 33112	 * 	201.66	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	1MDPS|2RCR|3RCVC|4BEXP|5aASPD|6DMG|7AART|8VULN|9LHND
50	26116 33252	   	201.66	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	1MDPS|2RCR|3RCVC|4BEXP|5aASPD|6DMG|7AART|8DUR|9VULN
51	52234 11124	   	201.63	ACR|1BASARM|1VULN|2AART|1ASPD	1AEMAG|2RPLT|3RCR|4aAART|5VULN|6BASARM|7AAC|8ASPD|9CGEN
52	52234 11251	   	201.63	ACR|1BASARM|1VULN|2AART|1DMG	1AEMAG|2RPLT|3RCR|48AART|5VULN|6BASARM|7AAC|9DMG|aCGEN
53	52234 11252	   	201.63	ACR|1BASARM|1VULN|2AART|1DMG	1AEMAG|2RPLT|3RCR|48AART|5VULN|6BASARM|7AAC|9DMG|aZMB
54	26612 33114	 * 	201.62	ACR|3VULN|2AART|1ASPD|1BEXP	1MDPS|2RCR|389VULN|4ZMB|57AART|6ASPD|aBEXP
55	26116 33161	   	201.56	ACR|2DMG|1VULN|1ASPD|1BEXP|1AART	1MDPS|2RCR|3RCVC|4BEXP|5ASPD|6aDMG|7AART|8VULN|9NUKE
56	52234 11253	   	201.53	ACR|1BASARM|1VULN|2AART|1DMG	1AEMAG|2RPLT|3RCR|48AART|5VULN|6BASARM|7AAC|9DMG|aERES
57	52234 11123	   	201.46	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	1AEMAG|2RPLT|3RCR|4AART|5VULN|6BASARM|7AAC|8ASPD|9CGEN|aBEXP
58	52234 11151	   	201.36	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	1AEMAG|2RPLT|3RCR|4AART|5VULN|6BASARM|7AAC|8ASPD|9MDPS|aBEXP
