0	Index      	 *	Score 	Summary	Detail	
1	25214 24131	 * 	249.76	ACR|3VULN|3ASPD|3DMG|1BEXP	189ASPD|289VULN|3FLTFST|4ERES|5RCR|6RPLT|789DMG|89BPWR|aBEXP
13	41235 31511	   	225.21	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART	1VULN|2aBEXP|3RCR|4LHND|5AART|6ASPD|7LEGI|8LWND|9BASARM
14	41214 51234	 * 	224.64	ACR|2VULN|2ASPD|2AART|2BEXP	19VULN|26BEXP|3RCR|49ASPD|59LHND|7aAART|8MBVNT|9BPWR
15	61231 16236	 * 	224.55	DCR|2BASARM|3ASPD|2DMG|1VULN	126ERES|379ASPD|4VULN|59DMG|89BASARM|9BPWR|aRCR
16	33211 26562	   	224.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1DUST|2VULN|3RCR|4ASPD|5DUR|6CDMG|7DMSP|8DMG|9BEXP|aBASARM
17	33213 26532	   	224.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1DUST|2VULN|3RCR|4ASPD|5BEXP|6CDMG|7DMSP|8DMG|9DUR|aBASARM
18	33213 26552	   	224.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1DUST|2VULN|3RCR|4ASPD|5BEXP|6CDMG|7DMSP|8DMG|9LHND|aBASARM
19	33235 33513	 * 	224.14	ACR|2BASARM|2VULN|1ASPD|1AART	1DUST|2aVULN|3RCR|4LHND|5AART|6ASPD|7aDUR|8LWND|9aBASARM|aBPWR
20	41166 12131	   	223.53	ACR|2VULN|1BASARM|2BEXP|1AART|1CDMG	16VULN|26BEXP|3AART|4MDPS|5RCR|6BPWR|7BASARM|8RMIN|9CDMG|aLWND
21	41166 12132	   	223.53	ACR|2VULN|1BASARM|2BEXP|1AART|1CDMG	16VULN|26BEXP|3AART|4MDPS|5RCR|6BPWR|7BASARM|8RMIN|9CDMG|aLIT
22	41166 12133	   	223.53	ACR|2VULN|1BASARM|2BEXP|1AART|1CDMG	16VULN|26BEXP|3AART|4MDPS|5RCR|6BPWR|7BASARM|8RMIN|9CDMG|aCGEN
23	41166 12331	   	223.53	ACR|2VULN|1BASARM|2BEXP|1AART|1CDMG	16VULN|26BEXP|3AART|4MDPS|5RCR|6BPWR|7BASARM|8CGEN|9CDMG|aLWND
24	41166 12332	   	223.53	ACR|2VULN|1BASARM|2BEXP|1AART|1CDMG	16VULN|26BEXP|3AART|4MDPS|5RCR|6BPWR|7BASARM|8CGEN|9CDMG|aLIT
25	41166 12333	   	223.53	ACR|2VULN|1BASARM|2BEXP|1AART|1CDMG	16VULN|26BEXP|3AART|4MDPS|5RCR|6BPWR|7BASARM|8aCGEN|9CDMG
26	33211 24552	   	223.42	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	1DUST|27VULN|3RCR|4ASPD|5DUR|6CDMG|8DMG|9LHND|aBASARM
27	33214 24532	   	223.42	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	1DUST|27VULN|3RCR|4ASPD|5LHND|6CDMG|8DMG|9DUR|aBASARM
28	33211 55511	   	223.21	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART	1DUST|2VULN|3RCR|4ASPD|5DUR|6aBEXP|7AART|8LWND|9BASARM
29	41166 12212	   	222.46	ACR|2BASARM|2VULN|2BEXP|1AART	16VULN|26BEXP|3AART|4MDPS|5RCR|6BPWR|7aBASARM|8DMSP|9LWND
30	41166 12222	   	222.36	ACR|2BASARM|2VULN|2BEXP|1AART	16VULN|26BEXP|3AART|4MDPS|5RCR|6BPWR|7aBASARM|8DMSP|9DUST
31	33211 52511	   	222.21	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART	1DUST|2VULN|3RCR|4ASPD|5DUR|6aBEXP|7LHND|8AART|9BASARM
32	41211 21652	   	222.06	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1VULN|2BEXP|3RCR|48ASPD|5DUR|6CDMG|7ZMB|9LHND|aBASARM
33	41211 23652	   	222.06	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1VULN|2BEXP|3RCR|48ASPD|5DUR|6CDMG|7RMIN|9LHND|aBASARM
34	33211 21632	   	221.96	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1DUST|2VULN|3RCR|48ASPD|5DUR|6CDMG|7ZMB|9BEXP|aBASARM
35	33211 23632	   	221.96	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1DUST|2VULN|3RCR|48ASPD|5DUR|6CDMG|7RMIN|9BEXP|aBASARM
36	33213 21652	   	221.96	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1DUST|2VULN|3RCR|48ASPD|5BEXP|6CDMG|7ZMB|9LHND|aBASARM
37	33213 23652	   	221.96	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1DUST|2VULN|3RCR|48ASPD|5BEXP|6CDMG|7RMIN|9LHND|aBASARM
38	41211 21622	   	221.96	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1VULN|2BEXP|3RCR|48ASPD|5DUR|6CDMG|7ZMB|9DUST|aBASARM
39	41211 23622	   	221.96	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1VULN|2BEXP|3RCR|48ASPD|5DUR|6CDMG|7RMIN|9DUST|aBASARM
40	41235 12523	 * 	220.68	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1AAC	1VULN|2BEXP|3RCR|4LHND|5AART|6LWND|7BASARM|8RCVC|9DMG|aAAC
