0	Index      	 *	Score 	Summary	Detail	
1	36153 15123	 * 	240.17	ACR|2VULN|2ASPD|2DMG|2BEXP|2CDMG	1AAC|28CDMG|36BEXP|48ASPD|5RCR|78DMG|8BPWR|9aVULN
13	21523 12612	   	221.49	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	18VULN|28AEFBLL|3RCR|4SNITOX|57BEXP|68ASPD|8BPWR|9CDMG|aDMG
14	12315 31366	 * 	221.41	ACR|1BASARM|2VULN|1ASPD|1DMG|1CDMG	1SNIHEL|2LHND|3RCR|4DMG|5CDMG|6ERES|7BASARM|8ASPD|9aVULN
15	15325 21126	   	220.49	ACR|1BASARM|2DMG|1VULN|2AART	1SNIHEL|2VULN|3RCR|4AEFBLL|59DMG|6BASARM|7aAART|8FEWX
16	21525 21126	   	220.49	ACR|1BASARM|2DMG|1VULN|2AART	1VULN|2AEFBLL|3RCR|4SNITOX|59DMG|6BASARM|7aAART|8FEWX
17	15325 21422	   	220.34	ACR|1BASARM|2DMG|1VULN|1BEXP|1AART	1SNIHEL|2VULN|3RCR|4AEFBLL|59DMG|6BASARM|7AART|8LIT|aBEXP
18	15325 24121	   	220.34	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1SNIHEL|2VULN|3RCR|4AEFBLL|59DMG|6BASARM|7BEXP|8BELT|aAART
19	21525 21422	   	220.34	ACR|1BASARM|2DMG|1VULN|1BEXP|1AART	1VULN|2AEFBLL|3RCR|4SNITOX|59DMG|6BASARM|7AART|8LIT|aBEXP
20	21525 24121	   	220.34	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1VULN|2AEFBLL|3RCR|4SNITOX|59DMG|6BASARM|7BEXP|8BELT|aAART
21	15335 21236	   	220.23	ACR|2VULN|1BASARM|2AART|1DMG	1SNIHEL|29VULN|3RCR|4RCVC|5DMG|6BASARM|7aAART|8DMSP
22	15335 21612	   	220.23	ACR|2VULN|1BASARM|2AART|1DMG	1SNIHEL|2aVULN|3RCR|4RCVC|5DMG|6BASARM|78AART|9LWND
23	15335 21631	   	220.23	ACR|2VULN|1BASARM|2AART|1DMG	1SNIHEL|29VULN|3RCR|4RCVC|5DMG|6BASARM|78AART|aRPLT
24	15335 21632	   	220.13	ACR|2VULN|1BASARM|2AART|1DMG	1SNIHEL|29VULN|3RCR|4RCVC|5DMG|6BASARM|78AART|aAME
25	14311 64132	 * 	219.75	ACR|3DMG|1BASARM|1BEXP|1CDMG	1SNIHEL|2FEWX|3RCR|49aDMG|5SNITOX|6CDMG|7BASARM|8BEXP
26	24512 33612	 * 	218.05	ACR|3VULN|2ASPD|2BEXP|1DMG	148VULN|2DMSP|3RCR|5AIRHEL|68ASPD|78BEXP|8BPWR|9RPLT|aDMG
27	24513 33612	   	218.05	ACR|3VULN|2ASPD|2BEXP|1DMG	148VULN|2DMSP|3RCR|5SPLREG|68ASPD|78BEXP|8BPWR|9RPLT|aDMG
28	15335 21412	   	217.98	ACR|2VULN|1BASARM|1DMG|1BEXP|1AART	1SNIHEL|29VULN|3RCR|4RCVC|5DMG|6BASARM|7AART|8LIT|aBEXP
29	15335 24131	   	217.98	ACR|1BASARM|2VULN|1DMG|1AART|1BEXP	1SNIHEL|29VULN|3RCR|4RCVC|5DMG|6BASARM|7BEXP|8BELT|aAART
30	24512 33623	   	217.95	ACR|3VULN|2ASPD|2BEXP|1DMG	148VULN|2DMSP|3RCR|5AIRHEL|68ASPD|78BEXP|8BPWR|9ERES|aDMG
31	24512 33633	   	217.95	ACR|3VULN|2ASPD|2BEXP|1DMG	148VULN|2DMSP|3RCR|5AIRHEL|68ASPD|78BEXP|8BPWR|9AME|aDMG
32	24513 33623	   	217.95	ACR|3VULN|2ASPD|2BEXP|1DMG	148VULN|2DMSP|3RCR|5SPLREG|68ASPD|78BEXP|8BPWR|9ERES|aDMG
33	24513 33633	   	217.95	ACR|3VULN|2ASPD|2BEXP|1DMG	148VULN|2DMSP|3RCR|5SPLREG|68ASPD|78BEXP|8BPWR|9AME|aDMG
34	15325 21236	   	217.24	ACR|2VULN|1BASARM|2AART|1DMG	1SNIHEL|29VULN|3RCR|4AEFBLL|5DMG|6BASARM|7aAART|8DMSP
35	15325 21612	   	217.24	ACR|2VULN|1BASARM|2AART|1DMG	1SNIHEL|2aVULN|3RCR|4AEFBLL|5DMG|6BASARM|78AART|9LWND
36	15325 21631	   	217.24	ACR|2VULN|1BASARM|2AART|1DMG	1SNIHEL|29VULN|3RCR|4AEFBLL|5DMG|6BASARM|78AART|aRPLT
37	21525 21236	   	217.24	ACR|2VULN|1BASARM|2AART|1DMG	19VULN|2AEFBLL|3RCR|4SNITOX|5DMG|6BASARM|7aAART|8DMSP
38	21525 21612	   	217.24	ACR|2VULN|1BASARM|2AART|1DMG	1aVULN|2AEFBLL|3RCR|4SNITOX|5DMG|6BASARM|78AART|9LWND
39	21525 21631	   	217.24	ACR|2VULN|1BASARM|2AART|1DMG	19VULN|2AEFBLL|3RCR|4SNITOX|5DMG|6BASARM|78AART|aRPLT
40	15325 21632	   	217.14	ACR|2VULN|1BASARM|2AART|1DMG	1SNIHEL|29VULN|3RCR|4AEFBLL|5DMG|6BASARM|78AART|aAME
41	21525 21632	   	217.14	ACR|2VULN|1BASARM|2AART|1DMG	19VULN|2AEFBLL|3RCR|4SNITOX|5DMG|6BASARM|78AART|aAME
42	12315 31331	 * 	216.82	ACR|1BASARM|2ASPD|1DMG|2CDMG	1SNIHEL|2LHND|3RCR|4DMG|5aCDMG|6ERES|7BASARM|89ASPD
43	12315 61331	   	216.82	ACR|1BASARM|2ASPD|1DMG|2CDMG	1SNIHEL|2LHND|3RCR|4DMG|5aCDMG|6TLV|7BASARM|89ASPD
44	14315 31331	   	216.82	ACR|1BASARM|2ASPD|1DMG|2CDMG	1SNIHEL|2FEWX|3RCR|4DMG|5aCDMG|6ERES|7BASARM|89ASPD
45	14315 61331	   	216.82	ACR|1BASARM|2ASPD|1DMG|2CDMG	1SNIHEL|2FEWX|3RCR|4DMG|5aCDMG|6TLV|7BASARM|89ASPD
46	15335 21233	   	216.68	ACR|3VULN|1BASARM|1DMG|1AART	1SNIHEL|29aVULN|3RCR|4RCVC|5DMG|6BASARM|7AART|8DMSP
47	15333 12662	 * 	215.67	ACR|2VULN|3BEXP|2ASPD|1AART	18SNIHEL|29VULN|3RCR|4RCVC|578BEXP|68ASPD|8BPWR|aAART
48	15325 21412	   	214.99	ACR|2VULN|1BASARM|1DMG|1BEXP|1AART	1SNIHEL|29VULN|3RCR|4AEFBLL|5DMG|6BASARM|7AART|8LIT|aBEXP
49	15325 24131	   	214.99	ACR|1BASARM|2VULN|1DMG|1AART|1BEXP	1SNIHEL|29VULN|3RCR|4AEFBLL|5DMG|6BASARM|7BEXP|8BELT|aAART
50	21525 21412	   	214.99	ACR|2VULN|1BASARM|1DMG|1BEXP|1AART	19VULN|2AEFBLL|3RCR|4SNITOX|5DMG|6BASARM|7AART|8LIT|aBEXP
51	21525 24131	   	214.99	ACR|1BASARM|2VULN|1DMG|1AART|1BEXP	19VULN|2AEFBLL|3RCR|4SNITOX|5DMG|6BASARM|7BEXP|8BELT|aAART
52	21512 33612	   	213.91	ACR|3VULN|2BEXP|1DMG|1ASPD|1CDMG	148VULN|28AEFBLL|3RCR|5AIRHEL|6ASPD|78BEXP|8BPWR|9CDMG|aDMG
53	21513 33612	   	213.91	ACR|3VULN|2BEXP|1ASPD|1DMG|1CDMG	148VULN|28AEFBLL|3RCR|5SPLREG|6ASPD|78BEXP|8BPWR|9CDMG|aDMG
54	24525 21233	   	213.80	ACR|3VULN|1BASARM|1DMG|1AART	19aVULN|28DMSP|3RCR|4SNITOX|5DMG|6BASARM|7AART
55	15325 21233	   	213.70	ACR|3VULN|1BASARM|1DMG|1AART	1SNIHEL|29aVULN|3RCR|4AEFBLL|5DMG|6BASARM|7AART|8DMSP
56	21525 21233	   	213.70	ACR|3VULN|1BASARM|1DMG|1AART	19aVULN|2AEFBLL|3RCR|4SNITOX|5DMG|6BASARM|7AART|8DMSP
57	15335 21523	   	212.37	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1SNIHEL|2VULN|3RCR|4aRCVC|5DMG|6BASARM|7AART|8TLV|9ASPD
58	15335 21521	   	212.05	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1SNIHEL|2VULN|3RCR|4RCVC|5DMG|6BASARM|7AART|8TLV|9ASPD|aLWND
59	15335 21522	   	212.05	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1SNIHEL|2VULN|3RCR|4RCVC|5DMG|6BASARM|7AART|8TLV|9ASPD|aDUR
60	36153 15223	   	211.49	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	1AAC|2CDMG|36BEXP|4ASPD|5RCR|78DMG|9aVULN
61	36153 15133	 * 	210.79	ACR|2ASPD|2DMG|2BEXP|3CDMG	1AAC|28aCDMG|36BEXP|48ASPD|5RCR|78DMG|8BPWR|9LIT
62	15312 21334	   	210.69	ACR|2VULN|2ASPD|2DMG|1BEXP	19SNIHEL|26VULN|3RCR|49DMG|5LWND|7DUR|89ASPD|9BPWR|aBEXP
63	15312 25334	   	210.69	ACR|2VULN|2ASPD|2DMG|1BEXP	19SNIHEL|26VULN|3RCR|49DMG|5LWND|7FEWX|89ASPD|9BPWR|aBEXP
64	12354 31333	 * 	210.61	ACR|1BASARM|2ASPD|1BASICY|1CDMG	1SNIHEL|2LHND|3RCR|4CDMG|5ZMB|6MLV|7BASARM|89ASPD|aBASICY
65	12315 31333	   	210.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	1SNIHEL|2LHND|3RCR|4DMG|5CDMG|6ERES|7BASARM|89ASPD|aMLV
66	12315 31334	   	210.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	1SNIHEL|2LHND|3RCR|4DMG|5CDMG|6ERES|7BASARM|89ASPD|aCGEN
67	12315 61333	   	210.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	1SNIHEL|2LHND|3RCR|4DMG|5CDMG|6TLV|7BASARM|89ASPD|aMLV
68	12315 61334	   	210.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	1SNIHEL|2LHND|3RCR|4DMG|5CDMG|6TLV|7BASARM|89ASPD|aCGEN
69	12354 51333	   	210.51	ACR|1BASARM|2ASPD|1BASICY|1CDMG	1SNIHEL|2LHND|3RCR|4CDMG|5ZMB|6ERES|7BASARM|89ASPD|aBASICY
70	12354 61333	   	210.51	ACR|1BASARM|2ASPD|1BASICY|1CDMG	1SNIHEL|2LHND|3RCR|4CDMG|5ZMB|6TLV|7BASARM|89ASPD|aBASICY
71	14315 31333	   	210.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	1SNIHEL|2FEWX|3RCR|4DMG|5CDMG|6ERES|7BASARM|89ASPD|aMLV
72	14315 31334	   	210.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	1SNIHEL|2FEWX|3RCR|4DMG|5CDMG|6ERES|7BASARM|89ASPD|aCGEN
73	14315 61333	   	210.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	1SNIHEL|2FEWX|3RCR|4DMG|5CDMG|6TLV|7BASARM|89ASPD|aMLV
74	12315 31336	   	210.41	ACR|1BASARM|2ASPD|1DMG|1CDMG	1SNIHEL|2LHND|3RCR|4DMG|5CDMG|6ERES|7BASARM|89ASPD|aAEFBLL
75	12315 31345	   	210.41	ACR|1BASARM|2ASPD|1DMG|1CDMG	1SNIHEL|2LHND|3RCR|4DMG|5CDMG|69ERES|7BASARM|8aASPD
76	12315 61336	   	210.41	ACR|1BASARM|2ASPD|1DMG|1CDMG	1SNIHEL|2LHND|3RCR|4DMG|5CDMG|6TLV|7BASARM|89ASPD|aAEFBLL
77	14315 31336	   	210.41	ACR|1BASARM|2ASPD|1DMG|1CDMG	1SNIHEL|2FEWX|3RCR|4DMG|5CDMG|6ERES|7BASARM|89ASPD|aAEFBLL
78	12315 31332	   	210.26	ACR|1BASARM|2ASPD|1DMG|1CDMG|1SELL	1SNIHEL|2LHND|3RCR|4DMG|5CDMG|6ERES|7BASARM|89ASPD|aSELL
79	12315 61332	   	210.26	ACR|1BASARM|2ASPD|1DMG|1CDMG|1SELL	1SNIHEL|2LHND|3RCR|4DMG|5CDMG|6TLV|7BASARM|89ASPD|aSELL
80	14315 31332	   	210.26	ACR|1BASARM|2ASPD|1DMG|1CDMG|1SELL	1SNIHEL|2FEWX|3RCR|4DMG|5CDMG|6ERES|7BASARM|89ASPD|aSELL
81	14315 61332	   	210.26	ACR|1BASARM|2ASPD|1DMG|1CDMG|1SELL	1SNIHEL|2FEWX|3RCR|4DMG|5CDMG|6TLV|7BASARM|89ASPD|aSELL
