0	Index      	 *	Score 	Summary	Detail	
1	23114 15251	 * 	214.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1ZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8ASPD|9BEXP|aDMG
12	23124 25261	   	200.69	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1ZMB|2VULN|3CDMG|46TLV|5RCR|7BASARM|8DMG|9ASPD|aFEWX
13	23124 25262	   	200.69	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1aZMB|2VULN|3CDMG|46TLV|5RCR|7BASARM|8DMG|9ASPD
14	23124 25326	   	200.69	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1ZMB|2VULN|3CDMG|46TLV|5RCR|7BASARM|8ASPD|9LWND|aDMG
15	23124 25361	   	200.69	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1ZMB|2VULN|3CDMG|46TLV|5RCR|7BASARM|8ASPD|9DMG|aFEWX
16	23124 25362	   	200.69	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1aZMB|2VULN|3CDMG|46TLV|5RCR|7BASARM|8ASPD|9DMG
17	23124 25263	   	200.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG|1SELL	1ZMB|2VULN|3CDMG|46TLV|5RCR|7BASARM|8DMG|9ASPD|aSELL
18	23124 25363	   	200.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG|1SELL	1ZMB|2VULN|3CDMG|46TLV|5RCR|7BASARM|8ASPD|9DMG|aSELL
19	32124 33663	   	199.27	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1DUST|2VULN|3MDPS|4LIT|5RCR|6CGEN|7AART|8CDMG|9ASPD|aBASARM
20	23114 45211	 * 	198.41	ACR|1BASARM|2ASPD|1VULN|1CDMG	1ZMB|2VULN|3CDMG|4LWND|5RCR|68ASPD|7MLV|9LHND|aBASARM
21	23114 45231	   	198.41	ACR|1BASARM|2ASPD|1VULN|1CDMG	1ZMB|2VULN|3CDMG|4LWND|5RCR|68ASPD|7MLV|9FEWX|aBASARM
22	23124 25226	 * 	198.21	ACR|1BASARM|2DMG|1VULN|1CDMG	1ZMB|2VULN|3CDMG|46TLV|5RCR|7BASARM|8aDMG|9LWND
23	11124 11344	 * 	197.68	ACR|1BASARM|2VULN|2BEXP|1CDMG	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7aVULN|8AEMAG|9BASARM
24	13124 14423	   	197.31	ACR|2DMG|2BEXP|1VULN|1AART|1CDMG	1RMIN|27LWND|3CDMG|47DMG|5RCR|67BEXP|7BPWR|8AART|9LHND|aVULN
25	25272 14126	   	197.04	ACR|1BASARM|2ASPD|1BASICY	18ZMB|2aRCVC|3MBVNT|4RCR|5BASICY|68LHND|78ASPD|8BPWR|9BASARM
26	25275 44134	 * 	196.62	ACR|1BASARM|1ASPD|1DMG|1AART	1ZMB|2RCVC|3MBVNT|4RCR|5DUR|6AART|7DMG|8TLV|9ASPD|aBASARM
27	23114 15242	   	196.37	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1ZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8ASPD|9MLV|aAART
28	32124 15323	 * 	196.15	ACR|3VULN|2ASPD|1AART|1CDMG	19DUST|29aVULN|3MDPS|4LIT|5RCR|6AART|7CDMG|89ASPD|9BPWR
29	25272 14121	   	195.86	ACR|1BASARM|2ASPD|1BASICY	18ZMB|2RCVC|3MBVNT|4RCR|5BASICY|68LHND|78ASPD|8BPWR|9BASARM|aBELT
30	25272 14123	   	195.86	ACR|1BASARM|2ASPD|1BASICY	18ZMB|2RCVC|3MBVNT|4RCR|5BASICY|68LHND|78ASPD|8BPWR|9BASARM|aMLV
31	25272 14124	   	195.86	ACR|1BASARM|2ASPD|1BASICY	18ZMB|2RCVC|3MBVNT|4RCR|5BASICY|68LHND|78ASPD|8BPWR|9BASARM|aFEWX
32	25272 14125	   	195.86	ACR|1BASARM|2ASPD|1BASICY	18ZMB|2RCVC|3MBVNT|4RCR|5BASICY|68LHND|78ASPD|8BPWR|9BASARM|aCGEN
33	25272 14128	   	195.86	ACR|1BASARM|2ASPD|1BASICY	18ZMB|2RCVC|3MBVNT|4RCR|5BASICY|68LHND|78ASPD|8BPWR|9BASARM|aDUR
34	25272 14122	   	195.76	ACR|1BASARM|2ASPD|1BASICY	18ZMB|2RCVC|3MBVNT|4RCR|5BASICY|68LHND|78ASPD|8BPWR|9BASARM|aERES
35	11124 11111	   	195.45	ACR|1BASARM|2BEXP|1VULN|1CDMG|1AAC	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7VULN|8AAC|9LHND|aBASARM
36	11124 11131	   	195.45	ACR|1BASARM|2BEXP|1VULN|1CDMG|1AAC	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7VULN|8AAC|9FEWX|aBASARM
37	11124 11631	   	195.45	ACR|1BASARM|2BEXP|1VULN|1CDMG|1AAC	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7VULN|8FEWX|9AAC|aBASARM
38	32124 15321	 * 	193.46	ACR|2VULN|2ASPD|2CDMG|1AART	19DUST|29VULN|3MDPS|4LIT|5RCR|6AART|7aCDMG|89ASPD|9BPWR
39	23114 15253	   	193.37	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1ZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8ASPD|9BEXP|aRPLT
40	23114 15421	   	193.37	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1ZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8BEXP|9CGEN|aDMG
41	25274 31145	   	193.32	ACR|1BASARM|1VULN|1AART|1CDMG|1AAC	1ZMB|2RCVC|3MBVNT|4RCR|5CDMG|6MLV|7VULN|8AAC|9AART|aBASARM
42	23114 15431	   	193.27	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1ZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8BEXP|9AME|aDMG
43	23124 61314	   	192.96	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1ZMB|2VULN|3CDMG|4TLV|5RCR|6AART|79LWND|8BEXP|aBASARM
44	11124 21343	   	192.17	ACR|1BASARM|1VULN|1BASICY|1BEXP|1CDMG	1RMIN|2BEXP|3CDMG|46TLV|5RCR|7VULN|8AEMAG|9BASARM|aBASICY
45	11124 21543	   	192.17	ACR|1BASARM|1VULN|1BASICY|1BEXP|1CDMG	1RMIN|2BEXP|3CDMG|46TLV|5RCR|7VULN|8AEFBLL|9BASARM|aBASICY
46	25272 14227	   	191.72	ACR|1BASARM|1ASPD|1BASICY|1CDMG	1ZMB|2RCVC|3MBVNT|4RCR|5BASICY|6LHND|7ASPD|8DMSP|9BASARM|aCDMG
47	25272 14327	   	191.72	ACR|1BASARM|1ASPD|1BASICY|1CDMG	1ZMB|2RCVC|3MBVNT|4RCR|5BASICY|68LHND|7ASPD|9BASARM|aCDMG
48	11124 12143	   	191.34	ACR|1BASARM|2BEXP|1BASICY|1CDMG	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7MLV|8ERES|9BASARM|aBASICY
49	11124 13243	   	191.34	ACR|1BASARM|2BEXP|1BASICY|1CDMG	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7ERES|8MLV|9BASARM|aBASICY
50	23124 25222	 * 	191.25	ACR|1BASARM|2VULN|1DMG|1CDMG	1ZMB|2aVULN|3CDMG|46TLV|5RCR|7BASARM|8DMG|9LWND
51	23124 25234	   	191.25	ACR|1BASARM|2VULN|1DMG|1CDMG	1ZMB|2aVULN|3CDMG|46TLV|5RCR|7BASARM|8DMG|9MLV
52	23124 25322	 * 	191.25	ACR|1BASARM|2VULN|1ASPD|1CDMG	1ZMB|2aVULN|3CDMG|46TLV|5RCR|7BASARM|8ASPD|9LWND
53	23124 25334	   	191.25	ACR|1BASARM|2VULN|1ASPD|1CDMG	1ZMB|2aVULN|3CDMG|46TLV|5RCR|7BASARM|8ASPD|9MLV
54	23124 25521	   	191.25	ACR|1BASARM|2VULN|1ASPD|1CDMG	1ZMB|28VULN|3CDMG|46TLV|5RCR|7BASARM|9RMIN|aASPD
55	23134 22344	   	191.25	ACR|1BASARM|2VULN|1DMG|1CDMG	1ZMB|2aVULN|3CDMG|4RMIN|5RCR|6TLV|7DMG|8AEMAG|9BASARM
56	23134 32344	   	191.25	ACR|1BASARM|2VULN|1DMG|1CDMG	1ZMB|2aVULN|3CDMG|4RMIN|5RCR|6AME|7DMG|8AEMAG|9BASARM
57	23114 15262	   	191.25	ACR|1BASARM|2VULN|1ASPD|1CDMG	1ZMB|2aVULN|3CDMG|4LWND|5RCR|69TLV|7BASARM|8ASPD
58	23124 15111	   	191.25	ACR|2VULN|1BASARM|1BEXP|1CDMG|1AAC	1ZMB|27VULN|3CDMG|4TLV|5RCR|6BEXP|8AAC|9LHND|aBASARM
59	23124 15131	   	191.25	ACR|2VULN|1BASARM|1BEXP|1CDMG|1AAC	1ZMB|27VULN|3CDMG|4TLV|5RCR|6BEXP|8AAC|9FEWX|aBASARM
60	23124 15631	   	191.25	ACR|2VULN|1BASARM|1BEXP|1CDMG|1AAC	1ZMB|27VULN|3CDMG|4TLV|5RCR|6BEXP|8FEWX|9AAC|aBASARM
61	23154 15111	   	191.25	ACR|2VULN|1BASARM|1BEXP|1CDMG|1AAC	1ZMB|27VULN|3CDMG|4BEXP|5RCR|6TLV|8AAC|9LHND|aBASARM
62	23154 15131	   	191.25	ACR|2VULN|1BASARM|1BEXP|1CDMG|1AAC	1ZMB|27VULN|3CDMG|4BEXP|5RCR|6TLV|8AAC|9FEWX|aBASARM
63	23124 25214	   	191.15	ACR|1BASARM|2VULN|1DMG|1CDMG	1ZMB|2aVULN|3CDMG|46TLV|5RCR|7BASARM|8DMG|9AME
64	23124 25314	   	191.15	ACR|1BASARM|2VULN|1ASPD|1CDMG	1ZMB|2aVULN|3CDMG|46TLV|5RCR|7BASARM|8ASPD|9AME
65	23124 25511	   	191.15	ACR|1BASARM|2VULN|1ASPD|1CDMG	1ZMB|28VULN|3CDMG|46TLV|5RCR|7BASARM|9ERES|aASPD
66	23124 25631	   	190.86	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1ZMB|2VULN|3CDMG|46TLV|5RCR|7BASARM|8AART|9DUR|aBEXP
67	25274 41446	 * 	190.83	ACR|3ASPD|2VULN|1CDMG	1aZMB|28RCVC|3MBVNT|4RCR|5CDMG|69aASPD|7aVULN|aBPWR
68	23114 53314	 * 	189.94	ACR|2VULN|1BASARM|1AART|1CDMG	1ZMB|26VULN|3CDMG|4LWND|5RCR|7DUST|8AART|9CGEN|aBASARM
69	23124 25131	   	189.86	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1ZMB|2VULN|3CDMG|46TLV|5RCR|7BASARM|8FEWX|9AART|aBEXP
70	25274 31161	   	189.32	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC	1ZMB|2RCVC|3MBVNT|4RCR|5CDMG|6MLV|7VULN|8AAC|9BEXP|aBASARM
71	32124 43243	 * 	189.14	ACR|3AART|1VULN|1ASPD|1DMG	1DUST|2VULN|3MDPS|4LIT|5RCR|6DMG|78aAART|9ASPD
72	25274 31741	   	188.43	ACR|1BASARM|1VULN|1ASPD|1CDMG	1ZMB|2RCVC|3MBVNT|4RCR|5CDMG|6MLV|7VULN|8FEWX|9ASPD|aBASARM
73	25274 41811	   	188.43	ACR|1BASARM|1VULN|1ASPD|1CDMG	1ZMB|2RCVC|3MBVNT|4RCR|5CDMG|6ASPD|7VULN|8CGEN|9LHND|aBASARM
74	25274 41831	   	188.43	ACR|1BASARM|1VULN|1ASPD|1CDMG	1ZMB|2RCVC|3MBVNT|4RCR|5CDMG|6ASPD|7VULN|8CGEN|9FEWX|aBASARM
75	25271 31541	   	188.33	ACR|1BASARM|1VULN|1ASPD|1CDMG	1ZMB|2RCVC|3MBVNT|4RCR|5AME|6FEWX|7VULN|8CDMG|9ASPD|aBASARM
76	23114 15211	   	188.03	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8ASPD|9AAC|aLHND
77	23114 15213	   	188.03	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AAC	1aZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8ASPD|9AAC
78	23114 15222	   	188.03	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8ASPD|9LHND|aAAC
79	23134 22111	   	188.03	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4RMIN|5RCR|6TLV|7DMG|8AAC|9LHND|aBASARM
80	23134 22131	   	188.03	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4RMIN|5RCR|6TLV|7DMG|8AAC|9FEWX|aBASARM
81	23134 22631	   	188.03	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4RMIN|5RCR|6TLV|7DMG|8FEWX|9AAC|aBASARM
82	23134 24231	   	188.03	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4RMIN|5RCR|6TLV|7FEWX|8ASPD|9AAC|aBASARM
83	23134 32111	   	188.03	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4RMIN|5RCR|6AME|7DMG|8AAC|9LHND|aBASARM
84	23134 32131	   	188.03	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4RMIN|5RCR|6AME|7DMG|8AAC|9FEWX|aBASARM
85	23134 32631	   	188.03	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4RMIN|5RCR|6AME|7DMG|8FEWX|9AAC|aBASARM
86	23134 34231	   	188.03	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4RMIN|5RCR|6AME|7FEWX|8ASPD|9AAC|aBASARM
87	23134 42111	   	188.03	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4RMIN|5RCR|6ERES|7DMG|8AAC|9LHND|aBASARM
88	23134 42131	   	188.03	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4RMIN|5RCR|6ERES|7DMG|8AAC|9FEWX|aBASARM
89	23134 42631	   	188.03	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4RMIN|5RCR|6ERES|7DMG|8FEWX|9AAC|aBASARM
90	23134 44231	   	188.03	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4RMIN|5RCR|6ERES|7FEWX|8ASPD|9AAC|aBASARM
91	23114 15214	   	187.93	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8ASPD|9AAC|aERES
92	23114 15215	   	187.93	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4LWND|5RCR|6aTLV|7BASARM|8ASPD|9AAC
93	23114 15321	   	187.93	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1ZMB|2VULN|3CDMG|4LWND|5RCR|6TLV|7BASARM|8DUST|9AAC|aDMG
94	23124 25126	   	187.93	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1ZMB|2VULN|3CDMG|46TLV|5RCR|7BASARM|8FEWX|9AAC|aDMG
95	13124 14632	 * 	187.71	ACR|3BEXP|2DMG|1AART|1CDMG	1RMIN|27LWND|3CDMG|47DMG|5RCR|67aBEXP|7BPWR|8SPLREG|9AART
96	11124 11341	   	187.05	ACR|1BASARM|2BEXP|1VULN|1CDMG	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7VULN|8AEMAG|9BASARM|aFEWX
97	11124 11342	   	187.05	ACR|1BASARM|2BEXP|1VULN|1CDMG	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7VULN|8AEMAG|9BASARM|aZMB
98	11124 11346	   	187.05	ACR|1BASARM|2BEXP|1VULN|1CDMG	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7VULN|8AEMAG|9BASARM|aDUR
99	11124 11541	   	187.05	ACR|1BASARM|2BEXP|1VULN|1CDMG	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7VULN|8AEFBLL|9BASARM|aFEWX
100	11124 11542	   	187.05	ACR|1BASARM|2BEXP|1VULN|1CDMG	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7VULN|8AEFBLL|9BASARM|aZMB
101	11124 12144	   	187.05	ACR|1BASARM|2BEXP|1VULN|1CDMG	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7MLV|8ERES|9BASARM|aVULN
102	11124 13244	   	187.05	ACR|1BASARM|2BEXP|1VULN|1CDMG	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7ERES|8MLV|9BASARM|aVULN
103	23134 11551	   	187.05	ACR|1BASARM|1VULN|2BEXP|1CDMG	1ZMB|2VULN|3CDMG|4RMIN|5RCR|69BEXP|7DUST|8ERES|aBASARM
104	11124 11345	   	186.95	ACR|1BASARM|2BEXP|1VULN|1CDMG	1RMIN|26BEXP|3CDMG|4TLV|5RCR|7VULN|8AEMAG|9BASARM|aDUST
105	23114 41521	 * 	186.94	ACR|1BASARM|1VULN|2CDMG|1ASPD	1ZMB|2VULN|39CDMG|4LWND|5RCR|6ASPD|7DUST|8ERES|aBASARM
106	23114 41621	   	186.94	ACR|1BASARM|1VULN|1ASPD|2CDMG	1ZMB|2VULN|39CDMG|4LWND|5RCR|6ASPD|7DUST|8TLV|aBASARM
107	31264 88114	 * 	186.66	ACR|1BASARM|2DMG|1ASPD	14DUST|2MDPS|3MBVNT|5RCR|67DMG|8RMIN|9BASARM|aASPD
108	13124 14161	   	186.15	ACR|2DMG|2BEXP|1AART|1CDMG|1AAC	1RMIN|27LWND|3CDMG|47DMG|5RCR|67BEXP|7BPWR|8AAC|9AART|aRCVC
109	25274 31454	   	185.79	ACR|1BASARM|1VULN|1AART|1CDMG	1ZMB|28RCVC|3MBVNT|4RCR|5CDMG|6MLV|7VULN|9BASARM|aAART
110	23124 25611	   	185.52	ACR|1BASARM|1VULN|1AART|1CDMG|1AAC	1ZMB|2VULN|3CDMG|46TLV|5RCR|7BASARM|8AART|9RMIN|aAAC
111	23154 52233	 * 	185.45	ACR|3VULN|2DMG|1BEXP|1CDMG	1ZMB|26aVULN|3CDMG|4BEXP|5RCR|7aDMG|8LIT|9aFEWX|aBPWR
112	25274 44237	   	185.31	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1ZMB|2RCVC|3MBVNT|4RCR|5CDMG|6ASPD|7BEXP|8LIT|9FEWX|aBASARM
113	23154 52213	   	185.25	ACR|3VULN|2DMG|1BEXP|1CDMG	1ZMB|26aVULN|3CDMG|4BEXP|5RCR|7aDMG|8LIT|9aDUST|aBPWR
114	25274 44247	   	185.21	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1ZMB|2RCVC|3MBVNT|4RCR|5CDMG|6ASPD|7BEXP|8LIT|9DUST|aBASARM
115	32124 15322	   	185.15	ACR|2VULN|2ASPD|1AART|1CDMG	19DUST|29VULN|3MDPS|4LIT|5RCR|6AART|7CDMG|89ASPD|9BPWR|aLHND
116	32124 15324	   	185.15	ACR|2VULN|2ASPD|1AART|1CDMG	19DUST|29VULN|3MDPS|4LIT|5RCR|6AART|7CDMG|89ASPD|9BPWR|aLWND
117	32124 15326	   	185.05	ACR|2VULN|2ASPD|1AART|1CDMG	19DUST|29VULN|3MDPS|4LIT|5RCR|6AART|7CDMG|89ASPD|9BPWR|aAEFBLL
118	32124 15363	   	185.05	ACR|2VULN|2ASPD|1AART|1CDMG	1DUST|2aVULN|3MDPS|4LIT|5RCR|6AART|7CDMG|89ASPD
119	13124 14162	   	184.75	ACR|2DMG|2BEXP|1AART|1CDMG|1AAC	1RMIN|27LWND|3CDMG|47DMG|5RCR|67BEXP|7BPWR|8AAC|9AART|aMDPS
120	23114 53241	   	184.66	ACR|2VULN|2ASPD|2CDMG|1BEXP	19ZMB|26VULN|39CDMG|4LWND|5RCR|7DUST|89ASPD|9BPWR|aBEXP
