0	Index      	 *	Score 	Summary	Detail	
1	43181 11115	 * 	221.68	DCR|2VULN|3ASPD|1BASARM|1DMG|1AART	135ASPD|2MBVNT|4BASARM|68VULN|7AART|9DMG|aRCR
44	52123 45211	   	195.28	ACR|4VULN|2ASPD|2BEXP	1aBEXP|2CGEN|3aASPD|4AEFBLL|5RCR|6FEWX|789aVULN|aBPWR
45	62123 46211	   	195.28	ACR|4VULN|2ASPD|2BEXP	189aVULN|2CGEN|3aASPD|4AEMAG|5RCR|6FEWX|7aBEXP|aBPWR
46	22163 12652	   	195.26	ACR|1BASARM|2ASPD|1DMG|1AAC	14LWND|2CGEN|38ASPD|5RCR|6AME|7DMG|9AAC|aBASARM
47	56123 25211	   	195.18	ACR|4VULN|2ASPD|2BEXP	1aBEXP|2ERES|3aASPD|4AEFBLL|5RCR|6DUR|789aVULN|aBPWR
48	22123 12652	   	195.16	ACR|1BASARM|2ASPD|1DMG|1AAC	1LWND|2CGEN|38ASPD|4AEFBLL|5RCR|6AME|7DMG|9AAC|aBASARM
49	23163 24632	 * 	195.13	ACR|1BASARM|2VULN|2ASPD	19LWND|23DUST|4DMSP|5RCR|6RCVC|79VULN|89ASPD|9BPWR|aBASARM
50	63163 21632	   	195.13	ACR|2VULN|1BASARM|2ASPD	19VULN|23DUST|4DMSP|5RCR|6RCVC|79FEWX|89ASPD|9BPWR|aBASARM
51	26123 12652	   	195.06	ACR|1BASARM|2ASPD|1DMG|1AAC	1LWND|2ERES|38ASPD|4AEFBLL|5RCR|6AME|7DMG|9AAC|aBASARM
52	43181 14622	   	194.69	DCR|2VULN|3ASPD|1BASARM|1BEXP	135ASPD|2MBVNT|4BASARM|67VULN|8ZMB|9BEXP|aRCR
53	43181 18343	   	194.69	DCR|3ASPD|2VULN|1BASARM|1BEXP	135ASPD|2MBVNT|4BASARM|69VULN|7LHND|8BEXP|aRCR
54	65311 22532	 * 	194.56	4VULN|1BASARM|2ASPD|2DMG|1BEXP	1269VULN|39ASPD|4BEXP|5DUST|79DMG|8AAC|9BPWR|aBASARM
55	62123 21651	   	193.31	ACR|3ASPD|2VULN|2BEXP	1aVULN|2CGEN|38aASPD|4AEMAG|5RCR|6RCVC|7FEWX|9aBEXP|aBPWR
56	45123 52332	   	192.89	ACR|3ASPD|2VULN|2BEXP	139ASPD|29BEXP|4RMIN|5RCR|6AAC|7RCVC|89VULN|9BPWR|aFEWX
57	45123 52333	   	192.89	ACR|3ASPD|2VULN|2BEXP	139ASPD|29BEXP|4RMIN|5RCR|6AAC|7RCVC|89VULN|9BPWR|aVENTOX
58	33144 54826	 * 	192.53	4VULN|3ASPD|3DMG|1AART	17aDMG|2MBVNT|37aASPD|4ZMB|5LIT|679aVULN|7aBPWR|8AART
