0	Index      	 *	Score 	Summary	Detail	
1	26212 22524	 * 	238.47	ACR|3VULN|3DMG|3BEXP|1CDMG|1SELL	18aDMG|28aVULN|3RCVC|4RCR|5CDMG|6DUST|78aBEXP|8aBPWR|9SELL
49	26211 41112	   	219.92	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	1DMG|2aVULN|3RCVC|4RCR|56CGEN|7BASARM|8BEXP|9ASPD
50	62111 15314	 * 	219.78	ACR|3BEXP|2ASPD|1VULN|2CDMG|1AART	18aBEXP|28CDMG|3MDPS|4RCR|5DUR|6VULN|78ASPD|8BPWR|9AART
51	26214 62111	   	219.71	ACR|1VULN|2BEXP|1ASPD|1DMG|1BASICY|1AART|1AAC	1DMG|2VULN|3RCVC|4RCR|5BASICY|68BEXP|7AAC|9ASPD|aAART
52	26212 13324	 * 	219.35	ACR|2VULN|1BASARM|2DMG|1CDMG	16DMG|28VULN|3RCVC|4RCR|5CDMG|7MBVNT|9DUR|aBASARM
53	13113 21243	   	218.52	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	12VULN|359MLV|4RCR|6ASPD|7BASARM|8CDMG|aDMG
54	13112 16225	   	218.42	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	12VULN|3MLV|4RCR|5CDMG|6DMG|7ASPD|8AEFBLL|9DUR|aBASARM
55	13112 43736	   	218.42	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	12VULN|3MLV|4RCR|5CDMG|6DMSP|7MBVNT|8ASPD|9DMG|aBASARM
56	13113 21216	 * 	218.42	ACR|2VULN|1BASARM|1ASPD|2CDMG|1BEXP	12VULN|35MLV|4RCR|6ASPD|7BASARM|89CDMG|aBEXP
57	13113 21146	   	218.41	ACR|2VULN|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	12VULN|35MLV|4RCR|6ASPD|7BASARM|8BEXP|9AAC|aCDMG
58	13113 21666	   	218.41	ACR|2VULN|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	12VULN|35MLV|4RCR|6ASPD|7BASARM|8AAC|9BEXP|aCDMG
59	13412 16225	   	218.32	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	12VULN|3ERES|4RCR|5CDMG|6DMG|7ASPD|8AEFBLL|9DUR|aBASARM
60	13416 21252	   	218.32	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG	12VULN|35ERES|4RCR|6ASPD|7BASARM|8CDMG|9BELT|aDMG
61	13112 31514	   	218.27	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG|1SELL	12VULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8LWND|9ASPD|aDMG
62	13416 21216	   	218.22	ACR|2VULN|1BASARM|2CDMG|1ASPD|1BEXP	12VULN|35ERES|4RCR|6ASPD|7BASARM|89CDMG|aBEXP
63	62115 14313	   	218.21	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG|1AAC	1BEXP|2CDMG|3MDPS|4RCR|5AAC|69VULN|7SPLREG|8BASARM|aASPD
64	62115 16313	   	218.21	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG|1AAC	1BEXP|2CDMG|3MDPS|4RCR|5AAC|69VULN|7AIRHEL|8BASARM|aASPD
65	13412 31514	   	218.17	ACR|2VULN|1BASARM|1ASPD|1DMG|1CDMG|1SELL	12VULN|3ERES|4RCR|5CDMG|6SELL|7BASARM|8LWND|9ASPD|aDMG
66	13112 31116	   	218.17	ACR|2VULN|1BASARM|1ASPD|2CDMG|1BEXP|1SELL	12VULN|3MLV|4RCR|5aCDMG|6SELL|7BASARM|8BEXP|9ASPD
67	13112 31144	   	218.17	ACR|2VULN|1BASARM|1DMG|1BEXP|1CDMG|1AAC|1SELL	12VULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9AAC|aDMG
68	13112 31664	   	218.17	ACR|2VULN|1BASARM|1DMG|1BEXP|1CDMG|1AAC|1SELL	12VULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8AAC|9BEXP|aDMG
69	26212 22552	   	218.14	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	18DMG|28VULN|3RCVC|4RCR|5CDMG|6DUST|78BEXP|8BPWR|9SPLREG|aAART
70	13113 21226	   	218.11	ACR|3VULN|1BASARM|1ASPD|1BEXP|1CDMG	129VULN|35MLV|4RCR|6ASPD|7BASARM|8CDMG|aBEXP
71	13412 31144	   	218.07	ACR|2VULN|1BASARM|1DMG|1BEXP|1CDMG|1AAC|1SELL	12VULN|3ERES|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9AAC|aDMG
72	13416 21226	   	217.91	ACR|3VULN|1BASARM|1ASPD|1BEXP|1CDMG	129VULN|35ERES|4RCR|6ASPD|7BASARM|8CDMG|aBEXP
73	13112 31112	   	217.86	ACR|3VULN|1BASARM|1ASPD|1BEXP|1CDMG|1SELL	12aVULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9ASPD
74	13112 31122	   	217.86	ACR|3VULN|1BASARM|1DMG|1BEXP|1CDMG|1SELL	12aVULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9DMG
75	13112 31362	   	217.86	ACR|3VULN|1BASARM|1DMG|1BEXP|1CDMG|1SELL	12aVULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8DMG|9BEXP
76	13412 31112	   	217.76	ACR|3VULN|1BASARM|1ASPD|1BEXP|1CDMG|1SELL	12aVULN|3ERES|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9ASPD
77	13412 31122	   	217.76	ACR|3VULN|1BASARM|1DMG|1BEXP|1CDMG|1SELL	12aVULN|3ERES|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9DMG
78	13412 31362	   	217.76	ACR|3VULN|1BASARM|1DMG|1BEXP|1CDMG|1SELL	12aVULN|3ERES|4RCR|5CDMG|6SELL|7BASARM|8DMG|9BEXP
79	62111 34263	 * 	217.44	ACR|2BASARM|2BEXP|1ASPD|2CDMG	18BEXP|28CDMG|3MDPS|4RCR|5DUR|6ZMB|78BASARM|8BPWR|9LSRREG|aASPD
80	62113 34226	   	217.44	ACR|2BASARM|2BEXP|1ASPD|2CDMG	18BEXP|28CDMG|3MDPS|4RCR|5DUST|69ZMB|78BASARM|8BPWR|aASPD
81	16212 25531	 * 	217.35	ACR|3ASPD|2VULN|2BEXP|1CDMG	18VULN|28aASPD|3RCVC|4RCR|5CDMG|6LWND|78BEXP|8BPWR|9ZMB
82	62113 34236	   	217.34	ACR|2BASARM|2BEXP|1ASPD|2CDMG	18BEXP|28CDMG|3MDPS|4RCR|59DUST|6ZMB|78BASARM|8BPWR|aASPD
83	62113 34263	   	217.34	ACR|2BASARM|2BEXP|1ASPD|2CDMG	18BEXP|28CDMG|3MDPS|4RCR|5DUST|6ZMB|78BASARM|8BPWR|9LSRREG|aASPD
84	16212 52531	   	217.25	ACR|3ASPD|2VULN|2BEXP|1CDMG	18VULN|28aASPD|3RCVC|4RCR|5CDMG|6DUST|78BEXP|8BPWR|9ZMB
85	33112 16225	 * 	217.10	ACR|1BASARM|1VULN|1ASPD|1DMG|2CDMG	1RCVC|2FEWX|3AME|4RCR|59CDMG|6DMG|7ASPD|8VULN|aBASARM
86	33412 16225	   	217.10	ACR|1BASARM|1VULN|1ASPD|1DMG|2CDMG	1RCVC|2FEWX|3ERES|4RCR|59CDMG|6DMG|7ASPD|8VULN|aBASARM
87	36112 16225	   	217.10	ACR|1BASARM|1VULN|1ASPD|1DMG|2CDMG	1RCVC|2DUR|3AME|4RCR|59CDMG|6DMG|7ASPD|8VULN|aBASARM
88	16212 12231	 * 	217.09	ACR|2VULN|1ASPD|1DMG|2CDMG|1AART|1BEXP	1aVULN|2ASPD|3RCVC|4RCR|58CDMG|6DMG|7AART|9BEXP
89	34112 16225	   	217.00	ACR|1BASARM|1VULN|1ASPD|1DMG|2CDMG	1RCVC|2DUST|3AME|4RCR|59CDMG|6DMG|7ASPD|8VULN|aBASARM
90	62111 15315	   	216.83	ACR|2ASPD|2BEXP|1VULN|2CDMG|1AART|1AAC	18BEXP|28CDMG|3MDPS|4RCR|5DUR|6VULN|78ASPD|8BPWR|9AART|aAAC
91	12113 25345	   	216.63	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	18VULN|28CDMG|3MDPS|4RCR|5DUST|6DUR|78ASPD|8BPWR|9DMG|aAART
92	21212 36225	   	216.60	ACR|1BASARM|1VULN|1ASPD|1DMG|2CDMG	1DMG|2LHND|3RCVC|4RCR|59CDMG|6MLV|7ASPD|8VULN|aBASARM
93	13113 21134	   	216.52	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	12VULN|35MLV|4RCR|6ASPD|7BASARM|8BEXP|9CGEN|aDMG
94	13113 51114	   	216.52	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	12VULN|35MLV|4RCR|6RMIN|7BASARM|8BEXP|9ASPD|aDMG
95	13511 41114	   	216.52	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	12VULN|3RMIN|4RCR|56CGEN|7BASARM|8BEXP|9ASPD|aDMG
96	16214 51333	 * 	216.51	ACR|1BASARM|1VULN|2BASICY|1ASPD|1CDMG	1VULN|2ASPD|3RCVC|4RCR|5aBASICY|6CDMG|7ERES|8AIRHEL|9BASARM
97	26214 51333	 * 	216.51	ACR|1BASARM|1VULN|2BASICY|1DMG|1CDMG	1DMG|2VULN|3RCVC|4RCR|5aBASICY|6CDMG|7ERES|8AIRHEL|9BASARM
98	26212 14143	   	216.44	ACR|2DMG|2AART|1VULN|2CDMG|1BEXP	16DMG|2VULN|3RCVC|4RCR|59CDMG|78AART|aBEXP
99	13113 21464	   	216.42	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	12VULN|35MLV|4RCR|6ASPD|7BASARM|8TLV|9BEXP|aDMG
100	13416 21134	   	216.32	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	12VULN|35ERES|4RCR|6ASPD|7BASARM|8BEXP|9CGEN|aDMG
101	13113 21236	   	216.04	ACR|2VULN|1BASARM|2ASPD|1CDMG	12VULN|35MLV|4RCR|6aASPD|7BASARM|8CDMG|9LHND
102	13113 21266	   	216.04	ACR|2VULN|1BASARM|2ASPD|1CDMG	12VULN|35MLV|4RCR|6aASPD|7BASARM|8CDMG|9FEWX
103	13416 21236	   	215.84	ACR|2VULN|1BASARM|2ASPD|1CDMG	12VULN|35ERES|4RCR|6aASPD|7BASARM|8CDMG|9LHND
104	13112 31524	   	215.80	ACR|2VULN|1BASARM|2DMG|1CDMG|1SELL	12VULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8LWND|9aDMG
105	13412 31524	   	215.70	ACR|2VULN|1BASARM|2DMG|1CDMG|1SELL	12VULN|3ERES|4RCR|5CDMG|6SELL|7BASARM|8LWND|9aDMG
106	13113 21116	   	215.35	ACR|2VULN|1BASARM|2ASPD|1BEXP	12VULN|35MLV|4RCR|69ASPD|7BASARM|8BEXP|aRCVC
107	13416 21116	   	215.15	ACR|2VULN|1BASARM|2ASPD|1BEXP	12VULN|35ERES|4RCR|69ASPD|7BASARM|8BEXP|aRCVC
108	26214 61211	 * 	215.05	ACR|2DMG|1VULN|1ASPD|1BASICY|1AART|1BEXP	17DMG|2VULN|3RCVC|4RCR|5BASICY|6BEXP|8ERES|9ASPD|aAART
109	13112 31141	   	214.75	ACR|2VULN|1BASARM|1AART|1BEXP|1CDMG|1AAC|1SELL	12VULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9AAC|aAART
110	13112 31661	   	214.75	ACR|2VULN|1BASARM|1AART|1BEXP|1CDMG|1AAC|1SELL	12VULN|3MLV|4RCR|5CDMG|6SELL|7BASARM|8AAC|9BEXP|aAART
111	26214 62112	   	214.69	ACR|2VULN|2BEXP|1ASPD|1DMG|1BASICY|1AAC	1DMG|2aVULN|3RCVC|4RCR|5BASICY|68BEXP|7AAC|9ASPD
112	13412 31141	   	214.65	ACR|2VULN|1BASARM|1AART|1BEXP|1CDMG|1AAC|1SELL	12VULN|3ERES|4RCR|5CDMG|6SELL|7BASARM|8BEXP|9AAC|aAART
113	13412 31661	   	214.65	ACR|2VULN|1BASARM|1AART|1BEXP|1CDMG|1AAC|1SELL	12VULN|3ERES|4RCR|5CDMG|6SELL|7BASARM|8AAC|9BEXP|aAART
114	26214 63223	 * 	214.30	ACR|1VULN|2BEXP|1ASPD|1DMG|1BASICY|1AART	1DMG|2VULN|3RCVC|4RCR|5BASICY|68BEXP|7AART|9ERES|aASPD
115	62111 34212	   	214.24	ACR|2BASARM|2BEXP|2CDMG|1VULN	18BEXP|28CDMG|3MDPS|4RCR|5DUR|6ZMB|78BASARM|8BPWR|9FEWX|aVULN
116	62111 34222	   	214.24	ACR|2BASARM|2BEXP|2CDMG|1VULN	18BEXP|28CDMG|3MDPS|4RCR|5DUR|69ZMB|78BASARM|8BPWR|aVULN
117	62111 34242	   	214.24	ACR|2BASARM|2BEXP|2CDMG|1VULN	18BEXP|28CDMG|3MDPS|4RCR|5DUR|6ZMB|78BASARM|8BPWR|9LWND|aVULN
118	62114 34212	   	214.24	ACR|2BASARM|2BEXP|2CDMG|1VULN	18BEXP|28CDMG|3MDPS|4RCR|59FEWX|6ZMB|78BASARM|8BPWR|aVULN
119	62114 34232	   	214.24	ACR|2BASARM|2BEXP|2CDMG|1VULN	18BEXP|28CDMG|3MDPS|4RCR|5FEWX|69ZMB|78BASARM|8BPWR|aVULN
120	62341 61313	   	214.21	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	19BEXP|2CDMG|36VULN|4ASPD|5RCR|7LWND|8AART|aDMG
121	62111 34232	   	214.14	ACR|2BASARM|2BEXP|2CDMG|1VULN	18BEXP|28CDMG|3MDPS|4RCR|5DUR|6ZMB|78BASARM|8BPWR|9DUST|aVULN
122	62113 34212	   	214.14	ACR|2BASARM|2BEXP|2CDMG|1VULN	18BEXP|28CDMG|3MDPS|4RCR|5DUST|6ZMB|78BASARM|8BPWR|9FEWX|aVULN
123	62113 34222	   	214.14	ACR|2BASARM|2BEXP|2CDMG|1VULN	18BEXP|28CDMG|3MDPS|4RCR|5DUST|69ZMB|78BASARM|8BPWR|aVULN
124	62113 34242	   	214.14	ACR|2BASARM|2BEXP|2CDMG|1VULN	18BEXP|28CDMG|3MDPS|4RCR|5DUST|6ZMB|78BASARM|8BPWR|9LWND|aVULN
125	13412 31255	 * 	214.09	ACR|2BASARM|3VULN|3CDMG|1SELL	12aVULN|39ERES|4RCR|58aCDMG|6SELL|7aBASARM|aBPWR
126	62113 34232	   	214.04	ACR|2BASARM|2BEXP|2CDMG|1VULN	18BEXP|28CDMG|3MDPS|4RCR|59DUST|6ZMB|78BASARM|8BPWR|aVULN
127	13113 21111	   	214.04	ACR|2VULN|1BASARM|2ASPD|1BEXP	12VULN|35MLV|4RCR|69ASPD|7BASARM|8BEXP|aCGEN
128	13113 21112	   	214.04	ACR|2VULN|1BASARM|2ASPD|1BEXP	12VULN|35MLV|4RCR|69ASPD|7BASARM|8BEXP|aFEWX
129	13113 51124	   	214.04	ACR|2VULN|1BASARM|2DMG|1BEXP	12VULN|35MLV|4RCR|6RMIN|7BASARM|8BEXP|9aDMG
130	13511 41124	   	214.04	ACR|2VULN|1BASARM|2DMG|1BEXP	12VULN|3RMIN|4RCR|56CGEN|7BASARM|8BEXP|9aDMG
131	13113 21113	   	213.94	ACR|2VULN|1BASARM|2ASPD|1BEXP	12VULN|35MLV|4RCR|69ASPD|7BASARM|8BEXP|aAEFBLL
132	13113 21114	   	213.94	ACR|2VULN|1BASARM|2ASPD|1BEXP	12VULN|35MLV|4RCR|69ASPD|7BASARM|8BEXP|aMDPS
133	13113 21115	   	213.94	ACR|2VULN|1BASARM|2ASPD|1BEXP	12VULN|35MLV|4RCR|69ASPD|7BASARM|8BEXP|aDUST
134	13416 21111	   	213.84	ACR|2VULN|1BASARM|2ASPD|1BEXP	12VULN|35ERES|4RCR|69ASPD|7BASARM|8BEXP|aCGEN
135	13416 21112	   	213.84	ACR|2VULN|1BASARM|2ASPD|1BEXP	12VULN|35ERES|4RCR|69ASPD|7BASARM|8BEXP|aFEWX
136	13416 21113	   	213.74	ACR|2VULN|1BASARM|2ASPD|1BEXP	12VULN|35ERES|4RCR|69ASPD|7BASARM|8BEXP|aAEMAG
137	13416 21114	   	213.74	ACR|2VULN|1BASARM|2ASPD|1BEXP	12VULN|35ERES|4RCR|69ASPD|7BASARM|8BEXP|aMDPS
138	13416 21115	   	213.74	ACR|2VULN|1BASARM|2ASPD|1BEXP	12VULN|35ERES|4RCR|69ASPD|7BASARM|8BEXP|aDUST
139	16212 16351	   	213.72	ACR|2VULN|2DMG|1ASPD|1AART|1CDMG	1aVULN|2ASPD|3RCVC|4RCR|5CDMG|67DMG|8AART|9LWND
140	16212 16321	   	213.62	ACR|2VULN|2DMG|1ASPD|1AART|1CDMG	1aVULN|2ASPD|3RCVC|4RCR|5CDMG|67DMG|8AART|9LEGI
141	16214 61111	 * 	213.34	ACR|2ASPD|1VULN|2BEXP|1DMG|1BASICY	1VULN|29ASPD|3RCVC|4RCR|5BASICY|68BEXP|7DMG|aCGEN
142	16214 61112	   	213.34	ACR|2ASPD|1VULN|2BEXP|1DMG|1BASICY	1VULN|29ASPD|3RCVC|4RCR|5BASICY|68BEXP|7DMG|aFEWX
143	13112 16611	 * 	213.32	ACR|3VULN|2ASPD|1DMG|1BEXP|1CDMG	129VULN|3MLV|4RCR|5CDMG|6DMG|78ASPD|aBEXP
144	13512 16611	   	213.32	ACR|3VULN|2ASPD|1DMG|1CDMG|1BEXP	129VULN|3RMIN|4RCR|5CDMG|6DMG|78ASPD|aBEXP
145	16214 61113	   	213.24	ACR|2ASPD|1VULN|2BEXP|1DMG|1BASICY	1VULN|29ASPD|3RCVC|4RCR|5BASICY|68BEXP|7DMG|aAEFBLL
146	13412 16611	   	213.22	ACR|3VULN|2ASPD|1DMG|1BEXP|1CDMG	129VULN|3ERES|4RCR|5CDMG|6DMG|78ASPD|aBEXP
147	16212 16122	   	213.15	ACR|2ASPD|2DMG|1VULN|1BEXP|1CDMG	1VULN|2aASPD|39RCVC|4RCR|5CDMG|67DMG|8BEXP
148	62114 34221	   	213.13	ACR|2BASARM|2BEXP|2CDMG|1AART	18BEXP|28CDMG|3MDPS|4RCR|5FEWX|6ZMB|78BASARM|8BPWR|9AART|aLIT
