0	Index      	 *	Score 	Summary	Detail	
1	32213 65511	 * 	280.84	DCR|3VULN|3DUR|3MLV|1TLV|1CDMG	127DUR|3RPLT|467MLV|567VULN|67BPWR|8RCR|9TLV|aCDMG
15	36314 32243	 * 	262.03	ACR|DCR|2DMG|1VULN|1TLV|1MLV|1DUR	1DUR|2VULN|3aRCR|4LWND|5TBNT|6MLV|7TLV|89DMG
16	36334 32243	   	262.03	ACR|DCR|2DMG|1VULN|1TLV|1MLV|1DUR	1DUR|2VULN|3aRCR|4LHND|5TBNT|6MLV|7TLV|89DMG
17	32213 65522	 * 	261.05	DCR|3VULN|3DUR|3MLV|1DMG	127DUR|3RPLT|467MLV|567VULN|67BPWR|8RCR|9BEXP|aDMG
18	32213 65532	   	261.05	DCR|3VULN|3DUR|3MLV|1DMG	127DUR|3RPLT|467MLV|567VULN|67BPWR|8RCR|9FEWX|aDMG
19	26354 32223	 * 	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1FEWX|29VULN|3aRCR|4BEXP|5TBNT|6MLV|7TLV|8DMG
20	33115 31111	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG|1AAC	1DUR|2RAT|3CGEN|4AAC|5BBNT|6CDMG|79RCR|8TLV|aVULN
21	33265 31111	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG|1AAC	1DUR|2RAT|3AAC|4RMIN|5BBNT|6CDMG|79RCR|8TLV|aVULN
22	22114 32223	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1FEWX|2DUR|3TBNT|4RMIN|5aRCR|69VULN|7TLV|8DMG
23	22414 32223	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	1FEWX|2DUR|3BBNT|4RMIN|5aRCR|69VULN|7TLV|8DMG
24	22361 33523	   	255.01	ACR|DCR|3VULN|3DUR|1AAC	1FEWX|256DUR|3aRCR|469VULN|6BPWR|7DMSP|8AAC
25	22361 33623	   	255.01	ACR|DCR|3VULN|3DUR	1FEWX|256DUR|3aRCR|469VULN|6BPWR|7DMSP|8ZMB
26	22361 36423	 * 	255.01	ACR|DCR|3VULN|3DUR|2AAC	1FEWX|256DUR|3aRCR|469VULN|6BPWR|78AAC
27	36362 36133	   	255.01	ACR|DCR|3VULN|3DUR|1AAC	189DUR|246VULN|3aRCR|56FEWX|6BPWR|7AAC
28	36362 26123	   	254.91	ACR|DCR|3VULN|3DUR|1AAC	168DUR|249VULN|3aRCR|5FEWX|7AAC
29	22361 35523	   	254.91	ACR|DCR|3VULN|3DUR|1AAC	1FEWX|256DUR|3aRCR|469VULN|6BPWR|7AEPOI|8AAC
30	22361 35623	   	254.91	ACR|DCR|3VULN|3DUR	1FEWX|256DUR|3aRCR|469VULN|6BPWR|7AEPOI|8ZMB
31	22361 66123	   	254.91	ACR|DCR|3VULN|3DUR|1AAC	1FEWX|258DUR|3aRCR|469VULN|7AAC
32	36131 31461	 * 	253.21	DCR|4VULN|2DUR|1FLTARM|1MLV	15DUR|2458VULN|3TBNT|5BPWR|6CGEN|7MLV|9RCR|aFLTARM
33	22361 33213	   	252.93	ACR|DCR|2VULN|3DUR|1DMG	19FEWX|256DUR|3aRCR|46VULN|6BPWR|7DMSP|8DMG
34	22361 23223	   	252.83	ACR|DCR|2VULN|3DUR|1DMG	1FEWX|256DUR|3aRCR|49VULN|7DMSP|8DMG
35	22361 35213	   	252.83	ACR|DCR|2VULN|3DUR|1DMG	19FEWX|256DUR|3aRCR|46VULN|6BPWR|7AEPOI|8DMG
36	22361 25223	   	252.73	ACR|DCR|2VULN|3DUR|1DMG	1FEWX|256DUR|3aRCR|49VULN|7AEPOI|8DMG
37	52132 12261	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1DUST|2DUR|3TBNT|4VULN|5FEWX|6DMG|7RPLT|89RCR|aMLV
38	52432 12261	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1DUST|2DUR|3BBNT|4VULN|5FEWX|6DMG|7RPLT|89RCR|aMLV
39	36363 13162	   	251.68	ACR|DCR|2VULN|1MLV|1DUR|1AART|1CDMG	1DUR|24VULN|3aRCR|5AEWIND|6AART|7RMIN|8MLV|9CDMG
40	62223 36351	 * 	250.95	DCR|DCR|2MLV|2DUR|1TLV	1BEXP|2aDUR|3LIT|47MLV|5TLV|6AME|89RCR
