0	Index      	 *	Score 	Summary	Detail	
1	33532 36215	 * 	288.96	DCR|DCR|2VULN|1FLTARM|1DMG|1DUR	1FEWX|29VULN|3DUR|4CGEN|5ERES|6FLTARM|7aRCR|8DMG
32	16323 35335	   	265.23	DCR|DCR|1VULN|1FLTARM|1MLV|1DUR	1RMIN|2FLTARM|3CGEN|4ASPD|5MLV|6VULN|7ERES|8DUR|9aRCR
33	11523 35335	   	265.13	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1RMIN|2TSLFST|3TLV|4ASPD|5MLV|6VULN|7ERES|8DUR|9aRCR
34	16135 32335	   	264.81	DCR|DCR|1VULN|1FLTARM|1DMG|1MLV	1RMIN|2FLTARM|3RCVC|4DMG|5FEWX|6VULN|7LWND|8MLV|9aRCR
35	23166 83132	   	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1LHND|2VULN|3TLV|4DMG|5MBVNT|68RCR|7ERES|9TBNT|aMLV
36	23166 83142	   	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1LHND|2VULN|3TLV|4DMG|5MBVNT|68RCR|7ERES|9BBNT|aMLV
37	33166 83132	   	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1FEWX|2VULN|3TLV|4DMG|5MBVNT|68RCR|7ERES|9TBNT|aMLV
38	33166 83142	   	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1FEWX|2VULN|3TLV|4DMG|5MBVNT|68RCR|7ERES|9BBNT|aMLV
39	12212 23335	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1RMIN|24VULN|3LHND|5VENFST|6CGEN|7DMG|8DUR|9aRCR
40	33532 36115	   	262.75	DCR|DCR|1VULN|1FLTARM|1DMG|1DUR	1FEWX|2VULN|3DUR|4CGEN|5ERES|6FLTARM|7aRCR|8RCVC|9DMG
41	33532 36315	   	262.75	DCR|DCR|1VULN|1FLTARM|1DMG|1DUR	1FEWX|2VULN|3DUR|4CGEN|5ERES|6FLTARM|7aRCR|8DMSP|9DMG
42	12261 43335	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1RMIN|26VULN|3LHND|4DMG|5ERES|7BLASTR|8DUR|9aRCR
43	12321 43335	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1RMIN|26VULN|3DMG|4LWND|5ERES|7BLASTR|8DUR|9aRCR
44	23166 83112	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1LHND|2VULN|3TLV|4DMG|5MBVNT|68RCR|7ERES|9DUR|aRPLT
45	23166 83113	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1aLHND|2VULN|3TLV|4DMG|5MBVNT|68RCR|7ERES|9DUR
46	33166 83112	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1FEWX|2VULN|3TLV|4DMG|5MBVNT|68RCR|7ERES|9DUR|aRPLT
47	33166 83113	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1FEWX|2VULN|3TLV|4DMG|5MBVNT|68RCR|7ERES|9DUR|aLHND
48	33166 83114	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1FEWX|2VULN|3TLV|4DMG|5MBVNT|68RCR|7ERES|9DUR|aLWND
49	12311 43335	   	262.55	DCR|DCR|2VULN|1DMG|1DUR	1RMIN|26VULN|3DMG|4DUST|5ERES|7BLASTR|8DUR|9aRCR
50	11561 33335	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1RMIN|2TSLFST|3TLV|4AETHUN|5AEBURN|6VULN|7DMG|8DUR|9aRCR
51	12316 82171	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1RMIN|2VULN|3DMG|4DUST|5MBVNT|68RCR|7ERES|9TLV|aDUR
52	23166 83114	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1SELL	1LHND|2VULN|3TLV|4DMG|5MBVNT|68RCR|7ERES|9DUR|aSELL
53	16142 33335	   	262.18	DCR|DCR|2VULN|1FLTARM	1RMIN|2FLTARM|3RCVC|46VULN|5ASPD|7BEXP|8aRCR|9AEFBLL
54	33612 32535	   	262.18	DCR|DCR|2VULN|1TLV	1FEWX|24VULN|3ASPD|5VENFST|6RMIN|7LWND|8TLV|9aRCR
55	16112 34335	 * 	262.08	DCR|DCR|1VULN|2DUR|1FLTARM	1RMIN|2FLTARM|3RCVC|47DUR|5ASPD|6VULN|8aRCR|9AEFBLL
56	12316 86121	   	258.99	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1RMIN|2VULN|3DMG|4DUST|5MBVNT|68RCR|7MLV|9ASPD|aDUR
