0	Index      	 *	Score 	Summary	Detail	
1	42561 12313	 * 	195.43	2VULN|1BASARM|3BEXP|2ASPD|2DMG	19VULN|2LIT|39DMG|4AAC|578BEXP|69ASPD|9BPWR|aBASARM
15	22135 22343	   	179.32	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART	13BEXP|2LIT|4AME|5RCR|6ZMB|7VULN|8AART|9DMG|aASPD
16	31425 22343	   	179.32	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART	1LIT|2AME|34BEXP|5RCR|6ZMB|7VULN|8AART|9DMG|aASPD
17	11651 23153	 * 	178.95	DCR|1BASARM|2DMG|1VULN|1BEXP|1CDMG	1ERES|2VULN|3DUST|4BASARM|5CDMG|6BEXP|79DMG|8FLTARM|aRCR
18	21153 11624	 * 	178.93	DCR|1BASARM|2BEXP|1VULN|1DMG|1CDMG	16BEXP|2RCVC|3CGEN|4BASARM|5VULN|7FEWX|8DMG|9CDMG|aRCR
19	21153 12624	   	178.93	DCR|1BASARM|2BEXP|1VULN|1DMG|1CDMG	16BEXP|2RCVC|3CGEN|4BASARM|5VULN|7DUR|8DMG|9CDMG|aRCR
20	44162 13312	 * 	177.95	DCR|3VULN|2ASPD|2BEXP|1DMG	178VULN|2CGEN|37ASPD|4AIRARM|5DMG|67BEXP|7BPWR|9MBVNT|aRCR
21	22344 53212	 * 	177.79	ACR|1BASARM|2BEXP|1AART	1aBEXP|2LIT|3SNIFST|4RCR|5SPLREG|6AART|7RCVC|8ERES|9BASARM
22	22115 45223	 * 	177.78	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	13BEXP|2LIT|4TLV|5RCR|6LHND|7BASICY|8DMG|9ASPD|aAAC
23	22135 45223	   	177.78	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	13BEXP|2LIT|4AME|5RCR|6LHND|7BASICY|8DMG|9ASPD|aAAC
24	22115 55223	   	177.68	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	13BEXP|2LIT|4TLV|5RCR|6DUST|7BASICY|8DMG|9ASPD|aAAC
25	22135 55223	   	177.68	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AAC	13BEXP|2LIT|4AME|5RCR|6DUST|7BASICY|8DMG|9ASPD|aAAC
26	22344 51112	   	176.08	ACR|1BASARM|2BEXP|1AART	1aBEXP|2LIT|3SNIFST|4RCR|5SPLREG|6AART|7ERES|8AEMAG|9BASARM
27	22562 12313	   	175.50	2VULN|1BASARM|3BEXP|2ASPD|1DMG	178BEXP|29LIT|3DMG|4AAC|59VULN|69ASPD|9BPWR|aBASARM
28	11651 23334	   	174.99	DCR|1BASARM|1VULN|2BEXP|1DMG|1CDMG	1ERES|2VULN|3DUST|4BASARM|5CDMG|69BEXP|7DMG|8RMIN|aRCR
29	22342 43123	 * 	174.89	ACR|1BASARM|1VULN|1BEXP|1AART	1BEXP|2LIT|3SNIFST|4RCR|5MDPS|6DLOT|7AART|8DUST|9BASARM|aVULN
30	41126 12325	   	174.62	DCR|2VULN|2ASPD|2DMG|1BEXP	19VULN|2RCVC|37CGEN|49DMG|5LWND|6BEXP|89ASPD|9BPWR|aRCR
31	41121 34125	   	174.62	DCR|2VULN|2ASPD|2DMG|1BEXP	19VULN|2RCVC|3CGEN|49DMG|5BEXP|67ASPD|89LHND|9BPWR|aRCR
32	41121 34225	   	174.62	DCR|2VULN|2ASPD|2DMG|1BEXP	19VULN|2RCVC|3CGEN|49DMG|5BEXP|67ASPD|89DUR|9BPWR|aRCR
33	41121 34325	   	174.62	DCR|2VULN|2ASPD|2DMG|1BEXP	19VULN|2RCVC|3CGEN|49DMG|5BEXP|67ASPD|89FEWX|9BPWR|aRCR
34	41121 42325	   	174.62	DCR|2VULN|2ASPD|2DMG|1BEXP	19VULN|2RCVC|37CGEN|49DMG|5BEXP|6DUR|89ASPD|9BPWR|aRCR
35	41121 62325	   	174.62	DCR|2VULN|2ASPD|2DMG|1BEXP	19VULN|2RCVC|37CGEN|49DMG|5BEXP|6LWND|89ASPD|9BPWR|aRCR
36	22115 26263	   	174.06	ACR|3ASPD|3BEXP	139BEXP|29LIT|4TLV|5RCR|6ZMB|7DMSP|89aASPD|9BPWR
37	22135 26263	   	174.06	ACR|3ASPD|3BEXP	139BEXP|29LIT|4AME|5RCR|6ZMB|7DMSP|89aASPD|9BPWR
38	32425 22263	   	173.96	ACR|3ASPD|3BEXP	19LIT|2ERES|349BEXP|5RCR|6ZMB|7AEFBLL|89aASPD|9BPWR
39	22343 34143	 * 	173.76	ACR|3AART|1VULN|1ASPD|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|6ASPD|79aAART|8VULN
40	22343 34523	   	173.76	ACR|3AART|1VULN|1ASPD|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|6ASPD|78aAART|9VULN
41	22343 33332	 * 	173.31	ACR|2ASPD|1VULN|2CDMG|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|68ASPD|7VULN|9aCDMG
42	22312 35642	 * 	173.04	ACR|2VULN|2DMG|2BEXP	19BEXP|2LIT|39SNIFST|4LHND|5RCR|6aDMG|7MDPS|89VULN|9BPWR
43	22312 53364	 * 	172.90	ACR|2BEXP|1VULN|1ASPD|1AART|1CDMG	16BEXP|2LIT|3SNIFST|4LHND|5RCR|7VULN|8ASPD|9CDMG|aAART
44	22115 26262	 * 	172.06	ACR|3BEXP|2ASPD|1CDMG	139BEXP|29LIT|4TLV|5RCR|6ZMB|7DMSP|89ASPD|9BPWR|aCDMG
45	22135 26262	   	172.06	ACR|3BEXP|2ASPD|1CDMG	139BEXP|29LIT|4AME|5RCR|6ZMB|7DMSP|89ASPD|9BPWR|aCDMG
46	32425 22262	   	171.96	ACR|3BEXP|2ASPD|1CDMG	19LIT|2ERES|349BEXP|5RCR|6ZMB|7AEFBLL|89ASPD|9BPWR|aCDMG
47	22312 53312	   	171.96	ACR|3BEXP|2ASPD|1VULN	169BEXP|2aLIT|3aSNIFST|4LHND|5RCR|7VULN|8aASPD|aBPWR
48	22312 53331	   	171.96	ACR|3BEXP|2ASPD|1VULN	169BEXP|2LIT|39SNIFST|4LHND|5RCR|7VULN|89ASPD|9BPWR|aZMB
49	22312 53333	   	171.96	ACR|3BEXP|2ASPD|1VULN	169BEXP|2aLIT|39SNIFST|4LHND|5RCR|7VULN|89ASPD|9BPWR
50	22312 53335	   	171.86	ACR|3BEXP|2ASPD|1VULN	169BEXP|2LIT|39SNIFST|4LHND|5RCR|7VULN|89ASPD|9BPWR|aAME
51	22312 53336	   	171.86	ACR|3BEXP|2ASPD|1VULN	169BEXP|2LIT|39SNIFST|4LHND|5RCR|7VULN|89ASPD|9BPWR|aLEGI
52	22115 23643	 * 	171.28	ACR|1BASARM|2BEXP|1CDMG	13BEXP|2LIT|4TLV|5RCR|6ZMB|7CGEN|8CDMG|9MDPS|aBASARM
53	22135 23643	   	171.28	ACR|1BASARM|2BEXP|1CDMG	13BEXP|2LIT|4AME|5RCR|6ZMB|7CGEN|8CDMG|9MDPS|aBASARM
54	11162 13612	   	170.74	DCR|2ASPD|2DMG|1VULN|2BEXP	17ERES|2VULN|37ASPD|4AIRARM|58DMG|67BEXP|7BPWR|9MBVNT|aRCR
55	66131 32613	   	170.61	DCR|1BASARM|2ASPD|1DMG|1BEXP	1LHND|2MLV|39ASPD|4BELT|5BASARM|6ERES|7BEXP|8DMG|aRCR
56	44162 13321	 * 	170.58	4VULN|3ASPD|3BEXP|1DMG	1789VULN|2aCGEN|379ASPD|4AIRARM|5DMG|679BEXP|79BPWR
57	44162 13322	   	170.48	4VULN|3ASPD|3BEXP|1DMG	1789VULN|2CGEN|379ASPD|4AIRARM|5DMG|679BEXP|79BPWR|aERES
58	11451 24123	 * 	170.09	DCR|1BASARM|1VULN|2BEXP|1AART|1CDMG	18ERES|2VULN|38LHND|4BASARM|5CDMG|68BEXP|7AART|8BPWR|9DUR|aRCR
59	22115 45222	   	169.48	ACR|2BEXP|1ASPD|1DMG|1BASICY	13BEXP|2LIT|4TLV|5RCR|6LHND|7BASICY|8DMG|9ASPD|aMLV
60	22135 45222	   	169.48	ACR|2BEXP|1ASPD|1DMG|1BASICY	13BEXP|2LIT|4AME|5RCR|6LHND|7BASICY|8DMG|9ASPD|aMLV
61	22115 45221	   	169.38	ACR|2BEXP|1ASPD|1DMG|1BASICY	13BEXP|2LIT|4TLV|5RCR|6LHND|7BASICY|8DMG|9ASPD|aMDPS
62	22115 55222	   	169.38	ACR|2BEXP|1ASPD|1DMG|1BASICY	13BEXP|2LIT|4TLV|5RCR|6DUST|7BASICY|8DMG|9ASPD|aMLV
63	22135 45221	   	169.38	ACR|2BEXP|1ASPD|1DMG|1BASICY	13BEXP|2LIT|4AME|5RCR|6LHND|7BASICY|8DMG|9ASPD|aMDPS
64	22135 55222	   	169.38	ACR|2BEXP|1ASPD|1DMG|1BASICY	13BEXP|2LIT|4AME|5RCR|6DUST|7BASICY|8DMG|9ASPD|aMLV
65	21442 32823	   	169.33	DCR|2VULN|2DMG|2BEXP|1ASPD	19BEXP|2RCVC|3ZMB|49VULN|5TLV|6ASPD|7MBVNT|89DMG|9BPWR|aRCR
66	22342 35612	 * 	169.30	ACR|3BEXP|2VULN|1ASPD	18aBEXP|2aLIT|3SNIFST|4RCR|5MDPS|6AAC|7ASPD|9aVULN|aBPWR
67	22342 36212	 * 	169.30	ACR|3BEXP|2VULN|1DMG	17aBEXP|2aLIT|3SNIFST|4RCR|5MDPS|6AAC|8DMG|9aVULN|aBPWR
68	22115 55221	   	169.28	ACR|2BEXP|1ASPD|1DMG|1BASICY	13BEXP|2LIT|4TLV|5RCR|6DUST|7BASICY|8DMG|9ASPD|aMDPS
69	22135 55221	   	169.28	ACR|2BEXP|1ASPD|1DMG|1BASICY	13BEXP|2LIT|4AME|5RCR|6DUST|7BASICY|8DMG|9ASPD|aMDPS
70	22434 24213	 * 	169.23	DCR|1BASARM|1ASPD|1BASICY|1BEXP|1CDMG	1BEXP|2LIT|3CDMG|4RMIN|5RCVC|6BASICY|7ASPD|8BASARM|9LHND|aRCR
71	22346 36213	 * 	169.22	ACR|1BASARM|1ASPD|1BEXP|1SELL	1BEXP|2LIT|3SNIFST|4RCR|5SELL|6FEWX|7RCVC|8BASARM|9MBVNT|aASPD
72	22312 23331	   	169.00	ACR|2ASPD|2BEXP|1VULN|1AAC	19BEXP|26LIT|39SNIFST|4LHND|5RCR|7VULN|89ASPD|9BPWR|aAAC
73	35151 23322	   	168.98	DCR|1BASARM|1VULN|2BEXP|2AART	17LIT|2VULN|36BEXP|48AART|5DMSP|9BASARM|aRCR
74	35651 23322	   	168.98	DCR|1BASARM|1VULN|2BEXP|2AART	17LIT|2VULN|38AART|46BEXP|5DMSP|9BASARM|aRCR
75	42151 23322	   	168.98	DCR|1BASARM|1VULN|2BEXP|2AART	1VULN|27LIT|36BEXP|48AART|5DMSP|9BASARM|aRCR
76	42651 23322	   	168.98	DCR|1BASARM|1VULN|2BEXP|2AART	1VULN|27LIT|38AART|46BEXP|5DMSP|9BASARM|aRCR
77	21153 13324	 * 	168.80	DCR|2VULN|1BASARM|2BEXP|1CDMG	16BEXP|2RCVC|3CGEN|4BASARM|57VULN|8MDPS|9CDMG|aRCR
78	22115 13523	 * 	168.53	ACR|1BASARM|2BEXP|1VULN	13BEXP|2LIT|4TLV|5RCR|6SPLREG|7BELT|8VULN|9ERES|aBASARM
79	22115 13563	   	168.53	ACR|1BASARM|2BEXP|1VULN	13BEXP|2LIT|4TLV|5RCR|6SPLREG|7BELT|8VULN|9AME|aBASARM
80	22115 63523	   	168.53	ACR|1BASARM|2BEXP|1VULN	13BEXP|2LIT|4TLV|5RCR|6SNIFST|7BELT|8VULN|9ERES|aBASARM
81	22135 13513	   	168.53	ACR|1BASARM|2BEXP|1VULN	13BEXP|2LIT|4AME|5RCR|6SPLREG|7BELT|8VULN|9TLV|aBASARM
82	22135 63513	   	168.53	ACR|1BASARM|2BEXP|1VULN	13BEXP|2LIT|4AME|5RCR|6SNIFST|7BELT|8VULN|9TLV|aBASARM
83	31425 13513	   	168.53	ACR|1BASARM|2BEXP|1VULN	1LIT|2AME|34BEXP|5RCR|6SPLREG|7BELT|8VULN|9TLV|aBASARM
84	32425 13513	   	168.53	ACR|1BASARM|2BEXP|1VULN	1LIT|2ERES|34BEXP|5RCR|6SPLREG|7BELT|8VULN|9TLV|aBASARM
85	11351 22462	 * 	168.40	DCR|2BASARM|1VULN|2BEXP|1CDMG	1ERES|2VULN|39DUR|49BASARM|5CDMG|69BEXP|7DUST|8LHND|9BPWR|aRCR
86	22344 13353	 * 	167.86	ACR|1BASARM|1ASPD|1BEXP	1BEXP|269LIT|3SNIFST|4RCR|5SPLREG|7CGEN|8BASARM|aASPD
87	22346 13151	 * 	167.84	ACR|1VULN|1ASPD|1DMG|1CDMG|1BEXP|1SELL	1BEXP|2LIT|3SNIFST|4RCR|5SELL|6TLV|7DMG|8VULN|9ASPD|aCDMG
88	22344 11353	   	167.76	ACR|1BASARM|1ASPD|1BEXP	1BEXP|269LIT|3SNIFST|4RCR|5SPLREG|7AME|8BASARM|aASPD
89	22344 13338	 * 	167.76	ACR|1BASARM|1DMG|1BEXP	1BEXP|26LIT|3SNIFST|4RCR|5SPLREG|7CGEN|8BASARM|9MBVNT|aDMG
90	22344 26323	   	167.76	ACR|1BASARM|1DMG|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5SPLREG|6DUR|7DMG|8AIRHEL|9LWND|aBASARM
91	22344 36323	   	167.76	ACR|1BASARM|1DMG|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5SPLREG|6LWND|7DMG|8AIRHEL|9LHND|aBASARM
92	23143 35134	   	167.75	DCR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1BEXP|2NUKE|3ASPD|4VULN|5MDPS|6BASARM|7ZMB|8RCVC|9DMG|aRCR
93	22343 31324	   	167.71	ACR|3ASPD|1VULN|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|689ASPD|7DUR|aVULN
94	22343 33322	   	167.71	ACR|3ASPD|1VULN|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|689ASPD|7VULN|aLWND
95	22343 33323	   	167.71	ACR|3ASPD|1VULN|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5aCGEN|689ASPD|7VULN
96	22343 33326	   	167.71	ACR|3ASPD|1VULN|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|689ASPD|7VULN|aZMB
97	22343 35324	   	167.71	ACR|3ASPD|1VULN|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|689ASPD|7LHND|aVULN
98	22344 11338	   	167.66	ACR|1BASARM|1DMG|1BEXP	1BEXP|26LIT|3SNIFST|4RCR|5SPLREG|7AME|8BASARM|9MBVNT|aDMG
99	23143 31134	   	167.65	DCR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1BEXP|2NUKE|3ASPD|4VULN|5MDPS|6BASARM|7ERES|8RCVC|9DMG|aRCR
100	23143 32134	   	167.65	DCR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1BEXP|2NUKE|3ASPD|4VULN|5MDPS|6BASARM|7AME|8RCVC|9DMG|aRCR
101	23143 33134	   	167.65	DCR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1BEXP|2NUKE|3ASPD|4VULN|5MDPS|6BASARM|7TLV|8RCVC|9DMG|aRCR
102	35151 33522	   	167.58	DCR|2VULN|1BASARM|2BEXP|1AART	17LIT|26VULN|36BEXP|4AART|5DMSP|6BPWR|8AEMAG|9BASARM|aRCR
103	22346 35213	   	167.51	ACR|1BASARM|1ASPD|1BEXP|1SELL	1BEXP|2LIT|3SNIFST|4RCR|5SELL|6FEWX|7AEMAG|8BASARM|9MBVNT|aASPD
104	43166 12231	 * 	167.43	DCR|1BASARM|2ASPD|1VULN|1CDMG	1VULN|2NUKE|35ASPD|4SPLREG|6RCVC|7BELT|8BASARM|9CDMG|aRCR
105	22343 34111	   	167.00	ACR|2ASPD|1VULN|1AART|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|69ASPD|7AART|8VULN|aDUR
106	11162 13224	 * 	166.90	DCR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	17ERES|2VULN|37ASPD|4AIRARM|5DMG|67BEXP|7BPWR|8CGEN|9CDMG|aRCR
107	22343 34112	   	166.90	ACR|2ASPD|1VULN|1AART|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|69ASPD|7AART|8VULN|aDUST
108	22343 34114	   	166.90	ACR|2ASPD|1VULN|1AART|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|69ASPD|7AART|8VULN|aMBVNT
109	22343 34115	   	166.90	ACR|2ASPD|1VULN|1AART|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|69ASPD|7AART|8VULN|aLEGI
110	11162 13124	   	166.80	DCR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	17ERES|2VULN|37ASPD|4AIRARM|5DMG|67BEXP|7BPWR|8AME|9CDMG|aRCR
111	22513 22255	   	166.43	DCR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1SELL	1BEXP|2LIT|3DMG|4SELL|5ASPD|6VULN|7FLTFST|8BASARM|9BELT|aRCR
112	22343 31323	 * 	166.41	ACR|3ASPD|1BEXP|1AART	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|689ASPD|7DUR|aAART
113	22225 62342	   	166.36	ACR|2BEXP|1VULN|1DMG|1AART|1AAC	14BEXP|2LIT|3ZMB|5RCR|6MLV|7VULN|8AART|9DMG|aAAC
114	22115 22342	   	166.26	ACR|2BEXP|1VULN|1DMG|1AART|1AAC	13BEXP|2LIT|4TLV|5RCR|6ZMB|7VULN|8AART|9DMG|aAAC
115	22135 22342	   	166.26	ACR|2BEXP|1VULN|1DMG|1AART|1AAC	13BEXP|2LIT|4AME|5RCR|6ZMB|7VULN|8AART|9DMG|aAAC
116	31425 22342	   	166.26	ACR|2BEXP|1VULN|1DMG|1AART|1AAC	1LIT|2AME|34BEXP|5RCR|6ZMB|7VULN|8AART|9DMG|aAAC
117	22343 33336	   	166.03	ACR|2ASPD|1VULN|1BEXP|1CDMG	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|68ASPD|7VULN|9CDMG|aRCVC
118	21342 42314	 * 	166.02	DCR|2BASARM|2BEXP|2CDMG	17BEXP|2RCVC|34CDMG|57DUST|67BASARM|7BPWR|8MDPS|9ZMB|aRCR
119	22343 33333	   	165.71	ACR|2ASPD|1VULN|1BEXP|1CDMG	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|68ASPD|7VULN|9CDMG|aRPLT
120	22343 33335	   	165.71	ACR|2ASPD|1VULN|1BEXP|1CDMG	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|68ASPD|7VULN|9CDMG|aLWND
121	26116 42321	 * 	165.62	3DMG|3BEXP|2ASPD|1VULN|1AART	179BEXP|2MLV|39ASPD|4LHND|5VULN|689DMG|9BPWR|aAART
122	22343 33331	   	165.61	ACR|2ASPD|1VULN|1CDMG|1BEXP	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|68ASPD|7VULN|9CDMG|aERES
123	22343 33334	   	165.61	ACR|2ASPD|1VULN|1BEXP|1CDMG	1BEXP|2LIT|3SNIFST|4RCR|5CGEN|68ASPD|7VULN|9CDMG|aDUST
124	44162 13212	   	165.59	DCR|2VULN|2ASPD|2BEXP|1DMG	17VULN|28CGEN|37ASPD|4AIRARM|5DMG|67BEXP|7BPWR|9MBVNT|aRCR
125	22343 33363	   	165.59	ACR|2ASPD|2BEXP|1VULN	1aBEXP|2LIT|3SNIFST|4RCR|5CGEN|68ASPD|7VULN|9MLV
126	43163 13612	   	165.49	DCR|2VULN|2ASPD|2BEXP|1DMG	17VULN|2NUKE|37ASPD|4SPLREG|5ERES|67BEXP|7BPWR|8DMG|9ZMB|aRCR
127	22342 23622	   	165.49	ACR|2ASPD|2BEXP|1VULN	1aBEXP|2LIT|3aSNIFST|4RCR|5MDPS|6FEWX|7AAC|8VULN|9aASPD|aBPWR
