0	Index      	 *	Score 	Summary	Detail	
1	22513 36431	 * 	201.53	ACR|2VULN|2ASPD|1DMG|1AART|1CDMG	17VULN|2CGEN|37LIT|47ASPD|5RCR|6RPLT|7BPWR|8DMG|9CDMG|aAART
54	23111 42313	 * 	184.93	ACR|1BASARM|1VULN|2BEXP|1AART	1VULN|2LHND|38BEXP|4DUST|5RCR|6AART|7LIT|9ERES|aBASARM
55	24111 42313	   	184.93	ACR|1BASARM|1VULN|2BEXP|1AART	1VULN|2FEWX|38BEXP|4DUST|5RCR|6AART|7LIT|9ERES|aBASARM
56	26311 42313	   	184.93	ACR|1BASARM|1VULN|2BEXP|1AART	1VULN|28BEXP|3LHND|4DUST|5RCR|6AART|7LIT|9ERES|aBASARM
57	31311 42313	   	184.93	ACR|1BASARM|1VULN|2BEXP|1AART	18BEXP|2VULN|3LHND|4DUST|5RCR|6AART|7LIT|9ERES|aBASARM
58	11332 22145	   	184.82	ACR|2VULN|2ASPD|1DMG|1BEXP	1RCVC|28VULN|3LHND|4AIRHEL|5RCR|6DMG|79ASPD|aBEXP
59	22513 46113	 * 	184.59	ACR|3VULN|2ASPD|2BEXP	189VULN|2CGEN|3LIT|4aASPD|5RCR|67BEXP
60	23111 33345	   	184.49	ACR|3VULN|2ASPD|2BEXP	19aVULN|2LHND|39BEXP|4DUST|5RCR|6AEFBLL|7MDPS|89ASPD|9BPWR
61	24111 33345	   	184.49	ACR|3VULN|2ASPD|2BEXP	19aVULN|2FEWX|39BEXP|4DUST|5RCR|6AEFBLL|7MDPS|89ASPD|9BPWR
62	21332 21111	 * 	184.31	ACR|4VULN|2DMG|1CDMG	127aVULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8DUST|9CDMG
63	21332 21311	   	184.31	ACR|4VULN|2DMG|1CDMG	127aVULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8CDMG|9VENICY
64	21332 21331	   	184.31	ACR|4VULN|2DMG|1CDMG	127aVULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8CDMG|9MULARM
65	21332 21361	   	184.31	ACR|4VULN|2DMG|1CDMG	127aVULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8CDMG|9DUST
66	23232 21111	   	184.31	ACR|4VULN|2DMG|1CDMG	137aVULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8DUST|9CDMG
67	23232 21311	   	184.31	ACR|4VULN|2DMG|1CDMG	137aVULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8CDMG|9VENICY
68	23232 21331	   	184.31	ACR|4VULN|2DMG|1CDMG	137aVULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8CDMG|9MULARM
69	23232 21361	   	184.31	ACR|4VULN|2DMG|1CDMG	137aVULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8CDMG|9DUST
70	23111 33343	 * 	184.31	ACR|2VULN|3BEXP|2ASPD	19VULN|2LHND|39aBEXP|4DUST|5RCR|6AEFBLL|7MDPS|89ASPD|9BPWR
71	24111 33344	   	184.31	ACR|2VULN|3BEXP|2ASPD	19VULN|2FEWX|39aBEXP|4DUST|5RCR|6AEFBLL|7MDPS|89ASPD|9BPWR
72	22355 12112	 * 	183.85	ACR|5VULN|1ASPD|2CDMG	1478aVULN|2CGEN|37CDMG|5RCR|67FEWX|7BPWR|9ASPD
73	22355 22112	   	183.85	ACR|5VULN|2CDMG|1ASPD	1478aVULN|2CGEN|37CDMG|5RCR|67LWND|7BPWR|9ASPD
74	22355 12111	 * 	183.33	ACR|4VULN|3CDMG|1ASPD	1478VULN|2CGEN|37aCDMG|5RCR|67FEWX|7BPWR|9ASPD
75	22355 22111	   	183.33	ACR|4VULN|3CDMG|1ASPD	1478VULN|2CGEN|37aCDMG|5RCR|67LWND|7BPWR|9ASPD
76	22513 36235	   	183.30	ACR|2VULN|2ASPD|1DMG|1CDMG	17VULN|2CGEN|37LIT|47ASPD|5RCR|6RPLT|7BPWR|8FEWX|9CDMG|aDMG
77	22513 36432	   	183.30	ACR|2VULN|2ASPD|1DMG|1CDMG	17VULN|2CGEN|37LIT|47ASPD|5RCR|6RPLT|7BPWR|8DMG|9CDMG|aRMIN
78	21332 21611	   	183.25	ACR|3VULN|3DMG|1AAC	127VULN|3LHND|47AIRHEL|5RCR|678DMG|7BPWR|9SPLREG|aAAC
79	23232 21611	   	183.25	ACR|3VULN|3DMG|1AAC	137VULN|2LHND|47AIRHEL|5RCR|678DMG|7BPWR|9SPLREG|aAAC
80	11332 22166	   	183.23	ACR|2VULN|1ASPD|1DMG|1BEXP|1AART	1RCVC|28VULN|3LHND|4AIRHEL|5RCR|6DMG|7ASPD|9AART|aBEXP
81	22513 36433	   	183.20	ACR|2VULN|2ASPD|1DMG|1CDMG	17VULN|2CGEN|37LIT|47ASPD|5RCR|6RPLT|7BPWR|8DMG|9CDMG|aLEGI
82	22315 63411	 * 	183.13	ACR|2VULN|1ASPD|1DMG|1BASICY|1CDMG	1aVULN|2CGEN|3CDMG|4DMSP|5RCR|6DMG|7SPLARM|8BASICY|9ASPD
83	22335 63411	   	183.03	ACR|2VULN|1ASPD|1DMG|1BASICY|1CDMG	1aVULN|2CGEN|3CDMG|4AEFBLL|5RCR|6DMG|7SPLARM|8BASICY|9ASPD
84	11332 22163	   	182.80	ACR|3VULN|1ASPD|1DMG|1AART	1RCVC|28aVULN|3LHND|4AIRHEL|5RCR|6DMG|7ASPD|9AART
85	22355 12232	 * 	182.78	ACR|3VULN|2DMG|2CDMG	147VULN|2CGEN|37CDMG|5RCR|67FEWX|7BPWR|8DUR|9aDMG
86	22355 12332	   	182.78	ACR|3VULN|2DMG|2CDMG	147VULN|2CGEN|37CDMG|5RCR|67FEWX|7BPWR|8LWND|9aDMG
87	22355 22232	   	182.78	ACR|3VULN|2DMG|2CDMG	147VULN|2CGEN|37CDMG|5RCR|67LWND|7BPWR|8DUR|9aDMG
88	22355 12532	   	182.68	ACR|3VULN|2DMG|2CDMG	147VULN|2CGEN|37CDMG|5RCR|67FEWX|7BPWR|8MBVNT|9aDMG
89	22355 22532	   	182.68	ACR|3VULN|2DMG|2CDMG	147VULN|2CGEN|37CDMG|5RCR|67LWND|7BPWR|8MBVNT|9aDMG
90	22513 44231	   	182.06	ACR|2ASPD|1VULN|2BEXP|1DMG	1VULN|2CGEN|3LIT|4aASPD|5RCR|69BEXP|7DMG|8LWND
91	22513 44331	   	182.06	ACR|2ASPD|1VULN|2BEXP|1DMG	1VULN|2CGEN|3LIT|4aASPD|5RCR|69BEXP|7DMG|8FEWX
92	22355 12335	 * 	181.99	ACR|3VULN|1DMG|2CDMG|1AART	147VULN|2CGEN|37CDMG|5RCR|67FEWX|7BPWR|8LWND|9DMG|aAART
93	22355 22235	   	181.99	ACR|3VULN|2CDMG|1DMG|1AART	147VULN|2CGEN|37CDMG|5RCR|67LWND|7BPWR|8DUR|9DMG|aAART
94	22355 22335	   	181.99	ACR|3VULN|2CDMG|1DMG|1AART	147VULN|2CGEN|37CDMG|5RCR|67LWND|7BPWR|8LHND|9DMG|aAART
95	22355 12534	   	181.89	ACR|3VULN|1DMG|2CDMG|1AART	147VULN|2CGEN|37CDMG|5RCR|67FEWX|7BPWR|8MBVNT|9DMG|aAART
96	22355 22534	   	181.89	ACR|3VULN|1DMG|2CDMG|1AART	147VULN|2CGEN|37CDMG|5RCR|67LWND|7BPWR|8MBVNT|9DMG|aAART
97	21332 22345	   	181.83	ACR|2VULN|2ASPD|1DMG|1BEXP	12VULN|3LHND|4AIRHEL|5RCR|6DMG|79ASPD|8RCVC|aBEXP
98	23232 22345	   	181.83	ACR|2VULN|2ASPD|1DMG|1BEXP	13VULN|2LHND|4AIRHEL|5RCR|6DMG|79ASPD|8RCVC|aBEXP
99	22513 31431	   	181.47	ACR|2VULN|1ASPD|1DMG|1CDMG|1AART	17VULN|2CGEN|3LIT|4ASPD|5RCR|6RPLT|8DMG|9CDMG|aAART
100	22513 13624	 * 	181.00	ACR|3ASPD|2VULN|1AART	1aVULN|2CGEN|3aLIT|49aASPD|5RCR|6AART|7MDPS|8AAC|aBPWR
101	22513 44132	   	180.75	ACR|2VULN|2ASPD|1DMG|1BEXP	19VULN|2CGEN|3LIT|4aASPD|5RCR|6BEXP|7DMG|8RPLT
102	33152 33625	   	180.75	ACR|2ASPD|2VULN|1DMG|1BEXP	1BEXP|2DMSP|3aDUR|4MSLFST|5RCR|6ERES|7aVULN|8DMG|9aASPD|aBPWR
103	32152 22211	 * 	180.55	ACR|3VULN|2BEXP|1DMG|1CDMG	13BEXP|2LWND|4MSLFST|5RCR|6DMG|78aVULN|9CDMG
104	34152 22211	   	180.55	ACR|3VULN|2BEXP|1DMG|1CDMG	13BEXP|2FEWX|4MSLFST|5RCR|6DMG|78aVULN|9CDMG
105	34311 63411	 * 	180.54	ACR|1BASARM|2DMG|1BEXP	1BEXP|2FEWX|3LWND|4DUST|5RCR|6VENTOX|78DMG|9BASARM|aZMB
106	34311 63413	   	180.54	ACR|1BASARM|2DMG|1BEXP	1BEXP|2FEWX|3LWND|4DUST|5RCR|6VENTOX|78DMG|9BASARM|aMLV
107	34311 63431	   	180.54	ACR|1BASARM|2DMG|1BEXP	1BEXP|2FEWX|3LWND|4DUST|5RCR|6VENTOX|78DMG|9MLV|aBASARM
108	22513 46133	 * 	180.47	ACR|2VULN|3BEXP|1ASPD|1CDMG	18VULN|2CGEN|3LIT|4ASPD|5RCR|679BEXP|aCDMG
109	34311 63412	   	180.44	ACR|1BASARM|2DMG|1BEXP	1BEXP|2FEWX|3LWND|4DUST|5RCR|6VENTOX|78DMG|9BASARM|aERES
110	34311 63421	   	180.44	ACR|1BASARM|2DMG|1BEXP	1BEXP|2FEWX|3LWND|4DUST|5RCR|6VENTOX|78DMG|9ERES|aBASARM
111	21332 22366	   	180.24	ACR|2VULN|1ASPD|1DMG|1BEXP|1AART	12VULN|3LHND|4AIRHEL|5RCR|6DMG|7ASPD|8RCVC|9AART|aBEXP
112	23232 22366	   	180.24	ACR|2VULN|1ASPD|1DMG|1BEXP|1AART	13VULN|2LHND|4AIRHEL|5RCR|6DMG|7ASPD|8RCVC|9AART|aBEXP
113	22355 11141	 * 	180.22	ACR|2VULN|1BASARM|1BEXP|1CDMG	14VULN|2CGEN|3CDMG|5RCR|6FEWX|7DUR|8BEXP|9FLTFST|aBASARM
114	22355 11331	   	180.22	ACR|2VULN|1BASARM|1BEXP|1CDMG	14VULN|2CGEN|3CDMG|5RCR|6FEWX|7DUR|8MSLREG|9BEXP|aBASARM
115	22355 21141	   	180.22	ACR|2VULN|1BASARM|1BEXP|1CDMG	14VULN|2CGEN|3CDMG|5RCR|6LWND|7DUR|8BEXP|9FLTFST|aBASARM
116	22355 24331	   	180.22	ACR|2VULN|1BASARM|1BEXP|1CDMG	14VULN|2CGEN|3CDMG|5RCR|6LWND|7FEWX|8MSLREG|9BEXP|aBASARM
117	22315 36241	   	179.91	ACR|1BASARM|1VULN|1AART|1CDMG|1AAC	1VULN|2CGEN|3CDMG|4DMSP|5RCR|6RPLT|7BELT|8BASARM|9AART|aAAC
118	21332 22363	   	179.82	ACR|3VULN|1ASPD|1DMG|1AART	12aVULN|3LHND|4AIRHEL|5RCR|6DMG|7ASPD|8RCVC|9AART
119	23232 22363	   	179.82	ACR|3VULN|1ASPD|1DMG|1AART	13aVULN|2LHND|4AIRHEL|5RCR|6DMG|7ASPD|8RCVC|9AART
120	22335 36241	   	179.81	ACR|1BASARM|1VULN|1AART|1CDMG|1AAC	1VULN|2CGEN|3CDMG|4AEFBLL|5RCR|6RPLT|7BELT|8BASARM|9AART|aAAC
121	11332 21243	   	179.57	ACR|2VULN|2DMG|1ASPD|1AAC	1RCVC|27VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8RMIN|9ASPD|aAAC
122	11332 21543	   	179.57	ACR|2VULN|2DMG|1ASPD|1AAC	1RCVC|27VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8MLV|9ASPD|aAAC
123	11332 22146	   	179.47	ACR|2VULN|2ASPD|1DMG|1AAC	1RCVC|28VULN|3LHND|4AIRHEL|5RCR|6DMG|79ASPD|aAAC
124	21332 21242	   	179.46	ACR|3VULN|2DMG|1ASPD	127VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8RMIN|9ASPD|aCGEN
125	21332 21245	   	179.46	ACR|3VULN|2DMG|1ASPD	127VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8RMIN|9ASPD|aFEWX
126	21332 21542	   	179.46	ACR|3VULN|2DMG|1ASPD	127VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8MLV|9ASPD|aCGEN
127	21332 21544	   	179.46	ACR|3VULN|2DMG|1ASPD	127VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8MLV|9ASPD|aDMSP
128	23232 21242	   	179.46	ACR|3VULN|2DMG|1ASPD	137VULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8RMIN|9ASPD|aCGEN
129	23232 21245	   	179.46	ACR|3VULN|2DMG|1ASPD	137VULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8RMIN|9ASPD|aFEWX
130	23232 21542	   	179.46	ACR|3VULN|2DMG|1ASPD	137VULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8MLV|9ASPD|aCGEN
131	23232 21544	   	179.46	ACR|3VULN|2DMG|1ASPD	137VULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8MLV|9ASPD|aDMSP
132	26611 42311	 * 	179.41	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1VULN|2BEXP|3LWND|4DUST|5RCR|6AART|7RPLT|8ASPD|9DMG|aCDMG
133	31611 42311	   	179.41	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1BEXP|2VULN|3LWND|4DUST|5RCR|6AART|7RPLT|8ASPD|9DMG|aCDMG
134	51111 42311	   	179.41	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1LWND|2VULN|3BEXP|4DUST|5RCR|6AART|7RPLT|8ASPD|9DMG|aCDMG
135	21332 21241	   	179.36	ACR|3VULN|2DMG|1ASPD	127VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8RMIN|9ASPD|aDUST
136	21332 21244	   	179.36	ACR|3VULN|2DMG|1ASPD	127VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8RMIN|9ASPD|aLEGI
137	21332 21541	   	179.36	ACR|3VULN|2DMG|1ASPD	127VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8MLV|9ASPD|aDUST
138	21332 21545	   	179.36	ACR|3VULN|2DMG|1ASPD	127VULN|3LHND|47AIRHEL|5RCR|67DMG|7BPWR|8MLV|9ASPD|aAME
139	23232 21241	   	179.36	ACR|3VULN|2DMG|1ASPD	137VULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8RMIN|9ASPD|aDUST
140	23232 21244	   	179.36	ACR|3VULN|2DMG|1ASPD	137VULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8RMIN|9ASPD|aLEGI
141	23232 21541	   	179.36	ACR|3VULN|2DMG|1ASPD	137VULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8MLV|9ASPD|aDUST
142	23232 21545	   	179.36	ACR|3VULN|2DMG|1ASPD	137VULN|2LHND|47AIRHEL|5RCR|67DMG|7BPWR|8MLV|9ASPD|aAME
143	21332 22143	   	179.36	ACR|3VULN|2ASPD|1DMG	128VULN|3LHND|4AIRHEL|5RCR|6DMG|79ASPD|aDUR
144	21332 22144	   	179.36	ACR|3VULN|2ASPD|1DMG	128VULN|3LHND|4AIRHEL|5RCR|6DMG|79ASPD|aRMIN
145	23232 22143	   	179.36	ACR|3VULN|2ASPD|1DMG	138VULN|2LHND|4AIRHEL|5RCR|6DMG|79ASPD|aDUR
146	23232 22144	   	179.36	ACR|3VULN|2ASPD|1DMG	138VULN|2LHND|4AIRHEL|5RCR|6DMG|79ASPD|aRMIN
147	21332 22141	   	179.26	ACR|3VULN|2ASPD|1DMG	128VULN|3LHND|4AIRHEL|5RCR|6DMG|79ASPD|aMDPS
148	21332 22142	   	179.26	ACR|3VULN|2ASPD|1DMG	128VULN|3LHND|4AIRHEL|5RCR|6DMG|79ASPD|aDUST
149	23232 22141	   	179.26	ACR|3VULN|2ASPD|1DMG	138VULN|2LHND|4AIRHEL|5RCR|6DMG|79ASPD|aMDPS
150	23232 22142	   	179.26	ACR|3VULN|2ASPD|1DMG	138VULN|2LHND|4AIRHEL|5RCR|6DMG|79ASPD|aDUST
151	22513 36631	   	179.09	ACR|2VULN|2ASPD|1AART|1CDMG	17VULN|2CGEN|37LIT|47ASPD|5RCR|6RPLT|7BPWR|8AME|9CDMG|aAART
152	31611 42316	   	179.06	ACR|2VULN|1ASPD|1DMG|1BEXP|1AART	1BEXP|2aVULN|3LWND|4DUST|5RCR|6AART|7RPLT|8ASPD|9DMG
153	51111 42316	   	179.06	ACR|2VULN|1ASPD|1DMG|1BEXP|1AART	1LWND|2aVULN|3BEXP|4DUST|5RCR|6AART|7RPLT|8ASPD|9DMG
154	23111 22331	 * 	179.04	ACR|2VULN|1BASARM|2BEXP	18VULN|2LHND|38BEXP|4DUST|5RCR|6SNIHEL|78CGEN|8BPWR|9BASARM|aZMB
155	23111 22335	   	179.04	ACR|2VULN|1BASARM|2BEXP	18VULN|2LHND|38BEXP|4DUST|5RCR|6SNIHEL|78CGEN|8BPWR|9BASARM|aMLV
156	23111 22336	   	179.04	ACR|2VULN|1BASARM|2BEXP	18VULN|2LHND|38BEXP|4DUST|5RCR|6SNIHEL|78CGEN|8BPWR|9BASARM|aRMIN
157	23111 62331	   	179.04	ACR|2VULN|1BASARM|2BEXP	18VULN|2LHND|38BEXP|4DUST|5RCR|6MSLREG|78CGEN|8BPWR|9BASARM|aZMB
158	23111 62335	   	179.04	ACR|2VULN|1BASARM|2BEXP	18VULN|2LHND|38BEXP|4DUST|5RCR|6MSLREG|78CGEN|8BPWR|9BASARM|aMLV
159	23111 62336	   	179.04	ACR|2VULN|1BASARM|2BEXP	18VULN|2LHND|38BEXP|4DUST|5RCR|6MSLREG|78CGEN|8BPWR|9BASARM|aRMIN
160	33352 33561	   	179.04	ACR|1BASARM|2VULN|2BEXP	18BEXP|2DMSP|38LWND|4MSLFST|5RCR|6ERES|78VULN|8BPWR|9RPLT|aBASARM
