0	Index      	 *	Score 	Summary	Detail	
1	52322 41263	 * 	223.11	ACR|1BASARM|2VULN|2AART|1ASPD|1AAC	1MDPS|2ASPD|3CGEN|4aVULN|5RCR|6AAC|7BASARM|89AART
28	35631 32151	   	193.56	ACR|1BASARM|2BEXP|1DMG|1VULN	14aMLV|2AEMAG|38BEXP|5RCR|6DMG|7BASARM|9VULN
29	35631 32152	   	193.56	ACR|1BASARM|2BEXP|1DMG|1VULN	14MLV|2AEMAG|38BEXP|5RCR|6DMG|7BASARM|9VULN|aFEWX
30	35631 32153	   	193.56	ACR|1BASARM|2BEXP|1DMG|1VULN	14MLV|2AEMAG|38BEXP|5RCR|6DMG|7BASARM|9VULN|aZMB
31	35661 32321	   	193.56	ACR|1BASARM|2BEXP|1DMG|1VULN	1MLV|2AEMAG|34BEXP|5RCR|6DMG|7BASARM|8RMIN|9VULN|aDUR
32	35661 32322	   	193.56	ACR|1BASARM|2BEXP|1DMG|1VULN	1MLV|2AEMAG|34BEXP|5RCR|6DMG|7BASARM|8RMIN|9VULN|aCGEN
33	35631 32113	   	193.44	ACR|1BASARM|2BEXP|1DMG|1AART	14MLV|2AEMAG|38BEXP|5RCR|6DMG|7BASARM|9AART|aCGEN
34	35631 32522	   	193.44	ACR|1BASARM|2BEXP|1DMG|1AART	14aMLV|2AEMAG|3aBEXP|5RCR|6DMG|7BASARM|8aMSLREG|9AART|aBPWR
35	35631 32112	   	193.34	ACR|1BASARM|2BEXP|1DMG|1AART	14MLV|2AEMAG|38BEXP|5RCR|6DMG|7BASARM|9AART|aTLV
36	35631 32114	   	193.34	ACR|1BASARM|2BEXP|1DMG|1AART	14MLV|2aAEMAG|38BEXP|5RCR|6DMG|7BASARM|9AART
37	35631 32115	   	193.34	ACR|1BASARM|2BEXP|1DMG|1AART	14MLV|2AEMAG|38BEXP|5RCR|6DMG|7BASARM|9AART|aERES
38	52322 41224	   	193.33	ACR|1BASARM|1VULN|1ASPD|1AART|1AAC	1MDPS|2ASPD|3CGEN|4VULN|5RCR|6AAC|7BASARM|8AART|9DUR|aRCVC
