0	Index      	 *	Score 	Summary	Detail	
1	56632 22122	 * 	205.64	ACR|3ASPD|2DMG|2BEXP	138MLV|23aASPD|3aBPWR|4RCR|5CGEN|6aBEXP|7aDMG|9RPLT
38	56633 31322	   	179.33	ACR|3ASPD|2VULN|1DMG	13MLV|236ASPD|36BPWR|4RCR|56VULN|7DUR|8MDPS|9CGEN|aDMG
39	56632 13113	   	179.22	ACR|2ASPD|1DMG|1BEXP|1AART|1AAC	13MLV|23ASPD|3BPWR|4RCR|5CGEN|6FLTFST|7AART|8BEXP|9AAC|aDMG
40	55632 22213	 * 	179.16	ACR|3DMG|3BEXP	138MLV|237DMG|38BPWR|4RCR|58CGEN|68aBEXP|9AME
41	56633 13133	   	179.14	ACR|2ASPD|2BEXP|1DMG|1VULN	138MLV|23ASPD|3BPWR|4RCR|5VULN|67BEXP|9LHND|aDMG
42	56631 13113	   	179.12	ACR|2ASPD|1DMG|1AART|1BEXP|1AAC	13MLV|23ASPD|3BPWR|4RCR|5NUKE|6MSLFST|7AART|8BEXP|9AAC|aDMG
43	55632 22323	   	179.06	ACR|3DMG|3BEXP	13MLV|237DMG|3BPWR|4RCR|5CGEN|69aBEXP|8LWND
44	55631 21332	   	178.94	ACR|2DMG|2BEXP|1BASICY|1VULN	13MLV|23DMG|3BPWR|4RCR|5NUKE|68BEXP|7DUST|9BASICY|aVULN
45	55633 11131	   	177.95	ACR|2DMG|1ASPD|1CDMG|1BEXP|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6BEXP|7CDMG|8ASPD|9CGEN|aRCVC
46	55633 11133	   	177.95	ACR|2DMG|1ASPD|1CDMG|1BEXP|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6BEXP|7CDMG|8ASPD|9CGEN|aFEWX
47	55633 21131	   	177.95	ACR|2DMG|1ASPD|1CDMG|1BEXP|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6CDMG|7BEXP|8ASPD|9CGEN|aRCVC
48	55633 21133	   	177.95	ACR|2DMG|1ASPD|1CDMG|1BEXP|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6CDMG|7BEXP|8ASPD|9CGEN|aFEWX
49	55633 11113	   	177.85	ACR|2DMG|1ASPD|1BEXP|1CDMG|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6BEXP|7CDMG|8ASPD|9DUST|aRMIN
50	55633 11121	   	177.85	ACR|2DMG|1ASPD|1BEXP|1CDMG|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6BEXP|7CDMG|8ASPD|9AME|aRCVC
51	55633 11123	   	177.85	ACR|2DMG|1ASPD|1BEXP|1CDMG|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6BEXP|7CDMG|8ASPD|9AME|aFEWX
52	55633 21113	   	177.85	ACR|2DMG|1ASPD|1BEXP|1CDMG|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6CDMG|7BEXP|8ASPD|9DUST|aRMIN
53	55633 21121	   	177.85	ACR|2DMG|1ASPD|1BEXP|1CDMG|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6CDMG|7BEXP|8ASPD|9AME|aRCVC
54	55633 21123	   	177.85	ACR|2DMG|1ASPD|1BEXP|1CDMG|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6CDMG|7BEXP|8ASPD|9AME|aFEWX
55	26361 22236	 * 	177.84	DCR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	1ERES|25ASPD|3CGEN|4AART|6LHND|7BEXP|8CDMG|9BASARM|aRCR
56	55633 11112	   	177.75	ACR|2DMG|1ASPD|1BEXP|1CDMG|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6BEXP|7CDMG|8ASPD|9DUST|aDLOT
57	55633 21112	   	177.75	ACR|2DMG|1ASPD|1BEXP|1CDMG|1VULN	13MLV|23DMG|3BPWR|4RCR|5VULN|6CDMG|7BEXP|8ASPD|9DUST|aDLOT
58	66133 12336	 * 	177.74	DCR|1BASARM|2DMG|1AART|1BEXP|1CDMG	1LWND|2AART|3BEXP|4CDMG|5TLV|68DMG|7ERES|9BASARM|aRCR
59	55633 22111	   	177.23	ACR|2DMG|2VULN|1ASPD|1CDMG	13MLV|23DMG|3BPWR|4RCR|5aVULN|6CDMG|7DUR|8ASPD|9DUST
60	55633 23141	   	177.23	ACR|2DMG|2VULN|1ASPD|1CDMG	13MLV|23DMG|3BPWR|4RCR|59VULN|6CDMG|7MBVNT|8ASPD|aLWND
61	55633 23143	   	177.23	ACR|2DMG|2VULN|1ASPD|1CDMG	13MLV|23DMG|3BPWR|4RCR|59VULN|6CDMG|7MBVNT|8ASPD|aRMIN
62	55633 23144	   	177.23	ACR|2DMG|2VULN|1ASPD|1CDMG	13MLV|23DMG|3BPWR|4RCR|59VULN|6CDMG|7MBVNT|8ASPD|aFEWX
63	56632 32122	   	177.16	ACR|3ASPD|2DMG	138MLV|23aASPD|3aBPWR|4RCR|5CGEN|6aFEWX|7aDMG|9RPLT
64	55633 23111	   	177.13	ACR|2DMG|2VULN|1ASPD|1CDMG	13MLV|23DMG|3BPWR|4RCR|5aVULN|6CDMG|7MBVNT|8ASPD|9DUST
65	55633 23142	   	177.13	ACR|2DMG|2VULN|1ASPD|1CDMG	13MLV|23DMG|3BPWR|4RCR|59VULN|6CDMG|7MBVNT|8ASPD|aDLOT
