0	Index      	 *	Score 	Summary	Detail	
1	53412 13325	 * 	291.89	橙橙2易伤1等级1伤害	1等级2赏金塔3敌人爆炸45易伤6伤害7a核8基地爆炸9最后敌人
30	54222 32131	   	266.11	橙3易伤1等级1矿等1攻速	1等级2敌人爆炸3时间4矿等5随机技能689易伤7攻速a核
31	43253 41623	   	266.08	橙3易伤2矿等2伤害	17a易伤2金币生成3立即金币47矿等5加一67伤害7序列升级8雷电9核
32	55222 32131	   	266.01	橙3易伤1等级1矿等1攻速	1等级2基地爆炸3时间4矿等5随机技能689易伤7攻速a核
33	53315 13325	   	265.58	橙橙1等级1易伤1伤害	1等级2赏金塔3易伤4火球减费5敌人爆炸6伤害7a核8基地爆炸9最后敌人
34	22225 12313	 * 	265.55	橙3易伤1等级2攻速1矿等	1平台27攻速37最后敌人4等级5挖尘678易伤7序列升级9核a矿等
35	53111 13335	   	265.38	橙橙1等级1易伤1伤害	1等级2赏金塔358基地爆炸4易伤6伤害7a核9暴雪减费
36	23231 22312	   	265.29	橙3易伤2矿等1伤害1技能	1平台278易伤3最后敌人47挖尘5技能67矿等7序列升级9核a伤害
37	24615 12312	   	265.19	橙3易伤2矿等1伤害1技能	1平台2挖青3技能47矿等57挖尘678易伤7序列升级9核a伤害
38	16271 34454	 * 	264.85	橙橙1易伤2攻速1暴击	1随机矿29攻速3加一4暴击5基地爆炸6随机技能78核a易伤
39	23231 22314	 * 	264.39	橙4易伤2矿等1技能	1平台278a易伤3最后敌人47挖尘5技能67矿等7序列升级9核
40	54532 22222	 * 	264.03	紫橙1等级1易伤1矿等1伤害1卖塔	1等级2敌人爆炸3卖塔4随机技能59核6易伤7矿等8伤害a策反
41	63532 22225	 * 	264.03	紫橙1易伤1等级1矿等1伤害1卖塔	1敌人爆炸2金币生成3卖塔4随机技能59核6易伤7矿等8伤害a等级
42	54532 22223	 * 	263.93	紫橙1易伤1等级1矿等1伤害1卖塔	1等级2敌人爆炸3卖塔4随机技能59核6易伤7矿等8伤害a毒气减费
43	11532 22225	 * 	263.93	紫橙1等级1易伤1矿等1伤害1卖塔	1随机矿2挖尘3卖塔4随机技能59核6易伤7矿等8伤害a等级
44	13532 22225	 * 	263.93	紫橙1等级1易伤1矿等1伤害1卖塔	1随机矿2基地爆炸3卖塔4随机技能59核6易伤7矿等8伤害a等级
45	55532 22222	 * 	263.93	紫橙1等级1易伤1矿等1伤害1卖塔	1等级2基地爆炸3卖塔4随机技能59核6易伤7矿等8伤害a策反
46	55532 22223	 * 	263.83	紫橙1易伤1等级1矿等1伤害1卖塔	1等级2基地爆炸3卖塔4随机技能59核6易伤7矿等8伤害a毒气减费
47	42243 23244	 * 	262.50	橙4易伤2伤害1技能2时间	1389易伤2双倍秒伤4加一58伤害68时间7技能8序列升级a核
48	53232 23435	   	262.41	橙橙1易伤1等级1技能	1等级2赏金塔3技能4金币生成5掉矿6易伤7a核8敌人爆炸9基地爆炸
49	53316 13135	   	262.41	橙橙1等级1易伤1技能	1等级2赏金塔3易伤4火球减费5技能6最后敌人7a核8双倍矿9双倍秒伤
50	53316 13235	   	262.31	橙橙1等级1易伤1技能	1等级2赏金塔3易伤4火球减费5技能6最后敌人7a核8烈焰减费9双倍秒伤
51	52532 13325	 * 	262.08	橙橙1等级1矿等1伤害	1等级2金币生成3矿等4挖青5赏金邻近6伤害7a核8基地爆炸9最后敌人
52	52533 13325	   	262.08	橙橙1等级1矿等1伤害	1等级2金币生成3矿等4挖青5赏金塔6伤害7a核8基地爆炸9最后敌人
