0	Index      	 *	Score 	Summary	Detail	
1	13422 22512	 * 	227.09	紫3易伤2攻速2伤害2基地爆炸	18攻速2掉矿38伤害4导弹对毒5核69基地爆炸78a易伤8序列升级
24	13422 22532	   	202.05	紫2易伤2攻速2伤害1基地爆炸	18攻速2掉矿38伤害4导弹对毒5核6基地爆炸78易伤8序列升级9双倍秒伤a挖青
25	13422 22533	   	202.05	紫2易伤2攻速2伤害1基地爆炸	18攻速2掉矿38伤害4导弹对毒5核6基地爆炸78易伤8序列升级9双倍秒伤a挖尘
26	32422 47424	   	201.40	紫2易伤2攻速2基地爆炸1伤害	1立即金币28易伤3a攻速48激光对绿5核6加一78基地爆炸8序列升级9伤害
27	33126 55313	 * 	201.25	紫1基础对甲2易伤1全技能1暴击1技能	1立即金币2随机矿3技能4火球减费5核6暴击7a易伤8基础对甲9全技能
28	13422 14611	   	200.44	紫1基础对甲1易伤1攻速1伤害1暴击1卖塔	1攻速2掉矿3伤害4导弹对毒5核6卖塔7金币生成8暴击9易伤a基础对甲
29	13422 15611	   	200.34	紫1基础对甲1易伤1攻速1伤害1暴击1卖塔	1攻速2掉矿3伤害4导弹对毒5核6卖塔7等级8暴击9易伤a基础对甲
30	26422 22521	   	200.07	紫3易伤2攻速1伤害1基地爆炸1技能	1技能28金币生成38攻速4导弹对毒5核6基地爆炸78a易伤8序列升级9伤害
31	23122 22515	   	199.29	紫2易伤2伤害2基地爆炸1暴击1技能	1技能28伤害38掉矿4导弹对毒5核69基地爆炸78易伤8序列升级a暴击
32	12222 42287	   	198.98	紫1基础对甲1易伤1攻速1全技能1基地爆炸	1攻速2立即金币3低血量敌人4防空对甲5核6加一7易伤8基地爆炸9基础对甲a全技能
33	13422 22112	   	197.30	紫2伤害2易伤2基地爆炸1攻速	1攻速2掉矿38伤害4导弹对毒5核69基地爆炸7a易伤
34	13422 42614	   	197.30	紫2易伤2攻速2基地爆炸1伤害	18攻速28掉矿3伤害4导弹对毒5核6加一78易伤8序列升级9a基地爆炸
