0	Index      	 *	Score 	Summary	Detail	
1	24111 16512	 * 	296.52	DCR|DCR|2VULN|1TLV|1DMG	1LHND|2LWND|39BEXP|4TLV|5aVULN|6DMG|78RCR
32	43111 16512	   	276.55	DCR|DCR|1VULN|1TLV|1DMG	1LEGI|2DUR|39BEXP|4TLV|5VULN|6DMG|78RCR|aMBVNT
33	43111 16523	   	276.55	DCR|DCR|1VULN|1TLV|1DMG	1LEGI|2DUR|3BEXP|4TLV|5VULN|6DMG|78RCR|9MDPS|aDUST
34	16112 41351	 * 	275.50	DCR|2VULN|2MLV|2DMG|2ASPD	1aMLV|28ASPD|3TBNT|4aDMG|5BBNT|6MDPS|7RCR|9aVULN|aBPWR
35	14216 36434	   	274.58	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2AEPOI|3FEWX|4TLV|5CGEN|6VULN|7MBVNT|8LHND|9aRCR
36	14216 36334	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2AEPOI|3FEWX|4TLV|5CGEN|6VULN|7MBVNT|8LEGI|9aRCR
37	15133 34122	 * 	274.20	DCR|3MLV|3DMG|2TLV	14aMLV|2AART|38ERES|56aDMG|7RCR|9aTLV|aBPWR
38	11115 46223	   	273.94	DCR|3MLV|3ASPD|1VULN|2DUR|2RAT	18aMLV|28RAT|36DUR|4VULN|589ASPD|7RCR|8BPWR
39	11115 26222	   	273.33	DCR|2MLV|3ASPD|1VULN|1DMG|2RAT	18MLV|28RAT|3DUR|4VULN|568ASPD|7RCR|8BPWR|9DMG|aAART
40	16336 33512	 * 	272.85	ACR|3VULN|2MLV|2TLV|1AAC|1ASPD	19MLV|2ASPD|3RCR|479VULN|5AAC|69TLV|8AETHUN|9BPWR|aRMIN
41	16336 33513	   	272.85	ACR|3VULN|2MLV|2TLV|1AAC|1ASPD	19MLV|2ASPD|3RCR|479VULN|5AAC|69TLV|8AETHUN|9BPWR|aLWND
42	16336 33511	   	272.75	ACR|3VULN|2MLV|2TLV|1AAC|1ASPD	19MLV|2ASPD|3RCR|479VULN|5AAC|69TLV|8AETHUN|9BPWR|aERES
43	35244 74642	 * 	272.71	ACR|DCR|1VULN|1TLV|2ASPD|1AAC|2RAT	19RAT|29DUST|3MBVNT|4VULN|5aRCR|6AAC|7TLV|89ASPD|9BPWR
44	35233 42863	   	271.57	DCR|DCR|1VULN|1TLV|1ASPD	1RAT|2DUST|3MBVNT|4ASPD|5CGEN|6TLV|7FEWX|89RCR|aVULN
45	11115 26226	 * 	271.33	DCR|2MLV|3ASPD|1VULN|1DMG|3RAT	18MLV|28aRAT|3DUR|4VULN|568ASPD|7RCR|8BPWR|9DMG
46	13311 16531	   	270.96	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9RCVC|aLWND
47	13311 16534	   	270.96	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9RCVC|aAME
48	13311 16535	   	270.96	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9RCVC|aRPLT
49	13311 16511	   	270.86	DCR|DCR|1VULN|1MLV|1DMG	1MLV|29BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|aLWND
50	13311 16514	   	270.86	DCR|DCR|1VULN|1MLV|1DMG	1MLV|29BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|aAME
51	13311 16515	   	270.86	DCR|DCR|1VULN|1MLV|1DMG	1MLV|29BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|aRPLT
52	13311 16521	   	270.86	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9MDPS|aLHND
53	13311 16532	   	270.86	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9RCVC|aMBVNT
54	13311 16536	   	270.86	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9RCVC|aLEGI
55	13311 16561	   	270.86	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9ERES|aAME
56	13311 16563	   	270.86	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9ERES|aCGEN
57	13311 16512	   	270.76	DCR|DCR|1VULN|1MLV|1DMG	1MLV|29BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|aMBVNT
58	13311 16516	   	270.76	DCR|DCR|1VULN|1MLV|1DMG	1MLV|29BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|aLEGI
59	13311 16523	   	270.76	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9MDPS|aDUST
60	13311 16526	   	270.76	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9MDPS|aERES
61	13311 16542	   	270.76	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9aDUST
62	13311 16562	   	270.76	DCR|DCR|1VULN|1MLV|1DMG	1MLV|2BEXP|3FEWX|4DUR|5VULN|6DMG|78RCR|9aERES
63	44111 36234	 * 	270.76	DCR|DCR|2TLV|1VULN	1LEGI|24TLV|3AEBURN|5FEWX|6VULN|7MBVNT|8DUR|9aRCR
64	13144 13361	 * 	270.32	DCR|DCR|2VULN|1MLV|1SELL	1MLV|2BEXP|3AEBURN|48VULN|5SELL|6TBNT|79RCR|aLIT
65	13144 13362	 * 	270.32	DCR|DCR|2VULN|1MLV|1SELL	1MLV|2BEXP|3AEBURN|48VULN|5SELL|6TBNT|79RCR|aAME
66	13144 13363	 * 	270.22	DCR|DCR|2VULN|1MLV|1SELL|1MSE	1MLV|2BEXP|3AEBURN|48VULN|5SELL|6TBNT|79RCR|aMSE
67	23262 33346	   	269.49	DCR|DCR|1VULN|1MLV|2CDMG	1LHND|25CDMG|3LSRREG|4MLV|6RPLT|7aRCR|8RAT|9VULN
68	24111 16533	   	268.54	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2LWND|3BEXP|4TLV|5VULN|6DMG|78RCR|9BELT|aCGEN
69	23612 23663	   	268.44	DCR|DCR|1VULN|1TLV|2CDMG	1LHND|24CDMG|3AME|5TBNT|6BEXP|79RCR|8TLV|aVULN
70	24111 16511	   	268.44	DCR|DCR|1VULN|1TLV|1DMG	1aLHND|2LWND|39BEXP|4TLV|5VULN|6DMG|78RCR
71	24111 16513	   	268.44	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2LWND|39BEXP|4TLV|5VULN|6DMG|78RCR|aCGEN
72	24111 16521	   	268.44	DCR|DCR|1VULN|1TLV|1DMG	1aLHND|2LWND|3BEXP|4TLV|5VULN|6DMG|78RCR|9MDPS
73	24111 16522	   	268.44	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2LWND|3BEXP|4TLV|5VULN|6DMG|78RCR|9MDPS|aFEWX
74	24111 16532	   	268.44	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2LWND|3BEXP|4TLV|5VULN|6DMG|78RCR|9BELT|aERES
75	11115 46221	   	268.40	DCR|2MLV|3ASPD|1VULN|1AAC|2DUR|2RAT	18MLV|28RAT|36DUR|4VULN|589ASPD|7RCR|8BPWR|aAAC
76	41111 16531	   	268.34	DCR|DCR|1VULN|1TLV|1DMG	1LEGI|2DUST|3BEXP|4TLV|5VULN|6DMG|78RCR|9RCVC|aLWND
77	24111 16523	   	268.34	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2LWND|3BEXP|4TLV|5VULN|6DMG|78RCR|9MDPS|aERES
78	41111 16511	   	268.24	DCR|DCR|1VULN|1TLV|1DMG	1LEGI|2DUST|39BEXP|4TLV|5VULN|6DMG|78RCR|aLWND
79	41111 16521	   	268.24	DCR|DCR|1VULN|1TLV|1DMG	1LEGI|2DUST|3BEXP|4TLV|5VULN|6DMG|78RCR|9MDPS|aLHND
80	41111 16532	   	268.24	DCR|DCR|1VULN|1TLV|1DMG	1LEGI|2DUST|3BEXP|4TLV|5VULN|6DMG|78RCR|9RCVC|aMBVNT
81	41111 16512	   	268.14	DCR|DCR|1VULN|1TLV|1DMG	1LEGI|2DUST|39BEXP|4TLV|5VULN|6DMG|78RCR|aMBVNT
82	41111 16523	   	268.14	DCR|DCR|1VULN|1TLV|1DMG	1LEGI|2aDUST|3BEXP|4TLV|5VULN|6DMG|78RCR|9MDPS
83	24311 26531	   	267.79	DCR|DCR|1VULN|1MLV|1AAC	1LHND|2LWND|3AAC|4DUR|5VULN|6ERES|78RCR|9CGEN|aMLV
84	16151 35133	 * 	266.98	DCR|4VULN|2MLV|1ASPD	18MLV|2ASPD|3TBNT|48FEWX|5BBNT|6RCR|789aVULN|8BPWR
