0	Index      	 *	Score 	Summary	Detail	
1	65323 22371	 * 	310.92	DCR|DCR|2VULN|2MLV|1AAC	1TBNT|28MLV|3AEBURN|47VULN|5MBVNT|69RCR|aAAC
13	21331 65212	   	304.97	DCR|DCR|2VULN|1TLV|1AAC|1ASPD	1AME|2RPLT|3TLV|4BEXP|5AAC|67VULN|8ASPD|9aRCR
14	22131 65212	   	304.73	DCR|DCR|2VULN|1MLV|1DMG|1ASPD	1AME|2DMG|3MLV|4FEWX|5RPLT|67VULN|8ASPD|9aRCR
15	22141 65212	   	304.73	DCR|DCR|2VULN|1MLV|1DMG|1ASPD	1AME|2DMG|3MLV|4LHND|5RPLT|67VULN|8ASPD|9aRCR
16	22111 65212	   	304.63	DCR|DCR|2VULN|1MLV|1DMG|1ASPD	1AME|2DMG|3MLV|4LEGI|5RPLT|67VULN|8ASPD|9aRCR
17	22136 23212	   	304.34	DCR|DCR|2MLV|1VULN|1DMG|1ASPD	1AME|2DMG|35MLV|4FEWX|6VULN|7RPLT|8ASPD|9aRCR
18	21321 15212	   	302.27	DCR|DCR|1VULN|2AAC|1TLV|1ASPD	1AME|2RPLT|3TLV|4DUR|56AAC|7VULN|8ASPD|9aRCR
19	65323 22373	   	300.97	DCR|DCR|2VULN|2MLV	1TBNT|28MLV|3AEBURN|47VULN|5MBVNT|69RCR|aRAT
20	13243 16115	 * 	300.95	DCR|DCR|2VULN|2TLV|2DUR	1RCVC|25VULN|36DUR|48TLV|7aRCR|9LHND
21	13243 16135	   	300.95	DCR|DCR|2VULN|2TLV|2DUR	1RCVC|25VULN|36DUR|48TLV|7aRCR|9LWND
22	22333 63212	 * 	299.62	DCR|DCR|2DMG|1VULN|1TLV|1ASPD	1AME|26DMG|3TLV|4FEWX|5VULN|7RPLT|8ASPD|9aRCR
23	21344 52212	   	296.89	DCR|DCR|1VULN|1TLV|1DMG|1ASPD|2DUR	1AME|2RPLT|3TLV|4DMG|5VULN|67DUR|8ASPD|9aRCR
24	21344 11112	   	296.85	DCR|DCR|2TLV|1VULN|1DMG|1AAC	1AME|2RPLT|38TLV|4DMG|5VULN|6AAC|7FEWX|9aRCR
25	21344 12112	   	296.75	DCR|DCR|2TLV|1VULN|1DMG|1AAC	1AME|2RPLT|38TLV|4DMG|5VULN|6AAC|7AETHUN|9aRCR
26	21344 13112	   	296.75	DCR|DCR|2TLV|1VULN|1DMG|1AAC	1AME|2RPLT|38TLV|4DMG|5VULN|6AAC|7DUST|9aRCR
27	43173 14612	   	296.23	DCR|DCR|1VULN|1TLV|1DMG|1AAC|1CDMG	1FEWX|2CGEN|3MBVNT|4VULN|5CDMG|6AAC|7DMG|8TLV|9aRCR
28	53173 14612	   	296.13	DCR|DCR|1VULN|1TLV|1DMG|1AAC|1CDMG	1BEXP|2CGEN|3MBVNT|4VULN|5CDMG|6AAC|7DMG|8TLV|9aRCR
29	22133 63212	 * 	296.12	DCR|DCR|2DMG|1VULN|1MLV|1ASPD	1AME|26DMG|3MLV|4FEWX|5VULN|7RPLT|8ASPD|9aRCR
30	51173 14612	   	296.03	DCR|DCR|1VULN|1TLV|1DMG|1AAC|1CDMG	1BEXP|2ERES|3MBVNT|4VULN|5CDMG|6AAC|7DMG|8TLV|9aRCR
31	65323 22372	   	294.03	DCR|DCR|2VULN|2MLV	1TBNT|28MLV|3AEBURN|47VULN|5MBVNT|69RCR|aRPLT
32	21311 15212	   	293.96	DCR|DCR|1VULN|1TLV|2AAC|1ASPD	1AME|2RPLT|3TLV|4LWND|56AAC|7VULN|8ASPD|9aRCR
33	21411 15512	   	293.96	DCR|DCR|1VULN|1TLV|2AAC|1ASPD	1AME|2RPLT|3ASPD|4LWND|56AAC|7VULN|8TLV|9aRCR
34	33621 15512	   	293.96	DCR|DCR|1VULN|1TLV|2AAC|1ASPD	1LHND|2CGEN|3RPLT|4ASPD|56AAC|7VULN|8TLV|9aRCR
35	65323 22374	   	293.93	DCR|DCR|2VULN|2MLV	1TBNT|28MLV|3AEBURN|47VULN|5MBVNT|69RCR|aBEXP
36	31621 15512	   	293.86	DCR|DCR|1VULN|1TLV|2AAC|1ASPD	1LHND|2ERES|3RPLT|4ASPD|56AAC|7VULN|8TLV|9aRCR
37	21321 55212	   	293.72	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|2DUR	1AME|2RPLT|3TLV|46DUR|5AAC|7VULN|8ASPD|9aRCR
38	65323 22641	   	293.42	DCR|DCR|2VULN|1MLV|1AAC	1TBNT|2MLV|3AEBURN|47VULN|5MBVNT|6aRCR|8AAC|9AART
39	65323 25341	   	293.02	DCR|DCR|2MLV|1VULN|1AAC	1TBNT|28MLV|3AEBURN|4VULN|5MBVNT|6aRCR|7AAC|9AART
40	65323 22841	   	292.78	DCR|DCR|2VULN|1MLV|1ASPD	1TBNT|2MLV|3AEBURN|47VULN|5MBVNT|6aRCR|8ASPD|9AART
41	26117 13612	   	292.41	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1AME|2VULN|3MBVNT|4LHND|5AAC|6ASPD|7CDMG|8TLV|9aRCR
42	26117 53212	   	292.41	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1AME|2VULN|3MBVNT|4LHND|5AAC|6TLV|7CDMG|8ASPD|9aRCR
43	33177 13612	   	292.41	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1LHND|2CGEN|3MBVNT|4VULN|5AAC|6ASPD|7CDMG|8TLV|9aRCR
44	33177 53212	   	292.41	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1LHND|2CGEN|3MBVNT|4VULN|5AAC|6TLV|7CDMG|8ASPD|9aRCR
45	26127 13612	   	292.31	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1AME|2VULN|3MBVNT|4AETHUN|5AAC|6ASPD|7CDMG|8TLV|9aRCR
46	31177 13612	   	292.31	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1LHND|2ERES|3MBVNT|4VULN|5AAC|6ASPD|7CDMG|8TLV|9aRCR
47	26127 53212	   	292.31	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1AME|2VULN|3MBVNT|4AETHUN|5AAC|6TLV|7CDMG|8ASPD|9aRCR
48	31177 53212	   	292.31	DCR|DCR|1VULN|1TLV|1AAC|1ASPD|1CDMG	1LHND|2ERES|3MBVNT|4VULN|5AAC|6TLV|7CDMG|8ASPD|9aRCR
49	21344 51212	   	290.34	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|2RPLT|3TLV|4DMG|5VULN|6DUR|7RCVC|8ASPD|9aRCR
50	26142 42332	   	287.64	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1AME|2VULN|3MBVNT|4ZMB|5DMG|6TLV|7CDMG|8aRCR|9DUR
51	13243 16215	   	286.68	DCR|DCR|2VULN|1TLV|2DUR	1RCVC|25VULN|36DUR|4TLV|7aRCR|8AEWIND|9LHND
52	13243 16235	   	286.68	DCR|DCR|2VULN|1TLV|2DUR	1RCVC|25VULN|36DUR|4TLV|7aRCR|8AEWIND|9LWND
53	13243 16335	   	286.68	DCR|DCR|2VULN|1TLV|2DUR	19RCVC|25VULN|36DUR|4TLV|7aRCR|8BEXP
54	65323 22271	   	285.11	DCR|DCR|2VULN|1MLV|1AAC	1TBNT|2MLV|3AEBURN|47VULN|5MBVNT|69RCR|8RCVC|aAAC
55	65323 22471	   	285.01	DCR|DCR|2VULN|1MLV|1AAC	1TBNT|2MLV|3AEBURN|47VULN|5MBVNT|69RCR|8AEFRZ|aAAC
56	63366 21231	   	284.43	DCR|DCR|2VULN|1MLV|1ASPD|1SELL	1TBNT|2BBNT|3MLV|49VULN|5ASPD|6aRCR|7FEWX|8SELL
57	63316 24231	   	284.33	DCR|DCR|2VULN|1MLV|1ASPD|1SELL	1TBNT|2BBNT|3MLV|4BEXP|5ASPD|6aRCR|79VULN|8SELL
58	63366 31231	   	284.33	DCR|DCR|2VULN|1MLV|1ASPD|1SELL	1TBNT|2BBNT|3MLV|49VULN|5ASPD|6BEXP|7aRCR|8SELL
59	11521 53512	   	282.68	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1RCVC|2DMG|3FEWX|4CGEN|5VULN|6AAC|7RPLT|8TLV|9aRCR
60	11531 53612	   	282.68	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1RCVC|2DMG|3FEWX|4TLV|5VULN|6AAC|7RPLT|8CGEN|9aRCR
61	21342 21112	   	282.68	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AME|25RPLT|3TLV|4DMG|6LHND|7aRCR|8VULN|9AAC
62	21344 21312	   	282.68	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AME|2RPLT|3TLV|4DMG|5VULN|6RCVC|7aRCR|8LWND|9AAC
63	21344 21632	   	282.68	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AME|2RPLT|3TLV|4DMG|5VULN|6RCVC|7aRCR|8AAC|9LHND
64	21346 21112	   	282.68	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AME|2RPLT|3TLV|4DMG|5LHND|6RCVC|7aRCR|8VULN|9AAC
65	22331 21112	   	282.68	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AME|2DMG|3TLV|4FEWX|5RPLT|6RCVC|7aRCR|8VULN|9AAC
66	22341 21112	   	282.68	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AME|2DMG|3TLV|4LHND|5RPLT|6RCVC|7aRCR|8VULN|9AAC
67	21341 21112	   	282.58	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AME|2RPLT|3TLV|4DMG|5DUST|6RCVC|7aRCR|8VULN|9AAC
68	21342 11112	   	282.58	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AME|25RPLT|3TLV|4DMG|6DUST|7aRCR|8VULN|9AAC
69	21344 21512	   	282.58	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AME|2RPLT|3TLV|4DMG|5VULN|6RCVC|7aRCR|8BEXP|9AAC
70	22311 21112	   	282.58	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AME|2DMG|3TLV|4LEGI|5RPLT|6RCVC|7aRCR|8VULN|9AAC
71	11533 23212	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1RCVC|2DMG|3FEWX|4TLV|5CGEN|6VULN|7RPLT|8ASPD|9aRCR
72	11535 23212	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1RCVC|2DMG|3FEWX|4TLV|5AME|6VULN|7RPLT|8ASPD|9aRCR
73	21342 25212	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|25RPLT|3TLV|4DMG|6LHND|7VULN|8ASPD|9aRCR
74	21344 22212	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|2RPLT|3TLV|4DMG|5VULN|6RCVC|7LWND|8ASPD|9aRCR
75	21344 24212	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|2RPLT|3TLV|4DMG|5VULN|6RCVC|7FEWX|8ASPD|9aRCR
76	21344 61212	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|2RPLT|3TLV|4DMG|5VULN|6LWND|7RCVC|8ASPD|9aRCR
77	21346 25212	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|2RPLT|3TLV|4DMG|5LHND|6RCVC|7VULN|8ASPD|9aRCR
78	21346 61212	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|2RPLT|3TLV|4DMG|5LHND|6VULN|7RCVC|8ASPD|9aRCR
79	22331 61212	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|2DMG|3TLV|4FEWX|5RPLT|6VULN|7RCVC|8ASPD|9aRCR
80	22333 33212	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|2DMG|3TLV|46FEWX|5VULN|7RPLT|8ASPD|9aRCR
81	22341 25212	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|2DMG|3TLV|4LHND|5RPLT|6RCVC|7VULN|8ASPD|9aRCR
82	22341 61212	   	282.03	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|2DMG|3TLV|4LHND|5RPLT|6VULN|7RCVC|8ASPD|9aRCR
83	11531 63212	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1RCVC|2DMG|3FEWX|4TLV|5VULN|6ERES|7RPLT|8ASPD|9aRCR
84	21341 61212	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|2RPLT|3TLV|4DMG|5DUST|6VULN|7RCVC|8ASPD|9aRCR
85	22311 25212	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|2DMG|3TLV|4LEGI|5RPLT|6RCVC|7VULN|8ASPD|9aRCR
86	22311 61212	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|2DMG|3TLV|4LEGI|5RPLT|6VULN|7RCVC|8ASPD|9aRCR
87	21341 64212	   	281.83	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1AME|2RPLT|3TLV|4DMG|57DUST|6VULN|8ASPD|9aRCR
