0	Index      	 *	Score 	Summary	Detail	
1	51265 21122	 * 	283.38	DCR|4VULN|2TLV|1MLV	1349VULN|2AME|5AART|6RCR|79TLV|89DUST|9BPWR|aMLV
20	53221 12242	   	268.09	DCR|4VULN|1TLV|1LIT|1ASPD	1358VULN|2ERES|4CGEN|6LIT|7RCR|9ASPD|aTLV
21	51251 12242	   	267.99	DCR|4VULN|1TLV|1LIT|1ASPD	1358VULN|2AME|4ERES|6LIT|7RCR|9ASPD|aTLV
22	11342 12315	   	267.63	DCR|2TLV|1LIT|1VULN|1MLV|1RPLT|1DUR	1DUR|2AME|3RPLT|4aTLV|5MLV|6LIT|7VULN|8BELT|9RCR
23	11345 12315	   	267.63	DCR|2TLV|1LIT|1VULN|1MLV|1RPLT|1DUR	1DUR|2AME|3RPLT|4aTLV|5LIT|6MLV|7VULN|8BELT|9RCR
24	13361 34332	   	265.45	DCR|2VULN|2MLV|1TLV|1DMG|1RPLT|2DUR	1aDUR|2ERES|3RPLT|4aMLV|5RCVC|6RCR|7DMG|8TLV|9aVULN|aBPWR
25	53255 21122	   	264.12	DCR|3VULN|2TLV|1MLV	139VULN|24ERES|5AART|6RCR|79TLV|89DUST|9BPWR|aMLV
26	15231 43262	 * 	262.72	DCR|3LIT|1TLV|1VULN|1DMG|2DUR	17DUR|2MDPS|3VULN|47LHND|579LIT|6RCR|7BPWR|8TLV|aDMG
27	52115 63131	 * 	262.22	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1CDMG	14VULN|2CANARM|3AAC|5MLV|6CDMG|7DMG|8LIT|9TLV|aRCR
28	51265 21332	   	261.55	DCR|3VULN|1TLV|1LIT|1DUR	134VULN|2AME|5AART|6RCR|7TLV|8LIT|9DUR|aRPLT
29	44522 32331	   	260.61	DCR|2TLV|1LIT|1VULN|1DMG|1CDMG|1DUR|1BBNT	1RMIN|2BBNT|37TLV|4CDMG|5DMG|6LIT|8DUR|9RCR|aVULN
30	51265 21123	   	259.04	DCR|4VULN|2TLV|2AART	1349VULN|2AME|5aAART|6RCR|79TLV|89DUST|9BPWR
31	14211 24121	 * 	258.95	DCR|3VULN|1TLV|1LIT|3DUR	168DUR|2AAC|346VULN|5MDPS|6BPWR|7LIT|9TLV|aRCR
32	54211 24121	   	258.95	DCR|3VULN|1TLV|1LIT|3DUR	136VULN|2AAC|468DUR|5MDPS|6BPWR|7LIT|9TLV|aRCR
33	15231 43215	   	258.59	DCR|2LIT|1TLV|1VULN|1DMG|2DUR|1ASPD	17DUR|2MDPS|3VULN|47LHND|57LIT|6RCR|7BPWR|8TLV|9DMG|aASPD
34	13266 36123	   	258.48	DCR|3VULN|1TLV|1LIT|1ASPD|1DUR	1DUR|2ERES|39aVULN|4ASPD|5AME|6RCR|7TLV|8LIT
35	15231 43333	 * 	257.23	DCR|2VULN|2LIT|1TLV|3DUR	178DUR|2MDPS|39VULN|47LHND|57LIT|6RCR|7BPWR|aTLV
36	12224 11441	 * 	256.99	DCR|2VULN|2TLV|1LIT|1CDMG|1DUR	1DUR|2BASARM|3RCVC|48VULN|57TLV|6CDMG|9LIT|aRCR
37	13266 36121	   	256.66	DCR|2VULN|2LIT|1TLV|1ASPD|1DUR	1DUR|2ERES|39VULN|4ASPD|5AME|6RCR|7TLV|8aLIT
38	14323 21253	   	256.59	DCR|2VULN|2TLV|1RPLT|2DUR|1CDMG|1SELL	1aDUR|2AAC|3RPLT|4CDMG|5aVULN|6TBNT|7RCR|8aTLV|9SELL|aBPWR
39	11342 12561	   	256.47	DCR|2VULN|1TLV|1LIT|1MLV|1RPLT|1DUR	1DUR|2AME|3RPLT|4TLV|5MLV|6LIT|78VULN|9RCR|aRCVC
40	11342 12562	   	256.47	DCR|2VULN|1TLV|1LIT|1MLV|1RPLT|1DUR	1DUR|2AME|3RPLT|4TLV|5MLV|6LIT|78VULN|9RCR|aLHND
41	11342 12526	   	256.37	DCR|2VULN|1TLV|1LIT|1MLV|1RPLT|1DUR	1DUR|2AME|3RPLT|4TLV|5MLV|6LIT|78VULN|9SNIHEL|aRCR
42	53226 33161	   	256.01	DCR|3VULN|2TLV|1MLV	139VULN|2ERES|49CGEN|5AME|6MLV|79TLV|8RCVC|9BPWR|aRCR
43	52323 12535	 * 	255.72	DCR|3VULN|2TLV|1LIT	167VULN|2CANARM|3ERES|49TLV|5LIT|8RMIN|aRCR
44	51263 11213	   	255.62	DCR|3VULN|2TLV|1LIT	134VULN|2AME|5VENFST|6GSSFST|79TLV|8LIT|aRCR
45	31251 12225	   	255.59	DCR|3VULN|2LIT|1TLV	1RCVC|2CGEN|358VULN|4ERES|69LIT|7RCR|aTLV
46	51221 12615	   	255.59	DCR|3VULN|2LIT|1TLV	135VULN|2AME|4CGEN|69LIT|7RCR|8BEXP|aTLV
47	54242 12222	   	255.59	DCR|3VULN|2LIT|1TLV	138VULN|2AAC|4RMIN|5AEFBLL|69LIT|7RCR|aTLV
48	54221 12352	   	255.59	DCR|3VULN|2LIT|1TLV	135VULN|2AAC|4CGEN|69LIT|7RCR|8AME|aTLV
49	51221 12325	   	255.49	DCR|3VULN|2LIT|1TLV	135VULN|28AME|4CGEN|69LIT|7RCR|aTLV
50	51226 12225	   	255.49	DCR|3VULN|2LIT|1TLV	138VULN|25AME|4CGEN|69LIT|7RCR|aTLV
51	51262 12325	   	255.49	DCR|3VULN|2LIT|1TLV	134VULN|28AME|5CGEN|69LIT|7RCR|aTLV
52	52323 12265	   	255.49	DCR|3VULN|2LIT|1TLV	167VULN|2CANARM|3ERES|4TLV|59LIT|8CGEN|aRCR
53	53221 12525	   	255.49	DCR|3VULN|2LIT|1TLV	135VULN|28ERES|4CGEN|69LIT|7RCR|aTLV
54	53252 12225	   	255.49	DCR|3VULN|2LIT|1TLV	138VULN|24ERES|5CGEN|69LIT|7RCR|aTLV
55	54221 12413	   	255.44	DCR|3VULN|1TLV|1LIT|1DMG	135VULN|2AAC|4CGEN|6LIT|7RCR|8DMG|9DMSP|aTLV
56	51251 12325	   	255.39	DCR|3VULN|2LIT|1TLV	135VULN|28AME|4ERES|69LIT|7RCR|aTLV
57	51221 12412	   	255.34	DCR|3VULN|1TLV|1LIT|1DMG	135VULN|2AME|4CGEN|6LIT|7RCR|8DMG|9DMSP|aTLV
58	53221 12412	   	255.34	DCR|3VULN|1TLV|1LIT|1DMG	135VULN|2ERES|4CGEN|6LIT|7RCR|8DMG|9DMSP|aTLV
59	51262 12412	   	255.34	DCR|3VULN|1TLV|1LIT|1DMG	134VULN|2AME|5CGEN|6LIT|7RCR|8DMG|9DMSP|aTLV
60	51251 12412	   	255.24	DCR|3VULN|1TLV|1LIT|1DMG	135VULN|2AME|4ERES|6LIT|7RCR|8DMG|9DMSP|aTLV
61	53221 12442	   	255.24	DCR|3VULN|1TLV|1LIT|1DMG	135VULN|2ERES|4CGEN|6LIT|7RCR|8DMG|9AEFBLL|aTLV
62	53336 36123	   	255.24	DCR|3VULN|1TLV|1LIT|1DMG	19aVULN|2ERES|3DMG|4FEWX|5AME|6RCR|7TLV|8LIT
63	11341 34162	 * 	255.12	DCR|2TLV|2DMG|1VULN|3DUR|1RPLT	189DUR|2AME|3RPLT|48TLV|5RCVC|6RCR|78DMG|8BPWR|aVULN
64	54221 12342	   	254.44	DCR|4VULN|1TLV|1LIT	1359VULN|2AAC|4CGEN|6LIT|7RCR|8AME|aTLV
65	53336 36121	   	253.41	DCR|2VULN|2LIT|1TLV|1DMG	19VULN|2ERES|3DMG|4FEWX|5AME|6RCR|7TLV|8aLIT
