0	Index      	 *	Score 	Summary	Detail	
1	16212 63631	 * 	231.84	4VULN|1SPLARM|1MDPS|1ASPD|1CDMG|1AAC|1ZMB	1248VULN|3ASPD|5ZMB|6SPLARM|7CDMG|9AAC|aMDPS
42	13434 22232	   	217.55	DCR|4VULN|1AART|1ASPD|1DMG	1479VULN|2ASPD|3AART|5DMG|6FEWX|8RMIN|aRCR
43	13434 51232	   	217.55	DCR|4VULN|1AART|1ASPD|1DMG	1469VULN|2ASPD|3AART|5DMG|7FEWX|8RMIN|aRCR
44	13434 52232	   	217.55	DCR|4VULN|1AART|1ASPD|1DMG	1469VULN|2ASPD|3AART|5DMG|7LWND|8RMIN|aRCR
45	13434 62232	   	217.55	DCR|4VULN|1AART|1ASPD|1DMG	1479VULN|2ASPD|3AART|5DMG|6LWND|8RMIN|aRCR
46	13414 22262	   	217.53	DCR|2VULN|2AART|2DMG|1ASPD	17VULN|2ASPD|34AART|59DMG|6FEWX|8RMIN|aRCR
47	13414 25232	   	217.53	DCR|2VULN|2AART|2DMG|1ASPD	19VULN|2ASPD|34AART|57DMG|6FEWX|8RMIN|aRCR
48	13434 32232	   	217.45	DCR|4VULN|1AART|1ASPD|1DMG	1479VULN|2ASPD|3AART|5DMG|6DUST|8RMIN|aRCR
49	13414 32262	   	217.43	DCR|2VULN|2AART|2DMG|1ASPD	17VULN|2ASPD|34AART|59DMG|6DUST|8RMIN|aRCR
50	13414 35232	   	217.43	DCR|2VULN|2AART|2DMG|1ASPD	19VULN|2ASPD|34AART|57DMG|6DUST|8RMIN|aRCR
51	13433 21663	   	217.12	DCR|3VULN|2DMG|1AART|1ASPD	14aVULN|2ASPD|3AART|5aBEXP|6ERES|7TLV|8aDMG|9RCR|aBPWR
52	16263 15322	 * 	216.63	DCR|3VULN|2DMG|2CDMG|1ASPD	126VULN|3ASPD|48DMG|56CDMG|6BPWR|7RCVC|9TLV|aRCR
53	16263 15332	   	216.63	DCR|3VULN|2DMG|2CDMG|1ASPD	126VULN|3ASPD|48DMG|56CDMG|6BPWR|7RCVC|9ERES|aRCR
54	16216 23511	 * 	215.74	DCR|5VULN|1AART|1ASPD	12457VULN|3ASPD|6BEXP|8RCR|9RMIN|aAART
55	16216 33511	   	215.64	DCR|5VULN|1AART|1ASPD	12457VULN|3ASPD|6DUST|8RCR|9RMIN|aAART
56	11621 35162	 * 	215.56	ACR|3VULN|3AART|1MDPS|2ASPD	159VULN|2RCR|348AART|69DUST|79ASPD|9BPWR|aMDPS
57	13413 21663	   	215.36	DCR|2VULN|2AART|2DMG|1ASPD	1aVULN|2ASPD|34AART|5aBEXP|6ERES|7TLV|8aDMG|9RCR|aBPWR
58	16223 15361	   	215.12	DCR|3VULN|2DMG|2CDMG|1ASPD	126VULN|3ASPD|4CGEN|56CDMG|6BPWR|7BELT|89DMG|aRCR
59	13123 11665	 * 	214.65	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	17VULN|27ASPD|3ERES|4LWND|57TLV|6AART|7BPWR|8DMG|9RCR|aMDPS
60	16215 26321	   	213.87	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	124VULN|3ASPD|5DUR|6RCVC|7RCR|8DMG|9LIT|aAART
61	13414 43232	   	213.41	DCR|3VULN|2AART|1ASPD|1DMG	179VULN|2ASPD|34AART|5DMG|6TLV|8LEGI|aRCR
62	13123 11663	   	213.41	DCR|2VULN|2DMG|2ASPD|1AART	17VULN|27ASPD|3ERES|4LWND|57TLV|6AART|7BPWR|8aDMG|9RCR
63	13613 11663	   	213.41	DCR|2VULN|2DMG|2ASPD|1AART	17VULN|27ASPD|3LWND|4ERES|57TLV|6AART|7BPWR|8aDMG|9RCR
64	13434 43232	   	213.18	DCR|4VULN|1AART|1ASPD|1DMG	1479VULN|2ASPD|3AART|5DMG|6TLV|8LEGI|aRCR
65	13434 22351	 * 	212.62	3VULN|1SPLARM|1MDPS|1AART|1ASPD|1DMG	147VULN|2ASPD|3AART|5DMG|6FEWX|8SPLARM|9MDPS|aLIT
66	13434 22352	   	212.62	3VULN|1SPLARM|1MDPS|1AART|1ASPD|1DMG	147VULN|2ASPD|3AART|5DMG|6FEWX|8SPLARM|9MDPS|aLWND
67	13434 22353	   	212.62	3VULN|1SPLARM|1MDPS|1AART|1ASPD|1DMG	147VULN|2ASPD|3AART|5DMG|6FEWX|8SPLARM|9MDPS|aBEXP
68	12162 11463	 * 	212.61	DCR|3VULN|3DMG|1AART|1NUKE	17aVULN|2MLV|37aERES|47aDMG|5LEGI|6AART|7aBPWR|8NUKE|9RCR
69	13413 32162	 * 	212.56	DCR|3VULN|3AART|1ASPD|2DUR	179VULN|2ASPD|348AART|59BEXP|69DUR|9BPWR|aRCR
70	13434 32351	   	212.52	3VULN|1SPLARM|1MDPS|1AART|1ASPD|1DMG	147VULN|2ASPD|3AART|5DMG|6DUST|8SPLARM|9MDPS|aLIT
71	13434 32352	   	212.52	3VULN|1SPLARM|1MDPS|1AART|1ASPD|1DMG	147VULN|2ASPD|3AART|5DMG|6DUST|8SPLARM|9MDPS|aLWND
72	13434 32353	   	212.52	3VULN|1SPLARM|1MDPS|1AART|1ASPD|1DMG	147VULN|2ASPD|3AART|5DMG|6DUST|8SPLARM|9MDPS|aBEXP
73	16212 32351	   	211.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	124VULN|3ASPD|5ZMB|6LIT|7CGEN|8RCR|9DMG|aAART
74	13433 34233	   	211.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	149VULN|2ASPD|3AART|5BEXP|6DUR|7RCR|8CGEN|aDMG
75	16212 35351	   	211.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	124VULN|3ASPD|5ZMB|6LIT|7ERES|8RCR|9DMG|aAART
76	16216 26312	 * 	211.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1245VULN|3ASPD|6BEXP|7RCR|8DMG|9BASFIG|aCDMG
77	16216 36312	   	211.65	DCR|4VULN|1ASPD|1DMG|1CDMG	1245VULN|3ASPD|6DUST|7RCR|8DMG|9BASFIG|aCDMG
78	16463 13221	 * 	211.57	DCR|2VULN|2DMG|2CDMG|1NUKE|1AAC	12VULN|3RMIN|46DMG|56CDMG|6BPWR|7LIT|8RCR|9NUKE|aAAC
79	13162 43147	   	211.56	DCR|3VULN|2DMG|2ASPD	19aVULN|29ASPD|3ERES|48DMG|59LHND|6MBVNT|7RCR|9BPWR
80	16212 63251	   	211.31	4VULN|1SPLARM|1MDPS|1ASPD|1CDMG|1ZMB	1249VULN|3ASPD|5ZMB|6SPLARM|7CDMG|8MLV|aMDPS
81	11242 34114	 * 	211.29	ACR|3VULN|2AART|2DMG|1CDMG	19aVULN|2RCR|3aDMG|4LIT|5CDMG|6aLWND|78AART|aBPWR
82	13432 15132	   	211.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	149VULN|2ASPD|3AART|58DUR|6CGEN|7DMG|aRCR
83	13432 55132	   	211.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	149VULN|2ASPD|3AART|58DUR|6MLV|7DMG|aRCR
84	11242 34314	 * 	211.06	ACR|4VULN|2DMG|1AART|1CDMG	189aVULN|2RCR|3aDMG|4LIT|5CDMG|6aLWND|7AART|aBPWR
85	12511 11463	   	210.91	DCR|3VULN|2DMG|1AART|2ZMB	17aVULN|27MLV|3aLHND|4ERES|57ZMB|6AART|7aBPWR|8aDMG|9RCR
86	13414 22351	 * 	210.87	1SPLARM|2VULN|2AART|1MDPS|1ASPD|1DMG	17VULN|2ASPD|34AART|5DMG|6FEWX|8SPLARM|9MDPS|aLIT
87	13414 22352	   	210.87	1SPLARM|2VULN|2AART|1MDPS|1ASPD|1DMG	17VULN|2ASPD|34AART|5DMG|6FEWX|8SPLARM|9MDPS|aLWND
88	13414 22353	   	210.87	1SPLARM|2VULN|2AART|1MDPS|1ASPD|1DMG	17VULN|2ASPD|34AART|5DMG|6FEWX|8SPLARM|9MDPS|aBEXP
89	13432 15162	   	210.84	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	14VULN|2ASPD|3AART|58DUR|6CGEN|79DMG|aRCR
90	13414 32351	   	210.77	1SPLARM|2VULN|2AART|1MDPS|1ASPD|1DMG	17VULN|2ASPD|34AART|5DMG|6DUST|8SPLARM|9MDPS|aLIT
91	13414 32352	   	210.77	1SPLARM|2VULN|2AART|1MDPS|1ASPD|1DMG	17VULN|2ASPD|34AART|5DMG|6DUST|8SPLARM|9MDPS|aLWND
92	13414 32353	   	210.77	1SPLARM|2VULN|2AART|1MDPS|1ASPD|1DMG	17VULN|2ASPD|34AART|5DMG|6DUST|8SPLARM|9MDPS|aBEXP
93	13432 25132	   	210.74	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	14VULN|2ASPD|3AART|58DUR|6ERES|79DMG|aRCR
94	11111 41372	   	210.68	ACR|3VULN|1MDPS|2ASPD|1CDMG|2DUR|1ZMB	139VULN|2RCR|39BPWR|49DUR|5ZMB|6CDMG|79ASPD|8MBVNT|aMDPS
95	11511 41372	   	210.68	ACR|3VULN|1MDPS|2ASPD|1CDMG|2DUR|1ZMB	139VULN|2RCR|49DUR|5ZMB|6CDMG|79ASPD|8MBVNT|9BPWR|aMDPS
96	16235 26321	   	210.26	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	12VULN|34ASPD|5DUR|6RCVC|7RCR|8DMG|9LIT|aAART
97	16213 26353	   	210.16	DCR|3VULN|1AART|1ASPD|1DMG	124VULN|3ASPD|5RCVC|6BEXP|7RCR|8DMG|9AART|aRMIN
98	16263 23422	 * 	210.12	DCR|3VULN|2ASPD|1DMG|1CDMG	12aVULN|38ASPD|4DMG|5CDMG|6ERES|7RCR|9RPLT
99	16236 26312	   	210.12	DCR|3VULN|2ASPD|1DMG|1CDMG	125VULN|34ASPD|6BEXP|7RCR|8DMG|9BASFIG|aCDMG
100	13413 34233	   	210.08	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	19VULN|2ASPD|34AART|5BEXP|6DUR|7RCR|8CGEN|aDMG
101	16213 36353	   	210.06	DCR|3VULN|1AART|1ASPD|1DMG	124VULN|3ASPD|5RCVC|6DUST|7RCR|8DMG|9AART|aRMIN
102	11232 12615	 * 	210.04	ACR|3VULN|1SPLARM|2DMG|2CDMG	17aVULN|2RCR|3aDMG|4RPLT|5MLV|6RCVC|8SPLARM|9aCDMG|aBPWR
103	11236 12615	   	210.04	ACR|3VULN|1SPLARM|2DMG|2CDMG	17aVULN|2RCR|3aDMG|4RPLT|5AME|6RCVC|8SPLARM|9aCDMG|aBPWR
104	16236 36312	   	210.02	DCR|3VULN|2ASPD|1DMG|1CDMG	125VULN|34ASPD|6DUST|7RCR|8DMG|9BASFIG|aCDMG
105	11214 12615	   	209.94	ACR|3VULN|1SPLARM|2DMG|2CDMG	17aVULN|2RCR|3aDMG|4ERES|5RPLT|6RCVC|8SPLARM|9aCDMG|aBPWR
106	11235 12615	   	209.94	ACR|3VULN|1SPLARM|2DMG|2CDMG	17aVULN|2RCR|3aDMG|4RPLT|5ERES|6RCVC|8SPLARM|9aCDMG|aBPWR
107	13513 11625	 * 	209.90	DCR|2VULN|2AART|2ASPD|1DMG	17VULN|27ASPD|3LHND|4ERES|57TLV|69AART|7BPWR|8DMG|aRCR
108	16214 23632	   	209.75	DCR|4VULN|1ASPD|1DMG|1CDMG	124aVULN|3ASPD|5RPLT|6ERES|7CDMG|8RCR|9DMG
109	16211 16353	   	209.73	DCR|3VULN|1AART|1ASPD|1DMG	124VULN|3ASPD|5BEXP|6RCVC|7RCR|8DMG|9AART|aRMIN
110	16232 63251	   	209.68	3VULN|1SPLARM|1MDPS|2ASPD|1CDMG|1ZMB	129VULN|34ASPD|5ZMB|6SPLARM|7CDMG|8MLV|aMDPS
111	13412 15132	   	209.33	DCR|2VULN|2AART|1ASPD|1DMG|2DUR	19VULN|2ASPD|34AART|58DUR|6CGEN|7DMG|aRCR
112	13412 55132	   	209.33	DCR|2VULN|2AART|1ASPD|1DMG|2DUR	19VULN|2ASPD|34AART|58DUR|6MLV|7DMG|aRCR
113	11621 43412	 * 	209.25	ACR|4VULN|2AART|1ASPD|1CDMG	1578VULN|2RCR|34AART|6TLV|9CDMG|aASPD
114	15412 15332	   	208.79	DCR|3VULN|2AART|1ASPD|1DUR	189VULN|2RMIN|34AART|5DUR|6CGEN|7ASPD|aRCR
115	13421 54332	   	208.56	DCR|4VULN|1AART|1ASPD|1DUR	1569VULN|2ASPD|3AART|4RMIN|7MLV|8DUR|aRCR
116	13421 55332	   	208.56	DCR|4VULN|1AART|1ASPD|1DUR	1569VULN|2ASPD|3AART|4RMIN|7AME|8DUR|aRCR
117	13433 34115	 * 	208.53	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG|1DUR	14VULN|2ASPD|3AART|5BEXP|6DUR|7RCR|8AME|9SPLARM|aDMG
118	13433 34215	   	208.53	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG|1DUR	14VULN|2ASPD|3AART|5BEXP|6DUR|7RCR|8CGEN|9SPLARM|aDMG
119	13421 43332	   	208.46	DCR|4VULN|1AART|1ASPD|1DUR	1579VULN|2ASPD|3AART|4RMIN|6TLV|8DUR|aRCR
120	16232 32351	   	208.25	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	12VULN|34ASPD|5ZMB|6LIT|7CGEN|8RCR|9DMG|aAART
121	16433 13221	 * 	208.20	DCR|2VULN|2ASPD|2CDMG|1NUKE|1AAC	12VULN|3RMIN|46ASPD|56CDMG|6BPWR|7LIT|8RCR|9NUKE|aAAC
122	16232 35351	   	208.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	12VULN|34ASPD|5ZMB|6LIT|7ERES|8RCR|9DMG|aAART
123	16463 13222	 * 	208.13	DCR|2VULN|2DMG|3CDMG|1NUKE	12VULN|3RMIN|46DMG|56aCDMG|6BPWR|7LIT|8RCR|9NUKE
124	16463 13223	   	208.13	DCR|2VULN|2DMG|2CDMG|1NUKE	12VULN|3RMIN|46DMG|56CDMG|6BPWR|7LIT|8RCR|9NUKE|aMLV
125	16463 13233	   	208.13	DCR|2VULN|2DMG|2CDMG|1NUKE	12VULN|3RMIN|46DMG|56CDMG|6BPWR|7LIT|8RCR|9DUST|aNUKE
126	16234 23632	   	208.12	DCR|3VULN|2ASPD|1DMG|1CDMG	12aVULN|34ASPD|5RPLT|6ERES|7CDMG|8RCR|9DMG
127	13453 12232	   	208.04	DCR|3VULN|2AART|1ASPD|1ZMB	179VULN|2ASPD|36AART|4LHND|5ZMB|8RMIN|aRCR
128	13463 12232	   	207.94	DCR|3VULN|2AART|1ASPD|1ZMB	179VULN|2ASPD|36AART|4DUST|5ZMB|8RMIN|aRCR
129	11142 25223	 * 	207.82	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	139VULN|2RCR|3BPWR|4RPLT|5AART|6ZMB|7DMG|8CDMG|aASPD
130	11542 25223	   	207.82	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	139VULN|2RCR|4RPLT|5AART|6ZMB|7DMG|8CDMG|aASPD
131	13433 34351	 * 	207.68	DCR|2VULN|1AART|1ASPD|1NUKE|1AAC|1ZMB|1DUR	14VULN|2ASPD|3AART|5BEXP|6DUR|7RCR|8ZMB|9AAC|aNUKE
132	11142 25233	 * 	207.58	ACR|2VULN|2DMG|1AART|1ASPD|1CDMG|1ZMB	13VULN|2RCR|3BPWR|4RPLT|5AART|6ZMB|79DMG|8CDMG|aASPD
133	11542 25233	   	207.58	ACR|2VULN|2DMG|1AART|1ASPD|1CDMG|1ZMB	13VULN|2RCR|4RPLT|5AART|6ZMB|79DMG|8CDMG|aASPD
134	21453 12433	   	207.55	DCR|3VULN|1AART|1ASPD|2DUR|1ZMB	18CGEN|289VULN|3AART|4LHND|5ZMB|68DUR|7RCR|8BPWR|aASPD
135	16412 63331	 * 	207.45	DCR|3VULN|1SPLARM|1AART|1CDMG|1ZMB	124VULN|3RMIN|5ZMB|6SPLARM|7CDMG|8LHND|9RCR|aAART
136	16216 22342	 * 	207.44	DCR|4VULN|2ASPD|2CDMG	1245VULN|37ASPD|6BEXP|89CDMG|aRCR
137	16236 23342	   	207.44	DCR|4VULN|2ASPD|2CDMG	1257VULN|34ASPD|6BEXP|89CDMG|aRCR
138	16252 63221	 * 	207.35	DCR|2VULN|1AART|1ASPD|1NUKE|1CDMG|1AAC	12VULN|3ASPD|4CDMG|5DLOT|6AART|7RMIN|8RCR|9NUKE|aAAC
139	56133 33351	 * 	207.34	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	134DUR|23VULN|3BPWR|5RMIN|6AART|7BELT|8DMG|9RCR|aASPD
140	16216 32342	   	207.34	DCR|4VULN|2ASPD|2CDMG	1245VULN|37ASPD|6DUST|89CDMG|aRCR
141	16236 33342	   	207.34	DCR|4VULN|2ASPD|2CDMG	1257VULN|34ASPD|6DUST|89CDMG|aRCR
142	16411 12361	 * 	207.19	DCR|5VULN|2ASPD	12489VULN|3RMIN|59BEXP|6RCVC|79ASPD|9BPWR|aRCR
143	13412 33422	   	207.10	DCR|3VULN|2AART|1ASPD|2DUR	178VULN|2ASPD|34AART|56DUR|9LHND|aRCR
144	13412 33442	   	207.10	DCR|3VULN|2AART|1ASPD|2DUR	178VULN|2ASPD|34AART|56DUR|9FEWX|aRCR
145	13412 33462	   	207.10	DCR|3VULN|2AART|1ASPD|2DUR	178VULN|2ASPD|34AART|56DUR|9LWND|aRCR
146	13412 62132	   	207.10	DCR|3VULN|2AART|1ASPD|2DUR	179VULN|2ASPD|34AART|58DUR|6LWND|aRCR
147	13432 32132	   	207.10	DCR|3VULN|2AART|1ASPD|2DUR	149VULN|2ASPD|38AART|56DUR|7FEWX|aRCR
148	13412 33232	   	207.10	DCR|3VULN|2AART|1ASPD|2DUR	179VULN|2ASPD|34AART|56DUR|8LHND|aRCR
149	13412 33532	   	207.00	DCR|3VULN|2AART|1ASPD|2DUR	179VULN|2ASPD|34AART|56DUR|8LEGI|aRCR
150	13432 33422	   	206.87	DCR|4VULN|1AART|1ASPD|2DUR	1478VULN|2ASPD|3AART|56DUR|9LHND|aRCR
151	13432 33442	   	206.87	DCR|4VULN|1AART|1ASPD|2DUR	1478VULN|2ASPD|3AART|56DUR|9FEWX|aRCR
152	13432 33462	   	206.87	DCR|4VULN|1AART|1ASPD|2DUR	1478VULN|2ASPD|3AART|56DUR|9LWND|aRCR
153	13432 33232	   	206.87	DCR|4VULN|1AART|1ASPD|2DUR	1479VULN|2ASPD|3AART|56DUR|8LHND|aRCR
154	13432 62132	   	206.87	DCR|4VULN|1AART|1ASPD|2DUR	1479VULN|2ASPD|3AART|58DUR|6LWND|aRCR
155	13566 32132	   	206.87	DCR|4VULN|1AART|1ASPD|2DUR	1479VULN|2ASPD|3LHND|5AART|68DUR|aRCR
156	13432 33532	   	206.77	DCR|4VULN|1AART|1ASPD|2DUR	1479VULN|2ASPD|3AART|56DUR|8LEGI|aRCR
157	16233 26353	   	206.54	DCR|2VULN|2ASPD|1AART|1DMG	12VULN|34ASPD|5RCVC|6BEXP|7RCR|8DMG|9AART|aRMIN
158	13412 15162	   	206.53	DCR|2AART|2DMG|1VULN|1ASPD|2DUR	1VULN|2ASPD|34AART|58DUR|6CGEN|79DMG|aRCR
159	13513 11463	 * 	206.52	DCR|3VULN|3ASPD|1AART|1NUKE	17aVULN|27aASPD|3LHND|4ERES|57aTLV|6AART|7aBPWR|8NUKE|9RCR
160	16233 36353	   	206.44	DCR|2VULN|2ASPD|1AART|1DMG	12VULN|34ASPD|5RCVC|6DUST|7RCR|8DMG|9AART|aRMIN
161	13412 25132	   	206.43	DCR|2AART|2DMG|1VULN|1ASPD|2DUR	1VULN|2ASPD|34AART|58DUR|6ERES|79DMG|aRCR
162	16215 26312	   	206.24	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	124VULN|3ASPD|5DUR|6RCVC|7RCR|8DMG|9BASFIG|aCDMG
163	16231 16353	   	206.12	DCR|2VULN|2ASPD|1AART|1DMG	12VULN|34ASPD|5BEXP|6RCVC|7RCR|8DMG|9AART|aRMIN
164	13412 12232	   	206.02	DCR|3VULN|2AART|1ASPD|1DUR	179VULN|2ASPD|34AART|5DUR|6CGEN|8RMIN|aRCR
165	13412 52232	   	206.02	DCR|3VULN|2AART|1ASPD|1DUR	179VULN|2ASPD|34AART|5DUR|6MLV|8RMIN|aRCR
166	13132 12625	   	206.01	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	17VULN|2ASPD|3ERES|4ZMB|5LHND|69AART|8DMG|aRCR
167	13432 64233	   	206.00	DCR|3VULN|2ASPD|1AART|1DUR	149VULN|2aASPD|3AART|5DUR|6LWND|7RCR|8CGEN
168	16213 26321	   	205.99	DCR|3VULN|1AART|1ASPD|1DMG	124VULN|3ASPD|5RCVC|6BEXP|7RCR|8DMG|9LIT|aAART
169	16213 26351	   	205.99	DCR|3VULN|1AART|1ASPD|1DMG	124VULN|3ASPD|5RCVC|6BEXP|7RCR|8DMG|9AART|aDMSP
