0	Index      	 *	Score 	Summary	Detail	
1	31633 62151	 * 	213.71	DCR|3VULN|2ASPD|1AART|1DMG|1SELL	1SELL|27ASPD|3AME|47BEXP|567VULN|7BPWR|8AART|9RCR|aDMG
13	31633 32151	 * 	198.38	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1SELL|27ASPD|3AME|47BEXP|57VULN|6RCVC|7BPWR|8AART|9RCR|aDMG
14	31653 32151	 * 	198.38	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1SELL|27ASPD|3AME|47FEWX|57VULN|6RCVC|7BPWR|8AART|9RCR|aDMG
15	31643 32151	 * 	198.18	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1SELL|27ASPD|3AME|47DUST|57VULN|6RCVC|7BPWR|8AART|9RCR|aDMG
16	31633 63151	 * 	195.68	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1SELL|27ASPD|3AME|4BEXP|56VULN|8AART|9RCR|aDMG
17	32133 63151	 * 	195.68	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1SELL|2AME|37ASPD|4BEXP|56VULN|8AART|9RCR|aDMG
18	32153 63151	 * 	195.68	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1SELL|2AME|37ASPD|4FEWX|56VULN|8AART|9RCR|aDMG
19	31462 15131	 * 	195.59	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB|1SELL	1SELL|2ASPD|3DLOT|4AAC|56VULN|7RCR|8DMG|9AART|aZMB
20	32143 63151	 * 	195.58	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1SELL|2AME|37ASPD|4DUST|56VULN|8AART|9RCR|aDMG
21	35133 63151	 * 	195.58	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1SELL|2TLV|37ASPD|4BEXP|56VULN|8AART|9RCR|aDMG
22	12233 54151	   	195.48	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|25RMIN|3aDMG|47VULN|6CDMG|8AART|9RCR
23	63141 73611	 * 	194.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	13AELBLL|2MBVNT|4ASPD|57VULN|6RCR|8AART|9CDMG|aZMB
24	11251 62262	 * 	194.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1FEWX|2CDMG|3DUR|4ZMB|5DMG|6VULN|7AAC|8AART|9ASPD|aRCR
25	11251 66211	   	194.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2CDMG|3DUR|4ZMB|5DMG|6VULN|7ASPD|8AART|9DUST|aRCR
26	31633 62152	 * 	193.65	DCR|3VULN|2ASPD|1AART|1SELL	1SELL|27ASPD|3AME|47BEXP|567VULN|7BPWR|8AART|9RCR|aCGEN
27	31633 62153	 * 	193.55	DCR|3VULN|2ASPD|1AART|1SELL	1SELL|27ASPD|3AME|47BEXP|567VULN|7BPWR|8AART|9RCR|aMBVNT
28	26522 26332	 * 	192.92	DCR|3VULN|1ASPD|1CDMG|1AAC|1DUR	1BASFIG|2RMIN|358VULN|4DUR|6RCR|7CDMG|9ASPD|aAAC
29	11441 33342	 * 	192.28	DCR|2VULN|2DMG|3CDMG|1AAC	157FEWX|24aCDMG|3AAC|6RCR|8aDMG|9aVULN|aBPWR
30	63141 73612	   	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	13AELBLL|2MBVNT|4ASPD|57VULN|6RCR|8AART|9CDMG|aDUR
31	63141 73814	 * 	191.86	DCR|4VULN|2ASPD	13aAELBLL|2MBVNT|4aASPD|579aVULN|6RCR|8RPLT|aBPWR
32	31613 62142	 * 	191.40	DCR|3VULN|2ASPD|1AART|2SELL	14SELL|27ASPD|37AME|567VULN|7BPWR|8AART|9BELT|aRCR
33	32113 62142	 * 	191.40	DCR|3VULN|2ASPD|1AART|2SELL	14SELL|27AME|37ASPD|567VULN|7BPWR|8AART|9BELT|aRCR
34	52633 12512	 * 	191.26	DCR|3DMG|2VULN|1MDPS|1ASPD	14aLIT|2MDPS|34aDMG|4aBPWR|5RPLT|6TLV|7ASPD|8aVULN|9RCR
35	35113 62142	 * 	191.20	DCR|3VULN|2ASPD|1AART|2SELL	14SELL|27TLV|37ASPD|567VULN|7BPWR|8AART|9BELT|aRCR
36	62134 21136	 * 	191.14	DCR|3VULN|3ASPD|1DUR	1AELBLL|26aVULN|3TLV|4LIT|567ASPD|6BPWR|8DUR|9RCR
37	41226 32214	 * 	191.01	DCR|2VULN|2CDMG|1ASPD|1DMG	1LHND|24CDMG|3RCVC|5ASPD|6RCR|7LWND|89VULN|aDMG
38	41226 33214	   	191.01	DCR|2VULN|2CDMG|1ASPD|1DMG	1LHND|24CDMG|3RCVC|5ASPD|6RCR|7FEWX|89VULN|aDMG
39	11251 21513	   	190.64	DCR|2DMG|3CDMG|1VULN|1ZMB|1DUR	17FEWX|27aCDMG|3DUR|4ZMB|57DMG|6RCR|7BPWR|8LIT|9VULN
40	31123 31425	 * 	190.59	DCR|2VULN|2DMG|1MDPS|2ASPD|1AAC|1SELL	1SELL|28ASPD|38DMG|4RCVC|5AAC|6MDPS|78VULN|8BPWR|9BELT|aRCR
41	12136 52153	 * 	190.34	DCR|3VULN|3CDMG|1AART	17FEWX|2RMIN|3AME|457VULN|67aCDMG|7BPWR|8AART|9RCR
42	63141 32285	 * 	189.83	DCR|2VULN|2AART|2ASPD	13AELBLL|2MBVNT|47ASPD|58VULN|69AART|aRCR
43	21343 64342	 * 	189.58	DCR|3VULN|1AART|1ASPD|1DUR	1BASFIG|2RPLT|3DUR|4MBVNT|5ASPD|679VULN|8RCR|aAART
44	22473 64342	   	189.58	DCR|3VULN|1AART|1ASPD|1DUR	1BASFIG|2DUR|3MBVNT|4RPLT|5ASPD|679VULN|8RCR|aAART
45	11251 23514	   	189.58	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB|1DUR	1FEWX|27CDMG|3DUR|4ZMB|5DMG|6RCR|8LIT|9VULN|aAART
46	63141 72814	   	188.94	DCR|3VULN|3ASPD	13aAELBLL|2MBVNT|47aASPD|59aVULN|6RCR|8RPLT|aBPWR
47	12134 52151	   	188.32	DCR|2VULN|1AART|2CDMG|1DMG	17FEWX|2RMIN|3AME|47VULN|5RCVC|67CDMG|7BPWR|8AART|9RCR|aDMG
48	41222 56232	 * 	188.30	DCR|1MDPS|1AART|1VULN|2CDMG|1ASPD|1DMG	1LHND|24CDMG|3RCVC|5VULN|6MDPS|7ASPD|8AART|9RCR|aDMG
49	63141 72611	 * 	187.96	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB	13AELBLL|2MBVNT|47ASPD|5VULN|6RCR|8AART|9CDMG|aZMB
50	32122 36515	 * 	187.87	DCR|2AART|1VULN|2CDMG|1ASPD|1SELL	1SELL|2AME|3ASPD|4RCVC|5VULN|69CDMG|7RCR|8aAART
51	13411 14422	 * 	187.85	DCR|3AART|1MDPS|1VULN|1DMG|1CDMG	1FEWX|2MDPS|357AART|4RCVC|6RCR|8CDMG|9DMG|aVULN
52	11254 21513	 * 	187.27	DCR|2ASPD|3CDMG|1VULN|1ZMB|1DUR	17FEWX|27aCDMG|3DUR|4ZMB|57ASPD|6RCR|7BPWR|8LIT|9VULN
53	44223 52231	 * 	187.23	DCR|2VULN|2DMG|1AART|1NUKE	1LHND|25DUST|3NUKE|45DMG|5BPWR|6RCR|7RCVC|8AART|9aVULN
54	12234 52521	 * 	187.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1FEWX|2RMIN|38DMG|4VULN|5DUR|6ASPD|7LIT|9RCR|aAART
55	31613 25224	 * 	187.21	DCR|2VULN|1AART|1ASPD|1DMG|2SELL	14SELL|2ASPD|3AME|57VULN|6RCR|8AART|9BEXP|aDMG
56	32113 25224	 * 	187.21	DCR|2VULN|1AART|1ASPD|1DMG|2SELL	14SELL|2AME|3ASPD|57VULN|6RCR|8AART|9BEXP|aDMG
57	32113 25244	 * 	187.21	DCR|2VULN|1AART|1ASPD|1DMG|2SELL	14SELL|2AME|3ASPD|57VULN|6RCR|8AART|9FEWX|aDMG
58	32113 25254	 * 	187.21	DCR|2VULN|1AART|1ASPD|1DMG|2SELL	14SELL|2AME|3ASPD|57VULN|6RCR|8AART|9LHND|aDMG
59	32113 25264	 * 	187.21	DCR|2VULN|1AART|1ASPD|1DMG|2SELL	14SELL|2AME|3ASPD|57VULN|6RCR|8AART|9LWND|aDMG
60	35113 25224	 * 	187.11	DCR|2VULN|1AART|1ASPD|1DMG|2SELL	14SELL|2TLV|3ASPD|57VULN|6RCR|8AART|9BEXP|aDMG
61	31613 25214	 * 	187.11	DCR|2VULN|1AART|1ASPD|1DMG|2SELL	14SELL|2ASPD|3AME|57VULN|6RCR|8AART|9DUST|aDMG
62	32113 25214	 * 	187.11	DCR|2VULN|1AART|1ASPD|1DMG|2SELL	14SELL|2AME|3ASPD|57VULN|6RCR|8AART|9DUST|aDMG
63	35113 25214	 * 	187.01	DCR|2VULN|1AART|1ASPD|1DMG|2SELL	14SELL|2TLV|3ASPD|57VULN|6RCR|8AART|9DUST|aDMG
64	63141 73514	   	187.01	DCR|2VULN|1ASPD|1DMG|1CDMG	13AELBLL|2MBVNT|4ASPD|57VULN|6RCR|8SPLREG|9CDMG|aDMG
65	11251 21516	   	186.80	DCR|2DMG|1VULN|2CDMG|2ZMB|1DUR	17FEWX|27CDMG|3DUR|4aZMB|57DMG|6RCR|7BPWR|8LIT|9VULN
66	26522 26133	   	186.25	DCR|3VULN|1DMG|1CDMG|1DUR	19BASFIG|2RMIN|359VULN|4DUR|6RCR|7CDMG|89LHND|9BPWR|aDMG
67	12233 54152	   	186.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|25RMIN|3DMG|47VULN|6CDMG|8AART|9RCR|aDUR
68	26522 21142	   	186.18	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BASFIG|2RMIN|35VULN|4DUR|6RCR|7ZMB|8BELT|9DMG|aAART
69	26522 26123	   	186.15	DCR|3VULN|1DMG|1CDMG|1DUR	1BASFIG|2RMIN|359VULN|4DUR|6RCR|7CDMG|8LHND|aDMG
70	26522 26331	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	1BASFIG|2RMIN|358VULN|4DUR|6RCR|7CDMG|9ASPD|aAME
71	26522 26313	   	186.05	DCR|3VULN|1DMG|1CDMG|1DUR	1BASFIG|2RMIN|358VULN|4DUR|6RCR|7CDMG|9MBVNT|aDMG
72	26522 26333	   	186.05	DCR|3VULN|1ASPD|1CDMG|1DUR|1MSE	1BASFIG|2RMIN|358VULN|4DUR|6RCR|7CDMG|9ASPD|aMSE
73	32122 36543	 * 	186.01	DCR|2ASPD|1VULN|1AART|2CDMG|1SELL	1SELL|2AME|39ASPD|4RCVC|5VULN|6aCDMG|7RCR|8AART
74	21343 64322	   	185.96	DCR|2VULN|2ASPD|1AART|1DUR	1BASFIG|2RPLT|3DUR|4MBVNT|59ASPD|67VULN|8RCR|aAART
75	22473 64322	   	185.96	DCR|2VULN|2ASPD|1AART|1DUR	1BASFIG|2DUR|3MBVNT|4RPLT|59ASPD|67VULN|8RCR|aAART
76	21343 65342	   	185.96	DCR|2VULN|2ASPD|1AART|1DUR	1BASFIG|2RPLT|3DUR|4MBVNT|57ASPD|69VULN|8RCR|aAART
77	63141 72612	   	185.93	DCR|2ASPD|1VULN|1AART|1CDMG|1DUR	13AELBLL|2MBVNT|47ASPD|5VULN|6RCR|8AART|9CDMG|aDUR
78	21343 64344	 * 	185.86	DCR|3VULN|1ASPD|1DMG|1DUR	1BASFIG|2RPLT|3DUR|4MBVNT|5ASPD|679VULN|8RCR|aDMG
79	22473 64344	   	185.86	DCR|3VULN|1ASPD|1DMG|1DUR	1BASFIG|2DUR|3MBVNT|4RPLT|5ASPD|679VULN|8RCR|aDMG
80	21343 64374	   	185.62	DCR|2VULN|2DMG|1ASPD|1DUR	1BASFIG|2RPLT|3DUR|4MBVNT|5ASPD|67VULN|8RCR|9aDMG
81	52144 37122	 * 	185.42	DCR|2AART|1MDPS|2DMG|2ASPD	17LIT|2MDPS|3aAART|4MBVNT|57ASPD|67DMG|7BPWR|8AME|9RCR
82	41226 31243	 * 	185.16	DCR|2VULN|2ASPD|2CDMG	1LHND|24CDMG|3RCVC|5aASPD|6RCR|7RPLT|89VULN
83	31462 15132	 * 	185.16	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1SELL	1SELL|2ASPD|3DLOT|4AAC|56VULN|7RCR|8DMG|9AART|aDUST
84	52111 31433	 * 	185.11	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	1LIT|2MDPS|3AART|4DUR|56DMG|7ASPD|8VULN|9LWND|aRCR
85	52111 31443	   	185.11	DCR|2DMG|1MDPS|1AART|1VULN|1ASPD|1DUR	1LIT|2MDPS|3AART|4DUR|56DMG|7ASPD|8VULN|9FEWX|aRCR
86	44221 53231	   	185.03	DCR|2VULN|2DMG|1AART|1NUKE	15LHND|2DUST|3NUKE|47DMG|6RCR|8AART|9aVULN
87	11251 25131	 * 	184.96	DCR|2VULN|1MDPS|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2CDMG|3DUR|4ZMB|5DMG|6RCR|79VULN|8LWND|aMDPS
88	11251 25431	   	184.96	DCR|2VULN|1MDPS|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2CDMG|3DUR|4ZMB|5DMG|6RCR|79VULN|8LHND|aMDPS
89	11251 25531	   	184.96	DCR|2VULN|1MDPS|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2CDMG|3DUR|4ZMB|5DMG|6RCR|79VULN|8BEXP|aMDPS
90	11254 25131	 * 	184.96	DCR|2VULN|1MDPS|1ASPD|1CDMG|1ZMB|1DUR	1FEWX|2CDMG|3DUR|4ZMB|5ASPD|6RCR|79VULN|8LWND|aMDPS
91	11251 21116	   	184.89	DCR|2DMG|1VULN|2CDMG|1ZMB|1DUR	17FEWX|27CDMG|3DUR|4ZMB|57DMG|6RCR|7BPWR|8RMIN|9VULN|aRCVC
92	11251 21316	 * 	184.79	DCR|2DMG|1VULN|2CDMG|1NUKE|1ZMB|1DUR	17FEWX|27CDMG|3DUR|4ZMB|57DMG|6RCR|7BPWR|8NUKE|9VULN|aRCVC
93	32122 42151	 * 	184.76	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|27AME|3ASPD|4RCVC|57VULN|67BEXP|7BPWR|8AART|9RCR|aDMG
94	31322 44151	 * 	184.56	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ASPD|3CGEN|4RCVC|57VULN|6BEXP|8AART|9RCR|aDMG
95	32122 44151	 * 	184.56	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2AME|3ASPD|4RCVC|57VULN|6BEXP|8AART|9RCR|aDMG
96	35122 42151	 * 	184.56	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|27TLV|3ASPD|4RCVC|57VULN|67BEXP|7BPWR|8AART|9RCR|aDMG
97	31222 44151	 * 	184.46	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ASPD|3ERES|4RCVC|57VULN|6BEXP|8AART|9RCR|aDMG
98	31322 34151	 * 	184.46	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ASPD|3CGEN|4RCVC|57VULN|6DUST|8AART|9RCR|aDMG
99	33122 44151	 * 	184.46	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ERES|3ASPD|4RCVC|57VULN|6BEXP|8AART|9RCR|aDMG
100	32133 32151	 * 	184.16	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|27AME|3ASPD|47BEXP|57VULN|6RCVC|7BPWR|8AART|9RCR|aDMG
101	32153 32151	 * 	184.16	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|27AME|3ASPD|47FEWX|57VULN|6RCVC|7BPWR|8AART|9RCR|aDMG
102	31632 51233	   	184.02	DCR|2VULN|2ASPD|1AART|1DUR|1SELL	1SELL|2aASPD|3AME|4aBEXP|5DUR|6ERES|7aVULN|8AART|9RCR|aBPWR
103	31652 51233	   	184.02	DCR|2VULN|2ASPD|1AART|1DUR|1SELL	1SELL|2aASPD|3AME|4aFEWX|5DUR|6ERES|7aVULN|8AART|9RCR|aBPWR
104	31333 34151	 * 	183.96	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ASPD|3CGEN|4BEXP|57VULN|6RCVC|8AART|9RCR|aDMG
105	31353 34151	 * 	183.96	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ASPD|3CGEN|4FEWX|57VULN|6RCVC|8AART|9RCR|aDMG
106	31633 34151	 * 	183.96	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ASPD|3AME|4BEXP|57VULN|6RCVC|8AART|9RCR|aDMG
107	32133 34151	 * 	183.96	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2AME|3ASPD|4BEXP|57VULN|6RCVC|8AART|9RCR|aDMG
108	32143 32151	 * 	183.96	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|27AME|3ASPD|47DUST|57VULN|6RCVC|7BPWR|8AART|9RCR|aDMG
109	32153 34151	 * 	183.96	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2AME|3ASPD|4FEWX|57VULN|6RCVC|8AART|9RCR|aDMG
110	35133 32151	 * 	183.96	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|27TLV|3ASPD|47BEXP|57VULN|6RCVC|7BPWR|8AART|9RCR|aDMG
111	35153 32151	 * 	183.96	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|27TLV|3ASPD|47FEWX|57VULN|6RCVC|7BPWR|8AART|9RCR|aDMG
112	31232 61233	   	183.92	DCR|2VULN|2ASPD|1AART|1DUR|1SELL	1SELL|2aASPD|3ERES|4aBEXP|5DUR|6TLV|7aVULN|8AART|9RCR|aBPWR
113	31252 61233	   	183.92	DCR|2VULN|2ASPD|1AART|1DUR|1SELL	1SELL|2aASPD|3ERES|4aFEWX|5DUR|6TLV|7aVULN|8AART|9RCR|aBPWR
114	46431 11132	 * 	183.91	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	1LHND|2LWND|3FEWX|4CDMG|5ZMB|68AART|7VULN|9RCR|aASPD
115	31233 34151	 * 	183.86	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ASPD|3ERES|4BEXP|57VULN|6RCVC|8AART|9RCR|aDMG
116	31253 34151	 * 	183.86	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ASPD|3ERES|4FEWX|57VULN|6RCVC|8AART|9RCR|aDMG
117	31343 34151	 * 	183.86	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ASPD|3CGEN|4DUST|57VULN|6RCVC|8AART|9RCR|aDMG
118	32143 34151	 * 	183.86	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2AME|3ASPD|4DUST|57VULN|6RCVC|8AART|9RCR|aDMG
119	33133 34151	 * 	183.86	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ERES|3ASPD|4BEXP|57VULN|6RCVC|8AART|9RCR|aDMG
120	33153 34151	 * 	183.86	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ERES|3ASPD|4FEWX|57VULN|6RCVC|8AART|9RCR|aDMG
121	35133 34151	 * 	183.86	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2TLV|3ASPD|4BEXP|57VULN|6RCVC|8AART|9RCR|aDMG
122	63141 73613	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	13AELBLL|2MBVNT|4ASPD|57VULN|6RCR|8AART|9CDMG|aCGEN
123	63141 73614	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	13AELBLL|2MBVNT|4ASPD|57VULN|6RCR|8AART|9CDMG|aRPLT
124	31243 34151	 * 	183.76	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ASPD|3ERES|4DUST|57VULN|6RCVC|8AART|9RCR|aDMG
125	33143 34151	 * 	183.76	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|2ERES|3ASPD|4DUST|57VULN|6RCVC|8AART|9RCR|aDMG
126	35143 32151	 * 	183.76	DCR|2VULN|1AART|1ASPD|1DMG|1SELL	1SELL|27TLV|3ASPD|47DUST|57VULN|6RCVC|7BPWR|8AART|9RCR|aDMG
127	52144 83432	 * 	183.71	DCR|2VULN|2AART|1MDPS|1ASPD	19LIT|2MDPS|3aAART|4MBVNT|5ASPD|6RCR|79FEWX|89VULN|9BPWR
