0	Index      	 *	Score 	Summary	Detail	
1	36426 31332	 * 	213.44	DCR|3VULN|2ASPD|1AART|2DUR	12aVULN|3aDUR|489LIT|5AART|6RCR|7aASPD|aBPWR
36	31124 21431	   	202.10	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG|1DUR	1VULN|2LHND|35ASPD|4AART|6RMIN|7CDMG|8RCR|9DMG|aDUR
37	32124 11431	   	202.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1VULN|2FEWX|35ASPD|4AART|6AME|7CDMG|8RCR|9DMG|aDUR
38	32124 21431	   	202.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1VULN|2FEWX|35ASPD|4AART|6RMIN|7CDMG|8RCR|9DMG|aDUR
39	32124 41431	   	202.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1VULN|2FEWX|35ASPD|4AART|6MLV|7CDMG|8RCR|9DMG|aDUR
40	36212 25331	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12VULN|38LIT|4ASPD|5CDMG|6DMG|7RCR|9RPLT|aAART
41	36212 25162	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12VULN|3LIT|4ASPD|5CDMG|6DMG|7RCR|8DUST|9AART|aBELT
42	36212 25163	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12VULN|3LIT|4ASPD|5CDMG|6DMG|7RCR|8DUST|9AART|aAELBLL
43	36212 25161	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12VULN|3LIT|4ASPD|5CDMG|6DMG|7RCR|8DUST|9AART|aERES
44	36254 22212	   	201.64	DCR|4VULN|2AART|1DUR	1279VULN|3LIT|45AART|6DUR|8RCR|aDMSP
45	36254 22213	   	201.64	DCR|4VULN|2AART|1DUR	1279VULN|3LIT|45AART|6DUR|8RCR|aAME
46	31553 21433	 * 	201.48	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1VULN|2LHND|34AART|59DMG|6RMIN|7CDMG|8RCR|aDUR
47	36212 25311	   	200.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	12VULN|38LIT|4aASPD|5CDMG|6DMG|7RCR|9DUR
48	35133 33626	 * 	200.32	DCR|3VULN|1AART|1ASPD|1DMG	158VULN|2DUST|3ASPD|4RCVC|6AART|7VENFST|9DMG|aRCR
49	31553 11432	   	200.11	DCR|2AART|2DMG|1VULN|1CDMG	1VULN|2LHND|34AART|59DMG|6AME|7CDMG|8RCR|aSPLREG
50	32161 13151	   	200.10	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG|1DUR	1VULN|2FEWX|38ASPD|4CDMG|5DMG|6CGEN|7AART|9RCR|aDUR
51	32161 63151	   	200.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1VULN|2FEWX|38ASPD|4CDMG|5DMG|6RMIN|7AART|9RCR|aDUR
52	35161 13151	   	200.00	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG|1DUR	1VULN|2DUST|38ASPD|4CDMG|5DMG|6CGEN|7AART|9RCR|aDUR
53	61132 51351	 * 	199.90	DCR|3ASPD|2VULN|1AART|3RCVC	123RCVC|4aLHND|5AART|67aASPD|8aVULN|9RCR|aBPWR
54	36212 25621	   	199.82	DCR|2VULN|2ASPD|2CDMG|1DMG	12VULN|3LIT|4aASPD|58CDMG|6DMG|7RCR|9LWND
55	33212 61532	 * 	199.75	DCR|3VULN|2DMG|1ASPD|1DUR	168VULN|2MLV|38LWND|4DUST|5DUR|78DMG|8BPWR|9ASPD|aRCR
56	33221 61532	   	199.75	DCR|3VULN|2DMG|1ASPD|1DUR	168VULN|2MLV|38LWND|4DUR|5DUST|78DMG|8BPWR|9ASPD|aRCR
57	36112 51532	   	199.75	DCR|3VULN|2DMG|1ASPD|1DUR	128VULN|3LHND|48FEWX|5DUR|6ERES|78DMG|8BPWR|9ASPD|aRCR
58	33142 61532	   	199.65	DCR|3VULN|2DMG|1ASPD|1DUR	168VULN|2MLV|38DUST|4LHND|5DUR|78DMG|8BPWR|9ASPD|aRCR
59	31312 61532	   	199.55	DCR|3VULN|2DMG|1ASPD|1DUR	168VULN|2LHND|38ERES|4DUST|5DUR|78DMG|8BPWR|9ASPD|aRCR
60	31321 61532	   	199.55	DCR|3VULN|2DMG|1ASPD|1DUR	168VULN|2LHND|38ERES|4DUR|5DUST|78DMG|8BPWR|9ASPD|aRCR
61	31133 22253	 * 	199.48	DCR|3VULN|3ASPD|1ZMB|1DUR	145VULN|2LHND|389ASPD|6ZMB|7DUR|aRCR
62	36126 35111	 * 	199.12	DCR|3VULN|1AART|1NUKE|2DUR	128VULN|3aLHND|48LIT|5AART|6RCR|78DUR|8BPWR|9NUKE
63	36126 35112	   	199.12	DCR|3VULN|1AART|1NUKE|2DUR	128VULN|3LHND|48LIT|5AART|6RCR|78DUR|8BPWR|9NUKE|aDUST
64	36126 35113	   	199.12	DCR|3VULN|1AART|1NUKE|2DUR	128VULN|3LHND|48LIT|5AART|6RCR|78DUR|8BPWR|9NUKE|aLWND
65	36253 35111	   	199.12	DCR|3VULN|1AART|1NUKE|2DUR	128VULN|3LIT|4AART|58aLHND|6RCR|78DUR|8BPWR|9NUKE
66	36253 35112	   	199.12	DCR|3VULN|1AART|1NUKE|2DUR	128VULN|3LIT|4AART|58LHND|6RCR|78DUR|8BPWR|9NUKE|aDUST
67	36253 35113	   	199.12	DCR|3VULN|1AART|1NUKE|2DUR	128VULN|3LIT|4AART|58LHND|6RCR|78DUR|8BPWR|9NUKE|aLWND
68	36126 42212	 * 	198.59	DCR|4VULN|3AART	1279VULN|3LHND|4LIT|56aAART|8RCR
69	36253 42212	   	198.59	DCR|4VULN|3AART	1279VULN|3LIT|46aAART|5LHND|8RCR
70	31113 41562	 * 	198.50	DCR|2VULN|2DMG|2ASPD|1DUR	18VULN|2LHND|38ASPD|4DUST|5RCVC|6DUR|78DMG|8BPWR|9ERES|aRCR
71	36126 36321	 * 	198.41	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	12VULN|3LHND|4LIT|5AART|6RCR|7DMSP|8SPLARM|9DMG|aCDMG
72	36253 36321	   	198.41	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	12VULN|3LIT|4AART|5LHND|6RCR|7DMSP|8SPLARM|9DMG|aCDMG
73	31133 12366	 * 	198.28	DCR|3VULN|2ASPD|1DMG|1DUR	145VULN|2LHND|36ASPD|7RMIN|8DUR|9RCR|aDMG
74	33263 12266	   	198.28	DCR|3VULN|2ASPD|1DMG|1DUR	145VULN|2MLV|3LWND|68ASPD|7DUR|9RCR|aDMG
75	31363 12266	   	198.18	DCR|3VULN|2ASPD|1DMG|1DUR	145VULN|2LHND|3ERES|68ASPD|7DUR|9RCR|aDMG
76	36212 25432	 * 	198.14	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG	12VULN|3LIT|4ASPD|5CDMG|6DMG|7RCR|8MBVNT|9LHND|aNUKE
77	36212 25122	   	198.04	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG	12VULN|3LIT|4ASPD|5CDMG|6DMG|7RCR|8DUST|9MBVNT|aNUKE
78	36212 25132	   	198.04	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG	12VULN|3LIT|4ASPD|5CDMG|6DMG|7RCR|8DUST|9LEGI|aNUKE
79	33426 32613	   	198.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	19VULN|2MLV|3ZMB|4LIT|5AART|6RCR|7LWND|8DMG|aASPD
80	36255 21312	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12VULN|37LIT|4AART|5CDMG|6DMG|8LHND|9RCR|aASPD
81	31133 22261	 * 	197.91	DCR|3VULN|1MDPS|2ASPD|1ZMB|1DUR	145VULN|2LHND|38ASPD|6ZMB|7DUR|9RCR|aMDPS
82	31124 26633	 * 	197.82	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	19VULN|2LHND|35ASPD|4AART|6RMIN|7MDPS|8RCR|aDMG
83	32124 26633	   	197.82	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	19VULN|2FEWX|35ASPD|4AART|6RMIN|7MDPS|8RCR|aDMG
84	62122 42433	   	197.75	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1RCVC|2aASPD|3CDMG|4ERES|5AART|6VULN|7DUST|8RCR|9DMG
85	31122 34522	   	197.53	DCR|3VULN|1AART|1ASPD|1DMG	178VULN|2LHND|3ASPD|4AART|5BELT|6LIT|9DMG|aRCR
86	36126 32162	   	197.53	DCR|4VULN|2AART	1289VULN|3LHND|48LIT|5aAART|6RCR|78LWND|8BPWR
87	36253 32162	   	197.53	DCR|4VULN|2AART	1289VULN|3LIT|4aAART|58LHND|6RCR|78LWND|8BPWR
88	36453 11313	 * 	197.52	DCR|4VULN|1ASPD|2DUR|1ZMB	125aVULN|3aDUR|4ZMB|6ASPD|7MBVNT|8RCR|9aLIT|aBPWR
89	35123 33626	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	158VULN|2DUST|3ASPD|4AELBLL|6AART|7VENFST|9DMG|aRCR
90	35113 33626	   	197.33	DCR|3VULN|1AART|1ASPD|1DMG	158VULN|24DUST|3ASPD|6AART|7VENFST|9DMG|aRCR
91	35133 12561	   	197.25	DCR|3VULN|2ASPD|1CDMG|1DUR	15aVULN|2DUST|36ASPD|4RCVC|7DUR|8CDMG|9RCR
92	31563 53133	 * 	197.22	DCR|4VULN|1MDPS|1AART|1DMG	1679VULN|2LHND|3AART|4MDPS|5BEXP|8RCR|aDMG
93	36126 31235	   	197.06	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	12VULN|39LHND|4LIT|5AART|6RCR|7ASPD|8DMG|aMDPS
94	36253 31235	   	197.06	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	12VULN|3LIT|4AART|59LHND|6RCR|7ASPD|8DMG|aMDPS
95	31426 42213	   	197.04	DCR|3VULN|2AART|1CDMG	179VULN|2LHND|3RCVC|4LIT|56AART|8RCR|aCDMG
96	61222 52423	 * 	196.99	DCR|3DMG|2ASPD|1AART|2RCVC	12RCVC|3aFEWX|49aDMG|5aASPD|6BELT|7RCR|8AART|aBPWR
97	35133 35216	 * 	196.75	DCR|2VULN|2AART|1ASPD|1CDMG	15VULN|2DUST|3ASPD|4RCVC|6aAART|7CDMG|8LIT|9RCR
98	31552 15213	 * 	196.42	DCR|2VULN|2AART|1DMG|1CDMG	1aVULN|2LHND|34AART|5RCVC|6DMG|7CDMG|8LIT|9RCR
99	35162 25331	   	196.29	DCR|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1ZMB|1DUR	1VULN|2DUST|3ASPD|4CDMG|5DUR|6DMG|7RCR|8ZMB|9TLV|aNUKE
100	32122 11433	   	196.25	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1VULN|2FEWX|3aASPD|4AART|5RCVC|6AME|7CDMG|8RCR|9DMG
101	32122 21433	   	196.25	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1VULN|2FEWX|3aASPD|4AART|5RCVC|6RMIN|7CDMG|8RCR|9DMG
102	32122 41433	   	196.25	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1VULN|2FEWX|3aASPD|4AART|5RCVC|6MLV|7CDMG|8RCR|9DMG
103	31133 31556	   	196.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	145VULN|2LHND|3ASPD|6AART|7BEXP|8DUR|9ZMB|aRCR
104	32133 31556	   	196.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	145VULN|2FEWX|3ASPD|6AART|7BEXP|8DUR|9ZMB|aRCR
105	31552 15212	   	196.10	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1VULN|2LHND|34AART|5RCVC|6DMG|7CDMG|8LIT|9RCR|aASPD
106	36426 31131	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	12VULN|3DUR|4LIT|5AART|6RCR|7ASPD|8FEWX|9LHND|aDMG
107	36426 31221	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	12VULN|3DUR|4LIT|5AART|6RCR|7ASPD|8DMG|9AME|aLHND
108	36426 31222	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	12VULN|3DUR|4LIT|5AART|6RCR|7ASPD|8DMG|9AME|aFEWX
109	36426 31231	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	12VULN|3DUR|4LIT|5AART|6RCR|7ASPD|8DMG|9LHND|aFEWX
110	36426 31233	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	12VULN|3DUR|4LIT|5AART|6RCR|7ASPD|8DMG|9LHND|aMLV
111	31125 41431	   	195.97	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1VULN|2LHND|3ASPD|46AART|5CGEN|7CDMG|8RCR|9DMG|aRCVC
112	32121 26322	   	195.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	16VULN|2FEWX|3ASPD|4AART|5LIT|7CDMG|8MLV|9DMG|aRCR
113	32121 26622	   	195.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	16VULN|2FEWX|3ASPD|4AART|5LIT|7CDMG|8AME|9DMG|aRCR
114	32125 22322	   	195.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2FEWX|3ASPD|4AART|5CGEN|6CDMG|7LIT|9DMG|aRCR
115	32224 22322	   	195.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2FEWX|3CGEN|4AART|5ASPD|6CDMG|7LIT|9DMG|aRCR
116	36426 33223	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	12VULN|3DUR|4LIT|5AART|6RCR|7AAC|8DMG|9AME|aASPD
117	36212 25241	 * 	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC	129VULN|3LIT|4ASPD|5CDMG|6DMG|7RCR|8AAC|aLWND
118	36212 25242	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC	129VULN|3LIT|4ASPD|5CDMG|6DMG|7RCR|8AAC|aLHND
119	36212 25434	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG	12aVULN|3LIT|4ASPD|5CDMG|6DMG|7RCR|8MBVNT|9LHND
120	36212 25531	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG	129VULN|3LIT|4ASPD|5CDMG|6DMG|7RCR|8ERES|aLWND
121	36212 25532	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG	129VULN|3LIT|4ASPD|5CDMG|6DMG|7RCR|8ERES|aLHND
122	36426 12211	   	195.90	DCR|4VULN|1AART|1ZMB|1DUR	1279VULN|3DUR|46LIT|5AART|8RCR|aZMB
123	31126 41431	   	195.87	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1VULN|2LHND|3ASPD|46AART|5ERES|7CDMG|8RCR|9DMG|aRCVC
124	32121 26422	   	195.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	16VULN|2FEWX|3ASPD|4AART|5LIT|7CDMG|8ERES|9DMG|aRCR
125	32126 22322	   	195.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2FEWX|3ASPD|4AART|5ERES|6CDMG|7LIT|9DMG|aRCR
126	32324 22322	   	195.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2FEWX|3ERES|4AART|5ASPD|6CDMG|7LIT|9DMG|aRCR
127	36426 31211	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR|1SELL	12VULN|3DUR|4LIT|5AART|6RCR|7ASPD|8DMG|9SELL|aERES
128	36426 31212	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR|1SELL	12VULN|3DUR|4LIT|5AART|6RCR|7ASPD|8DMG|9SELL|aFEWX
129	36426 31213	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1SELL	12VULN|3aDUR|4LIT|5AART|6RCR|7ASPD|8DMG|9SELL
130	36212 25124	   	195.81	DCR|3VULN|1ASPD|1DMG|1CDMG	12aVULN|3LIT|4ASPD|5CDMG|6DMG|7RCR|8DUST|9MBVNT
131	36212 25243	   	195.81	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1MSE	129VULN|3LIT|4ASPD|5CDMG|6DMG|7RCR|8AAC|aMSE
132	36212 25533	   	195.81	DCR|3VULN|1ASPD|1DMG|1CDMG|1MSE	129VULN|3LIT|4ASPD|5CDMG|6DMG|7RCR|8ERES|aMSE
133	31122 33522	 * 	195.78	DCR|2VULN|2AART|1ASPD|1DMG	18VULN|2LHND|3ASPD|47AART|5BELT|6LIT|9DMG|aRCR
134	31133 35211	   	195.72	DCR|3VULN|1AART|1ASPD|1CDMG	145VULN|2LHND|3ASPD|6AART|7CDMG|8LIT|9RCR|aFEWX
135	31133 35214	   	195.72	DCR|3VULN|1AART|1ASPD|1CDMG	145VULN|2LHND|3ASPD|6AART|7CDMG|8LIT|9RCR|aLWND
136	36255 21313	 * 	195.72	DCR|3VULN|1AART|1DMG|1CDMG	12aVULN|37LIT|4AART|5CDMG|6DMG|8LHND|9RCR
137	36453 11332	   	195.70	DCR|3VULN|1ASPD|1CDMG|2ZMB|1DUR	125VULN|3DUR|4aZMB|6ASPD|7MBVNT|8RCR|9CDMG
138	36212 25114	   	195.66	DCR|2VULN|2DMG|1ASPD|1CDMG	12VULN|3LIT|4ASPD|5CDMG|6aDMG|7RCR|8DUST|9VENFST
139	31125 41433	   	195.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1VULN|2LHND|3ASPD|46AART|5CGEN|7CDMG|8RCR|9DMG|aMLV
140	31126 41433	   	195.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1VULN|2LHND|3ASPD|46AART|5ERES|7CDMG|8RCR|9DMG|aMLV
141	31513 41432	   	195.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1VULN|2LHND|36AART|4CGEN|5ERES|7CDMG|8RCR|9DMG|aASPD
142	32326 41433	   	195.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1VULN|2FEWX|3ERES|46AART|5CGEN|7CDMG|8RCR|9DMG|aASPD
143	62313 21562	 * 	195.38	ACR|2VULN|2DMG|2ASPD|1AART	1RCVC|28ASPD|38DUST|4RCR|5aVULN|6BEXP|78DMG|8BPWR|9AART
144	31163 35212	   	194.99	DCR|2VULN|2ASPD|1AART|1CDMG	15VULN|2LHND|3aASPD|4RCVC|6AART|7CDMG|8LIT|9RCR
145	35133 35212	   	194.89	DCR|2VULN|2ASPD|1AART|1CDMG	15VULN|2DUST|3aASPD|4RCVC|6AART|7CDMG|8LIT|9RCR
146	62663 21313	   	194.82	DCR|3VULN|2ASPD|1ZMB|1DUR	1RCVC|2aASPD|35aVULN|4DUR|6ZMB|7MBVNT|8RCR|9aLIT|aBPWR
147	36126 36312	 * 	194.42	DCR|1SPLARM|2VULN|2AART|1CDMG	12VULN|3LHND|4LIT|59AART|6RCR|7DMSP|8SPLARM|aCDMG
148	36253 36312	   	194.42	DCR|1SPLARM|2VULN|2AART|1CDMG	12VULN|3LIT|49AART|5LHND|6RCR|7DMSP|8SPLARM|aCDMG
149	35123 12561	   	194.37	DCR|3VULN|2ASPD|1CDMG|1DUR	15aVULN|2DUST|36ASPD|4AELBLL|7DUR|8CDMG|9RCR
150	62633 21338	   	194.29	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1RCVC|2ASPD|35VULN|4FEWX|6ZMB|7MBVNT|8RCR|9CDMG|aAART
151	35113 12561	   	194.27	DCR|3VULN|2ASPD|1CDMG|1DUR	15aVULN|24DUST|36ASPD|7DUR|8CDMG|9RCR
152	31124 11431	   	194.12	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1VULN|2LHND|35ASPD|4AART|6AME|7CDMG|8RCR|9DMG|aRCVC
153	31124 41431	   	194.12	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1VULN|2LHND|35ASPD|4AART|6MLV|7CDMG|8RCR|9DMG|aRCVC
154	36426 32123	   	193.98	DCR|3VULN|1AART|1ASPD|1DUR	128VULN|3DUR|48LIT|5AART|6RCR|78LWND|8BPWR|9MLV|aASPD
155	36426 32133	   	193.98	DCR|3VULN|1AART|1ASPD|1DUR	128VULN|3DUR|48LIT|5AART|6RCR|78LWND|8BPWR|9AME|aASPD
156	36252 33312	   	193.96	DCR|2VULN|2AART|1ASPD|1CDMG	12VULN|3LIT|47AART|5CGEN|6CDMG|8LHND|9RCR|aASPD
157	36252 33613	 * 	193.96	DCR|2VULN|2AART|1NUKE|1CDMG	12VULN|3LIT|47AART|5CGEN|6CDMG|8FEWX|9RCR|aNUKE
158	36212 25612	   	193.91	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	12VULN|3LIT|4ASPD|58CDMG|6DMG|7RCR|9DUR|aFEWX
159	36212 25613	   	193.91	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	12VULN|3aLIT|4ASPD|58CDMG|6DMG|7RCR|9DUR
160	33426 31232	   	193.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1VULN|2MLV|3ZMB|4LIT|5AART|6RCR|7ASPD|8DMG|9LHND|aCDMG
161	33426 31252	   	193.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1VULN|2MLV|3ZMB|4LIT|5AART|6RCR|7ASPD|8DMG|9LWND|aCDMG
162	36426 32111	   	193.88	DCR|3VULN|1AART|1NUKE|1DUR	128VULN|3DUR|48LIT|5AART|6RCR|78LWND|8BPWR|9NUKE|aLHND
