0	Index      	 *	Score 	Summary	Detail	
1	16114 33241	 * 	219.82	DCR|2VULN|2DMG|2ASPD|1AART|1DUR	1DUST|29VULN|3AART|4ERES|5DUR|69DMG|7CGEN|89ASPD|9BPWR|aRCR
42	26131 31231	   	205.64	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2DUR|346VULN|5TLV|7BASARM|8DMG|9AART|aRCR
43	23172 44426	 * 	205.60	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1DUR|1SELL	18ASPD|2SELL|3MBVNT|4DUR|5MDPS|68CDMG|78VULN|8BPWR|9AART|aRCR
44	26135 13611	   	205.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2DUR|34VULN|57DMG|6FEWX|8AART|9BEXP|aRCR
45	26131 63332	 * 	205.37	DCR|3DMG|2VULN|1ASPD|1DUR	1ASPD|2DUR|34VULN|5TLV|6RCR|79aDMG|8LWND
46	26131 63432	   	205.37	DCR|3DMG|2VULN|1ASPD|1DUR	1ASPD|2DUR|34VULN|5TLV|6RCR|79aDMG|8LHND
47	23131 45432	 * 	205.32	DCR|3VULN|2DMG|2ASPD|1AAC|1SELL	18ASPD|2SELL|3MBVNT|478VULN|5AAC|68DMG|8BPWR|9LIT|aRCR
48	26131 63532	   	205.27	DCR|3DMG|2VULN|1ASPD|1DUR	1ASPD|2DUR|34VULN|5TLV|6RCR|79aDMG|8DUST
49	24344 33122	   	205.12	DCR|2ASPD|1VULN|2CDMG|1AART|1DMG	17ASPD|2ERES|3VULN|4LHND|5AART|6RCR|89CDMG|aDMG
50	23133 67181	 * 	204.56	DCR|3VULN|3ASPD|1DMG|1SELL	156ASPD|2SELL|3MBVNT|46aVULN|6BPWR|7ERES|8RCR|9DMG
51	26131 63242	 * 	204.38	DCR|3VULN|2ASPD|1DMG|1DUR	19ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|89MLV|9BPWR|aAME
52	26131 63243	   	204.38	DCR|3VULN|2ASPD|1DMG|1DUR	19ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|89MLV|9BPWR|aRMIN
53	23133 42433	 * 	204.37	DCR|3VULN|3ASPD|2CDMG|1SELL	158ASPD|2SELL|3MBVNT|468VULN|78CDMG|8BPWR|9LHND|aRCR
54	22351 21232	 * 	204.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|2ZMB|39aVULN|4MULARM|5BEXP|6CDMG|7DMG|8RCR
55	23133 67184	 * 	204.31	DCR|3ASPD|2VULN|2DMG|1SELL	156ASPD|2SELL|3MBVNT|46VULN|6BPWR|7ERES|8RCR|9aDMG
56	26131 63241	   	204.28	DCR|3VULN|2ASPD|1DMG|1DUR	19ASPD|2DUR|349VULN|5TLV|6RCR|7DMG|89MLV|9BPWR|aDUST
57	26131 63226	   	204.18	DCR|3VULN|2ASPD|1DMG|1DUR	1aASPD|2DUR|349VULN|5TLV|6RCR|7DMG|8MLV
58	26151 63112	   	204.18	DCR|3VULN|2ASPD|1DMG|1DUR	14ASPD|2DUR|39aVULN|5TLV|6RCR|7DMG|8FEWX
59	22125 52326	   	204.14	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB|1DUR	1ASPD|2ZMB|3DUST|4AAC|5DMG|6DUR|7RCR|8aVULN|9AART
60	16212 23215	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	13DUST|23VULN|3BPWR|4DUR|5BEXP|6AART|78ASPD|9RCR|aDMG
61	16214 23215	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	13DUST|23VULN|3BPWR|4DUR|5AART|6LHND|78ASPD|9RCR|aDMG
62	16312 23215	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DUST|23VULN|4DUR|5BEXP|6AART|78ASPD|9RCR|aDMG
63	16314 23215	   	204.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DUST|23VULN|4DUR|5AART|6LHND|78ASPD|9RCR|aDMG
64	16216 23215	   	204.03	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	13DUST|23VULN|3BPWR|4DUR|5LEGI|6AART|78ASPD|9RCR|aDMG
65	16316 23215	   	204.03	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DUST|23VULN|4DUR|5LEGI|6AART|78ASPD|9RCR|aDMG
66	26151 63132	   	203.94	DCR|2VULN|2DMG|2ASPD|1DUR	14ASPD|2DUR|3aVULN|5TLV|6RCR|79DMG|8FEWX
67	26151 63312	   	203.94	DCR|2VULN|2DMG|2ASPD|1DUR	14ASPD|2DUR|39VULN|5TLV|6RCR|7aDMG|8LWND
68	21113 44422	 * 	203.85	DCR|2AART|1MDPS|2ASPD|1VULN|1DMG|1ZMB	13ASPD|2MDPS|3BPWR|4ZMB|5CGEN|6VULN|7DMG|8RCR|9aAART
69	23168 62423	 * 	203.81	DCR|3ASPD|2DMG|1VULN|2CDMG|1SELL	148ASPD|2SELL|3MBVNT|48BPWR|5CGEN|68DMG|78CDMG|9VULN|aRCR
70	21134 34422	   	203.75	DCR|2AART|1MDPS|2ASPD|1VULN|1DMG|1ZMB	13ASPD|2MDPS|3BPWR|4VULN|5ZMB|6ERES|7DMG|8RCR|9aAART
71	21111 44422	   	203.75	DCR|2AART|1MDPS|2ASPD|1VULN|1DMG|1ZMB	13ASPD|2MDPS|3BPWR|4ZMB|5ERES|6VULN|7DMG|8RCR|9aAART
72	23167 62423	 * 	203.71	DCR|3ASPD|2DMG|1VULN|2CDMG|1SELL	148ASPD|2SELL|3MBVNT|48BPWR|5ERES|68DMG|78CDMG|9VULN|aRCR
73	13165 43132	   	203.68	DCR|2VULN|2AART|1ASPD|1DMG	1DUST|2BEXP|3aAART|4LHND|58VULN|6RCR|7ASPD|9DMG
74	23133 68821	 * 	203.46	DCR|3ASPD|2VULN|1NUKE|1ZMB|1DUR|1SELL	156ASPD|2SELL|3MBVNT|46VULN|6BPWR|7ZMB|8DUR|9RCR|aNUKE
75	23133 68824	 * 	203.46	DCR|3ASPD|2VULN|1DMG|1ZMB|1DUR|1SELL	156ASPD|2SELL|3MBVNT|46VULN|6BPWR|7ZMB|8DUR|9RCR|aDMG
76	22325 34633	 * 	203.28	DCR|2VULN|2AAC|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2ZMB|36VULN|4aAAC|5DMG|7DUR|8AART|9RCR
77	21321 53124	 * 	202.73	ACR|2DMG|1MDPS|2ASPD|1VULN|1AART|1CDMG|2DUR	17ASPD|2MDPS|3RCR|47DMG|57DUR|6BELT|7BPWR|8AART|9VULN|aCDMG
78	22312 14426	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2ZMB|3aVULN|4DUR|5BEXP|6RMIN|7DMG|8RCR|9AART
79	21321 53126	 * 	202.14	ACR|3DMG|1MDPS|2ASPD|1VULN|1AART|2DUR	17ASPD|2MDPS|3RCR|47aDMG|57DUR|6BELT|7BPWR|8AART|9VULN
80	26151 31231	   	202.03	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	14ASPD|2DUR|36VULN|5TLV|7BASARM|8DMG|9AART|aRCR
81	22326 51222	   	201.93	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1ZMB|1DUR	1ASPD|2ZMB|3VULN|4AAC|5DUR|6RCR|7FEWX|8DMG|9aAART
82	22322 52222	   	201.83	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1ZMB|1DUR	1ASPD|2ZMB|3VULN|4AAC|5LEGI|6RCR|7DUR|8DMG|9aAART
83	22312 21466	   	201.71	DCR|2VULN|2ASPD|1AART|2ZMB|1DUR	19ASPD|28ZMB|3aVULN|4DUR|5BEXP|6AART|7RCR
84	22312 21462	   	201.40	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB|1DUR	19ASPD|28ZMB|3VULN|4DUR|5BEXP|6AART|7RCR|aDMG
85	22314 21462	   	201.40	DCR|2ASPD|1AART|1VULN|1DMG|2ZMB|1DUR	19ASPD|28ZMB|3VULN|4DUR|5AART|6LHND|7RCR|aDMG
86	26112 21462	   	201.40	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB|1DUR	19ASPD|2DUR|3VULN|48ZMB|5BEXP|6AART|7RCR|aDMG
87	22344 32623	   	201.37	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1ASPD|2ZMB|38VULN|4LHND|5AART|6RCR|7MLV|9DMG|aAAC
88	22344 34322	   	201.33	DCR|1AART|1VULN|2CDMG|1ASPD|1DMG|1ZMB	1ASPD|2ZMB|3VULN|48LHND|5AART|6RCR|79CDMG|aDMG
89	22315 21462	   	201.30	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB|1DUR	19ASPD|28ZMB|3VULN|4DUR|5DUST|6AART|7RCR|aDMG
90	22325 32631	   	201.20	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1AAC|1ZMB	1ASPD|2ZMB|36VULN|4AAC|5DMG|7DUST|8AART|9RCR|aMDPS
91	22344 34122	 * 	201.12	DCR|1SPLARM|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|2ZMB|3VULN|4LHND|5AART|6RCR|7CDMG|8LIT|9SPLARM|aDMG
92	23171 46135	 * 	200.73	DCR|2AART|2DMG|2ASPD|2DUR|1AAC|1SELL	1aASPD|2SELL|3MBVNT|4aDUR|5AAC|6aDMG|79AART|8RCR|aBPWR
93	22351 21252	 * 	200.73	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	19ASPD|2ZMB|3aVULN|4MULARM|5BEXP|6CDMG|7DMG|8RCR
94	22152 21252	   	200.53	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	19ASPD|2ZMB|3DUST|4CANARM|5aVULN|6CDMG|7DMG|8RCR
95	23133 62141	 * 	200.44	DCR|4VULN|3ASPD|1SELL	156ASPD|2SELL|3MBVNT|469aVULN|6BPWR|7AME|8RCR
96	23133 67141	 * 	200.34	DCR|4VULN|3ASPD|1SELL	156ASPD|2SELL|3MBVNT|469aVULN|6BPWR|7ERES|8RCR
97	26131 61115	 * 	200.30	DCR|3VULN|1ASPD|1NUKE|1ZMB|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7ZMB|8FEWX|aNUKE
98	26131 61312	   	200.30	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7ZMB|8LWND|aDMG
99	26131 61412	   	200.30	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7ZMB|8LHND|aDMG
100	26134 61312	   	200.30	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2DUR|349VULN|5ERES|6RCR|7ZMB|8LWND|aDMG
101	23453 51121	 * 	200.24	DCR|3VULN|3ASPD|1ZMB|1SELL	169ASPD|2SELL|3RCVC|46aVULN|5LEGI|6BPWR|7RCR|8ZMB
102	26131 61512	   	200.20	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2DUR|349VULN|5TLV|6RCR|7ZMB|8DUST|aDMG
103	22325 52361	   	200.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1ASPD|2ZMB|3VULN|4AAC|5DMG|6DUR|7RCR|8AELBLL|9CDMG|aAART
104	22326 54112	   	200.05	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB|1DUR	1ASPD|2ZMB|39VULN|4AAC|5DUR|6RCR|7aDMG|8AME
105	26131 62126	 * 	199.97	DCR|4VULN|2ASPD|1DUR	1aASPD|2DUR|3479VULN|5TLV|6RCR|8LHND
106	23533 51224	   	199.95	DCR|4VULN|2ASPD|1ZMB|1SELL	15ASPD|2SELL|36LHND|468aVULN|6BPWR|7RCR|9ZMB
107	22325 52522	   	199.93	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1ZMB|1DUR	1ASPD|2ZMB|3VULN|4AAC|5DMG|6DUR|7RCR|8FEWX|9aAART
108	66133 51321	 * 	199.92	DCR|2VULN|2ASPD|2CDMG|1DMG	16LHND|29ASPD|34VULN|56CDMG|6BPWR|7RCR|8DMG|aRPLT
109	66133 51322	   	199.92	DCR|2VULN|2ASPD|2CDMG|1DMG	16aLHND|29ASPD|34VULN|56CDMG|6BPWR|7RCR|8DMG
110	22125 52322	   	199.83	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1ZMB|1DUR	1ASPD|2ZMB|3DUST|4AAC|5DMG|6DUR|7RCR|8VULN|9aAART
111	66133 51323	   	199.82	DCR|2VULN|2ASPD|2CDMG|1DMG|1MSE	16LHND|29ASPD|34VULN|56CDMG|6BPWR|7RCR|8DMG|aMSE
112	16133 53215	   	199.82	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	1DUST|2VULN|34AART|5LWND|6DUR|78ASPD|9RCR|aDMG
113	23533 51351	   	199.68	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	15ASPD|2SELL|36LHND|46VULN|6BPWR|7RCR|8DMG|9MBVNT|aAART
114	22352 12611	 * 	199.41	DCR|2VULN|2AART|1MDPS|1ASPD|1ZMB	1ASPD|2ZMB|35VULN|4MULARM|69AART|7MLV|8RCR|aMDPS
115	66131 63132	   	199.24	DCR|3VULN|2DMG|1ASPD	1LHND|2ASPD|34aVULN|5TLV|6RCR|79DMG|8FEWX
116	66131 63312	   	199.24	DCR|3VULN|2DMG|1ASPD	1LHND|2ASPD|349VULN|5TLV|6RCR|7aDMG|8LWND
117	26151 63332	 * 	199.21	DCR|3DMG|2ASPD|1VULN|1DUR	14ASPD|2DUR|3VULN|5TLV|6RCR|79aDMG|8LWND
118	66114 33321	   	199.13	DCR|2VULN|2ASPD|1AART|1ZMB	1LHND|27ASPD|3aVULN|4ZMB|5AART|6RCR|8SPLREG|9BEXP
119	22344 33321	   	199.13	DCR|2VULN|2ASPD|1AART|1ZMB	17ASPD|2ZMB|3aVULN|4LHND|5AART|6RCR|8SPLREG|9BEXP
120	24344 32222	   	199.03	DCR|2DMG|2ASPD|1VULN|1AART	18ASPD|2ERES|3VULN|4LHND|5AART|6RCR|7MLV|9aDMG
121	23533 51261	 * 	198.98	DCR|4VULN|1MDPS|2ASPD|1SELL	15ASPD|2SELL|36LHND|4689VULN|6BPWR|7RCR|aMDPS
122	24344 33222	   	198.93	DCR|2DMG|2ASPD|1VULN|1AART	17ASPD|2ERES|3VULN|4LHND|5AART|6RCR|8TLV|9aDMG
123	23133 62388	 * 	198.84	DCR|3VULN|3ASPD|1CDMG|1SELL	156ASPD|2SELL|3MBVNT|46aVULN|6BPWR|7AME|8CDMG|9RCR
124	66114 33313	   	198.81	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	1LHND|27ASPD|3VULN|4ZMB|5AART|6RCR|8SPLREG|9AME|aDMG
125	22344 33313	   	198.81	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	17ASPD|2ZMB|3VULN|4LHND|5AART|6RCR|8SPLREG|9AME|aDMG
126	21523 53124	   	198.73	ACR|2DMG|1MDPS|2ASPD|1VULN|1AART|1CDMG|2DUR	17ASPD|2MDPS|37DUR|47DMG|5RCR|6BELT|7BPWR|8AART|9VULN|aCDMG
127	23133 45821	 * 	198.44	DCR|4VULN|3ASPD|1SELL	157ASPD|2SELL|3MBVNT|467aVULN|7BPWR|8MLV|9RCR
128	23133 62221	 * 	198.44	DCR|4VULN|3ASPD|1SELL	156ASPD|2SELL|3MBVNT|468aVULN|6BPWR|7AME|9RCR
129	23133 66821	 * 	198.44	DCR|4VULN|3ASPD|1SELL	156ASPD|2SELL|3MBVNT|467aVULN|6BPWR|8MLV|9RCR
130	23133 67221	 * 	198.34	DCR|4VULN|3ASPD|1SELL	156ASPD|2SELL|3MBVNT|468aVULN|6BPWR|7ERES|9RCR
131	22344 34211	 * 	198.22	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2ZMB|3VULN|4LHND|59AART|6RCR|7CDMG|8DUR|aFEWX
132	22344 34213	   	198.22	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2ZMB|3VULN|4LHND|59AART|6RCR|7CDMG|8DUR|aLWND
133	21523 53126	   	198.14	ACR|3DMG|1MDPS|2ASPD|1VULN|1AART|2DUR	17ASPD|2MDPS|37DUR|47aDMG|5RCR|6BELT|7BPWR|8AART|9VULN
134	22344 34212	   	198.12	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR|1SELL	1ASPD|2ZMB|3VULN|4LHND|59AART|6RCR|7CDMG|8DUR|aSELL
135	22325 52112	   	198.05	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB|1DUR	1ASPD|2ZMB|39VULN|4AAC|5aDMG|6DUR|7RCR|8AME
136	22325 52622	   	198.05	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB|1DUR	1ASPD|2ZMB|39VULN|4AAC|58DMG|6DUR|7RCR|aAME
137	22344 32326	   	198.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2ZMB|3aVULN|4LHND|5AART|6RCR|78MLV|9DMG
138	22312 14422	   	198.03	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2ZMB|3VULN|4DUR|5BEXP|6RMIN|7DMG|8RCR|9aAART
139	22335 16422	   	198.03	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2ZMB|3VULN|4RMIN|5DMG|6FEWX|7DUR|8RCR|9aAART
140	22336 34422	   	198.03	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2ZMB|3VULN|4RMIN|5DUR|6LHND|7DMG|8RCR|9aAART
141	26112 14422	   	198.03	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2DUR|3VULN|4ZMB|5BEXP|6RMIN|7DMG|8RCR|9aAART
142	24344 33333	   	198.01	DCR|2VULN|2ASPD|1AART|1CDMG	17ASPD|2ERES|3aVULN|4LHND|5AART|6RCR|8MULFIG|9CDMG
143	24344 33121	   	197.98	DCR|3ASPD|1VULN|2CDMG|1AART	17aASPD|2ERES|3VULN|4LHND|5AART|6RCR|89CDMG
144	22325 52621	   	197.95	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB|1DUR	1ASPD|2ZMB|39VULN|4AAC|58DMG|6DUR|7RCR|aDUST
145	22325 52623	   	197.95	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB|1DUR|1MSE	1ASPD|2ZMB|39VULN|4AAC|58DMG|6DUR|7RCR|aMSE
146	22135 52422	   	197.93	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2ZMB|3DUST|4AME|5DMG|6DUR|7VULN|8RCR|9aAART
147	22315 14422	   	197.93	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2ZMB|3VULN|4DUR|5DUST|6RMIN|7DMG|8RCR|9aAART
148	22326 34422	   	197.93	DCR|2AART|1VULN|1ASPD|1DMG|1AAC|1ZMB|1DUR	1ASPD|2ZMB|3VULN|4AAC|5DUR|6LHND|7DMG|8RCR|9aAART
149	23133 63282	 * 	197.90	DCR|3ASPD|2VULN|1MDPS|1AART|1SELL	156ASPD|2SELL|3MBVNT|46VULN|6BPWR|7LHND|8AART|9RCR|aMDPS
150	22322 51226	   	197.84	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1ASPD|2ZMB|3aVULN|4AAC|5LEGI|6RCR|7FEWX|8DMG|9AART
151	23532 26226	 * 	197.76	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1SELL	18ASPD|2SELL|3LHND|4aVULN|5MDPS|6RCR|7CDMG|9AART
152	16133 23615	   	197.58	DCR|2VULN|2AART|1ASPD|1DMG	1DUST|28VULN|34AART|5LWND|6LEGI|7ASPD|9RCR|aDMG
153	66135 12211	   	197.53	DCR|3VULN|1AART|1ASPD|1DMG	1LHND|2ASPD|347VULN|5DMG|6FEWX|8AART|9BEXP|aRCR
154	23136 43727	 * 	197.51	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1ASPD|2SELL|3MBVNT|4aVULN|5ERES|6CDMG|7DMG|8AART|9RCR
155	66131 63112	   	197.50	DCR|4VULN|1ASPD|1DMG	1LHND|2ASPD|349aVULN|5TLV|6RCR|7DMG|8FEWX
