0	Index      	 *	Score 	Summary	Detail	
1	13343 26827	 * 	224.20	DCR|2VULN|2AART|2ASPD|1DMG|1DUR	1aDUST|2MBVNT|3aVULN|4DMG|58AART|6DUR|7RCR|9aASPD|aBPWR
14	32643 33413	   	207.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1aLHND|26VULN|3DUR|4AART|57DMG|8ASPD|9RCR
15	13343 12116	   	207.52	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	1DUST|2MBVNT|36VULN|46DMG|5AART|6BPWR|7ZMB|8ASPD|9CGEN|aRCR
16	13353 12116	   	207.52	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	1DUST|2MBVNT|36VULN|4AART|56DMG|6BPWR|7ZMB|8ASPD|9CGEN|aRCR
17	13343 15156	   	207.42	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	1DUST|2MBVNT|36VULN|46DMG|5AART|6BPWR|7ERES|8ASPD|9ZMB|aRCR
18	13343 11768	   	207.16	DCR|3VULN|2DMG|1AART|1DUR	17DUST|2MBVNT|369VULN|46DMG|5AART|6BPWR|8RCR|aDUR
19	32643 33112	 * 	206.36	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1LHND|26VULN|3DUR|4AART|57DMG|8MLV|9RCR|aMDPS
20	32643 33512	   	206.36	DCR|2VULN|1MDPS|2DMG|1AART|1DUR	1LHND|26VULN|3DUR|4AART|57DMG|8CGEN|9RCR|aMDPS
21	32643 33212	   	206.26	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1LHND|26VULN|3DUR|4AART|57DMG|8TLV|9RCR|aMDPS
22	34343 62122	 * 	206.12	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG|1ZMB	1LHND|2DMG|3VULN|4CDMG|5BELT|6AART|7RCR|89ASPD|aZMB
23	36313 63631	 * 	205.55	DCR|5VULN|1ASPD|2ZMB	17LHND|27ZMB|3479aVULN|5RCVC|6RCR|7BPWR|8ASPD
24	36313 65231	   	205.46	DCR|4VULN|2DMG|1ZMB	1LHND|2ZMB|349aVULN|5RCVC|6RCR|78DMG
25	36313 65333	   	205.46	DCR|4VULN|2DMG|1ZMB	1LHND|2ZMB|3489VULN|5RCVC|6RCR|7aDMG
26	31541 13151	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG	12LHND|3ERES|4AART|59aVULN|6RCR|7DMG|8ASPD
27	25342 13151	   	205.33	DCR|3VULN|1AART|1ASPD|1DMG	12ERES|39aVULN|4AART|5BEXP|6RCR|7DMG|8ASPD
28	13343 26527	 * 	205.33	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1aDUST|2MBVNT|3VULN|4aDMG|5AART|6DUR|7RCR|8AELBLL|9aASPD|aBPWR
29	36313 65233	 * 	205.27	DCR|3VULN|3DMG|1ZMB	1LHND|2ZMB|349VULN|5RCVC|6RCR|78aDMG
30	34342 21631	 * 	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LHND|2DMG|37VULN|4CDMG|5TLV|6RCR|8ASPD|9LIT|aAART
31	13348 61282	 * 	203.09	DCR|3DMG|2VULN|1AART|1DUR	1DUST|2MBVNT|36VULN|456DMG|6BPWR|7LIT|8AART|9RCR|aDUR
32	36313 65331	 * 	202.13	DCR|5VULN|1DMG|1ZMB	1LHND|2ZMB|3489aVULN|5RCVC|6RCR|7DMG
33	32643 63112	 * 	202.05	DCR|2AART|2DMG|1MDPS|1VULN|1DUR	1LHND|2VULN|3DUR|46AART|57DMG|8MLV|9RCR|aMDPS
34	32643 63212	   	201.95	DCR|2AART|2DMG|1MDPS|1VULN|1DUR	1LHND|2VULN|3DUR|46AART|57DMG|8TLV|9RCR|aMDPS
35	13125 21174	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	19DUST|2MBVNT|3LIT|4RPLT|5AART|6RCR|79VULN|89ASPD|9BPWR|aDMG
36	14141 15122	 * 	201.62	DCR|3VULN|1AART|1DMG|1CDMG	138DUST|2DMG|4AART|589VULN|6RCR|78LWND|8BPWR|aCDMG
37	34114 15323	   	201.53	DCR|3VULN|1AART|1ASPD|1DMG	16LHND|2DMG|3DUST|46aVULN|5AART|6BPWR|7LWND|8RCR|9ASPD
38	11343 35323	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2LHND|36aVULN|4AART|5DMG|7LWND|8RCR|9ASPD
39	14334 35323	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2DMG|36aVULN|4LWND|5AART|7LHND|8RCR|9ASPD
40	32543 35323	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1LHND|26aVULN|3DUST|4AART|5DMG|7LWND|8RCR|9ASPD
41	34114 35323	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1LHND|2DMG|3DUST|46aVULN|5AART|7LWND|8RCR|9ASPD
42	32651 33133	   	201.39	DCR|3DMG|2VULN|1AART|1DUR	18LHND|28VULN|3DUR|4FEWX|568DMG|7AART|8BPWR|9RMIN|aRCR
43	32651 33163	   	201.39	DCR|3DMG|2VULN|1AART|1DUR	18LHND|28VULN|3DUR|4FEWX|568DMG|7AART|8BPWR|9CGEN|aRCR
44	32543 15323	   	201.29	DCR|2VULN|2DMG|1AART|1ASPD	16LHND|2aVULN|3DUST|4AART|56DMG|6BPWR|7LWND|8RCR|9ASPD
45	13343 61256	   	201.26	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB	17DUST|2MBVNT|3VULN|47DMG|5AART|67ASPD|7BPWR|8TLV|9ZMB|aRCR
46	13343 62156	   	201.26	DCR|2DMG|2ASPD|1VULN|1AART|1AAC|1ZMB	18DUST|2MBVNT|3VULN|48DMG|5AART|68ASPD|7AAC|8BPWR|9ZMB|aRCR
47	11343 15323	   	201.19	DCR|2VULN|2DMG|1AART|1ASPD	16DUST|2LHND|3aVULN|4AART|56DMG|6BPWR|7LWND|8RCR|9ASPD
48	13343 11744	   	201.09	DCR|2VULN|2DMG|1AART|1ASPD	17DUST|2MBVNT|36VULN|46DMG|5AART|6BPWR|8RCR|9LHND|aASPD
49	13353 11744	   	201.09	DCR|2VULN|2DMG|1AART|1ASPD	17DUST|2MBVNT|36VULN|4AART|56DMG|6BPWR|8RCR|9LHND|aASPD
50	14141 12141	   	201.05	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	13DUST|2DMG|4AART|5aVULN|6RCR|79ZMB|8ASPD
51	13343 12136	   	200.55	DCR|2VULN|2DMG|1AART|1ASPD|1AAC|1ZMB	1DUST|2MBVNT|36VULN|46DMG|5AART|6BPWR|7ZMB|8ASPD|9AAC|aRCR
52	13353 12136	   	200.55	DCR|2VULN|2DMG|1AART|1ASPD|1AAC|1ZMB	1DUST|2MBVNT|36VULN|4AART|56DMG|6BPWR|7ZMB|8ASPD|9AAC|aRCR
53	13352 34561	 * 	200.41	DCR|2VULN|1MDPS|1AART|1CDMG|2ZMB|1DUR	19DUST|2MBVNT|39VULN|4AART|5CDMG|6DUR|79ZMB|8RCR|9BPWR|aMDPS
54	34343 62133	 * 	200.40	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG	1LHND|2DMG|3VULN|4CDMG|5BELT|6AART|7RCR|8ASPD|9CGEN|aMDPS
55	13341 54178	 * 	200.14	DCR|2VULN|1MDPS|2DMG|1ASPD	1DUST|2MBVNT|38VULN|49DMG|5LIT|6RCR|7ASPD|aMDPS
56	32646 22323	   	200.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1LHND|25aVULN|3DUR|4AART|6LEGI|7ZMB|8RCR|9ASPD
57	34331 22211	   	199.92	DCR|2VULN|2ASPD|1AART|1DMG	1LHND|2DMG|39VULN|4LWND|5LIT|6AART|7RCR|8aASPD
58	14213 51315	   	199.90	DCR|2DMG|2ASPD|1VULN|1AART|1AAC	17DUST|27DMG|38BEXP|4VULN|5AART|67ASPD|7BPWR|9RCR|aAAC
59	11343 65323	   	199.68	DCR|2VULN|2AART|1ASPD|1DMG	1DUST|2LHND|3aVULN|46AART|5DMG|7LWND|8RCR|9ASPD
60	13125 21172	 * 	199.59	DCR|3VULN|2ASPD|1AART	19DUST|2MBVNT|3LIT|4RPLT|5AART|6RCR|79aVULN|89ASPD|9BPWR
61	32312 51416	   	199.53	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1LHND|236VULN|46FEWX|5AAC|6BPWR|7AART|8ASPD|9RCR|aDMG
62	32314 51411	   	199.39	DCR|2VULN|2DMG|1AART|1ASPD	16LHND|23VULN|4FEWX|56DMG|6BPWR|7AART|8ASPD|9RCR|aRCVC
63	32314 51412	   	199.39	DCR|2VULN|2DMG|1AART|1ASPD	16LHND|23VULN|4FEWX|56DMG|6BPWR|7AART|8ASPD|9RCR|aCGEN
64	32314 51413	   	199.39	DCR|2VULN|2DMG|1AART|1ASPD	16aLHND|23VULN|4FEWX|56DMG|6BPWR|7AART|8ASPD|9RCR
65	34313 11416	   	199.29	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2aDMG|34VULN|5RCVC|6FEWX|7AART|8ASPD|9RCR
66	34332 36323	   	199.29	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|26DMG|3aVULN|4LWND|5FEWX|7ASPD|8AART|9RCR
67	13343 61547	   	199.23	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	17DUST|2MBVNT|3VULN|47DMG|5AART|67ASPD|7BPWR|8DUR|9DLOT|aRCR
68	13357 11425	 * 	199.16	DCR|4VULN|3ZMB|1AART	179DUST|2MBVNT|3689VULN|4AART|569ZMB|69BPWR|aRCR
69	13343 11746	   	198.86	DCR|3VULN|2DMG|1AART	17DUST|2MBVNT|36aVULN|46DMG|5AART|6BPWR|8RCR|9LHND
70	13343 11762	   	198.86	DCR|3VULN|2DMG|1AART	17DUST|2MBVNT|369VULN|46DMG|5AART|6BPWR|8RCR|aCGEN
71	13343 11763	   	198.86	DCR|3VULN|2DMG|1AART	17DUST|2MBVNT|369VULN|46DMG|5AART|6BPWR|8RCR|aAME
72	13343 11764	   	198.86	DCR|3VULN|2DMG|1AART	17DUST|2MBVNT|369VULN|46DMG|5AART|6BPWR|8RCR|aSPLJET
73	13343 11767	   	198.86	DCR|3VULN|2DMG|1AART	17DUST|2MBVNT|369VULN|46DMG|5AART|6BPWR|8RCR|aMLV
74	13343 11774	   	198.86	DCR|3VULN|2DMG|1AART	17DUST|2MBVNT|36aVULN|46DMG|5AART|6BPWR|8RCR|9BEXP
75	13353 11746	   	198.86	DCR|3VULN|2DMG|1AART	17DUST|2MBVNT|36aVULN|4AART|56DMG|6BPWR|8RCR|9LHND
76	13353 11762	   	198.86	DCR|3VULN|2DMG|1AART	17DUST|2MBVNT|369VULN|4AART|56DMG|6BPWR|8RCR|aCGEN
77	13353 11763	   	198.86	DCR|3VULN|2DMG|1AART	17DUST|2MBVNT|369VULN|4AART|56DMG|6BPWR|8RCR|aAME
78	13353 11764	   	198.86	DCR|3VULN|2DMG|1AART	17DUST|2MBVNT|369VULN|4AART|56DMG|6BPWR|8RCR|aSPLJET
79	13353 11774	   	198.86	DCR|3VULN|2DMG|1AART	17DUST|2MBVNT|36aVULN|4AART|56DMG|6BPWR|8RCR|9BEXP
80	13343 11766	   	198.76	DCR|3VULN|2DMG|1AART	17DUST|2MBVNT|369VULN|46DMG|5AART|6BPWR|8RCR|aERES
81	13343 11756	   	198.13	DCR|2VULN|2DMG|1AART|1AAC|1ZMB	17DUST|2MBVNT|36VULN|46DMG|5AART|6BPWR|8RCR|9ZMB|aAAC
82	36313 61432	   	198.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LHND|2ZMB|34VULN|5RCVC|6RCR|7AART|8ASPD|9RPLT|aDMG
83	14141 12153	   	197.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	13aDUST|2DMG|4AART|5aVULN|6RCR|7ZMB|8ASPD|9aBEXP|aBPWR
84	32332 14452	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1LHND|23VULN|4CDMG|5AAC|6AART|7FEWX|8ASPD|9RCR|aDMG
85	32332 32653	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1LHND|23VULN|4CDMG|5AAC|6DMG|7BEXP|8ASPD|9RCR|aAART
86	34342 21622	 * 	197.84	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB	1LHND|2DMG|37VULN|49CDMG|5TLV|6RCR|8ASPD|aZMB
87	32124 35622	 * 	197.83	DCR|3VULN|2AART|1CDMG	15LHND|24aVULN|34LIT|4BPWR|6RCR|79AART|8CDMG
88	32162 35622	   	197.73	DCR|3VULN|2AART|1CDMG	1LHND|24aVULN|35LIT|6RCR|79AART|8CDMG
89	35312 25234	   	197.47	DCR|3VULN|3DMG|1ZMB	19LHND|2CGEN|349VULN|5MLV|6ZMB|789DMG|9BPWR|aRCR
90	25345 22121	 * 	197.44	DCR|4VULN|2AART|1DUR	12ERES|3567VULN|49AART|8DUR|aRCR
91	13343 11718	   	197.28	DCR|2VULN|2DMG|1AART|1CDMG	17DUST|2MBVNT|36VULN|46DMG|5AART|6BPWR|8RCR|9CGEN|aCDMG
92	13343 11781	   	197.28	DCR|2VULN|2DMG|1AART|1CDMG	17DUST|2MBVNT|36VULN|46DMG|5AART|6BPWR|8RCR|9LIT|aCDMG
93	13353 11718	   	197.28	DCR|2VULN|2DMG|1AART|1CDMG	17DUST|2MBVNT|36VULN|4AART|56DMG|6BPWR|8RCR|9CGEN|aCDMG
94	13353 11781	   	197.28	DCR|2VULN|2DMG|1AART|1CDMG	17DUST|2MBVNT|36VULN|4AART|56DMG|6BPWR|8RCR|9LIT|aCDMG
95	16312 25234	   	197.27	DCR|3VULN|3DMG|1ZMB	19DUST|2ZMB|349VULN|5MLV|6CGEN|789DMG|9BPWR|aRCR
96	13343 71761	 * 	197.25	DCR|3VULN|2AART|1DMG	17DUST|2MBVNT|39aVULN|4DMG|56AART|8RCR
97	13343 11788	 * 	197.10	DCR|2VULN|2AART|2DMG	17DUST|2MBVNT|36VULN|46DMG|5aAART|6BPWR|8RCR|9LIT
98	13343 16847	   	197.09	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|2MBVNT|36VULN|46DMG|5AART|6BPWR|7LWND|8ASPD|9DLOT|aRCR
99	13815 41148	   	197.09	DCR|2VULN|2DMG|1AART|1ASPD	17DUST|2MBVNT|3TLV|47VULN|5AART|67DMG|7BPWR|8ASPD|9LHND|aRCR
100	13343 14344	 * 	196.86	DCR|3VULN|2DMG|1MDPS|1AART	1DUST|2MBVNT|36aVULN|46DMG|5AART|6BPWR|7BEXP|8MDPS|9RCR
101	13343 15226	   	196.86	DCR|3VULN|2DMG|1AART	1DUST|2MBVNT|36aVULN|46DMG|5AART|6BPWR|7ERES|8CGEN|9RCR
102	13343 16342	   	196.86	DCR|3VULN|2DMG|1MDPS|1AART	1DUST|2MBVNT|36aVULN|46DMG|5AART|6BPWR|7LWND|8MDPS|9RCR
103	13353 14344	   	196.86	DCR|3VULN|2DMG|1MDPS|1AART	1DUST|2MBVNT|36aVULN|4AART|56DMG|6BPWR|7BEXP|8MDPS|9RCR
104	13353 15226	   	196.86	DCR|3VULN|2DMG|1AART	1DUST|2MBVNT|36aVULN|4AART|56DMG|6BPWR|7ERES|8CGEN|9RCR
105	13353 16342	   	196.86	DCR|3VULN|2DMG|1MDPS|1AART	1DUST|2MBVNT|36aVULN|4AART|56DMG|6BPWR|7LWND|8MDPS|9RCR
106	13343 11773	   	196.78	DCR|3DMG|2VULN|1AART	17aDUST|2MBVNT|36VULN|46aDMG|5AART|6aBPWR|8RCR|9aBEXP
107	13353 11773	   	196.78	DCR|3DMG|2VULN|1AART	17aDUST|2MBVNT|36VULN|4AART|56aDMG|6aBPWR|8RCR|9aBEXP
108	13343 11748	   	196.68	DCR|3DMG|2VULN|1AART	17DUST|2MBVNT|36VULN|46aDMG|5AART|6BPWR|8RCR|9LHND
109	13353 11748	   	196.68	DCR|3DMG|2VULN|1AART	17DUST|2MBVNT|36VULN|4AART|56aDMG|6BPWR|8RCR|9LHND
110	34342 21336	   	196.48	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1LHND|2DMG|379VULN|4CDMG|5TLV|6RCR|8DUR|aZMB
111	34331 22212	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LHND|2DMG|39VULN|4LWND|5LIT|6AART|7RCR|8ASPD|aZMB
112	32123 35635	   	195.82	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|24aVULN|34LIT|4BPWR|5CGEN|6DMG|7AART|8CDMG|9RCR
113	13723 81211	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2MBVNT|3DUR|4AART|5DMG|6RCR|7LIT|8ASPD|9aVULN
114	13723 81822	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2MBVNT|3DUR|4AART|5DMG|6RCR|7LIT|89VULN|aASPD
115	13723 81831	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2MBVNT|3DUR|4AART|5DMG|6RCR|7LIT|8aVULN|9ASPD
116	25141 13152	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	12ERES|3DUR|4AART|59VULN|6RCR|7DMG|8ASPD|aCGEN
117	25141 13153	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	12ERES|3DUR|4AART|59VULN|6RCR|7DMG|8ASPD|aAME
118	34342 21623	   	195.81	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	1LHND|2DMG|37VULN|49CDMG|5TLV|6RCR|8ASPD|aDUR
119	36313 61151	   	195.80	DCR|3VULN|1AART|1DMG|1ZMB	1LHND|2ZMB|34aVULN|5RCVC|6RCR|7AART|8MLV|9DMG
120	34343 62121	   	195.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1LHND|2DMG|3VULN|4CDMG|5BELT|6AART|7RCR|89ASPD|aDMSP
121	34343 62123	   	195.79	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG	1LHND|2DMG|3VULN|4CDMG|5BELT|6AART|7RCR|89ASPD|aFEWX
122	36313 61251	   	195.70	DCR|3VULN|1AART|1DMG|1ZMB	1LHND|2ZMB|34aVULN|5RCVC|6RCR|7AART|8TLV|9DMG
123	32641 15323	   	195.12	DCR|3VULN|1AART|1ASPD|2DUR	1LHND|26aVULN|36DUR|4AART|5RMIN|6BPWR|7LWND|8RCR|9ASPD
124	34321 62621	 * 	195.06	DCR|3VULN|2DMG|1AART|1NUKE	1LHND|25DMG|359VULN|4RPLT|5BPWR|6LIT|7NUKE|8AART|aRCR
125	32314 51116	   	194.98	DCR|3DMG|2VULN|1AART	16LHND|23VULN|4FEWX|56aDMG|6BPWR|7AART|8MLV|9RCR
126	32314 51216	   	194.88	DCR|3DMG|2VULN|1AART	16LHND|23VULN|4FEWX|56aDMG|6BPWR|7AART|8TLV|9RCR
127	13348 61281	   	194.78	DCR|3DMG|2VULN|1AART	1DUST|2MBVNT|36VULN|456DMG|6BPWR|7LIT|8AART|9RCR|aRMIN
128	13348 61283	   	194.78	DCR|3DMG|2VULN|1AART	1DUST|2MBVNT|36VULN|456DMG|6BPWR|7LIT|8AART|9RCR|aAME
129	13348 61284	   	194.78	DCR|3DMG|2VULN|1AART	1DUST|2MBVNT|36VULN|456DMG|6BPWR|7LIT|8AART|9RCR|aMLV
130	13343 15228	   	194.68	DCR|3DMG|2VULN|1AART	1DUST|2MBVNT|36VULN|46aDMG|5AART|6BPWR|7ERES|8CGEN|9RCR
131	13353 15228	   	194.68	DCR|3DMG|2VULN|1AART	1DUST|2MBVNT|36VULN|4AART|56aDMG|6BPWR|7ERES|8CGEN|9RCR
132	13351 62183	 * 	194.40	DCR|3ASPD|3ZMB|1VULN|1AART	18aDUST|2MBVNT|3VULN|4AART|5RMIN|68aASPD|78aZMB|8aBPWR|9RCR
133	13413 62183	   	194.40	DCR|3ASPD|3ZMB|1VULN|1AART	18aDUST|2MBVNT|3RMIN|4VULN|5AART|68aASPD|78aZMB|8aBPWR|9RCR
134	32643 33115	   	194.31	DCR|2VULN|2DMG|1AART|1AAC|1DUR	1LHND|26VULN|3DUR|4AART|57DMG|8MLV|9RCR|aAAC
135	34346 21131	   	194.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2DMG|37VULN|4CDMG|5ZMB|6RCR|8CGEN|9LIT|aAART
136	32643 33215	   	194.21	DCR|2VULN|2DMG|1AART|1AAC|1DUR	1LHND|26VULN|3DUR|4AART|57DMG|8TLV|9RCR|aAAC
