0	Index      	 *	Score 	Summary	Detail	
1	61123 24532	 * 	239.82	DCR|3VULN|2AART|2DMG|2DUR	19aVULN|27AART|39DUR|4RMIN|5RPLT|6RCR|89DMG|9BPWR
38	61213 35335	   	216.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	13VULN|25AART|4FEWX|6LIT|7ASPD|8RCR|9CDMG|aDMG
39	61213 11352	 * 	216.00	DCR|2VULN|2AART|2ASPD|1DMG	13VULN|25AART|4FEWX|6aASPD|7RCR|8LIT|9DMG
40	11133 16323	   	215.93	DCR|2DMG|2ASPD|1VULN|1AART|3DUR	138DUR|2AART|4AME|58DMG|68ASPD|7RCR|8BPWR|9VULN|aFEWX
41	11133 16326	   	215.93	DCR|2DMG|2ASPD|1AART|1VULN|3DUR	138DUR|2AART|4AME|58DMG|68ASPD|7RCR|8BPWR|9VULN|aLHND
42	11133 16361	   	215.93	DCR|2DMG|2ASPD|1VULN|1AART|3DUR	138DUR|2AART|4AME|58DMG|68ASPD|7RCR|8BPWR|9RPLT|aVULN
43	11343 16323	   	215.93	DCR|2DMG|2ASPD|1VULN|1AART|3DUR	148DUR|2AART|3AME|58DMG|68ASPD|7RCR|8BPWR|9VULN|aFEWX
44	11343 16326	   	215.93	DCR|2DMG|2ASPD|1AART|1VULN|3DUR	148DUR|2AART|3AME|58DMG|68ASPD|7RCR|8BPWR|9VULN|aLHND
45	11343 16361	   	215.93	DCR|2DMG|2ASPD|1VULN|1AART|3DUR	148DUR|2AART|3AME|58DMG|68ASPD|7RCR|8BPWR|9RPLT|aVULN
46	61233 11463	 * 	215.93	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG|1CDMG	13VULN|29AART|4MLV|5DMG|6ASPD|7MDPS|8RCR|aCDMG
47	61221 65111	 * 	215.87	DCR|4VULN|1SPLARM|1AART|1ASPD	135aVULN|2AART|4SPLARM|6RCVC|7RCR|8LWND|9ASPD
48	11133 16324	   	215.83	DCR|2DMG|2ASPD|1VULN|1AART|3DUR	138DUR|2AART|4AME|58DMG|68ASPD|7RCR|8BPWR|9VULN|aDUST
49	11133 16356	   	215.83	DCR|2DMG|2ASPD|1VULN|1AART|3DUR	138DUR|2AART|4AME|58DMG|68ASPD|7RCR|8BPWR|9DUST|aVULN
50	11163 16326	   	215.83	DCR|2DMG|2ASPD|1AART|1VULN|3DUR	138DUR|2AART|4ERES|58DMG|68ASPD|7RCR|8BPWR|9AELBLL|aVULN
51	11163 16361	   	215.83	DCR|2DMG|2ASPD|1VULN|1AART|3DUR	138DUR|2AART|4ERES|58DMG|68ASPD|7RCR|8BPWR|9RPLT|aVULN
52	11343 16324	   	215.83	DCR|2DMG|2ASPD|1VULN|1AART|3DUR	148DUR|2AART|3AME|58DMG|68ASPD|7RCR|8BPWR|9VULN|aDUST
53	14263 53232	   	215.80	DCR|2VULN|2ASPD|1AART|1DMG|3DUR	167DUR|27VULN|37ASPD|4MBVNT|5AART|7BPWR|8RCVC|9RCR|aDMG
54	61213 11336	   	215.80	DCR|3VULN|2AART|1ASPD|1CDMG	13aVULN|25AART|4FEWX|6ASPD|7RCR|8LIT|9CDMG
55	61216 21352	   	215.75	DCR|3VULN|2ASPD|1AART|1DMG	136VULN|2AART|4FEWX|5LIT|7DMG|8RCR|9aASPD
56	61213 11212	   	215.70	DCR|3VULN|2AART|1ASPD|1CDMG	13aVULN|25AART|4FEWX|6ASPD|7RCR|8ERES|9CDMG
57	61253 11211	   	215.70	DCR|3VULN|2AART|1ASPD|1CDMG	139VULN|25AART|4DUST|6ASPD|7RCR|8CDMG|aFEWX
58	61253 11213	   	215.70	DCR|3VULN|2AART|1ASPD|1CDMG	139VULN|25AART|4DUST|6ASPD|7RCR|8CDMG|aMLV
59	61253 11232	   	215.70	DCR|3VULN|2AART|1ASPD|1CDMG	13aVULN|25AART|4DUST|6ASPD|7RCR|8CDMG|9CGEN
60	61253 11212	   	215.60	DCR|3VULN|2AART|1ASPD|1CDMG	139VULN|25AART|4DUST|6ASPD|7RCR|8CDMG|aLEGI
61	61253 11512	   	215.60	DCR|3VULN|2AART|1ASPD|1CDMG	13aVULN|25AART|4DUST|6ASPD|7RCR|8ERES|9CDMG
62	15251 33352	   	215.47	DCR|2VULN|2ASPD|1AART|1DMG|2DUR	12DUR|3LIT|45VULN|6RCR|7AART|8DMG|9aASPD
63	61216 21335	 * 	215.31	DCR|3VULN|2DMG|1AART|1CDMG	136VULN|2AART|4FEWX|5LIT|7aDMG|8RCR|9CDMG
64	15251 33335	   	215.03	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	12DUR|3LIT|45VULN|6RCR|7AART|8aDMG|9CDMG
65	61233 15531	   	214.79	DCR|3VULN|2AART|1ASPD|1DMG	137VULN|29AART|4MLV|5DMG|6ASPD|8RCVC|aRCR
66	42234 23631	 * 	214.00	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE|1ZMB	1MSLFST|2DMG|3AART|45VULN|6ASPD|7LIT|8RCR|9ZMB|aNUKE
67	42235 13631	   	214.00	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE|1ZMB	1MSLFST|2DMG|3AART|46VULN|5ASPD|7LIT|8RCR|9ZMB|aNUKE
68	61213 31352	   	214.00	DCR|2VULN|2AART|2ASPD|1DMG	13VULN|25AART|4FEWX|6LIT|7DMG|8RCR|9aASPD
69	61213 35352	   	214.00	DCR|2VULN|2AART|2ASPD|1DMG	13VULN|25AART|4FEWX|6LIT|7aASPD|8RCR|9DMG
70	66214 33131	   	213.99	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	17VULN|27DMG|3ZMB|4ASPD|5AART|678FEWX|7BPWR|9RCR|aRMIN
71	61213 11114	   	213.97	DCR|3VULN|2AART|2ASPD	13aVULN|25AART|48FEWX|6aASPD|7RCR|9aAME|aBPWR
72	61235 11215	   	213.94	DCR|3VULN|2ASPD|1AART|1CDMG	139VULN|2AART|4MLV|5AME|6aASPD|7RCR|8CDMG
73	61213 35336	   	213.80	DCR|3VULN|2AART|1ASPD|1CDMG	13aVULN|25AART|4FEWX|6LIT|7ASPD|8RCR|9CDMG
74	61233 12214	   	213.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	139VULN|2AART|4MLV|5DMG|6ASPD|7BEXP|8CDMG|aRCR
75	61213 11144	   	213.77	DCR|3VULN|2AART|2ASPD	13aVULN|25AART|48FEWX|6aASPD|7RCR|9aERES|aBPWR
76	66213 53311	   	213.67	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	159VULN|2DMG|3ZMB|4ASPD|6AIRARM|7RCR|8DUST|aAART
77	61213 11264	   	213.67	DCR|3VULN|2AART|2ASPD	13aVULN|25AART|4FEWX|6aASPD|7RCR|89aERES|aBPWR
78	61213 11414	   	213.67	DCR|3VULN|2AART|2ASPD	13aVULN|25AART|4FEWX|6aASPD|7RCR|8MBVNT|9aDUST|aBPWR
79	61235 11434	 * 	213.64	DCR|4VULN|2ASPD|1AART	139aVULN|2AART|4MLV|5aAME|6aASPD|7RCR|8MBVNT|aBPWR
80	61236 11434	   	213.64	DCR|4VULN|2ASPD|1AART	139aVULN|2AART|4MLV|5aCGEN|6aASPD|7RCR|8MBVNT|aBPWR
81	61213 31335	 * 	213.55	DCR|2VULN|2AART|2DMG|1CDMG	13VULN|25AART|4FEWX|6LIT|7aDMG|8RCR|9CDMG
82	61263 15231	   	213.41	DCR|3VULN|2AART|1ASPD|1DMG	137VULN|29AART|48ERES|5DMG|6ASPD|aRCR
83	64223 13512	 * 	213.29	DCR|4VULN|2AART|1ASPD	125aVULN|3ASPD|4ERES|69AART|7RPLT|8RCR
84	61233 21214	   	213.25	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	139VULN|2AART|4MLV|5DMG|6RMIN|7RCR|8CDMG|aMDPS
85	11133 16211	 * 	212.71	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|2DUR	13DUR|2AART|4AME|5aDMG|6ASPD|7RCR|8CDMG|9VULN
86	11343 16211	   	212.71	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|2DUR	14DUR|2AART|3AME|5aDMG|6ASPD|7RCR|8CDMG|9VULN
87	11163 16211	   	212.61	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|2DUR	13DUR|2AART|4ERES|5aDMG|6ASPD|7RCR|8CDMG|9VULN
88	14263 53433	   	212.39	DCR|3VULN|2ASPD|1AART|3DUR	167DUR|278VULN|37ASPD|4MBVNT|5AART|7BPWR|9RCR|aBEXP
89	61221 24131	 * 	212.33	DCR|4VULN|1SPLARM|1MDPS|1AART|1DUR	135aVULN|2AART|4SPLARM|6AIRARM|7DUR|8RCR|9MDPS
90	61221 24132	   	212.33	DCR|3VULN|1SPLARM|1MDPS|1AART|1DUR	135VULN|2AART|4SPLARM|6AIRARM|7DUR|8RCR|9MDPS|aTLV
91	61221 24133	   	212.33	DCR|3VULN|1SPLARM|1MDPS|1AART|1DUR	135VULN|2AART|4SPLARM|6AIRARM|7DUR|8RCR|9MDPS|aFEWX
92	61221 24134	   	212.33	DCR|3VULN|1SPLARM|1MDPS|1AART|1DUR	135VULN|2AART|4SPLARM|6AIRARM|7DUR|8RCR|9MDPS|aBEXP
93	61221 24135	   	212.33	DCR|3VULN|1SPLARM|1MDPS|1AART|1DUR	135VULN|2AART|4SPLARM|6AIRARM|7DUR|8RCR|9MDPS|aDUST
94	61221 24136	   	212.33	DCR|3VULN|1SPLARM|1MDPS|1AART|1DUR	135VULN|2AART|4SPLARM|6AIRARM|7DUR|8RCR|9MDPS|aLEGI
95	14263 53434	   	212.29	DCR|3VULN|2ASPD|1AART|3DUR|1MSE	167DUR|278VULN|37ASPD|4MBVNT|5AART|7BPWR|9RCR|aMSE
96	53223 51533	 * 	211.95	DCR|4VULN|1ASPD|1DMG|1CDMG	16CGEN|2AME|3ASPD|4568VULN|6BPWR|7RCR|9CDMG|aDMG
97	11526 21352	   	211.57	DCR|2VULN|2ASPD|1AART|1DMG|2DUR	14DUR|2AART|34LIT|4BPWR|56VULN|7DMG|8RCR|9aASPD
98	11536 21352	   	211.47	DCR|2VULN|2ASPD|1AART|1DMG|2DUR	14DUR|2AART|3LIT|56VULN|7DMG|8RCR|9aASPD
99	15251 11352	   	211.47	DCR|2VULN|2ASPD|1AART|1DMG|2DUR	12DUR|3LIT|45VULN|6AART|7DMG|8RCR|9aASPD
100	11253 11211	   	211.30	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	14DUR|25AART|34LWND|4BPWR|6ASPD|7RCR|8CDMG|9VULN|aDMG
101	61621 26232	   	211.18	DCR|3VULN|2DMG|1AART	19aVULN|2AART|3RPLT|49DUST|5RMIN|6RCR|79DMG|8RCVC|9BPWR
102	11526 21335	   	211.13	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|2AART|34LIT|4BPWR|56VULN|7aDMG|8RCR|9CDMG
103	11153 11211	   	211.10	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	13DUR|25AART|4DUST|6ASPD|7RCR|8CDMG|9VULN|aDMG
104	11536 21335	   	211.03	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|2AART|3LIT|56VULN|7aDMG|8RCR|9CDMG
105	15251 11335	   	211.03	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	12DUR|3LIT|45VULN|6AART|7aDMG|8RCR|9CDMG
106	61123 23532	   	210.97	DCR|2VULN|2DMG|1AART|3DUR	19VULN|2AART|379DUR|4RMIN|5RPLT|6RCR|89DMG|9BPWR|aMLV
107	61123 23533	   	210.97	DCR|2VULN|2DMG|1AART|3DUR	19VULN|2AART|379DUR|4RMIN|5RPLT|6RCR|89DMG|9BPWR|aBEXP
108	61123 23531	   	210.87	DCR|2VULN|2DMG|1AART|3DUR|1SELL	19VULN|2AART|379DUR|4RMIN|5RPLT|6RCR|89DMG|9BPWR|aSELL
109	61123 23534	   	210.87	DCR|2VULN|2DMG|1AART|3DUR|1MSE	19VULN|2AART|379DUR|4RMIN|5RPLT|6RCR|89DMG|9BPWR|aMSE
110	61123 23535	   	210.87	DCR|2VULN|2DMG|1AART|3DUR	19VULN|2AART|379DUR|4RMIN|5RPLT|6RCR|89DMG|9BPWR|aLEGI
111	11113 15434	 * 	210.64	DCR|2VULN|2AART|2ASPD|3DUR	13aDUR|25AART|4FEWX|6aASPD|7aVULN|8MBVNT|9RCR|aBPWR
112	62513 51122	 * 	210.52	DCR|3VULN|3ASPD|1AART	156VULN|2MLV|3TLV|469ASPD|6BPWR|7RCR|8ERES|aAART
113	62413 51233	 * 	210.32	DCR|3VULN|2ASPD|1DMG|1CDMG	156VULN|2MLV|3CGEN|46ASPD|6BPWR|7RCR|8AELBLL|9CDMG|aDMG
114	14263 24426	   	210.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2aVULN|3ASPD|4MBVNT|5AART|6DMG|7RCR|8MLV|9CDMG
115	66214 33133	   	210.15	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	17VULN|27DMG|3ZMB|4ASPD|5AART|678FEWX|7BPWR|9RCR|aRCVC
116	63513 51133	   	210.12	DCR|3VULN|2ASPD|1DMG|1CDMG	156VULN|28ERES|3AME|46ASPD|6BPWR|7RCR|9CDMG|aDMG
117	14263 24126	   	210.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2aVULN|3ASPD|4MBVNT|5AART|6DMG|7RCR|8TLV|9CDMG
118	14263 24226	   	210.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2aVULN|3ASPD|4MBVNT|5AART|6DMG|7RCR|8ERES|9CDMG
119	14263 24363	   	209.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1DUR|29VULN|3ASPD|4MBVNT|5aAART|6DMG|7RCR|8LIT
120	61213 11342	   	209.88	DCR|3VULN|2AART|1ASPD|1ZMB	139VULN|25AART|4FEWX|6ASPD|7RCR|8LIT|aZMB
121	61213 14434	   	209.87	DCR|3VULN|2AART|2ASPD	13aVULN|25AART|4FEWX|6aASPD|7aBEXP|8MBVNT|9RCR|aBPWR
122	14263 13634	   	209.83	DCR|2DMG|2ASPD|1VULN|1AART|3DUR	179DUR|2VULN|39ASPD|4MBVNT|5AART|6RPLT|89DMG|9BPWR|aRCR
