0	Index      	 *	Score 	Summary	Detail	
1	22332 64325	 * 	235.77	DCR|4VULN|2DMG|1ASPD|1CDMG|1ZMB	18DMG|2356VULN|4ASPD|7CDMG|9RCR|aZMB
30	22335 12636	   	216.64	DCR|3DMG|2VULN|1ASPD|3DUR|1AAC	167DMG|23VULN|4ASPD|568DUR|6BPWR|9RCR|aAAC
31	22145 12631	 * 	216.63	DCR|3DMG|3ASPD|1VULN|3DUR	167DMG|2VULN|34aASPD|568DUR|6BPWR|9RCR
32	45122 12332	 * 	216.30	DCR|3ASPD|2VULN|1MDPS|1NUKE|1DUR	136ASPD|2DUR|4MLV|56VULN|6BPWR|7RCR|8RCVC|9NUKE|aMDPS
33	45152 12332	   	216.20	DCR|3ASPD|2VULN|1MDPS|1NUKE|1DUR	136ASPD|2DUR|4ERES|56VULN|6BPWR|7RCR|8RCVC|9NUKE|aMDPS
34	22332 26355	   	215.80	DCR|3VULN|2DMG|2ASPD|1ZMB	19DMG|235VULN|49ASPD|6TLV|7ZMB|89ERES|9BPWR|aRCR
35	45122 12351	 * 	215.06	DCR|3ASPD|2VULN|2DMG|1DUR	136ASPD|2DUR|4MLV|56VULN|6BPWR|7RCR|8RCVC|9aDMG
36	22332 63245	 * 	214.16	DCR|4VULN|2ASPD|1DMG|1ZMB	1DMG|2356VULN|47ASPD|8LWND|9ZMB|aRCR
37	22332 63345	   	214.16	DCR|4VULN|2ASPD|1DMG|1ZMB	1DMG|2356VULN|47ASPD|8FEWX|9ZMB|aRCR
38	22332 63635	   	214.16	DCR|4VULN|2ASPD|1DMG|1ZMB	1DMG|2356VULN|47ASPD|8ZMB|9LHND|aRCR
39	21133 31622	 * 	214.10	DCR|3ASPD|2AART|2DMG|2DUR	1aDMG|24aASPD|3AME|5FEWX|67AART|8RCR|9aDUR|aBPWR
40	21533 31622	   	214.00	DCR|3ASPD|2AART|2DMG|2DUR	1aDMG|24aASPD|3ERES|5FEWX|67AART|8RCR|9aDUR|aBPWR
41	22122 13153	   	213.85	DCR|4VULN|1ASPD|1DMG|1CDMG	1DMG|279aVULN|3ASPD|4BELT|5RPLT|6RCR|8CDMG
42	25122 13422	 * 	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1aDMG|2DUR|3ASPD|4BELT|5RPLT|6RCR|79VULN|8AART
43	21232 32431	   	213.17	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DMG|24ASPD|3RMIN|5DUR|6AART|79VULN|8RCR|aSPLREG
44	22122 13324	   	213.09	DCR|3VULN|2DMG|1ASPD|2DUR	1aDMG|27aVULN|3ASPD|4BELT|5RPLT|6RCR|8AME|9aDUR|aBPWR
45	22122 11324	   	212.99	DCR|3VULN|2DMG|1ASPD|2DUR	1aDMG|28aVULN|3ASPD|4BELT|5RPLT|6RCR|7ERES|9aDUR|aBPWR
46	23416 31418	 * 	212.15	DCR|3DMG|2VULN|1AART|1ZMB	167DMG|2SPLREG|3ZMB|46VULN|5MBVNT|6BPWR|8CGEN|9RCR|aAART
47	22335 42433	   	212.14	DCR|4VULN|1ASPD|1DMG|1ZMB|1DUR	1DMG|239aVULN|4ASPD|5DUR|6ZMB|7DLOT|8RCR
48	25142 12313	   	211.69	DCR|3DMG|2VULN|2ASPD|1DUR	167DMG|2DUR|34ASPD|56VULN|6BPWR|8DLOT|9FEWX|aRCR
49	25142 12323	   	211.69	DCR|3DMG|2VULN|2ASPD|1DUR	167DMG|2DUR|34ASPD|56VULN|6BPWR|8DLOT|9BEXP|aRCR
50	22652 26331	 * 	211.51	DCR|1SPLARM|2VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1DMG|2aVULN|3ERES|4DUR|5MDPS|6RCR|7SPLARM|8ASPD|9ZMB
51	22122 13614	 * 	210.91	DCR|3VULN|1MDPS|1ASPD|1DMG|1ZMB	1DMG|279VULN|3ASPD|4BELT|5RPLT|6RCR|8ZMB|aMDPS
52	22122 11624	   	210.82	DCR|3DMG|2VULN|1ASPD|2DUR	19aDMG|2aVULN|3ASPD|4BELT|5RPLT|6RCR|7ERES|8aDUR|aBPWR
53	25122 11324	   	210.82	DCR|3DMG|2VULN|1ASPD|2DUR	19aDMG|2aDUR|3ASPD|4BELT|5RPLT|6RCR|7ERES|8aVULN|aBPWR
54	22335 61161	   	210.65	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMG|238VULN|4ASPD|5DUR|6CDMG|7FEWX|9RCR|aZMB
55	22335 62161	   	210.65	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMG|238VULN|4ASPD|5DUR|6CDMG|7BEXP|9RCR|aZMB
56	22335 63161	   	210.65	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMG|238VULN|4ASPD|5DUR|6CDMG|7LHND|9RCR|aZMB
57	23416 31333	   	210.15	DCR|3DMG|2VULN|1AART|1ZMB	167DMG|2SPLREG|3ZMB|46VULN|5MBVNT|6BPWR|8AART|9BEXP|aRCR
58	23416 31361	   	210.15	DCR|3DMG|2VULN|1AART|1ZMB	167DMG|2SPLREG|3ZMB|46VULN|5MBVNT|6BPWR|8AART|9LIT|aRCR
59	22155 12632	   	209.87	DCR|3DMG|2VULN|1ASPD|3DUR	167DMG|24VULN|3ASPD|568DUR|6BPWR|9RCR|aBELT
60	22155 12633	   	209.87	DCR|3DMG|2VULN|1ASPD|3DUR	167DMG|24VULN|3ASPD|568DUR|6BPWR|9RCR|aLHND
61	22335 12632	   	209.87	DCR|3DMG|2VULN|1ASPD|3DUR	167DMG|23VULN|4ASPD|568DUR|6BPWR|9RCR|aBELT
62	22335 12633	   	209.87	DCR|3DMG|2VULN|1ASPD|3DUR	167DMG|23VULN|4ASPD|568DUR|6BPWR|9RCR|aLHND
63	22665 12231	   	209.87	DCR|3DMG|2VULN|1ASPD|3DUR	167DMG|28VULN|38ERES|4RCVC|568DUR|68BPWR|9RCR|aASPD
64	22132 64322	   	209.59	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|256VULN|3ASPD|4DMSP|7CDMG|9RCR|aFEWX
65	22132 64323	   	209.59	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|256VULN|3ASPD|4DMSP|7CDMG|9RCR|aBELT
66	22132 64324	   	209.59	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|256VULN|3ASPD|4DMSP|7CDMG|9RCR|aMULARM
67	22132 64326	   	209.59	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|256VULN|3ASPD|4DMSP|7CDMG|9RCR|aLHND
68	22151 64322	   	209.59	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|246VULN|3ASPD|5RCVC|7CDMG|9RCR|aFEWX
69	22151 64323	   	209.59	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|246VULN|3ASPD|5RCVC|7CDMG|9RCR|aBELT
70	22331 64322	   	209.59	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|236VULN|4ASPD|5RCVC|7CDMG|9RCR|aFEWX
71	22331 64323	   	209.59	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|236VULN|4ASPD|5RCVC|7CDMG|9RCR|aBELT
72	22331 64324	   	209.59	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|236VULN|4ASPD|5RCVC|7CDMG|9RCR|aMULARM
73	22331 64326	   	209.59	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|236VULN|4ASPD|5RCVC|7CDMG|9RCR|aLHND
74	22132 64321	   	209.49	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|256VULN|3ASPD|4DMSP|7CDMG|9RCR|aDLOT
75	22151 64321	   	209.49	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|246VULN|3ASPD|5RCVC|7CDMG|9RCR|aDLOT
76	22331 64321	   	209.49	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|236VULN|4ASPD|5RCVC|7CDMG|9RCR|aDLOT
77	22122 11224	   	209.38	DCR|2VULN|2DMG|2ASPD|2DUR	1aDMG|2aVULN|38ASPD|4BELT|5RPLT|6RCR|7ERES|9aDUR|aBPWR
78	22122 13643	 * 	209.33	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1DMG|27VULN|3ASPD|4BELT|5RPLT|6RCR|8ZMB|9CDMG|aMDPS
79	23416 31732	   	209.20	DCR|3DMG|2VULN|1MDPS|1ZMB	167DMG|2SPLREG|3ZMB|46VULN|5MBVNT|6BPWR|8RCR|9CGEN|aMDPS
80	41422 12623	 * 	209.13	DCR|3ASPD|2VULN|1AART|1CDMG	126ASPD|3LWND|4MLV|56VULN|6BPWR|7RCR|8CDMG|9BEXP|aAART
81	25142 15313	   	208.96	DCR|3ASPD|2VULN|2DMG|1DUR	16DMG|2DUR|347ASPD|56VULN|6BPWR|8DLOT|9FEWX|aRCR
82	25142 15323	   	208.96	DCR|3ASPD|2VULN|2DMG|1DUR	16DMG|2DUR|347ASPD|56VULN|6BPWR|8DLOT|9BEXP|aRCR
83	22135 12634	   	208.31	DCR|3DMG|1MDPS|1VULN|1ASPD|3DUR	167DMG|2VULN|3ASPD|4DMSP|568DUR|6BPWR|9RCR|aMDPS
84	25146 22212	   	208.24	DCR|2DMG|2ASPD|1AART|1CDMG|1ZMB|1DUR	16DMG|2DUR|34ASPD|5CDMG|7RCR|8LHND|9ZMB|aAART
85	25146 22213	   	208.24	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	16DMG|2DUR|34ASPD|5CDMG|7RCR|8LHND|9ZMB|aVULN
86	25146 22312	   	208.14	DCR|2DMG|2ASPD|1AART|1CDMG|1ZMB|1DUR	16DMG|2DUR|34ASPD|5CDMG|7RCR|8DUST|9ZMB|aAART
87	25146 22313	   	208.14	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	16DMG|2DUR|34ASPD|5CDMG|7RCR|8DUST|9ZMB|aVULN
88	41262 12232	   	207.99	DCR|3ASPD|2VULN|1MDPS|1NUKE	126ASPD|3MLV|4LHND|56VULN|6BPWR|7RCR|8DMSP|9NUKE|aMDPS
89	41422 12232	   	207.99	DCR|3ASPD|2VULN|1MDPS|1NUKE	126ASPD|3LWND|4MLV|56VULN|6BPWR|7RCR|8DMSP|9NUKE|aMDPS
90	22122 13616	   	207.94	DCR|4VULN|1ASPD|1DMG|1ZMB	1DMG|279aVULN|3ASPD|4BELT|5RPLT|6RCR|8ZMB
91	41132 12232	   	207.89	DCR|3ASPD|2VULN|1MDPS|1NUKE	126ASPD|3LHND|4ERES|56VULN|6BPWR|7RCR|8DMSP|9NUKE|aMDPS
92	41362 12232	   	207.89	DCR|3ASPD|2VULN|1MDPS|1NUKE	126ASPD|3ERES|4LHND|56VULN|6BPWR|7RCR|8DMSP|9NUKE|aMDPS
93	41452 12232	   	207.89	DCR|3ASPD|2VULN|1MDPS|1NUKE	126ASPD|3LWND|4ERES|56VULN|6BPWR|7RCR|8DMSP|9NUKE|aMDPS
94	22325 12236	   	207.84	DCR|3VULN|3DMG|3DUR	167DMG|238VULN|48MLV|568DUR|68BPWR|9RCR|aAME
95	25252 12236	   	207.84	DCR|3VULN|3DMG|3DUR	167DMG|248DUR|38MLV|568VULN|68BPWR|9RCR|aAME
96	25352 12236	   	207.84	DCR|3VULN|3DMG|3DUR	167DMG|248DUR|38CGEN|568VULN|68BPWR|9RCR|aMLV
97	12136 15433	 * 	207.78	DCR|3VULN|2AART|1ASPD|1ZMB	1ERES|29aVULN|3ASPD|47AART|5BEXP|6ZMB|8RCR
98	22335 61163	 * 	207.74	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	1DMG|238VULN|4ASPD|5DUR|6aCDMG|7FEWX|9RCR
99	22335 62163	   	207.74	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	1DMG|238VULN|4ASPD|5DUR|6aCDMG|7BEXP|9RCR
100	22335 63163	   	207.74	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	1DMG|238VULN|4ASPD|5DUR|6aCDMG|7LHND|9RCR
101	22325 12232	   	207.74	DCR|3VULN|3DMG|3DUR	167DMG|238VULN|48MLV|568DUR|68BPWR|9RCR|aERES
102	22325 12233	   	207.74	DCR|3VULN|3DMG|3DUR|1MSE	167DMG|238VULN|48MLV|568DUR|68BPWR|9RCR|aMSE
103	25252 12232	   	207.74	DCR|3VULN|3DMG|3DUR	167DMG|248DUR|38MLV|568VULN|68BPWR|9RCR|aERES
104	25252 12233	   	207.74	DCR|3VULN|3DMG|3DUR|1MSE	167DMG|248DUR|38MLV|568VULN|68BPWR|9RCR|aMSE
105	25352 12232	   	207.74	DCR|3VULN|3DMG|3DUR	167DMG|248DUR|38CGEN|568VULN|68BPWR|9RCR|aERES
106	25352 12233	   	207.74	DCR|3VULN|3DMG|3DUR|1MSE	167DMG|248DUR|38CGEN|568VULN|68BPWR|9RCR|aMSE
107	22355 12236	   	207.64	DCR|3VULN|3DMG|3DUR	167DMG|238VULN|48ERES|568DUR|68BPWR|9RCR|aMLV
108	22355 12232	   	207.54	DCR|3VULN|3DMG|3DUR	167DMG|238VULN|48aERES|568DUR|68BPWR|9RCR
109	22355 12233	   	207.54	DCR|3VULN|3DMG|3DUR	167DMG|238VULN|48ERES|568DUR|68BPWR|9RCR|aDUST
110	25652 12232	   	207.54	DCR|3VULN|3DMG|3DUR	167DMG|248DUR|38aERES|568VULN|68BPWR|9RCR
111	25652 12233	   	207.54	DCR|3VULN|3DMG|3DUR	167DMG|248DUR|38ERES|568VULN|68BPWR|9RCR|aDUST
112	25136 22122	   	207.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	16DMG|2DUR|3ASPD|4DMSP|5CDMG|7RCR|8TLV|9VULN|aAART
113	22114 17473	   	207.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	16DMG|2VULN|3ASPD|4LWND|5MBVNT|7RCR|8DUR|9CDMG|aAART
114	22122 52313	   	207.33	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1DMG|29VULN|3ASPD|4BELT|5RPLT|6ZMB|7RCR|8CDMG|aMDPS
115	23416 31412	   	207.20	DCR|3DMG|2VULN|1MDPS|1ZMB	167DMG|2SPLREG|3ZMB|46VULN|5MBVNT|6BPWR|8CGEN|9RCR|aMDPS
116	22332 21655	 * 	206.99	DCR|4VULN|2DMG|1NUKE|1ASPD	19DMG|2359VULN|4ASPD|6TLV|79ERES|8NUKE|9BPWR|aRCR
117	41262 12251	   	206.76	DCR|3ASPD|2VULN|2DMG	126ASPD|3MLV|4LHND|56VULN|6BPWR|7RCR|8DMSP|9aDMG
118	41422 12251	   	206.76	DCR|3ASPD|2VULN|2DMG	126ASPD|3LWND|4MLV|56VULN|6BPWR|7RCR|8DMSP|9aDMG
119	22111 21543	 * 	206.75	DCR|3ASPD|2VULN|1AART|1DMG	1DMG|29VULN|378ASPD|4LWND|5DUST|6AART|aRCR
120	44132 12333	   	206.47	DCR|3ASPD|2VULN|1MDPS|1ZMB|1DUR	134ASPD|29VULN|5DUR|6ZMB|7RCR|8BELT|aMDPS
121	23416 31143	   	206.44	DCR|3DMG|2VULN|1ASPD|1ZMB	167DMG|2SPLREG|3ZMB|46VULN|5MBVNT|6BPWR|8LHND|9ASPD|aRCR
122	23416 31643	   	206.44	DCR|3DMG|2VULN|1ASPD|1ZMB	167DMG|2SPLREG|3ZMB|46VULN|5MBVNT|6BPWR|8LWND|9ASPD|aRCR
123	21232 32416	   	206.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DMG|24ASPD|3RMIN|5DUR|6AART|7aVULN|8RCR|9LWND
124	21232 32422	   	206.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DMG|24ASPD|3RMIN|5DUR|6AART|7aVULN|8RCR|9AME
125	21232 32432	   	206.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DMG|24ASPD|3RMIN|5DUR|6AART|79VULN|8RCR|aLWND
126	21232 32434	   	206.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DMG|24ASPD|3RMIN|5DUR|6AART|79VULN|8RCR|aFEWX
127	21232 32463	   	206.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DMG|24ASPD|3RMIN|5DUR|6AART|7aVULN|8RCR|9DMSP
128	21232 32435	   	206.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DMG|24ASPD|3RMIN|5DUR|6AART|79VULN|8RCR|aERES
129	21532 32436	   	206.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DMG|24ASPD|3ERES|5DUR|6AART|7LHND|8RCR|9aVULN
130	22141 64322	   	205.98	DCR|2VULN|2DMG|2ASPD|1CDMG	18DMG|26VULN|34ASPD|5RCVC|7CDMG|9RCR|aFEWX
131	22141 64323	   	205.98	DCR|2VULN|2DMG|2ASPD|1CDMG	18DMG|26VULN|34ASPD|5RCVC|7CDMG|9RCR|aBELT
132	22141 64321	   	205.88	DCR|2VULN|2DMG|2ASPD|1CDMG	18DMG|26VULN|34ASPD|5RCVC|7CDMG|9RCR|aDLOT
