0	Index      	 *	Score 	Summary	Detail	
1	23235 52125	 * 	220.10	DCR|3VULN|2DMG|1MDPS|2ASPD|1DUR	16RCVC|239VULN|39BPWR|4DUR|59ASPD|79DMG|8MDPS|aRCR
33	31326 13354	   	208.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2TSLFST|3DUST|4aVULN|5CDMG|6ASPD|7DUR|8RCR|9AART
34	22651 36232	   	207.94	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR|1ZMB	1RCVC|2CDMG|3ASPD|4ZMB|56VULN|7AART|8RCR|9aDUR
35	23241 56323	 * 	207.93	DCR|5VULN|1AART|1CDMG	1RCVC|23457VULN|3BPWR|6CDMG|8BELT|9AART|aRCR
36	32211 25541	 * 	207.92	DCR|3DMG|2AART|2ASPD	18aDMG|26ASPD|3MSLREG|4RMIN|57AART|9RCR
37	51422 52123	 * 	207.86	DCR|4VULN|2DMG|1MDPS|1NUKE|3DUR	1NUKE|2459VULN|349DUR|49BPWR|6RCVC|79DMG|8MDPS|aRCR
38	22651 13111	   	207.75	DCR|3VULN|3CDMG|1ASPD|2ZMB	18RCVC|269CDMG|3ASPD|49ZMB|569VULN|69BPWR|7RMIN|aRCR
39	33153 14242	 * 	207.36	DCR|3VULN|2DMG|2CDMG|1DUR	1aDMG|2DUR|3MBVNT|47aVULN|5LWND|6FEWX|8RCR|9aCDMG|aBPWR
40	32522 62212	 * 	207.28	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DMG	1DMG|2ASPD|3MDPS|4aCDMG|5CGEN|69VULN|7AART|8RCR
41	33152 14242	   	207.26	DCR|3VULN|2DMG|2CDMG|1DUR	1aDMG|2DUR|3MBVNT|47aVULN|5DUST|6FEWX|8RCR|9aCDMG|aBPWR
42	22651 36233	   	206.86	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1RCVC|2CDMG|3ASPD|4ZMB|56VULN|7AART|8RCR|9DUR|aRMIN
43	33352 21165	 * 	206.69	DCR|3VULN|2DMG|1ASPD|1NUKE|1DUR	17DMG|2DUR|3NUKE|4RMIN|579VULN|67BEXP|7BPWR|8ASPD|aRCR
44	22631 36235	   	206.58	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1RCVC|2CDMG|3aASPD|4AME|56VULN|7AART|8RCR|9DUR
45	32223 16423	   	205.84	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR	1DMG|25ASPD|3MSLREG|4aDUR|6CDMG|7RCR|89VULN
46	22631 16223	   	205.80	DCR|2VULN|2ASPD|1AART|2CDMG	1RCVC|26CDMG|3aASPD|4AME|56VULN|6BPWR|7AART|8RCR|9LHND
47	22631 16263	   	205.80	DCR|2VULN|2ASPD|1AART|2CDMG	1RCVC|26CDMG|3aASPD|4AME|56VULN|6BPWR|7AART|8RCR|9FEWX
48	22631 16243	   	205.70	DCR|2VULN|2ASPD|1AART|2CDMG	1RCVC|26CDMG|3aASPD|4AME|56VULN|6BPWR|7AART|8RCR|9DUST
49	32415 15313	   	205.46	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR	19DMG|2ASPD|3BELT|4DUR|5AART|6VULN|7LIT|8RCR|aCDMG
50	32243 16421	   	205.22	DCR|3ASPD|2VULN|1DMG|1CDMG	1DMG|25aASPD|3MSLREG|4LWND|6CDMG|7RCR|89VULN
51	22631 16232	   	205.13	DCR|2VULN|1AART|2CDMG|1ASPD|2DUR	1RCVC|26CDMG|3ASPD|4AME|56VULN|6BPWR|7AART|8RCR|9aDUR
52	35331 56113	   	204.98	DCR|3DMG|1MDPS|1AART|1VULN|1CDMG|1ZMB	18aDMG|2LIT|3MDPS|4CDMG|5VULN|6ZMB|7RCR|9AART
53	22312 21146	   	204.79	DCR|3VULN|2ASPD|2CDMG	1RCVC|28CDMG|3DLOT|4RMIN|5RPLT|68aVULN|78ASPD|8BPWR|9RCR
54	32421 11443	   	204.76	DCR|3ASPD|2VULN|2DMG|1MDPS	17DMG|267ASPD|3BELT|47BEXP|5MDPS|7BPWR|8RCR|9aVULN
55	32135 63232	 * 	204.75	DCR|3DMG|2ASPD|1VULN|2ZMB	15aDMG|2aASPD|34BEXP|6RCR|7VULN|8aZMB|9RPLT|aBPWR
56	22421 16223	   	204.64	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB	1RCVC|2CDMG|3RMIN|46ZMB|56VULN|6BPWR|7AART|8RCR|9LHND|aASPD
57	22421 16263	   	204.64	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB	1RCVC|2CDMG|3RMIN|46ZMB|56VULN|6BPWR|7AART|8RCR|9FEWX|aASPD
58	22611 53133	   	204.52	DCR|3CDMG|1VULN|1AART|1ASPD|1DMG|1DUR	1RCVC|245CDMG|3ASPD|6VULN|7AART|8DMG|9RCR|aDUR
59	51432 15231	 * 	204.17	DCR|2VULN|2AART|1DMG|1NUKE|1CDMG|1DUR	1NUKE|26VULN|3DUR|4aAART|5CDMG|7LIT|8RCR|9DMG
60	22631 16233	   	204.05	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1RCVC|26CDMG|3ASPD|4AME|56VULN|6BPWR|7AART|8RCR|9DUR|aRMIN
61	32223 16453	   	204.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DMG|25ASPD|3MSLREG|4DUR|6CDMG|7RCR|8VULN|9VENFST|aAART
62	23611 32661	   	203.81	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1RCVC|2VULN|3CDMG|4BEXP|5LIT|6RCR|7ASPD|8aAART|9DMG
63	33151 37614	 * 	203.68	DCR|2VULN|2DMG|1MDPS|1ASPD|1NUKE|1DUR	17DMG|2DUR|3MBVNT|48VULN|5ASPD|6MDPS|9RCR|aNUKE
64	32521 62242	 * 	202.97	DCR|2AART|1MDPS|1VULN|2CDMG|1ASPD|1DMG	1DMG|2ASPD|3MDPS|4aCDMG|5MLV|6VULN|79AART|8RCR
65	32522 62242	   	202.97	DCR|2AART|1MDPS|1VULN|2CDMG|1ASPD|1DMG	1DMG|2ASPD|3MDPS|4aCDMG|5CGEN|6VULN|79AART|8RCR
66	36243 31231	 * 	202.90	DCR|3DMG|2VULN|1CDMG|2DUR	13aDMG|23ERES|3aBPWR|4aVULN|5FEWX|6CDMG|7aDUR|8RCR|9LEGI
67	33165 21125	 * 	202.77	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	178DMG|2DUR|3MBVNT|4LWND|5AART|6ASPD|9RCR|aVULN
68	33185 21125	   	202.77	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	178DMG|2DUR|3MBVNT|4LHND|5AART|6ASPD|9RCR|aVULN
69	41112 42313	 * 	202.74	DCR|3VULN|2CDMG|1AART|2DUR	1aDUR|2ERES|3aCDMG|4LHND|5FEWX|6RCR|7AART|89aVULN|aBPWR
70	22651 36222	   	202.69	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1RCVC|2CDMG|3ASPD|4ZMB|56VULN|7AART|8RCR|9LHND|aDUR
71	22651 36231	   	202.69	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1RCVC|2CDMG|3ASPD|4ZMB|56VULN|7AART|8RCR|9DUR|aLWND
72	33155 11126	   	202.67	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	178DMG|2DUR|3MBVNT|4VULN|5AART|6TLV|9RCR|aASPD
73	41115 42313	   	202.64	DCR|3VULN|2CDMG|1AART|2DUR	1aDUR|2ERES|3aCDMG|4LHND|5DUST|6RCR|7AART|89aVULN|aBPWR
74	22121 36235	   	202.59	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1RCVC|2CDMG|3TLV|4ZMB|56VULN|7AART|8RCR|9DUR|aASPD
75	31126 13366	 * 	202.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1DMG|2TSLFST|3LHND|49aVULN|5CDMG|6ASPD|7DUR|8RCR
76	32224 32366	   	202.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1DMG|2ASPD|3MSLREG|4DUR|5CDMG|69aVULN|7LWND|8RCR
77	33226 13366	   	202.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1DMG|2DUR|3LWND|4TSLARM|5CDMG|6ASPD|79aVULN|8RCR
78	31326 13366	   	202.11	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1DMG|2TSLFST|3DUST|49aVULN|5CDMG|6ASPD|7DUR|8RCR
79	31126 13352	   	202.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2TSLFST|3LHND|4VULN|5CDMG|6aASPD|7DUR|8RCR|9AART
80	31526 12352	   	202.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2TSLFST|3DUR|4VULN|5CDMG|6aASPD|7LWND|8RCR|9AART
81	32224 32352	   	202.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2aASPD|3MSLREG|4DUR|5CDMG|6VULN|7LWND|8RCR|9AART
82	32224 36352	   	202.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2aASPD|3MSLREG|4DUR|5CDMG|6VULN|7FEWX|8RCR|9AART
83	33226 13352	   	202.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2DUR|3LWND|4TSLARM|5CDMG|6aASPD|7VULN|8RCR|9AART
84	22342 24261	 * 	201.99	DCR|2VULN|1MDPS|2ASPD|2CDMG|1DMG	1RCVC|29CDMG|3DLOT|4FEWX|59ASPD|69VULN|7MDPS|8RCR|9BPWR|aDMG
85	22651 16221	   	201.92	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1RCVC|26CDMG|3ASPD|4ZMB|56VULN|6BPWR|7AART|8RCR|9LHND|aLWND
86	31326 13352	   	201.90	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2TSLFST|3DUST|4VULN|5CDMG|6aASPD|7DUR|8RCR|9AART
87	22362 24261	   	201.89	DCR|2VULN|1MDPS|2ASPD|2CDMG|1DMG	1RCVC|29CDMG|3DLOT|4DUST|59ASPD|69VULN|7MDPS|8RCR|9BPWR|aDMG
88	32224 33461	   	201.84	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR	1DMG|2aASPD|3MSLREG|47DUR|5CDMG|68VULN|9RCR
89	22121 16223	   	201.82	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1RCVC|26CDMG|3TLV|4ZMB|56VULN|6BPWR|7AART|8RCR|9LHND|aASPD
90	22121 16263	   	201.82	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1RCVC|26CDMG|3TLV|4ZMB|56VULN|6BPWR|7AART|8RCR|9FEWX|aASPD
91	22651 16211	   	201.72	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1MSE	1RCVC|26CDMG|3ASPD|4ZMB|56VULN|6BPWR|7AART|8RCR|9MSE|aLWND
92	22651 16212	   	201.72	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR|1MSE	1RCVC|26CDMG|3ASPD|4ZMB|56VULN|6BPWR|7AART|8RCR|9MSE|aDUR
93	22651 16213	   	201.72	DCR|2VULN|2ASPD|1AART|2CDMG|1ZMB|1MSE	1RCVC|26CDMG|3aASPD|4ZMB|56VULN|6BPWR|7AART|8RCR|9MSE
94	22121 16243	   	201.72	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1RCVC|26CDMG|3TLV|4ZMB|56VULN|6BPWR|7AART|8RCR|9DUST|aASPD
95	23241 26223	   	201.48	DCR|4VULN|1AART|1ASPD	1RCVC|2345VULN|3BPWR|6AART|7RPLT|8RCR|9LHND|aASPD
96	23241 26263	   	201.48	DCR|4VULN|1AART|1ASPD	1RCVC|2345VULN|3BPWR|6AART|7RPLT|8RCR|9FEWX|aASPD
97	23244 16223	   	201.48	DCR|4VULN|1AART|1ASPD	1RCVC|2346VULN|36BPWR|5RPLT|7AART|8RCR|9LHND|aASPD
98	23244 36223	   	201.48	DCR|4VULN|1AART|1ASPD	1RCVC|2346VULN|3BPWR|5RPLT|7AART|8RCR|9LHND|aASPD
99	22421 36223	   	201.33	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1RCVC|2CDMG|3RMIN|4ZMB|56VULN|7AART|8RCR|9LHND|aASPD
100	22421 36263	   	201.33	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1RCVC|2CDMG|3RMIN|4ZMB|56VULN|7AART|8RCR|9FEWX|aASPD
101	22622 13432	 * 	201.05	DCR|2DMG|2ASPD|1VULN|2CDMG|1SELL	1RCVC|2aCDMG|3aASPD|4SELL|5DUST|6VULN|7RCR|8RPLT|9aDMG|aBPWR
102	32231 25541	   	200.88	DCR|3DMG|2AART|2ASPD|1AAC	18aDMG|26ASPD|3MSLREG|4AAC|57AART|9RCR
103	22631 16253	   	200.84	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD	1RCVC|26CDMG|3ASPD|4AME|56VULN|6BPWR|7AART|8RCR|9ERES|aMDPS
104	34326 11352	   	200.63	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1DMG|2SPLREG|3DUST|4VULN|5CDMG|6aASPD|7BEXP|8RCR|9AART
105	34326 12352	   	200.63	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1DMG|2SPLREG|3DUST|4VULN|5CDMG|6aASPD|7LWND|8RCR|9AART
106	32223 16422	   	200.60	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|25ASPD|3MSLREG|4DUR|6CDMG|7RCR|89VULN|aLHND
107	32223 16426	   	200.60	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|25ASPD|3MSLREG|4DUR|6CDMG|7RCR|89VULN|aFEWX
108	32223 16436	   	200.60	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|25ASPD|3MSLREG|4DUR|6CDMG|7RCR|8aVULN|9FEWX
109	32243 16423	   	200.60	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|25ASPD|3MSLREG|4LWND|6CDMG|7RCR|89VULN|aDUR
110	32211 25542	   	200.57	DCR|2AART|2DMG|2ASPD|1DUR	18DMG|26ASPD|3MSLREG|4RMIN|57AART|9RCR|aDUR
111	32223 16326	   	200.50	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|25ASPD|3MSLREG|4DUR|6CDMG|7RCR|8DUST|9aVULN
112	32223 16424	   	200.50	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|25ASPD|3MSLREG|4DUR|6CDMG|7RCR|89VULN|aERES
113	32415 43112	   	200.21	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMG|2ASPD|3BELT|4DUR|5AART|6CDMG|7RCR|8BEXP|9VULN|aZMB
114	32415 43212	   	200.21	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMG|2ASPD|3BELT|4DUR|5AART|6CDMG|7RCR|8LHND|9VULN|aZMB
115	22631 16222	   	199.89	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1RCVC|26CDMG|3ASPD|4AME|56VULN|6BPWR|7AART|8RCR|9LHND|aDUR
116	22631 16231	   	199.89	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1RCVC|26CDMG|3ASPD|4AME|56VULN|6BPWR|7AART|8RCR|9DUR|aLWND
117	22631 16262	   	199.89	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1RCVC|26CDMG|3ASPD|4AME|56VULN|6BPWR|7AART|8RCR|9FEWX|aDUR
118	23241 11542	   	199.89	DCR|5VULN|1AART|1DUR	1RCVC|23457VULN|3BPWR|6TLV|8DUR|9AART|aRCR
119	32521 62233	   	199.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1DMG|2ASPD|3MDPS|4CDMG|5MLV|6aVULN|7AART|8RCR|9CGEN
120	32522 62213	   	199.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1DMG|2ASPD|3MDPS|4CDMG|5CGEN|69VULN|7AART|8RCR|aLHND
121	32522 62214	   	199.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1DMG|2ASPD|3MDPS|4CDMG|5CGEN|69VULN|7AART|8RCR|aRPLT
122	32522 62215	   	199.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1DMG|2ASPD|3MDPS|4CDMG|5CGEN|69VULN|7AART|8RCR|aFEWX
123	32522 62216	   	199.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1DMG|2ASPD|3MDPS|4CDMG|5CGEN|69VULN|7AART|8RCR|aBEXP
124	33154 88411	   	199.84	DCR|3VULN|2DMG|1CDMG|1DUR	1aDMG|2DUR|3MBVNT|46aVULN|5TLV|7CDMG|8RCR|9aFEWX|aBPWR
125	22631 16242	   	199.79	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1RCVC|26CDMG|3ASPD|4AME|56VULN|6BPWR|7AART|8RCR|9DUST|aDUR
126	31326 11354	   	199.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|2TSLFST|3DUST|4aVULN|5CDMG|6ASPD|7BEXP|8RCR|9AART
127	31326 12354	   	199.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|2TSLFST|3DUST|4aVULN|5CDMG|6ASPD|7LWND|8RCR|9AART
128	32521 62213	   	199.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1DMG|2ASPD|3MDPS|4CDMG|5MLV|6aVULN|7AART|8RCR|9ERES
129	32522 62253	   	199.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1DMG|2ASPD|3MDPS|4CDMG|5CGEN|6aVULN|7AART|8RCR|9ERES
130	32411 11442	   	199.54	DCR|3ASPD|2DMG|1MDPS|1VULN|2DUR|1AAC	17DMG|267ASPD|3BELT|47DUR|5MDPS|7BPWR|8RCR|9VULN|aAAC
131	34126 13351	   	199.45	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2SPLREG|3LHND|4VULN|5CDMG|6ASPD|7DUR|8RCR|9AART|aMDPS
132	24222 52125	   	199.37	DCR|3VULN|2DMG|1MDPS|2ZMB|1DUR	16RCVC|29ZMB|3DUR|459VULN|79DMG|8MDPS|9BPWR|aRCR
133	34326 13351	   	199.35	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2SPLREG|3DUST|4VULN|5CDMG|6ASPD|7DUR|8RCR|9AART|aMDPS
134	23231 35425	   	199.33	DCR|3VULN|2DMG|2DUR|1ZMB	1RCVC|239VULN|39BPWR|49DUR|5LEGI|6DUST|7ZMB|89DMG|aRCR
135	32214 16421	   	199.13	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1DMG|2aASPD|3MSLREG|4RMIN|5AAC|6CDMG|7RCR|89VULN
136	33452 11262	 * 	198.84	DCR|2VULN|2DMG|2CDMG|1NUKE|2DUR	1aDMG|23DUR|4LEGI|5aVULN|6aCDMG|7RMIN|8RCR|9NUKE|aBPWR
137	22631 36223	   	198.27	DCR|2VULN|2ASPD|1AART|1CDMG	1RCVC|2CDMG|3aASPD|4AME|56VULN|7AART|8RCR|9LHND
138	22631 36263	   	198.27	DCR|2VULN|2ASPD|1AART|1CDMG	1RCVC|2CDMG|3aASPD|4AME|56VULN|7AART|8RCR|9FEWX
139	22631 36243	   	198.17	DCR|2VULN|2ASPD|1AART|1CDMG	1RCVC|2CDMG|3aASPD|4AME|56VULN|7AART|8RCR|9DUST
140	22421 16232	   	198.13	DCR|2VULN|1AART|1CDMG|2DUR|2ZMB	1RCVC|2CDMG|3RMIN|46ZMB|56VULN|6BPWR|7AART|8RCR|9aDUR
141	31126 13355	   	198.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMG|2TSLFST|3LHND|4VULN|5CDMG|6ASPD|7DUR|8RCR|9AART|aZMB
142	32224 32355	   	198.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMG|2ASPD|3MSLREG|4DUR|5CDMG|6VULN|7LWND|8RCR|9AART|aZMB
143	33226 13355	   	198.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMG|2DUR|3LWND|4TSLARM|5CDMG|6ASPD|7VULN|8RCR|9AART|aZMB
144	32522 62231	   	198.11	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMG|2ASPD|3MDPS|4CDMG|5CGEN|6VULN|7AART|8RCR|9DUR|aZMB
145	45113 31141	 * 	198.11	DCR|1AART|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3CDMG|4LHND|5AART|6NUKE|7ASPD|8RCR|9VULN|aDMG
146	31326 13355	   	198.01	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMG|2TSLFST|3DUST|4VULN|5CDMG|6ASPD|7DUR|8RCR|9AART|aZMB
147	32411 11413	   	197.92	DCR|3ASPD|2DMG|1MDPS|1VULN|2DUR	17DMG|267ASPD|3BELT|47DUR|5MDPS|7BPWR|8RCR|9FEWX|aVULN
148	32411 11463	   	197.92	DCR|3ASPD|2DMG|1MDPS|1VULN|2DUR	17DMG|267ASPD|3BELT|47DUR|5MDPS|7BPWR|8RCR|9LWND|aVULN
